"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59","COL60","COL61","COL62","COL63","COL64","COL65","COL66","COL67","COL68","COL69","COL70","COL71","COL72","COL73","COL74","COL75","COL76","COL77","COL78","COL79","COL80","COL81","COL82","COL83","COL84","COL85","COL86","COL87","COL88","COL89","COL90","COL91","COL92","COL93","COL94","COL95","COL96","COL97","COL98","COL99","COL100","COL101","COL102","COL103","COL104","COL105","COL106","COL107","COL108","COL109","COL110","COL111","COL112","COL113","COL114","COL115","COL116","COL117","COL118","COL119","COL120","COL121","COL122","COL123","COL124","COL125","COL126","COL127","COL128","COL129","COL130","COL131","COL132","COL133","COL134","COL135","COL136","COL137","COL138","COL139","COL140","COL141","COL142","COL143","COL144","COL145","COL146","COL147"
"59150014",1095.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1100.00,1100.00,0.00,1095.00,1100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1095.00,1100.00,485.00,35.00,130.00,0.00,25.00,0.00,0.00,0.00,200.00,45.00,20.00,0.00,10.00,615.00,530.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,530.00,530.00,0.00,530.00,530.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,530.00,530.00,200.00,15.00,45.00,0.00,15.00,0.00,10.00,0.00,80.00,30.00,10.00,0.00,0.00,330.00,570.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,570.00,570.00,0.00,565.00,570.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00,570.00,280.00,15.00,90.00,0.00,15.00,0.00,0.00,0.00,115.00,15.00,10.00,0.00,0.00,290.00
"59150015",525.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,525.00,530.00,0.00,530.00,530.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,530.00,530.00,105.00,0.00,60.00,0.00,20.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,425.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,235.00,240.00,0.00,235.00,235.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,240.00,45.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,190.00,290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.00,290.00,0.00,290.00,290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.00,290.00,60.00,0.00,35.00,0.00,10.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,230.00
"59150016",415.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,420.00,420.00,0.00,415.00,415.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,420.00,415.00,125.00,25.00,80.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,295.00,205.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205.00,205.00,0.00,205.00,205.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205.00,205.00,45.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.00,210.00,0.00,215.00,215.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.00,215.00,75.00,20.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140.00
"59150017",285.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285.00,280.00,0.00,285.00,280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.00,285.00,75.00,0.00,30.00,0.00,0.00,0.00,0.00,15.00,10.00,0.00,0.00,0.00,15.00,210.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.00,125.00,0.00,125.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,125.00,30.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,95.00,160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,160.00,0.00,160.00,160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,160.00,45.00,0.00,20.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,15.00,115.00
"59150018",530.00,20.00,20.00,0.00,15.00,0.00,0.00,0.00,510.00,530.00,0.00,530.00,530.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,510.00,530.00,130.00,15.00,55.00,0.00,0.00,0.00,0.00,10.00,35.00,0.00,10.00,0.00,0.00,400.00,275.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,260.00,270.00,0.00,270.00,275.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,15.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,260.00,275.00,70.00,15.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,200.00,255.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,250.00,255.00,0.00,255.00,260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,255.00,60.00,10.00,30.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,10.00,0.00,0.00,195.00
"59150019",495.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,495.00,495.00,10.00,495.00,495.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,495.00,495.00,30.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,460.00,235.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,235.00,0.00,240.00,235.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,235.00,15.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,225.00,255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.00,260.00,0.00,255.00,260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.00,255.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,240.00
"59150020",365.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,370.00,370.00,0.00,370.00,365.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,365.00,370.00,150.00,0.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,215.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,205.00,0.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,70.00,0.00,65.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.00,165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.00,165.00,0.00,165.00,165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.00,165.00,80.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,90.00
"59150021",285.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285.00,285.00,0.00,285.00,285.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,275.00,285.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,280.00,160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.00,160.00,0.00,155.00,155.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.00,125.00,0.00,130.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,120.00
"59150022",335.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,335.00,330.00,0.00,335.00,335.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,335.00,335.00,135.00,0.00,75.00,30.00,0.00,25.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,200.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,180.00,0.00,180.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,180.00,80.00,0.00,50.00,15.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,100.00,155.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.00,155.00,0.00,155.00,155.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,155.00,55.00,0.00,25.00,10.00,0.00,15.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,100.00
"59150023",525.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,530.00,530.00,0.00,525.00,530.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,520.00,530.00,145.00,0.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,385.00,290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285.00,285.00,0.00,290.00,290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.00,290.00,70.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,220.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,240.00,0.00,240.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.00,240.00,75.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00
"59150024",360.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,355.00,360.00,0.00,365.00,360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,355.00,365.00,55.00,0.00,20.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,300.00,190.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,180.00,190.00,0.00,190.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,190.00,30.00,0.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.00,170.00,0.00,170.00,170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.00,175.00,25.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,150.00
