"geo_id","population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo"
59150023,550,15,40,45,60,40,20,10,15,50,45,50,45,35,30,25,15,5,5,282,268,9,82,0,58,39,42,8,30,0,48,0,28,0,8,13,13,5,0,5,8,0,6,1,0,0,0,0,13,0,0,112,0,23,-1
59150024,340,14,14,19,23,23,5,9,14,14,19,28,28,33,23,28,23,9,14,168,172,7,48,0,67,29,34,14,15,5,19,7,9,0,12,12,0,8,0,9,0,0,0,-1,0,0,0,7,0,7,0,15,7,12,-2
59150025,610,24,34,29,48,38,14,14,19,34,43,34,62,58,53,38,29,14,25,300,310,16,77,11,68,29,61,3,20,13,57,23,41,0,22,26,23,4,8,19,0,0,0,6,0,0,0,20,31,0,0,31,0,0,1
59150027,570,0,5,10,5,15,10,5,10,10,15,15,40,45,74,64,79,69,99,235,335,8,66,18,126,31,85,18,14,13,39,13,27,9,0,9,0,6,4,8,4,4,0,-1,0,0,0,8,16,6,6,25,0,7,1
59150028,440,15,15,15,25,30,10,15,15,15,25,25,30,35,30,35,40,35,30,180,260,0,46,19,49,31,35,8,13,6,23,0,31,8,18,0,18,0,0,6,0,0,7,6,0,0,8,0,34,27,0,34,0,11,2
59150029,425,15,31,31,31,26,15,15,20,26,31,31,31,31,36,15,15,15,10,212,213,0,24,7,69,23,37,9,13,0,35,0,32,0,8,0,10,5,0,0,0,0,6,0,0,0,0,18,66,11,8,18,7,17,2
59150030,510,15,20,36,46,31,15,10,20,20,46,41,46,36,31,36,20,10,31,242,268,0,39,28,70,21,38,13,13,0,19,19,13,0,2,2,0,9,4,23,0,0,5,1,0,15,0,0,83,7,0,77,0,0,9
59150031,680,15,34,54,59,44,30,25,20,39,54,54,54,49,39,39,30,20,21,333,347,25,66,9,34,37,28,4,8,16,36,5,0,4,7,18,8,8,0,15,13,15,0,0,0,0,17,21,127,39,0,91,20,8,1
59150032,400,15,25,35,40,25,10,15,10,25,40,35,30,30,20,20,5,5,15,202,198,0,33,0,40,40,23,9,22,4,24,11,30,0,0,13,13,12,10,25,0,0,5,0,0,0,0,0,31,0,0,45,10,0,0
59150033,475,29,49,44,29,29,10,0,34,39,44,34,29,29,24,20,10,10,12,227,248,8,45,0,53,25,22,19,21,0,26,8,15,0,17,6,17,17,0,31,0,0,7,0,17,0,0,25,15,29,0,32,10,9,1
59150034,435,19,24,48,43,14,5,10,10,33,53,38,33,19,24,19,19,10,14,203,232,0,42,0,47,38,26,8,16,4,19,25,22,0,13,0,22,11,0,24,0,8,10,0,0,0,0,17,0,0,13,62,0,9,-1
59150035,885,25,39,49,74,39,39,30,44,79,74,93,74,64,49,54,30,20,9,435,450,9,85,12,46,27,28,4,28,7,12,0,10,6,6,0,20,0,0,8,0,8,0,-1,0,0,9,0,236,13,0,262,27,22,1
59150036,575,15,20,35,55,30,20,15,10,25,40,50,40,35,40,35,15,25,70,250,325,15,68,21,56,52,29,14,18,6,6,6,18,0,14,7,18,8,0,0,0,0,0,0,0,0,10,10,45,0,0,130,9,18,-3
59150037,450,15,30,40,35,30,15,10,25,30,35,45,35,25,30,20,15,5,10,207,243,0,80,0,52,17,29,0,8,0,0,8,12,0,6,0,6,-1,0,8,12,0,0,-1,0,0,0,0,70,16,0,92,11,26,-1
59150038,415,15,25,40,40,30,15,10,20,30,35,25,25,30,30,20,15,5,5,200,215,0,56,7,42,34,25,17,20,3,25,13,17,0,8,0,21,0,7,25,0,0,5,4,0,0,0,0,21,0,0,40,7,7,11
59150039,380,15,30,39,35,15,5,15,15,15,44,35,30,20,20,20,10,10,7,190,190,0,66,0,43,11,24,10,19,15,18,0,5,0,10,0,0,7,0,17,8,0,0,1,0,0,0,0,30,0,0,76,0,12,8
59150040,405,0,5,10,10,5,0,0,0,10,10,5,10,10,30,76,66,66,92,120,285,0,39,0,66,53,50,6,16,15,30,8,8,8,16,0,20,0,0,16,0,0,0,1,0,0,14,10,17,0,0,0,0,12,0
59150041,455,15,31,41,56,20,10,20,26,20,46,51,36,36,15,15,10,5,2,217,238,0,43,0,45,30,28,7,9,10,26,5,0,0,16,11,5,21,0,5,3,0,3,0,0,0,0,26,31,18,0,84,8,13,8
59150042,385,10,26,31,36,26,5,10,16,26,26,36,31,26,31,16,10,10,13,172,213,9,57,8,37,18,27,14,5,6,24,0,9,0,9,0,22,18,0,0,0,0,14,0,0,0,0,0,55,8,0,27,0,8,10
59150043,535,5,15,10,20,15,10,10,15,15,25,45,35,50,54,59,50,45,57,215,320,0,76,0,80,33,42,26,13,7,39,7,23,0,19,16,22,6,0,0,0,7,6,0,0,0,13,9,45,0,0,36,0,0,10
59150044,490,10,10,30,35,15,20,20,25,35,51,35,40,35,35,40,25,10,19,240,250,9,35,0,47,16,28,10,10,5,15,4,0,0,12,6,0,6,6,6,0,6,-1,0,0,0,22,0,126,0,0,84,0,37,1
59150045,605,10,10,15,25,20,25,20,20,30,25,40,35,45,50,60,74,45,56,245,360,0,81,0,67,55,67,5,34,6,28,6,14,8,6,0,13,0,0,12,6,12,6,-1,0,0,8,8,69,12,0,32,28,20,3
59150046,460,10,15,20,20,20,15,10,25,25,35,30,20,20,35,40,40,35,45,205,255,0,38,0,56,16,42,16,20,0,11,13,16,0,14,14,9,6,6,6,0,6,-1,-1,0,0,0,0,81,0,0,55,9,18,10
59150047,425,10,10,5,20,20,10,10,10,15,20,30,40,35,46,35,46,30,33,167,258,0,22,13,43,15,28,16,26,0,36,5,11,0,4,14,4,1,5,8,0,5,5,-1,0,0,9,0,71,0,0,65,0,20,0
59150048,425,19,29,34,24,39,14,10,24,24,34,34,43,24,19,14,14,10,16,208,217,0,40,18,52,32,28,17,8,0,41,0,25,15,0,0,18,6,0,5,0,0,3,0,8,0,0,29,9,0,0,70,0,0,1
59150049,505,20,20,54,54,20,25,15,15,34,49,54,34,34,34,29,5,5,4,232,273,0,31,0,50,21,30,16,21,7,17,7,11,0,13,4,4,20,0,0,0,0,0,7,0,0,9,18,74,0,0,114,9,21,1
59150050,495,20,26,51,51,20,10,15,26,31,61,41,31,26,31,15,15,15,10,237,258,13,53,0,17,11,25,18,6,0,4,7,15,0,6,4,9,11,0,0,0,6,0,5,0,0,0,0,39,13,0,193,8,32,0
59150051,465,20,25,30,40,35,15,15,15,35,35,35,35,45,35,20,15,10,5,213,252,0,42,14,35,36,26,7,12,0,20,10,10,0,4,0,12,14,0,24,0,0,16,0,0,0,19,0,71,0,0,67,0,27,-1
59150052,590,15,10,25,35,25,10,15,15,20,40,40,25,35,25,20,25,59,151,243,347,0,70,14,45,35,35,56,18,15,27,0,50,0,14,7,18,7,0,10,0,0,0,-1,0,0,0,0,74,14,0,67,0,0,15
59150053,575,20,30,40,35,40,30,20,15,30,50,59,40,64,25,30,20,20,7,270,305,0,69,13,51,30,34,-1,39,28,6,0,14,0,3,8,0,11,0,12,0,0,16,0,0,0,0,9,52,0,0,155,0,27,-1
59150054,555,15,26,41,31,26,31,21,15,36,41,51,57,41,31,41,31,21,-1,257,298,9,38,0,58,17,20,12,7,0,34,8,10,8,12,0,0,0,0,14,0,0,7,0,0,0,19,0,89,9,0,162,0,22,0
59150055,550,10,20,35,40,35,15,15,10,30,30,65,60,45,35,50,20,20,15,262,288,0,45,8,94,31,44,11,24,13,18,5,10,5,5,9,5,9,0,12,0,9,6,0,0,0,9,9,99,0,0,42,21,9,-2
59150056,535,10,20,20,25,15,10,15,35,30,45,45,45,35,40,40,35,35,35,242,293,9,35,0,78,27,50,5,14,5,27,5,27,0,11,7,7,6,0,7,0,0,13,0,0,0,0,0,87,11,7,36,13,46,2
59150059,1180,15,35,40,60,55,45,35,30,35,55,70,70,75,80,60,95,105,220,473,707,10,87,10,120,52,90,15,14,9,34,6,37,16,23,7,26,27,0,16,7,10,0,13,0,14,34,19,269,38,0,92,9,79,-3
59150062,1045,30,30,30,35,49,54,69,69,74,84,74,84,89,69,49,69,35,52,485,560,0,45,0,60,26,42,6,11,6,24,12,27,11,8,6,6,19,13,18,0,0,0,0,0,0,0,0,588,60,0,8,21,26,2
59150064,435,15,20,30,10,25,40,30,20,15,35,35,46,35,30,15,15,10,9,210,225,0,26,13,24,23,16,14,20,8,17,6,10,7,10,0,0,7,0,8,12,6,1,0,0,0,15,0,100,24,0,26,35,10,-3
59150067,390,20,25,20,25,20,10,20,25,35,30,35,49,20,25,10,15,5,1,180,210,43,65,7,34,25,44,16,19,4,23,5,6,0,0,0,6,5,4,4,0,0,-1,0,0,0,0,14,30,6,0,9,9,6,7
59150068,425,24,19,24,19,19,39,24,29,34,43,39,29,29,24,10,10,5,5,220,205,0,54,0,27,5,22,12,0,7,19,0,9,0,0,10,24,0,0,0,0,0,0,8,0,0,0,0,125,22,0,19,63,0,-1
59150069,575,24,39,14,29,24,34,53,34,43,53,24,34,43,39,24,24,19,21,265,310,0,45,19,48,26,32,11,11,21,23,11,15,0,12,4,8,5,0,14,0,5,5,6,6,6,0,0,87,29,24,58,14,31,-1
59150070,435,20,25,30,30,25,20,15,20,35,35,45,30,35,20,20,15,10,5,225,210,16,53,0,50,37,47,7,14,10,25,6,20,9,16,0,6,28,4,16,0,0,5,5,0,8,0,16,8,21,0,4,0,4,0
59150071,470,15,25,20,25,20,15,20,25,30,20,40,51,45,45,30,15,15,14,230,240,20,70,0,70,29,42,0,8,9,24,12,23,16,25,0,5,5,0,16,4,5,0,8,4,4,16,0,14,0,7,26,0,9,-1
59150072,1025,50,60,60,60,40,90,100,90,70,75,65,65,50,55,35,20,20,20,495,530,18,111,17,97,59,85,23,23,18,54,6,45,6,13,17,15,21,9,11,4,7,4,5,0,0,25,21,116,21,0,43,27,87,17
59150073,1005,65,65,65,50,50,55,80,65,106,85,80,85,60,35,20,10,15,14,500,505,24,126,24,83,58,52,11,20,11,33,5,35,6,0,9,15,11,6,6,8,28,-1,-1,0,0,20,8,187,11,14,72,55,69,0
59150074,745,49,64,49,69,64,29,34,54,49,59,74,74,29,25,10,5,5,3,335,410,42,142,28,74,45,47,6,23,9,34,20,28,7,20,5,8,25,6,24,0,0,6,1,0,0,25,32,25,7,0,6,16,33,1
59150075,405,19,29,14,29,14,19,14,19,39,34,29,24,34,39,14,14,14,7,202,203,6,81,0,43,23,38,15,14,4,22,0,16,10,0,0,0,0,3,6,0,6,4,0,0,9,0,24,13,26,0,23,0,13,6
59150076,525,30,35,25,30,25,30,25,35,45,40,45,40,40,30,15,15,10,10,255,270,40,80,0,54,30,27,4,18,8,35,0,7,7,0,4,4,0,0,19,5,17,0,6,0,0,22,0,71,7,0,23,13,13,11
59150077,410,30,20,25,25,20,20,20,30,35,20,40,40,15,20,15,10,10,15,197,213,8,55,8,45,15,23,6,28,12,0,0,6,0,3,3,0,3,0,10,0,8,6,0,0,0,13,0,92,21,0,9,28,0,8
59150078,645,45,50,45,30,50,25,40,30,75,75,45,45,35,20,15,10,5,5,312,333,14,61,9,56,24,30,4,32,9,21,12,7,0,21,0,0,0,0,15,6,36,35,0,0,0,0,19,83,14,0,43,76,19,-1
59150079,575,20,30,35,30,40,35,35,30,45,55,59,55,35,35,20,10,5,1,293,282,12,54,15,52,21,31,11,22,9,30,5,32,2,11,2,8,1,4,20,0,7,4,1,0,0,12,0,29,12,0,87,47,24,10
59150080,320,10,25,20,25,20,15,20,25,30,25,30,30,20,10,10,5,5,-5,140,180,8,50,8,32,11,19,0,6,9,12,0,18,5,13,5,15,0,8,13,0,5,0,-1,0,0,8,0,29,0,0,24,10,7,6
59150081,635,41,31,36,41,20,46,51,51,61,56,56,46,31,20,20,10,5,13,295,340,13,69,0,67,20,35,16,24,5,57,15,29,0,13,10,24,11,0,21,4,26,4,-1,0,9,30,30,51,8,0,26,0,18,1
59150082,755,55,35,30,25,20,35,50,80,50,60,60,65,55,40,40,25,20,10,340,415,14,56,20,87,33,54,8,51,10,43,0,8,14,10,14,0,41,6,35,0,29,6,0,8,7,0,9,63,13,14,8,66,20,8
59150083,535,35,20,20,35,20,30,35,45,35,50,35,35,25,35,30,20,15,15,245,290,22,101,0,41,31,36,9,11,9,32,5,23,4,13,4,11,4,4,0,0,4,8,0,18,0,9,0,31,9,0,26,57,13,0
59150084,945,25,15,15,25,25,76,101,56,61,61,61,45,61,45,56,35,61,121,417,528,17,140,0,107,44,79,7,26,22,46,0,29,7,13,13,20,22,9,17,12,12,18,-1,0,11,22,11,171,16,0,18,12,12,13
59150085,885,30,10,20,15,25,85,85,70,65,45,65,60,65,65,60,45,45,30,415,470,23,62,8,69,46,40,14,33,16,28,5,25,0,8,23,19,16,0,26,5,7,33,9,0,8,19,8,225,16,7,26,17,38,6
59150086,720,25,20,10,25,45,74,65,55,40,55,60,70,35,50,25,30,15,21,328,392,23,127,16,72,42,44,14,41,8,29,19,34,11,8,0,5,5,5,14,8,8,1,6,0,0,45,0,47,8,0,14,35,25,6
59150087,520,25,20,15,25,39,54,54,59,34,44,39,44,25,25,10,5,5,-2,262,258,20,89,7,31,18,21,4,20,5,36,5,18,0,10,0,6,6,0,9,0,0,9,0,4,4,12,0,52,6,6,0,113,8,1
59150088,510,20,31,20,31,36,46,36,46,46,41,51,46,20,15,10,5,5,5,220,290,10,26,13,31,27,21,8,7,9,25,0,20,0,6,6,6,13,7,10,7,0,0,0,0,10,15,29,59,10,0,0,128,0,7
59150089,600,26,57,31,41,31,31,41,47,67,52,47,41,26,21,21,16,0,4,308,292,15,69,0,70,28,65,26,6,7,17,16,11,0,5,10,15,12,4,14,0,7,0,6,0,7,7,22,68,0,7,25,43,0,18
59150090,580,30,45,40,25,40,35,30,40,45,45,50,35,35,30,20,15,10,10,288,292,39,71,8,58,32,39,21,22,5,31,0,42,5,0,8,8,10,0,38,0,0,17,0,0,0,0,9,25,21,0,12,38,22,-1
59150091,665,20,20,25,25,35,55,55,60,60,40,55,55,50,35,35,15,15,10,290,375,12,109,0,35,33,31,16,27,9,32,14,23,0,18,15,9,16,0,8,0,8,0,0,0,8,28,8,110,23,0,7,45,20,1
59150092,470,19,10,15,10,34,48,44,34,24,29,39,48,39,24,19,10,15,9,225,245,0,28,8,36,15,26,9,11,6,15,6,28,0,7,0,7,0,0,13,0,17,9,-1,0,0,9,0,107,65,0,17,22,8,2
59150093,635,25,30,30,30,40,40,55,45,35,55,40,45,45,50,20,20,20,10,287,348,13,66,0,52,19,30,30,33,12,25,5,21,0,7,0,4,11,0,5,0,14,8,1,0,0,31,9,131,30,38,0,9,21,10
59150094,690,40,20,30,40,50,40,50,45,45,50,55,60,50,50,30,10,10,15,335,355,20,89,16,62,53,56,9,37,21,34,0,9,0,10,4,14,10,6,15,0,0,0,6,0,0,12,24,89,0,0,14,50,22,8
59150095,480,30,25,35,30,20,20,25,30,45,50,45,45,20,20,10,20,5,5,245,235,8,50,40,53,31,31,15,22,16,22,0,22,0,7,16,5,7,8,8,0,12,10,-1,0,0,0,0,27,0,0,30,16,23,2
59150096,590,25,40,35,35,25,35,35,55,45,50,45,40,40,35,15,15,10,10,305,285,16,45,14,32,25,16,2,25,10,34,0,20,0,26,6,0,10,0,18,8,0,13,5,0,0,12,16,73,50,0,12,83,20,-1
59150097,710,45,60,40,30,30,55,40,45,55,55,60,60,50,15,25,20,10,15,355,355,51,134,0,51,36,42,8,33,0,36,7,12,0,16,6,0,28,0,28,7,5,0,11,0,0,18,14,43,30,7,43,0,46,-2
59150098,460,20,35,30,25,25,15,20,35,30,45,35,45,35,15,15,10,5,20,200,260,13,79,8,45,14,37,8,21,8,25,13,5,6,0,0,18,10,0,4,0,4,0,0,3,6,0,8,40,13,0,24,18,31,-1
59150099,585,24,39,34,49,54,44,34,39,44,54,44,49,29,15,10,10,5,8,298,287,12,49,7,31,21,12,8,26,0,10,6,5,5,15,15,15,7,0,7,5,0,4,12,0,16,8,64,91,11,12,17,42,51,1
59150100,620,30,30,40,50,40,35,30,30,40,55,50,60,30,35,15,20,15,15,288,332,8,77,13,61,31,51,26,15,5,46,5,37,5,6,5,11,15,0,18,5,7,0,4,8,0,12,16,43,0,7,34,0,49,0
59150101,445,20,20,35,45,35,5,5,20,30,40,60,30,25,25,20,15,10,5,220,225,8,63,7,51,19,41,14,23,12,32,7,16,7,12,5,0,0,0,4,0,0,17,-1,0,0,0,0,45,0,0,49,8,7,-1
59150102,365,15,15,20,35,25,5,10,10,15,30,35,35,25,30,20,20,5,15,177,188,0,25,0,49,37,45,3,18,18,43,0,15,0,9,0,6,6,0,12,0,0,0,14,0,0,0,0,32,14,0,9,0,0,10
59150103,670,30,55,60,45,35,25,15,25,60,60,55,60,50,45,20,15,15,0,340,330,0,141,0,77,51,40,12,15,6,28,16,15,0,26,0,5,10,0,22,0,16,14,1,0,0,15,11,71,15,0,44,8,0,11
59150104,540,20,40,55,55,30,15,10,20,30,55,55,45,25,20,25,15,10,15,260,280,20,98,0,72,30,65,11,9,5,16,13,25,4,12,0,17,4,16,27,0,0,6,0,0,0,0,0,22,6,6,14,11,33,-2
59150105,350,10,31,36,31,21,5,10,15,31,46,21,31,15,15,15,15,0,2,170,180,16,16,8,36,26,32,16,12,4,8,4,20,6,0,14,8,0,0,3,3,3,7,0,0,0,0,0,12,32,0,42,0,21,1
59150106,880,30,54,84,89,44,25,20,30,64,79,79,74,59,44,40,25,15,25,422,458,0,125,32,119,38,96,16,33,21,44,27,58,6,10,8,10,36,0,8,8,0,11,1,0,0,0,0,36,0,0,80,8,38,11
59150107,465,15,24,39,44,29,19,15,19,29,44,53,39,34,24,10,5,15,8,222,243,0,83,8,56,33,37,4,19,9,26,13,5,0,0,14,14,9,0,8,0,0,4,5,0,0,0,16,27,20,0,17,0,40,-2
59150108,325,5,27,16,21,16,16,5,11,16,43,16,27,27,21,16,21,11,10,155,170,9,35,9,41,8,28,0,6,5,30,6,10,3,7,12,7,12,0,6,0,0,0,1,0,0,0,0,23,0,0,52,0,16,-1
59150109,590,30,30,49,54,25,20,15,25,30,49,64,54,39,30,30,20,10,16,287,303,14,91,13,80,49,55,22,22,0,17,17,36,6,4,4,18,4,4,6,4,0,6,6,0,14,7,0,10,14,0,29,7,30,1
59150110,535,35,45,25,25,30,10,30,35,25,50,40,35,30,35,20,15,20,30,265,270,7,119,7,60,30,48,16,14,11,15,5,19,0,5,0,10,7,0,5,0,0,0,12,0,0,0,14,16,18,12,50,5,32,-2
59150111,535,25,35,25,25,30,20,35,30,30,50,45,30,40,40,30,20,15,10,255,280,20,77,7,53,27,34,10,28,6,23,7,21,4,6,0,18,0,0,26,0,0,0,-1,0,0,37,17,51,35,6,5,5,11,2
59150112,730,41,46,51,51,41,15,30,35,46,56,81,56,41,51,25,20,20,24,352,378,0,91,9,96,54,63,22,35,0,34,6,28,0,18,8,13,11,7,12,0,0,0,-1,0,0,9,0,14,46,0,89,0,29,37
59150113,835,45,45,40,65,50,45,50,50,65,70,80,75,50,35,20,20,15,15,400,435,8,121,8,86,38,55,31,30,19,36,0,38,3,8,10,13,16,5,20,0,10,0,-1,0,8,12,24,110,20,0,23,51,24,9
59150114,530,36,46,31,26,36,21,21,26,51,41,31,57,31,31,21,5,5,14,270,260,9,73,8,71,43,45,15,30,15,34,15,22,0,19,8,8,11,5,9,4,5,6,5,18,0,9,9,12,0,8,0,0,12,2
59150115,385,25,35,41,10,20,15,10,25,35,35,35,30,20,15,10,10,5,9,185,200,9,79,9,53,35,24,12,11,4,22,15,40,0,0,0,18,5,0,6,0,0,0,0,0,0,0,0,13,9,0,22,0,0,-1
59150116,450,10,35,30,30,35,25,15,20,25,40,40,45,35,15,20,10,10,10,220,230,0,62,20,57,28,53,26,23,14,18,8,26,8,8,0,8,0,4,4,4,0,6,1,0,0,7,0,0,25,0,32,0,11,-3
59150117,485,20,35,51,40,25,10,15,30,30,51,56,30,25,20,10,10,15,12,225,260,0,62,0,65,28,56,7,14,16,13,0,20,0,5,0,5,10,0,12,5,0,0,9,0,0,0,0,26,42,0,19,12,58,1
59150118,650,25,45,66,40,40,20,20,30,50,50,66,30,35,50,30,25,10,18,323,327,0,83,7,70,23,47,10,47,0,42,22,20,5,9,7,21,0,3,0,6,3,7,-1,0,8,8,12,37,12,0,95,7,37,3
59150119,690,20,29,34,49,39,29,15,24,29,39,69,54,54,54,34,39,34,45,325,365,22,62,0,76,44,46,10,37,35,33,10,25,0,11,0,5,9,9,18,0,9,-1,0,0,9,13,0,80,10,7,21,9,76,5
59150120,660,20,30,55,70,40,25,15,25,40,65,65,55,45,40,20,30,5,15,315,345,0,146,12,76,32,50,33,18,0,30,9,30,5,10,13,12,5,0,18,12,0,0,1,0,0,12,0,22,19,0,32,0,51,12
59150121,560,29,49,49,44,25,15,15,20,39,54,49,29,34,25,25,20,20,19,268,292,8,105,8,66,39,49,19,5,15,40,4,44,0,13,13,7,0,0,7,0,0,6,0,0,0,0,0,24,0,0,71,0,18,-1
59150122,525,20,31,41,51,31,15,20,25,46,46,41,46,31,25,25,10,10,11,255,270,25,63,8,33,33,35,4,23,14,21,7,26,7,3,0,13,8,0,10,0,0,0,0,0,0,0,0,61,10,18,61,0,33,9
59150123,830,45,60,65,65,40,20,30,55,70,90,90,50,45,35,40,15,10,5,400,430,8,80,29,72,39,74,7,23,32,34,0,23,0,11,6,11,-1,0,8,0,5,0,16,0,0,0,8,191,49,15,50,7,31,2
59150124,825,35,55,100,75,30,20,20,35,65,90,80,60,45,25,30,15,20,25,428,397,0,135,8,92,54,46,15,15,29,52,24,8,0,10,17,32,0,8,10,0,0,13,0,0,0,8,12,39,12,0,145,8,26,7
59150125,490,20,35,35,40,35,15,20,25,35,35,40,40,35,15,15,15,25,10,233,257,0,67,10,46,25,42,12,11,14,29,11,14,0,19,0,9,12,0,15,0,0,6,-1,0,0,0,17,83,0,0,34,0,15,0
59150126,725,25,46,71,66,41,25,15,25,61,76,76,51,46,35,30,15,10,11,368,357,21,132,9,69,44,54,28,7,17,21,14,29,0,0,9,14,10,0,9,0,16,0,0,7,14,0,17,72,17,9,76,9,0,1
59150127,835,29,34,59,54,54,44,20,44,49,64,79,79,64,49,49,29,15,20,420,415,8,104,18,79,47,45,4,8,24,49,11,29,0,14,0,25,8,5,15,7,0,5,1,0,0,0,0,79,30,22,152,7,39,0
