"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27"
"9330010.02",4140.00,2330.00,2170.00,155.00,1815.00,1280.00,70.00,185.00,285.00,1885.00,1125.00,1040.00,85.00,765.00,630.00,30.00,60.00,50.00,2255.00,1205.00,1135.00,70.00,1050.00,650.00,45.00,120.00,230.00
"9330011.00",5690.00,3095.00,2845.00,245.00,2600.00,1870.00,125.00,250.00,360.00,2695.00,1530.00,1410.00,125.00,1160.00,955.00,45.00,95.00,75.00,2995.00,1555.00,1435.00,120.00,1435.00,915.00,80.00,155.00,285.00
"9330012.00",6990.00,3740.00,3360.00,375.00,3250.00,2480.00,145.00,315.00,310.00,3315.00,1830.00,1655.00,175.00,1480.00,1275.00,55.00,110.00,50.00,3675.00,1905.00,1705.00,205.00,1765.00,1210.00,90.00,205.00,265.00
"9330013.01",5570.00,2975.00,2730.00,250.00,2595.00,1890.00,110.00,285.00,310.00,2670.00,1480.00,1365.00,115.00,1185.00,990.00,40.00,105.00,50.00,2900.00,1495.00,1365.00,130.00,1405.00,900.00,70.00,180.00,260.00
"9330013.03",4255.00,2285.00,2140.00,145.00,1965.00,1420.00,95.00,205.00,245.00,2055.00,1130.00,1060.00,70.00,925.00,780.00,30.00,70.00,45.00,2200.00,1155.00,1085.00,70.00,1045.00,640.00,65.00,135.00,195.00
"9330013.04",3135.00,1715.00,1590.00,125.00,1415.00,1055.00,65.00,135.00,165.00,1520.00,860.00,800.00,65.00,660.00,560.00,25.00,45.00,30.00,1615.00,855.00,790.00,65.00,760.00,495.00,40.00,90.00,135.00
"9330014.01",2705.00,1460.00,1360.00,100.00,1250.00,875.00,60.00,165.00,150.00,1275.00,720.00,675.00,50.00,550.00,445.00,20.00,60.00,25.00,1435.00,735.00,685.00,50.00,695.00,430.00,40.00,105.00,125.00
"9330014.02",5215.00,2765.00,2580.00,180.00,2450.00,1670.00,115.00,315.00,350.00,2410.00,1370.00,1275.00,90.00,1040.00,840.00,45.00,105.00,55.00,2805.00,1395.00,1305.00,90.00,1405.00,830.00,70.00,205.00,300.00
"9330015.01",4695.00,2675.00,2515.00,165.00,2020.00,1510.00,85.00,185.00,235.00,2315.00,1330.00,1245.00,85.00,985.00,825.00,40.00,70.00,45.00,2380.00,1345.00,1265.00,80.00,1035.00,690.00,45.00,115.00,190.00
"9330015.02",5560.00,2870.00,2685.00,180.00,2690.00,1845.00,120.00,290.00,435.00,2610.00,1430.00,1340.00,90.00,1175.00,935.00,40.00,125.00,85.00,2950.00,1440.00,1345.00,95.00,1510.00,910.00,80.00,170.00,355.00
"9330016.01",4535.00,2240.00,2090.00,150.00,2295.00,1615.00,100.00,320.00,255.00,2170.00,1110.00,1035.00,75.00,1060.00,855.00,35.00,115.00,55.00,2365.00,1125.00,1055.00,75.00,1235.00,765.00,65.00,205.00,200.00
"9330016.04",6430.00,3250.00,2875.00,375.00,3175.00,2380.00,140.00,345.00,320.00,3085.00,1610.00,1420.00,190.00,1470.00,1235.00,60.00,125.00,50.00,3345.00,1645.00,1455.00,185.00,1705.00,1145.00,80.00,220.00,265.00
"9330016.05",4175.00,2070.00,1815.00,250.00,2105.00,1555.00,110.00,230.00,210.00,2020.00,1020.00,890.00,125.00,1005.00,825.00,45.00,100.00,35.00,2155.00,1050.00,925.00,125.00,1105.00,735.00,65.00,135.00,175.00
"9330016.06",4385.00,2140.00,1745.00,400.00,2245.00,1690.00,110.00,310.00,135.00,2065.00,1065.00,870.00,200.00,1005.00,835.00,45.00,100.00,15.00,2320.00,1075.00,880.00,195.00,1240.00,855.00,60.00,210.00,120.00
"9330017.01",6595.00,3450.00,3060.00,385.00,3155.00,2305.00,130.00,370.00,350.00,3155.00,1705.00,1515.00,190.00,1445.00,1210.00,50.00,125.00,70.00,3440.00,1740.00,1545.00,195.00,1705.00,1095.00,75.00,245.00,285.00
"9330017.02",5810.00,2830.00,2540.00,290.00,2980.00,2160.00,130.00,370.00,315.00,2845.00,1405.00,1260.00,145.00,1440.00,1170.00,50.00,155.00,65.00,2965.00,1425.00,1275.00,150.00,1540.00,990.00,80.00,220.00,250.00
"9330018.01",6005.00,3200.00,2875.00,325.00,2810.00,2010.00,130.00,355.00,320.00,2910.00,1585.00,1420.00,165.00,1320.00,1090.00,30.00,140.00,60.00,3100.00,1615.00,1455.00,155.00,1480.00,920.00,95.00,210.00,260.00
"9330018.02",5925.00,3145.00,2765.00,385.00,2780.00,2050.00,145.00,310.00,275.00,2880.00,1555.00,1365.00,190.00,1325.00,1100.00,55.00,125.00,45.00,3045.00,1590.00,1400.00,195.00,1455.00,945.00,90.00,190.00,230.00
"9330019.00",4260.00,2300.00,2010.00,285.00,1965.00,1325.00,95.00,265.00,275.00,1970.00,1135.00,995.00,140.00,830.00,670.00,45.00,90.00,30.00,2290.00,1160.00,1015.00,145.00,1130.00,655.00,55.00,175.00,245.00
"9330020.00",2435.00,1250.00,1180.00,70.00,1185.00,665.00,50.00,115.00,355.00,1110.00,625.00,585.00,35.00,485.00,360.00,15.00,40.00,70.00,1325.00,630.00,590.00,35.00,695.00,310.00,30.00,75.00,280.00
"9330021.00",3120.00,1840.00,1705.00,135.00,1275.00,1025.00,45.00,95.00,110.00,1440.00,890.00,825.00,65.00,555.00,500.00,10.00,20.00,25.00,1675.00,955.00,885.00,70.00,720.00,520.00,35.00,75.00,90.00
"9330022.00",2790.00,1310.00,1115.00,200.00,1480.00,835.00,95.00,280.00,275.00,1160.00,625.00,520.00,105.00,535.00,400.00,25.00,75.00,40.00,1630.00,685.00,590.00,95.00,945.00,435.00,70.00,205.00,240.00
"9330023.00",3555.00,2175.00,2090.00,90.00,1380.00,1015.00,50.00,145.00,175.00,1675.00,1070.00,1020.00,40.00,610.00,525.00,15.00,25.00,40.00,1885.00,1115.00,1070.00,45.00,770.00,485.00,30.00,115.00,130.00
"9330024.00",4820.00,3020.00,2875.00,140.00,1795.00,1435.00,70.00,145.00,150.00,2305.00,1465.00,1395.00,75.00,835.00,740.00,20.00,45.00,30.00,2515.00,1550.00,1480.00,70.00,965.00,700.00,50.00,100.00,120.00
"9330025.00",6175.00,3625.00,3315.00,305.00,2550.00,1925.00,100.00,275.00,245.00,2895.00,1770.00,1615.00,155.00,1125.00,975.00,35.00,75.00,40.00,3280.00,1850.00,1700.00,150.00,1430.00,950.00,65.00,205.00,205.00
"9330026.00",3990.00,2295.00,2140.00,160.00,1695.00,1260.00,60.00,210.00,165.00,1875.00,1110.00,1030.00,80.00,765.00,645.00,25.00,65.00,35.00,2120.00,1190.00,1105.00,80.00,935.00,620.00,40.00,150.00,130.00
"9330027.01",3535.00,1880.00,1770.00,110.00,1650.00,1185.00,60.00,155.00,245.00,1600.00,910.00,855.00,60.00,695.00,600.00,15.00,35.00,35.00,1925.00,970.00,915.00,55.00,955.00,585.00,45.00,120.00,210.00
"9330027.02",3220.00,1830.00,1740.00,85.00,1390.00,965.00,70.00,165.00,190.00,1375.00,855.00,810.00,45.00,520.00,440.00,20.00,45.00,20.00,1845.00,975.00,930.00,45.00,870.00,525.00,55.00,125.00,165.00
"9330028.00",2620.00,1530.00,1340.00,190.00,1085.00,860.00,35.00,110.00,85.00,1215.00,745.00,645.00,95.00,470.00,410.00,10.00,40.00,15.00,1405.00,785.00,700.00,90.00,620.00,445.00,25.00,75.00,70.00
"9330029.00",5800.00,3135.00,2585.00,550.00,2665.00,1900.00,105.00,335.00,325.00,2715.00,1580.00,1305.00,280.00,1130.00,900.00,40.00,115.00,80.00,3085.00,1555.00,1280.00,270.00,1535.00,1000.00,60.00,220.00,245.00
"9330030.00",5775.00,3245.00,2620.00,615.00,2540.00,1945.00,95.00,260.00,230.00,2710.00,1585.00,1295.00,295.00,1125.00,955.00,30.00,85.00,55.00,3070.00,1655.00,1330.00,325.00,1410.00,995.00,65.00,175.00,175.00
"9330031.01",5200.00,2900.00,2275.00,620.00,2300.00,1800.00,85.00,260.00,155.00,2430.00,1430.00,1135.00,300.00,995.00,855.00,35.00,85.00,20.00,2770.00,1465.00,1145.00,315.00,1305.00,945.00,50.00,170.00,135.00
"9330031.02",3910.00,2150.00,1710.00,440.00,1760.00,1370.00,65.00,180.00,145.00,1890.00,1065.00,845.00,215.00,825.00,700.00,25.00,70.00,25.00,2020.00,1085.00,860.00,220.00,930.00,670.00,35.00,110.00,120.00
"9330032.00",7780.00,4165.00,3240.00,920.00,3625.00,2750.00,180.00,410.00,280.00,3770.00,2060.00,1620.00,445.00,1705.00,1415.00,85.00,165.00,50.00,4015.00,2105.00,1625.00,475.00,1915.00,1335.00,95.00,250.00,235.00
"9330033.01",4395.00,2465.00,2060.00,405.00,1925.00,1430.00,100.00,210.00,180.00,2035.00,1210.00,1015.00,195.00,820.00,665.00,40.00,75.00,35.00,2360.00,1255.00,1045.00,210.00,1105.00,765.00,55.00,145.00,140.00
"9330033.02",2640.00,1400.00,1255.00,150.00,1240.00,935.00,55.00,120.00,130.00,1265.00,690.00,620.00,70.00,570.00,490.00,20.00,45.00,20.00,1375.00,710.00,635.00,75.00,665.00,440.00,35.00,80.00,115.00
"9330034.01",4510.00,2295.00,2040.00,250.00,2215.00,1620.00,110.00,255.00,235.00,2170.00,1140.00,1015.00,120.00,1035.00,835.00,55.00,100.00,50.00,2340.00,1155.00,1030.00,125.00,1185.00,780.00,60.00,155.00,190.00
"9330034.02",6225.00,3205.00,2740.00,470.00,3015.00,2075.00,145.00,375.00,425.00,3030.00,1600.00,1375.00,230.00,1425.00,1120.00,60.00,155.00,85.00,3195.00,1605.00,1365.00,240.00,1590.00,950.00,85.00,215.00,340.00
"9330035.01",3770.00,1905.00,1655.00,250.00,1870.00,1385.00,80.00,180.00,220.00,1830.00,960.00,840.00,125.00,870.00,730.00,35.00,60.00,40.00,1945.00,950.00,825.00,125.00,995.00,655.00,45.00,120.00,175.00
"9330035.02",6085.00,3015.00,2635.00,380.00,3075.00,2150.00,140.00,395.00,385.00,2910.00,1495.00,1310.00,190.00,1410.00,1125.00,55.00,160.00,70.00,3180.00,1515.00,1330.00,190.00,1665.00,1025.00,85.00,245.00,315.00
"9330036.01",5455.00,2855.00,2610.00,240.00,2600.00,1850.00,100.00,300.00,355.00,2640.00,1420.00,1300.00,115.00,1225.00,995.00,40.00,120.00,65.00,2815.00,1440.00,1310.00,130.00,1380.00,850.00,60.00,180.00,290.00
"9330036.02",5340.00,2925.00,2645.00,280.00,2415.00,1800.00,100.00,255.00,260.00,2650.00,1455.00,1315.00,140.00,1195.00,1000.00,35.00,110.00,40.00,2695.00,1470.00,1330.00,140.00,1220.00,800.00,65.00,145.00,215.00
"9330037.01",4230.00,2055.00,1490.00,570.00,2180.00,1730.00,100.00,225.00,125.00,2070.00,1020.00,735.00,290.00,1050.00,895.00,45.00,95.00,20.00,2165.00,1035.00,755.00,280.00,1130.00,840.00,60.00,130.00,100.00
"9330037.02",3240.00,1445.00,990.00,460.00,1795.00,1410.00,90.00,210.00,90.00,1630.00,710.00,490.00,220.00,920.00,755.00,40.00,105.00,15.00,1615.00,735.00,500.00,235.00,875.00,655.00,45.00,105.00,70.00
"9330038.00",5245.00,2555.00,1555.00,1000.00,2695.00,2065.00,110.00,300.00,225.00,2410.00,1245.00,760.00,485.00,1165.00,950.00,50.00,125.00,35.00,2835.00,1305.00,790.00,510.00,1530.00,1105.00,60.00,175.00,190.00
"9330039.01",5345.00,2655.00,1585.00,1075.00,2685.00,2105.00,105.00,360.00,110.00,2460.00,1325.00,790.00,530.00,1130.00,965.00,35.00,115.00,15.00,2880.00,1330.00,790.00,540.00,1550.00,1140.00,70.00,245.00,100.00
"9330039.02",5155.00,2610.00,1900.00,710.00,2545.00,1690.00,140.00,405.00,305.00,2220.00,1325.00,965.00,360.00,895.00,715.00,55.00,95.00,35.00,2935.00,1285.00,935.00,350.00,1650.00,980.00,85.00,310.00,270.00
"9330040.01",3950.00,1505.00,835.00,670.00,2445.00,2045.00,70.00,255.00,75.00,1760.00,750.00,415.00,335.00,1005.00,875.00,25.00,90.00,20.00,2195.00,755.00,420.00,335.00,1435.00,1170.00,45.00,170.00,60.00
"9330040.02",4365.00,1840.00,1050.00,795.00,2520.00,1890.00,110.00,380.00,140.00,1885.00,935.00,525.00,405.00,955.00,755.00,45.00,125.00,25.00,2480.00,910.00,520.00,390.00,1570.00,1135.00,65.00,255.00,115.00
"9330041.01",4265.00,1905.00,1115.00,785.00,2360.00,1690.00,95.00,370.00,210.00,1825.00,970.00,560.00,405.00,855.00,670.00,30.00,115.00,35.00,2440.00,935.00,560.00,375.00,1510.00,1020.00,60.00,250.00,180.00
"9330041.02",6525.00,3455.00,2690.00,770.00,3070.00,2130.00,125.00,495.00,315.00,2855.00,1705.00,1315.00,390.00,1150.00,930.00,45.00,130.00,45.00,3670.00,1750.00,1375.00,380.00,1920.00,1200.00,80.00,370.00,270.00
"9330042.00",5480.00,2960.00,2425.00,535.00,2520.00,1955.00,85.00,325.00,150.00,2600.00,1475.00,1200.00,275.00,1120.00,960.00,25.00,105.00,25.00,2885.00,1485.00,1220.00,265.00,1400.00,995.00,60.00,225.00,125.00
"9330043.01",3470.00,1810.00,1570.00,240.00,1660.00,1310.00,55.00,180.00,110.00,1665.00,885.00,765.00,125.00,785.00,680.00,15.00,55.00,25.00,1805.00,925.00,805.00,120.00,880.00,630.00,45.00,125.00,85.00
"9330043.02",3595.00,2170.00,1965.00,200.00,1430.00,1125.00,45.00,160.00,105.00,1645.00,1050.00,955.00,100.00,595.00,525.00,10.00,40.00,20.00,1950.00,1115.00,1015.00,100.00,835.00,595.00,35.00,125.00,80.00
"9330044.00",4095.00,2330.00,1970.00,360.00,1770.00,1200.00,80.00,290.00,200.00,1915.00,1145.00,960.00,180.00,770.00,595.00,35.00,95.00,45.00,2180.00,1180.00,1005.00,180.00,1000.00,605.00,45.00,195.00,155.00
"9330045.01",4310.00,2310.00,1625.00,690.00,2000.00,1525.00,80.00,290.00,105.00,2040.00,1150.00,810.00,340.00,890.00,745.00,35.00,90.00,20.00,2270.00,1165.00,820.00,350.00,1110.00,780.00,50.00,195.00,85.00
"9330045.02",5165.00,2710.00,1875.00,835.00,2450.00,1970.00,95.00,280.00,115.00,2440.00,1350.00,930.00,425.00,1090.00,925.00,40.00,95.00,25.00,2720.00,1360.00,945.00,415.00,1365.00,1045.00,50.00,180.00,85.00
"9330046.00",4765.00,2115.00,1285.00,835.00,2645.00,2015.00,105.00,410.00,120.00,2190.00,1070.00,640.00,425.00,1125.00,935.00,45.00,125.00,20.00,2575.00,1050.00,645.00,410.00,1520.00,1080.00,60.00,285.00,100.00
"9330047.01",3475.00,1600.00,895.00,705.00,1875.00,1275.00,70.00,340.00,190.00,1560.00,820.00,450.00,370.00,740.00,560.00,30.00,115.00,40.00,1920.00,780.00,445.00,340.00,1130.00,715.00,40.00,225.00,150.00
"9330047.02",3900.00,1695.00,805.00,890.00,2205.00,1740.00,85.00,305.00,75.00,1830.00,840.00,395.00,445.00,985.00,815.00,40.00,110.00,15.00,2070.00,850.00,410.00,445.00,1220.00,925.00,45.00,195.00,55.00
"9330048.00",7315.00,3585.00,2305.00,1280.00,3730.00,2730.00,160.00,615.00,225.00,3425.00,1805.00,1160.00,645.00,1620.00,1305.00,75.00,200.00,40.00,3885.00,1775.00,1145.00,630.00,2110.00,1425.00,85.00,415.00,190.00
"9330049.01",12695.00,7365.00,4865.00,2500.00,5330.00,4025.00,265.00,790.00,245.00,6180.00,3735.00,2430.00,1305.00,2450.00,1995.00,125.00,265.00,65.00,6515.00,3635.00,2435.00,1200.00,2880.00,2035.00,145.00,525.00,185.00
"9330049.02",5385.00,2950.00,2315.00,630.00,2430.00,1240.00,145.00,700.00,350.00,2405.00,1480.00,1160.00,320.00,920.00,575.00,55.00,210.00,75.00,2980.00,1465.00,1155.00,310.00,1515.00,660.00,90.00,485.00,275.00
"9330050.02",5650.00,2365.00,1430.00,935.00,3285.00,2440.00,170.00,485.00,190.00,2765.00,1170.00,710.00,460.00,1595.00,1300.00,65.00,200.00,25.00,2885.00,1195.00,725.00,475.00,1685.00,1140.00,105.00,285.00,160.00
"9330050.03",5650.00,2625.00,1415.00,1205.00,3030.00,2385.00,150.00,400.00,95.00,2880.00,1335.00,715.00,620.00,1550.00,1260.00,80.00,175.00,25.00,2770.00,1290.00,700.00,585.00,1480.00,1125.00,70.00,225.00,65.00
"9330050.04",2885.00,1145.00,685.00,465.00,1740.00,1340.00,110.00,205.00,80.00,1455.00,575.00,340.00,240.00,885.00,735.00,40.00,85.00,20.00,1425.00,570.00,345.00,230.00,855.00,605.00,70.00,120.00,60.00
"9330051.01",2865.00,1545.00,1230.00,320.00,1325.00,1005.00,55.00,145.00,115.00,1360.00,755.00,605.00,150.00,605.00,510.00,20.00,55.00,20.00,1505.00,790.00,620.00,170.00,720.00,495.00,35.00,90.00,95.00
"9330051.02",4155.00,2055.00,1765.00,290.00,2100.00,1485.00,105.00,230.00,285.00,1955.00,1025.00,880.00,140.00,935.00,760.00,40.00,90.00,45.00,2200.00,1030.00,885.00,150.00,1165.00,725.00,60.00,140.00,235.00
"9330052.01",5290.00,2555.00,2255.00,300.00,2730.00,1815.00,140.00,360.00,420.00,2525.00,1285.00,1135.00,145.00,1240.00,970.00,50.00,135.00,85.00,2765.00,1275.00,1120.00,155.00,1490.00,845.00,90.00,220.00,340.00
"9330052.02",5460.00,2865.00,2490.00,375.00,2600.00,1840.00,120.00,345.00,285.00,2710.00,1425.00,1240.00,185.00,1290.00,1045.00,45.00,145.00,60.00,2745.00,1435.00,1240.00,195.00,1310.00,800.00,75.00,205.00,230.00
"9330053.01",5655.00,2970.00,2430.00,545.00,2680.00,1925.00,125.00,320.00,315.00,2740.00,1470.00,1200.00,265.00,1270.00,1030.00,50.00,140.00,50.00,2915.00,1505.00,1220.00,280.00,1410.00,895.00,75.00,175.00,260.00
"9330053.02",3050.00,1630.00,1370.00,265.00,1420.00,1050.00,65.00,170.00,135.00,1570.00,825.00,690.00,135.00,740.00,605.00,35.00,75.00,30.00,1485.00,805.00,680.00,130.00,675.00,445.00,25.00,90.00,105.00
"9330054.01",3540.00,1865.00,1355.00,510.00,1675.00,1245.00,80.00,200.00,150.00,1700.00,910.00,665.00,250.00,785.00,635.00,35.00,80.00,35.00,1840.00,950.00,690.00,260.00,890.00,610.00,45.00,120.00,115.00
"9330054.02",3825.00,2160.00,1825.00,335.00,1665.00,1175.00,75.00,180.00,235.00,1800.00,1065.00,910.00,160.00,735.00,610.00,25.00,60.00,40.00,2020.00,1090.00,920.00,175.00,930.00,565.00,45.00,115.00,200.00
"9330055.01",4825.00,2130.00,1400.00,735.00,2695.00,2015.00,125.00,365.00,195.00,2385.00,1050.00,695.00,360.00,1335.00,1075.00,60.00,170.00,30.00,2440.00,1080.00,705.00,375.00,1355.00,940.00,65.00,195.00,165.00
"9330055.02",3955.00,1775.00,1065.00,705.00,2185.00,1570.00,125.00,350.00,135.00,1945.00,865.00,525.00,340.00,1080.00,835.00,60.00,145.00,35.00,2010.00,905.00,540.00,365.00,1105.00,730.00,70.00,205.00,95.00
"9330056.01",3710.00,1440.00,740.00,705.00,2265.00,1660.00,140.00,325.00,145.00,1795.00,700.00,360.00,340.00,1090.00,865.00,65.00,135.00,25.00,1915.00,740.00,375.00,365.00,1175.00,795.00,70.00,195.00,115.00
"9330056.02",3970.00,1890.00,1100.00,795.00,2075.00,1635.00,75.00,275.00,90.00,1875.00,915.00,535.00,385.00,960.00,790.00,40.00,105.00,20.00,2090.00,975.00,560.00,410.00,1120.00,845.00,40.00,170.00,65.00
"9330057.01",2770.00,965.00,740.00,225.00,1810.00,1065.00,120.00,355.00,270.00,1505.00,505.00,385.00,120.00,1005.00,660.00,65.00,230.00,45.00,1265.00,460.00,355.00,110.00,805.00,405.00,55.00,125.00,225.00
"9330057.02",4415.00,1740.00,1265.00,470.00,2680.00,1755.00,135.00,410.00,385.00,2175.00,865.00,625.00,240.00,1310.00,980.00,65.00,205.00,55.00,2245.00,875.00,640.00,235.00,1370.00,765.00,65.00,205.00,330.00
"9330058.00",4025.00,620.00,440.00,180.00,3400.00,2165.00,300.00,730.00,205.00,2455.00,335.00,235.00,100.00,2125.00,1470.00,130.00,475.00,50.00,1570.00,290.00,205.00,85.00,1280.00,690.00,170.00,255.00,155.00
"9330059.06",7470.00,1820.00,995.00,825.00,5650.00,3985.00,360.00,940.00,365.00,4780.00,995.00,545.00,450.00,3780.00,2825.00,205.00,640.00,115.00,2695.00,825.00,450.00,375.00,1870.00,1160.00,155.00,300.00,250.00
"9330059.07",4490.00,2825.00,2190.00,635.00,1665.00,1025.00,110.00,370.00,160.00,2220.00,1445.00,1090.00,360.00,775.00,575.00,45.00,120.00,35.00,2270.00,1380.00,1095.00,280.00,895.00,455.00,60.00,250.00,125.00
"9330059.08",6155.00,3550.00,2925.00,625.00,2605.00,1660.00,140.00,520.00,285.00,2985.00,1825.00,1485.00,335.00,1170.00,905.00,55.00,160.00,55.00,3165.00,1735.00,1440.00,290.00,1435.00,755.00,85.00,365.00,235.00
"9330059.09",6655.00,2600.00,1545.00,1050.00,4050.00,3305.00,155.00,475.00,120.00,3660.00,1385.00,795.00,590.00,2270.00,1925.00,85.00,235.00,25.00,2995.00,1215.00,755.00,460.00,1780.00,1380.00,65.00,245.00,95.00
"9330059.1",6020.00,2445.00,1475.00,975.00,3570.00,2890.00,130.00,455.00,95.00,3360.00,1315.00,775.00,540.00,2045.00,1690.00,75.00,255.00,30.00,2655.00,1135.00,695.00,435.00,1530.00,1200.00,55.00,205.00,65.00
"9330059.11",6895.00,2925.00,1890.00,1040.00,3970.00,3290.00,150.00,435.00,90.00,3745.00,1535.00,970.00,565.00,2210.00,1910.00,80.00,185.00,30.00,3150.00,1390.00,920.00,475.00,1760.00,1380.00,65.00,250.00,60.00
"9330059.13",4510.00,2130.00,1335.00,790.00,2380.00,1980.00,135.00,210.00,55.00,2385.00,1100.00,680.00,420.00,1285.00,1135.00,40.00,95.00,15.00,2125.00,1025.00,655.00,370.00,1100.00,845.00,90.00,120.00,40.00
"9330059.14",8105.00,4280.00,2990.00,1290.00,3825.00,3045.00,150.00,480.00,150.00,4090.00,2200.00,1515.00,685.00,1890.00,1620.00,70.00,180.00,30.00,4015.00,2080.00,1475.00,610.00,1935.00,1430.00,80.00,300.00,115.00
"9330060.01",3025.00,1330.00,675.00,655.00,1695.00,1320.00,65.00,255.00,50.00,1625.00,720.00,350.00,370.00,905.00,760.00,35.00,105.00,10.00,1395.00,615.00,320.00,290.00,785.00,565.00,30.00,150.00,40.00
