"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23"
"59150070",130.00,55.00,35.00,30.00,5.00,2.90,135.00,115.00,100.00,15.00,25.00,15.00,10.00,115.00,50.00,70.00,25.00,30.00,5.00,20.00,10.00,10.00,0.00
"59150071",155.00,80.00,35.00,25.00,10.00,2.70,150.00,140.00,125.00,15.00,15.00,10.00,0.00,140.00,70.00,65.00,35.00,30.00,10.00,15.00,10.00,5.00,0.00
"59150072",305.00,150.00,80.00,65.00,10.00,2.80,305.00,250.00,210.00,40.00,50.00,40.00,10.00,255.00,120.00,135.00,60.00,60.00,15.00,50.00,25.00,15.00,5.00
"59150073",310.00,145.00,80.00,65.00,20.00,2.90,310.00,265.00,230.00,35.00,40.00,40.00,5.00,265.00,115.00,150.00,65.00,70.00,20.00,45.00,30.00,15.00,5.00
"59150074",220.00,70.00,70.00,70.00,10.00,3.20,220.00,155.00,145.00,10.00,65.00,65.00,0.00,155.00,35.00,120.00,40.00,65.00,15.00,65.00,35.00,30.00,5.00
"59150075",120.00,50.00,25.00,40.00,5.00,3.00,115.00,105.00,85.00,15.00,10.00,5.00,0.00,105.00,45.00,60.00,25.00,35.00,5.00,10.00,5.00,5.00,0.00
"59150076",145.00,60.00,45.00,30.00,10.00,2.90,145.00,125.00,110.00,15.00,20.00,20.00,5.00,125.00,55.00,70.00,35.00,30.00,15.00,20.00,10.00,15.00,0.00
"59150077",115.00,45.00,30.00,30.00,0.00,3.00,115.00,95.00,85.00,10.00,25.00,20.00,5.00,95.00,35.00,60.00,25.00,30.00,5.00,25.00,15.00,5.00,0.00
"59150078",185.00,65.00,60.00,45.00,5.00,3.00,185.00,140.00,130.00,10.00,45.00,35.00,5.00,140.00,40.00,100.00,45.00,50.00,5.00,45.00,30.00,15.00,5.00
"59150079",170.00,75.00,55.00,35.00,5.00,2.90,175.00,140.00,125.00,20.00,30.00,25.00,5.00,145.00,55.00,90.00,50.00,30.00,5.00,30.00,20.00,10.00,5.00
"59150080",85.00,35.00,25.00,20.00,5.00,3.00,85.00,70.00,55.00,10.00,15.00,20.00,0.00,65.00,20.00,45.00,15.00,20.00,10.00,20.00,10.00,5.00,0.00
"59150081",175.00,80.00,40.00,45.00,5.00,2.90,175.00,135.00,120.00,20.00,40.00,30.00,10.00,135.00,60.00,80.00,30.00,40.00,5.00,40.00,25.00,15.00,5.00
"59150082",220.00,115.00,60.00,45.00,5.00,2.80,220.00,185.00,170.00,20.00,30.00,25.00,0.00,190.00,90.00,100.00,50.00,40.00,5.00,35.00,20.00,10.00,0.00
"59150083",160.00,85.00,45.00,20.00,5.00,2.70,155.00,130.00,105.00,20.00,25.00,25.00,5.00,130.00,65.00,60.00,35.00,20.00,5.00,25.00,20.00,10.00,0.00
"59150084",225.00,165.00,40.00,15.00,5.00,2.40,225.00,200.00,155.00,45.00,25.00,20.00,5.00,200.00,140.00,55.00,40.00,20.00,0.00,25.00,25.00,5.00,0.00
"59150085",250.00,180.00,55.00,15.00,5.00,2.40,250.00,220.00,175.00,45.00,30.00,30.00,0.00,225.00,160.00,65.00,45.00,10.00,5.00,30.00,20.00,10.00,0.00
"59150086",170.00,110.00,40.00,10.00,5.00,2.50,170.00,130.00,100.00,25.00,40.00,35.00,5.00,130.00,80.00,55.00,40.00,10.00,5.00,40.00,35.00,5.00,5.00
"59150087",125.00,65.00,35.00,20.00,5.00,2.70,125.00,100.00,75.00,25.00,25.00,20.00,5.00,100.00,55.00,45.00,25.00,15.00,5.00,25.00,15.00,10.00,5.00
"59150088",145.00,80.00,30.00,25.00,10.00,2.80,145.00,105.00,85.00,25.00,40.00,30.00,5.00,105.00,50.00,55.00,20.00,25.00,5.00,40.00,30.00,5.00,0.00
"59150089",165.00,75.00,40.00,45.00,5.00,2.90,165.00,125.00,105.00,20.00,40.00,30.00,5.00,125.00,50.00,75.00,30.00,40.00,10.00,35.00,25.00,5.00,5.00
"59150090",155.00,60.00,40.00,40.00,20.00,3.10,155.00,130.00,115.00,20.00,20.00,20.00,5.00,130.00,50.00,85.00,25.00,40.00,20.00,20.00,15.00,5.00,0.00
"59150091",165.00,100.00,35.00,20.00,5.00,2.60,165.00,125.00,95.00,30.00,40.00,25.00,15.00,120.00,75.00,50.00,30.00,20.00,5.00,40.00,25.00,10.00,0.00
"59150092",115.00,80.00,20.00,15.00,5.00,2.60,120.00,90.00,65.00,25.00,25.00,15.00,10.00,90.00,55.00,35.00,20.00,15.00,5.00,25.00,25.00,0.00,0.00
"59150093",170.00,85.00,45.00,30.00,10.00,2.80,165.00,135.00,125.00,15.00,30.00,25.00,5.00,135.00,65.00,70.00,35.00,30.00,5.00,35.00,20.00,15.00,0.00
"59150094",190.00,90.00,55.00,35.00,5.00,2.80,190.00,150.00,120.00,25.00,40.00,35.00,5.00,145.00,65.00,80.00,40.00,35.00,5.00,40.00,25.00,15.00,5.00
"59150095",135.00,50.00,30.00,40.00,10.00,2.90,130.00,115.00,90.00,20.00,20.00,15.00,5.00,110.00,40.00,75.00,30.00,35.00,10.00,20.00,15.00,5.00,5.00
"59150096",175.00,85.00,35.00,45.00,10.00,2.90,175.00,140.00,120.00,20.00,30.00,25.00,10.00,140.00,60.00,80.00,30.00,45.00,10.00,30.00,20.00,10.00,5.00
"59150097",200.00,85.00,45.00,55.00,15.00,3.00,205.00,170.00,150.00,20.00,35.00,25.00,10.00,165.00,65.00,105.00,40.00,50.00,15.00,35.00,25.00,10.00,0.00
"59150098",125.00,50.00,40.00,30.00,0.00,3.00,120.00,90.00,70.00,15.00,35.00,30.00,5.00,90.00,25.00,65.00,30.00,35.00,0.00,30.00,25.00,10.00,0.00
"59150099",165.00,55.00,50.00,45.00,10.00,3.00,160.00,120.00,95.00,20.00,45.00,35.00,10.00,120.00,25.00,90.00,45.00,40.00,10.00,40.00,25.00,10.00,10.00
"59150100",180.00,75.00,45.00,50.00,15.00,3.00,180.00,140.00,120.00,25.00,35.00,30.00,5.00,145.00,60.00,85.00,30.00,45.00,10.00,35.00,25.00,10.00,5.00
"59150101",130.00,50.00,30.00,45.00,10.00,3.10,130.00,120.00,115.00,5.00,10.00,10.00,0.00,115.00,40.00,75.00,25.00,40.00,10.00,15.00,5.00,5.00,0.00
"59150102",110.00,50.00,20.00,25.00,10.00,3.00,110.00,100.00,95.00,10.00,10.00,10.00,0.00,100.00,45.00,55.00,25.00,25.00,10.00,10.00,5.00,0.00,0.00
"59150103",200.00,75.00,35.00,65.00,20.00,3.20,200.00,185.00,170.00,10.00,20.00,10.00,10.00,180.00,70.00,115.00,30.00,60.00,15.00,20.00,10.00,5.00,5.00
"59150104",150.00,50.00,35.00,50.00,15.00,3.30,155.00,135.00,130.00,5.00,20.00,10.00,5.00,140.00,45.00,90.00,25.00,50.00,15.00,15.00,5.00,5.00,5.00
"59150105",95.00,20.00,30.00,35.00,10.00,3.20,95.00,90.00,80.00,5.00,5.00,10.00,0.00,90.00,20.00,65.00,25.00,40.00,10.00,5.00,0.00,5.00,0.00
"59150106",255.00,95.00,45.00,80.00,35.00,3.20,255.00,230.00,215.00,20.00,25.00,15.00,5.00,235.00,85.00,150.00,40.00,75.00,35.00,20.00,15.00,5.00,0.00
"59150107",135.00,55.00,20.00,45.00,15.00,3.10,135.00,125.00,120.00,10.00,10.00,5.00,5.00,125.00,45.00,75.00,20.00,45.00,15.00,10.00,5.00,0.00,0.00
"59150108",100.00,45.00,20.00,30.00,5.00,2.90,100.00,90.00,80.00,5.00,15.00,10.00,5.00,85.00,35.00,50.00,20.00,25.00,0.00,10.00,5.00,0.00,5.00
"59150109",175.00,75.00,50.00,45.00,10.00,3.00,175.00,155.00,145.00,10.00,20.00,15.00,5.00,155.00,60.00,95.00,40.00,50.00,10.00,20.00,15.00,5.00,0.00
"59150110",155.00,60.00,40.00,40.00,15.00,3.10,155.00,135.00,120.00,15.00,20.00,10.00,5.00,135.00,55.00,85.00,35.00,35.00,15.00,20.00,10.00,5.00,5.00
"59150111",160.00,85.00,35.00,35.00,10.00,2.80,160.00,140.00,130.00,15.00,20.00,20.00,0.00,145.00,75.00,70.00,30.00,30.00,10.00,20.00,10.00,10.00,0.00
"59150112",200.00,70.00,50.00,60.00,25.00,3.20,200.00,190.00,180.00,10.00,15.00,5.00,5.00,185.00,65.00,125.00,45.00,55.00,20.00,15.00,5.00,5.00,0.00
"59150113",235.00,100.00,60.00,65.00,20.00,3.00,235.00,195.00,170.00,25.00,40.00,35.00,5.00,195.00,75.00,120.00,45.00,60.00,15.00,40.00,25.00,10.00,0.00
"59150114",155.00,65.00,40.00,30.00,15.00,3.00,150.00,135.00,115.00,15.00,25.00,20.00,5.00,130.00,55.00,75.00,35.00,25.00,20.00,25.00,10.00,5.00,5.00
"59150115",110.00,35.00,25.00,30.00,15.00,3.30,105.00,100.00,90.00,10.00,10.00,5.00,0.00,100.00,30.00,70.00,25.00,30.00,15.00,5.00,5.00,0.00,0.00
"59150116",135.00,60.00,25.00,35.00,10.00,3.00,135.00,120.00,105.00,15.00,15.00,10.00,5.00,120.00,55.00,70.00,25.00,35.00,10.00,15.00,10.00,5.00,0.00
"59150117",135.00,50.00,30.00,40.00,20.00,3.30,130.00,115.00,105.00,15.00,20.00,15.00,5.00,115.00,35.00,80.00,20.00,40.00,15.00,20.00,10.00,5.00,0.00
"59150118",190.00,75.00,35.00,50.00,20.00,3.10,190.00,165.00,160.00,10.00,20.00,15.00,10.00,165.00,65.00,100.00,30.00,50.00,20.00,25.00,15.00,10.00,5.00
"59150119",210.00,115.00,35.00,45.00,15.00,2.90,210.00,180.00,170.00,10.00,30.00,30.00,5.00,180.00,95.00,85.00,25.00,45.00,15.00,30.00,20.00,5.00,5.00
"59150120",195.00,70.00,45.00,55.00,25.00,3.10,190.00,180.00,170.00,10.00,10.00,10.00,5.00,180.00,65.00,115.00,40.00,60.00,20.00,10.00,5.00,5.00,0.00
"59150121",155.00,60.00,25.00,50.00,20.00,3.30,150.00,135.00,130.00,10.00,20.00,15.00,5.00,135.00,45.00,90.00,20.00,50.00,20.00,20.00,10.00,5.00,0.00
"59150122",155.00,50.00,50.00,45.00,10.00,3.20,150.00,130.00,125.00,5.00,20.00,15.00,5.00,135.00,45.00,90.00,35.00,40.00,10.00,20.00,5.00,10.00,0.00
"59150123",250.00,80.00,60.00,90.00,15.00,3.20,245.00,220.00,210.00,20.00,25.00,15.00,5.00,225.00,65.00,160.00,60.00,90.00,15.00,25.00,20.00,5.00,0.00
"59150124",235.00,80.00,55.00,80.00,20.00,3.20,235.00,200.00,190.00,15.00,35.00,25.00,5.00,200.00,60.00,135.00,35.00,80.00,20.00,35.00,20.00,15.00,0.00
"59150125",145.00,65.00,30.00,45.00,10.00,3.10,145.00,130.00,115.00,10.00,15.00,15.00,5.00,130.00,55.00,75.00,20.00,40.00,10.00,15.00,10.00,5.00,0.00
"59150126",215.00,75.00,45.00,80.00,15.00,3.10,220.00,200.00,190.00,5.00,20.00,15.00,5.00,200.00,65.00,135.00,40.00,75.00,15.00,20.00,10.00,5.00,0.00
"59150127",255.00,100.00,65.00,75.00,10.00,3.10,255.00,235.00,225.00,10.00,20.00,10.00,10.00,235.00,85.00,145.00,55.00,75.00,10.00,20.00,10.00,15.00,0.00
"59150129",150.00,45.00,35.00,45.00,25.00,3.20,145.00,135.00,125.00,10.00,10.00,10.00,5.00,130.00,40.00,90.00,20.00,45.00,20.00,15.00,10.00,5.00,0.00
"59150130",220.00,90.00,60.00,50.00,15.00,3.00,225.00,195.00,180.00,20.00,25.00,20.00,5.00,195.00,70.00,120.00,55.00,50.00,15.00,25.00,20.00,5.00,0.00
"59150131",160.00,75.00,35.00,45.00,15.00,3.00,160.00,145.00,145.00,5.00,10.00,10.00,5.00,145.00,65.00,85.00,30.00,40.00,10.00,15.00,10.00,0.00,0.00
"59150132",250.00,125.00,50.00,55.00,15.00,2.80,245.00,225.00,210.00,20.00,20.00,15.00,5.00,230.00,115.00,115.00,45.00,55.00,20.00,20.00,15.00,5.00,0.00
"59150133",125.00,60.00,35.00,25.00,10.00,2.80,130.00,115.00,105.00,10.00,10.00,10.00,0.00,115.00,50.00,65.00,30.00,25.00,5.00,10.00,10.00,0.00,5.00
"59150134",145.00,70.00,30.00,40.00,10.00,3.00,150.00,135.00,120.00,20.00,10.00,15.00,0.00,135.00,55.00,75.00,30.00,40.00,10.00,15.00,10.00,0.00,0.00
"59150135",170.00,65.00,35.00,55.00,15.00,3.10,170.00,155.00,135.00,20.00,15.00,10.00,10.00,155.00,60.00,100.00,30.00,55.00,10.00,20.00,10.00,5.00,0.00
"59150136",135.00,45.00,30.00,40.00,15.00,3.10,130.00,110.00,100.00,5.00,25.00,20.00,0.00,105.00,30.00,80.00,25.00,40.00,15.00,20.00,15.00,5.00,0.00
"59150137",125.00,85.00,20.00,20.00,5.00,2.50,125.00,110.00,95.00,10.00,20.00,15.00,0.00,105.00,70.00,35.00,15.00,15.00,5.00,20.00,20.00,0.00,5.00
"59150140",130.00,60.00,35.00,30.00,10.00,3.00,130.00,100.00,70.00,20.00,35.00,30.00,5.00,95.00,30.00,65.00,30.00,25.00,10.00,35.00,30.00,5.00,5.00
"59150141",375.00,220.00,105.00,40.00,10.00,2.60,380.00,300.00,240.00,60.00,75.00,65.00,10.00,300.00,170.00,130.00,85.00,40.00,10.00,75.00,55.00,20.00,0.00
"59150142",165.00,75.00,55.00,35.00,5.00,2.80,170.00,150.00,115.00,30.00,20.00,15.00,5.00,145.00,65.00,80.00,50.00,30.00,10.00,20.00,10.00,5.00,0.00
"59150143",140.00,65.00,35.00,35.00,10.00,2.90,140.00,120.00,95.00,20.00,20.00,15.00,5.00,120.00,50.00,65.00,25.00,35.00,10.00,20.00,10.00,5.00,5.00
"59150145",230.00,90.00,65.00,65.00,10.00,3.00,235.00,200.00,170.00,30.00,35.00,25.00,5.00,200.00,70.00,130.00,55.00,60.00,15.00,35.00,20.00,10.00,0.00
"59150146",155.00,50.00,40.00,45.00,15.00,3.10,150.00,140.00,130.00,10.00,15.00,10.00,0.00,135.00,50.00,90.00,30.00,45.00,15.00,15.00,5.00,10.00,0.00
"59150147",125.00,55.00,30.00,30.00,5.00,3.00,125.00,115.00,100.00,15.00,10.00,10.00,5.00,115.00,50.00,65.00,30.00,35.00,10.00,10.00,10.00,5.00,0.00
"59150148",125.00,50.00,25.00,40.00,5.00,3.00,120.00,105.00,90.00,10.00,20.00,15.00,5.00,105.00,35.00,65.00,20.00,35.00,5.00,20.00,15.00,5.00,0.00
"59150152",120.00,65.00,35.00,20.00,5.00,2.70,120.00,80.00,65.00,15.00,35.00,30.00,10.00,85.00,35.00,50.00,30.00,20.00,0.00,40.00,30.00,10.00,0.00
"59150153",195.00,75.00,40.00,65.00,10.00,3.10,195.00,180.00,160.00,20.00,15.00,15.00,0.00,180.00,65.00,115.00,35.00,60.00,10.00,20.00,15.00,5.00,0.00
"59150157",125.00,45.00,25.00,40.00,10.00,3.20,120.00,115.00,105.00,10.00,10.00,10.00,5.00,110.00,40.00,75.00,20.00,40.00,15.00,10.00,5.00,5.00,0.00
"59150158",165.00,65.00,35.00,50.00,10.00,3.00,160.00,145.00,135.00,15.00,15.00,15.00,0.00,145.00,55.00,95.00,30.00,50.00,10.00,15.00,10.00,5.00,5.00
"59150159",200.00,90.00,45.00,50.00,20.00,3.00,200.00,175.00,160.00,15.00,30.00,25.00,5.00,170.00,65.00,110.00,40.00,50.00,20.00,30.00,25.00,5.00,5.00
"59150160",205.00,65.00,55.00,65.00,20.00,3.20,205.00,190.00,170.00,20.00,15.00,10.00,5.00,185.00,55.00,130.00,45.00,65.00,20.00,15.00,15.00,5.00,0.00
"59150161",190.00,75.00,45.00,50.00,20.00,3.20,185.00,170.00,155.00,15.00,15.00,15.00,0.00,170.00,65.00,105.00,35.00,45.00,25.00,15.00,10.00,10.00,5.00
"59150162",125.00,55.00,30.00,35.00,10.00,3.00,125.00,115.00,95.00,20.00,10.00,5.00,5.00,115.00,50.00,65.00,25.00,35.00,10.00,15.00,10.00,5.00,0.00
"59150163",170.00,55.00,40.00,60.00,15.00,3.30,175.00,145.00,130.00,15.00,30.00,20.00,5.00,145.00,45.00,100.00,25.00,60.00,15.00,30.00,15.00,15.00,5.00
