SERIALNO,DVISION,SPORDER,PUMA,REGION,AGE,SEX,RACE,PWGTP1
2018GQ0003915,5,1,51085,3,80_89,f,white,13
2018GQ0003937,5,1,51087,3,20_29,m,white,2
2018GQ0003940,5,1,51165,3,40_49,m,white,13
2018GQ0003948,5,1,51186,3,10_19,f,nat.hi.pt.isl,174
2018GQ0003959,5,1,51105,3,30_39,m,black.aa,138
2018GQ0003974,5,1,51040,3,10_19,f,white,26
2018GQ0004054,5,1,51105,3,10_19,m,black.aa,69
2018GQ0004072,5,1,51040,3,10_19,f,nat.hi.pt.isl,89
2018GQ0004079,5,1,51167,3,30_39,f,two.,60
2018GQ0004087,5,1,51154,3,10_19,f,white,7
2018GQ0004134,5,1,51206,3,60_69,m,white,15
2018GQ0004274,5,1,59306,3,80_89,f,white,2
2018GQ0004314,5,1,51080,3,10_19,f,white,38
2018GQ0004330,5,1,51096,3,90_99,f,white,27
2018GQ0004344,5,1,51105,3,10_19,f,black.aa,18
2018GQ0004416,5,1,51040,3,10_19,m,white,81
2018GQ0004567,5,1,51087,3,20_29,m,white,2
2018GQ0004617,5,1,51135,3,50_59,m,black.aa,130
2018GQ0004675,5,1,59306,3,80_89,m,white,2
2018GQ0004704,5,1,51045,3,70_79,m,white,61
2018GQ0004754,5,1,51105,3,10_19,m,white,7
2018GQ0004784,5,1,51215,3,20_29,m,black.aa,17
2018GQ0004792,5,1,51215,3,10_19,m,black.aa,0
2018GQ0004833,5,1,4103,3,10_19,m,white,2
2018GQ0004839,5,1,51105,3,40_49,m,black.aa,77
2018GQ0004848,5,1,51145,3,90_99,m,white,2
2018GQ0004852,5,1,51044,3,20_29,m,white,17
2018GQ0004902,5,1,51105,3,50_59,m,black.aa,9
2018GQ0004909,5,1,51235,3,10_19,f,white,109
2018GQ0004926,5,1,55001,3,60_69,f,black.aa,87
2018GQ0004935,5,1,51096,3,20_29,f,black.aa,103
2018GQ0004958,5,1,51010,3,40_49,m,white,81
2018GQ0004990,5,1,51105,3,30_39,m,black.aa,6
2018GQ0004995,5,1,51110,3,10_19,m,asian,6
2018GQ0005017,5,1,51044,3,80_89,f,white,228
2018GQ0005041,5,1,51080,3,20_29,m,asian,5
2018GQ0005059,5,1,51105,3,30_39,m,black.aa,65
2018GQ0005086,5,1,1302,3,20_29,m,white,271
2018GQ0005236,5,1,51089,3,30_39,f,white,78
2018GQ0005248,5,1,51120,3,30_39,f,black.aa,53
2018GQ0005256,5,1,51154,3,20_29,f,black.aa,7
2018GQ0005316,5,1,59303,3,90_99,f,white,3
2018GQ0005339,5,1,51090,3,20_29,m,asian,5
2018GQ0005404,5,1,51135,3,50_59,m,black.aa,100
2018GQ0005417,5,1,51186,3,20_29,m,white,91
2018GQ0005433,5,1,51215,3,10_19,f,white,2
2018GQ0005475,5,1,51080,3,20_29,m,white,94
2018GQ0005487,5,1,51235,3,60_69,f,white,10
2018GQ0005539,5,1,51105,3,10_19,f,white,151
2018GQ0005547,5,1,51020,3,10_19,m,two.,11
2018GQ0005565,5,1,51135,3,10_19,m,black.aa,6
2018GQ0005575,5,1,51235,3,10_19,f,black.aa,16
2018GQ0005585,5,1,51154,3,10_19,f,black.aa,6
2018GQ0005598,5,1,51040,3,10_19,f,white,88
2018GQ0005631,5,1,4103,3,10_19,m,black.aa,0
2018GQ0005785,5,1,51186,3,10_19,m,black.aa,8
2018GQ0005880,5,1,51135,3,80_89,m,white,17
2018GQ0005882,5,1,51206,3,10_19,m,asian,13
2018GQ0005911,5,1,51175,3,10_19,f,white,119
2018GQ0005927,5,1,51105,3,20_29,m,black.aa,27
2018GQ0005969,5,1,51154,3,10_19,f,black.aa,11
2018GQ0006023,5,1,51084,3,10_19,m,black.aa,15
2018GQ0006024,5,1,51115,3,20_29,f,white,72
2018GQ0006075,5,1,51135,3,30_39,m,white,36
2018GQ0006086,5,1,51186,3,90_99,f,black.aa,0
2018GQ0006134,5,1,51090,3,20_29,f,white,86
2018GQ0006173,5,1,51020,3,60_69,m,white,204
2018GQ0006266,5,1,51154,3,20_29,m,white,153
2018GQ0006300,5,1,51115,3,10_19,m,two.,69
2018GQ0006369,5,1,51135,3,20_29,f,black.aa,30
2018GQ0006391,5,1,51010,3,20_29,f,white,163
2018GQ0006394,5,1,51245,3,30_39,m,white,14
2018GQ0006402,5,1,51010,3,70_79,f,black.aa,184
2018GQ0006417,5,1,51096,3,10_19,m,white,5
2018GQ0006424,5,1,55002,3,40_49,m,black.aa,21
2018GQ0006428,5,1,1302,3,50_59,f,white,130
2018GQ0006469,5,1,51040,3,10_19,f,nat.hi.pt.isl,26
2018GQ0006485,5,1,51090,3,20_29,f,asian,102
2018GQ0006504,5,1,51135,3,20_29,m,black.aa,65
2018GQ0006545,5,1,51125,3,40_49,m,white,27
2018GQ0006589,5,1,51080,3,40_49,f,white,18
2018GQ0006595,5,1,51115,3,20_29,f,white,85
2018GQ0006620,5,1,51085,3,20_29,m,white,45
2018GQ0006634,5,1,51085,3,90_99,f,white,12
2018GQ0006681,5,1,51115,3,10_19,f,other,91
2018GQ0006703,5,1,51154,3,20_29,m,white,86
2018GQ0006756,5,1,4102,3,10_19,m,black.aa,2
2018GQ0006757,5,1,51155,3,40_49,m,black.aa,9
2018GQ0006782,5,1,51010,3,80_89,m,white,6
2018GQ0006806,5,1,51175,3,10_19,f,white,5
2018GQ0006829,5,1,51090,3,10_19,f,two.,33
2018GQ0006854,5,1,59303,3,20_29,f,white,10
2018GQ0006863,5,1,51154,3,20_29,m,white,34
2018GQ0006864,5,1,51110,3,30_39,m,white,55
2018GQ0006953,5,1,51135,3,40_49,f,white,112
2018GQ0006996,5,1,51096,3,10_19,f,white,21
2018GQ0007164,5,1,51154,3,20_29,f,two.,6
2018GQ0007174,5,1,51097,3,10_19,m,black.aa,112
2018GQ0007259,5,1,51045,3,10_19,m,black.aa,80
2018GQ0007279,5,1,51087,3,30_39,m,white,7
2018GQ0007354,5,1,51045,3,20_29,m,white,156
2018GQ0007417,5,1,51175,3,50_59,f,black.aa,10
2018GQ0007423,5,1,51105,3,20_29,m,white,14
2018GQ0007424,5,1,51040,3,10_19,m,white,4
2018GQ0007438,5,1,51135,3,50_59,m,two.,18
2018GQ0007466,5,1,51154,3,20_29,f,two.,71
2018GQ0007471,5,1,51080,3,60_69,m,white,98
2018GQ0007521,5,1,51155,3,10_19,m,black.aa,8
2018GQ0007524,5,1,51154,3,80_89,f,black.aa,71
2018GQ0007604,5,1,51040,3,20_29,f,white,76
2018GQ0007703,5,1,51110,3,10_19,f,white,152
2018GQ0007747,5,1,51020,3,60_69,f,white,10
2018GQ0007759,5,1,51167,3,30_39,f,white,4
2018GQ0007876,5,1,51115,3,20_29,m,black.aa,21
2018GQ0007921,5,1,51206,3,20_29,f,white,68
2018GQ0007976,5,1,51154,3,20_29,m,white,66
2018GQ0008012,5,1,51245,3,50_59,m,black.aa,15
2018GQ0008023,5,1,51080,3,20_29,m,white,80
2018GQ0008081,5,1,51135,3,50_59,m,black.aa,14
2018GQ0008088,5,1,51235,3,10_19,m,asian,137
2018GQ0008147,5,1,51110,3,30_39,m,white,37
2018GQ0008156,5,1,51135,3,30_39,m,black.aa,146
2018GQ0008171,5,1,51135,3,50_59,m,black.aa,76
2018GQ0008245,5,1,51154,3,10_19,m,black.aa,8
2018GQ0008268,5,1,51105,3,20_29,m,white,5
2018GQ0008277,5,1,51020,3,80_89,f,white,172
2018GQ0008335,5,1,51186,3,10_19,m,black.aa,72
2018GQ0008342,5,1,51154,3,20_29,f,black.aa,1
2018GQ0008373,5,1,51110,3,10_19,f,white,38
2018GQ0008379,5,1,51145,3,30_39,m,black.aa,26
2018GQ0008392,5,1,51154,3,20_29,f,white,6
2018GQ0008488,5,1,51110,3,10_19,f,white,124
2018GQ0008550,5,1,55002,3,50_59,m,white,70
2018GQ0008551,5,1,51235,3,60_69,m,white,2
2018GQ0008597,5,1,51010,3,50_59,m,black.aa,7
2018GQ0008599,5,1,55002,3,50_59,f,white,4
2018GQ0008683,5,1,51154,3,20_29,f,black.aa,4
2018GQ0008705,5,1,51125,3,80_89,m,black.aa,29
2018GQ0008791,5,1,51206,3,20_29,m,white,93
2018GQ0008793,5,1,51125,3,50_59,m,black.aa,39
2018GQ0008802,5,1,59303,3,20_29,f,white,3
2018GQ0008813,5,1,51235,3,10_19,f,black.aa,77
2018GQ0008819,5,1,51125,3,70_79,m,white,9
2018GQ0008947,5,1,51235,3,20_29,m,black.aa,21
2018GQ0009048,5,1,51167,3,10_19,m,black.aa,63
2018GQ0009056,5,1,51164,3,20_29,f,black.aa,0
2018GQ0009070,5,1,51097,3,70_79,f,white,88
2018GQ0009116,5,1,51096,3,20_29,m,white,15
2018GQ0009137,5,1,51040,3,20_29,f,white,201
2018GQ0009177,5,1,51040,3,50_59,m,white,2
2018GQ0009206,5,1,51246,3,30_39,f,black.aa,208
2018GQ0009233,5,1,51135,3,30_39,m,black.aa,36
2018GQ0009261,5,1,51105,3,20_29,m,white,17
2018GQ0009349,5,1,51120,3,40_49,m,white,99
2018GQ0009355,5,1,51097,3,80_89,f,black.aa,42
2018GQ0009356,5,1,51020,3,50_59,f,white,99
2018GQ0009371,5,1,51105,3,60_69,f,black.aa,71
2018GQ0009380,5,1,51175,3,10_19,f,white,101
2018GQ0009412,5,1,51096,3,80_89,f,white,34
2018GQ0009467,5,1,51120,3,20_29,f,black.aa,152
2018GQ0009491,5,1,51206,3,10_19,f,asian,164
2018GQ0009496,5,1,51045,3,20_29,m,black.aa,103
2018GQ0009538,5,1,51096,3,20_29,m,white,34
2018GQ0009640,5,1,51155,3,10_19,m,black.aa,21
2018GQ0009699,5,1,59303,3,30_39,m,black.aa,184
2018GQ0009724,5,1,51096,3,20_29,m,white,15
2018GQ0009870,5,1,51164,3,20_29,m,white,114
2018GQ0009941,5,1,51206,3,20_29,f,white,4
2018GQ0009959,5,1,51040,3,10_19,m,white,4
2018GQ0010058,5,1,51245,3,20_29,m,black.aa,129
2018GQ0010062,5,1,51115,3,20_29,m,white,5
2018GQ0010072,5,1,51235,3,10_19,f,white,76
2018GQ0010075,5,1,55002,3,10_19,m,black.aa,116
2018GQ0010141,5,1,51010,3,20_29,m,black.aa,2
2018GQ0010143,5,1,51105,3,50_59,m,white,91
2018GQ0010145,5,1,51040,3,10_19,f,white,72
2018GQ0010157,5,1,51115,3,20_29,m,other,207
2018GQ0010184,5,1,51097,3,20_29,m,white,6
2018GQ0010240,5,1,51154,3,10_19,f,other,28
2018GQ0010277,5,1,51090,3,20_29,f,white,9
2018GQ0010345,5,1,51105,3,20_29,m,white,38
2018GQ0010355,5,1,51040,3,10_19,f,white,115
2018GQ0010396,5,1,51235,3,10_19,f,asian,49
2018GQ0010405,5,1,51090,3,10_19,f,black.aa,5
2018GQ0010437,5,1,51085,3,80_89,f,white,73
2018GQ0010462,5,1,51110,3,20_29,m,white,2
2018GQ0010493,5,1,51020,3,40_49,m,white,139
2018GQ0010501,5,1,51096,3,10_19,f,white,43
2018GQ0010574,5,1,51215,3,40_49,m,white,23
2018GQ0010587,5,1,55002,3,30_39,f,black.aa,88
2018GQ0010588,5,1,59301,3,50_59,m,black.aa,38
2018GQ0010629,5,1,51105,3,30_39,m,black.aa,19
2018GQ0010638,5,1,51206,3,20_29,m,white,205
2018GQ0010643,5,1,51154,3,10_19,m,black.aa,82
2018GQ0010694,5,1,51206,3,10_19,m,white,83
2018GQ0010700,5,1,4103,3,10_19,m,black.aa,101
2018GQ0010754,5,1,51080,3,30_39,m,white,21
2018GQ0010801,5,1,51097,3,50_59,m,black.aa,105
2018GQ0010806,5,1,51155,3,0_9,m,black.aa,2
2018GQ0010845,5,1,51090,3,10_19,m,white,30
2018GQ0010852,5,1,51235,3,30_39,f,white,2
2018GQ0010860,5,1,51164,3,70_79,f,white,36
2018GQ0010878,5,1,51090,3,10_19,m,white,35
2018GQ0010921,5,1,51235,3,20_29,f,white,65
2018GQ0010997,5,1,51045,3,40_49,m,white,53
2018GQ0011031,5,1,51040,3,70_79,f,white,34
2018GQ0011057,5,1,51090,3,20_29,f,white,19
2018GQ0011060,5,1,51105,3,80_89,f,white,59
2018GQ0011100,5,1,55002,3,20_29,m,white,129
2018GQ0011138,5,1,4101,3,90_99,m,white,133
2018GQ0011144,5,1,51105,3,20_29,m,white,91
2018GQ0011172,5,1,4103,3,20_29,f,white,37
2018GQ0011184,5,1,51020,3,80_89,f,white,1
2018GQ0011189,5,1,51110,3,20_29,m,white,116
2018GQ0011199,5,1,51186,3,10_19,m,black.aa,45
2018GQ0011208,5,1,51084,3,40_49,m,black.aa,4
2018GQ0011211,5,1,51115,3,20_29,f,white,155
2018GQ0011264,5,1,51206,3,20_29,m,white,78
2018GQ0011305,5,1,51206,3,10_19,f,white,64
2018GQ0011322,5,1,51155,3,20_29,m,white,34
2018GQ0011387,5,1,51110,3,10_19,f,white,43
2018GQ0011487,5,1,59305,3,40_49,m,white,2
2018GQ0011574,5,1,51097,3,30_39,m,two.,13
2018GQ0011585,5,1,51096,3,10_19,m,white,4
2018GQ0011597,5,1,51105,3,20_29,m,white,63
2018GQ0011758,5,1,51154,3,20_29,m,white,6
2018GQ0011823,5,1,1302,3,20_29,m,white,5
2018GQ0011854,5,1,51186,3,20_29,m,white,205
2018GQ0011909,5,1,51105,3,30_39,m,white,95
2018GQ0011939,5,1,59303,3,60_69,m,white,33
2018GQ0012017,5,1,51010,3,20_29,m,white,178
2018GQ0012039,5,1,51135,3,50_59,m,black.aa,141
2018GQ0012066,5,1,51089,3,70_79,f,white,10
2018GQ0012124,5,1,51155,3,80_89,m,white,7
2018GQ0012129,5,1,55002,3,30_39,m,black.aa,33
2018GQ0012218,5,1,51145,3,30_39,m,white,198
2018GQ0012247,5,1,51154,3,20_29,m,white,7
2018GQ0012314,5,1,1302,3,20_29,m,white,444
2018GQ0012375,5,1,51155,3,60_69,m,white,1
2018GQ0012504,5,1,51154,3,60_69,m,white,11
2018GQ0012505,5,1,51087,3,20_29,m,white,2
2018GQ0012523,5,1,51087,3,40_49,m,white,9
2018GQ0012536,5,1,51080,3,20_29,m,white,82
2018GQ0012548,5,1,1302,3,30_39,m,white,5
2018GQ0012594,5,1,51110,3,10_19,f,white,91
2018GQ0012633,5,1,51010,3,50_59,m,white,9
2018GQ0012674,5,1,51020,3,30_39,m,white,25
2018GQ0012737,5,1,59308,3,90_99,f,white,14
2018GQ0012746,5,1,55002,3,30_39,m,black.aa,13
2018GQ0012808,5,1,51224,3,20_29,f,black.aa,11
2018GQ0012867,5,1,51040,3,20_29,f,white,2
2018GQ0012885,5,1,51167,3,20_29,f,two.,22
2018GQ0012915,5,1,51125,3,20_29,m,black.aa,23
2018GQ0012942,5,1,51040,3,10_19,f,two.,102
2018GQ0012950,5,1,51010,3,60_69,m,white,80
2018GQ0012964,5,1,51010,3,70_79,f,white,4
2018GQ0012981,5,1,51090,3,10_19,f,white,7
2018GQ0012987,5,1,51097,3,20_29,m,black.aa,13
2018GQ0013056,5,1,51096,3,10_19,m,black.aa,26
2018GQ0013071,5,1,51135,3,40_49,m,white,115
2018GQ0013089,5,1,59303,3,20_29,m,black.aa,40
2018GQ0013123,5,1,1301,3,70_79,f,white,37
2018GQ0013221,5,1,55002,3,50_59,m,black.aa,146
2018GQ0013226,5,1,51096,3,40_49,m,black.aa,5
2018GQ0013248,5,1,51044,3,10_19,f,black.aa,64
2018GQ0013256,5,1,51097,3,80_89,f,black.aa,119
2018GQ0013268,5,1,51105,3,30_39,m,black.aa,44
2018GQ0013303,5,1,51097,3,40_49,m,black.aa,2
2018GQ0013341,5,1,51215,3,10_19,m,white,26
2018GQ0013350,5,1,51044,3,20_29,f,white,12
2018GQ0013379,5,1,51085,3,90_99,f,white,85
2018GQ0013381,5,1,51135,3,20_29,m,black.aa,16
2018GQ0013384,5,1,51044,3,10_19,f,a.ind..nat.ak,14
2018GQ0013411,5,1,51135,3,50_59,f,black.aa,33
2018GQ0013508,5,1,51040,3,10_19,f,white,4
2018GQ0013631,5,1,51010,3,60_69,m,black.aa,11
2018GQ0013649,5,1,51215,3,20_29,f,black.aa,120
2018GQ0013653,5,1,51255,3,30_39,m,black.aa,115
2018GQ0013671,5,1,51096,3,10_19,m,asian,62
2018GQ0013684,5,1,51206,3,20_29,m,a.ind..nat.ak,99
2018GQ0013729,5,1,51080,3,30_39,m,white,79
2018GQ0013753,5,1,59303,3,20_29,m,white,9
2018GQ0013774,5,1,51089,3,10_19,m,white,201
2018GQ0013814,5,1,51010,3,30_39,m,white,29
2018GQ0013835,5,1,55002,3,50_59,m,black.aa,74
2018GQ0013852,5,1,55001,3,40_49,m,white,8
2018GQ0013911,5,1,59303,3,10_19,m,white,67
2018GQ0013984,5,1,51080,3,10_19,m,asian,63
2018GQ0014011,5,1,51045,3,10_19,f,white,108
2018GQ0014060,5,1,51164,3,10_19,f,white,151
2018GQ0014107,5,1,51040,3,20_29,f,black.aa,165
2018GQ0014111,5,1,51080,3,30_39,m,two.,89
2018GQ0014149,5,1,51154,3,20_29,f,black.aa,10
2018GQ0014205,5,1,51154,3,10_19,m,white,43
2018GQ0014283,5,1,51080,3,20_29,m,white,8
2018GQ0014345,5,1,51135,3,20_29,m,white,63
2018GQ0014347,5,1,51186,3,20_29,m,white,23
2018GQ0014360,5,1,51020,3,40_49,m,black.aa,25
2018GQ0014364,5,1,51080,3,20_29,m,black.aa,23
2018GQ0014403,5,1,51164,3,20_29,f,white,110
2018GQ0014466,5,1,51225,3,30_39,m,black.aa,72
2018GQ0014484,5,1,51095,3,80_89,f,white,81
2018GQ0014491,5,1,51135,3,40_49,m,white,132
2018GQ0014493,5,1,51097,3,10_19,m,black.aa,28
2018GQ0014546,5,1,51080,3,30_39,m,black.aa,9
2018GQ0014690,5,1,51045,3,10_19,f,white,7
2018GQ0014717,5,1,51105,3,20_29,m,white,6
2018GQ0014795,5,1,51154,3,10_19,f,white,217
2018GQ0014813,5,1,51105,3,40_49,m,black.aa,116
2018GQ0014815,5,1,51186,3,10_19,f,black.aa,43
2018GQ0014837,5,1,51154,3,10_19,f,black.aa,95
2018GQ0014842,5,1,51080,3,20_29,m,white,62
2018GQ0014880,5,1,51096,3,10_19,f,white,136
2018GQ0014961,5,1,51085,3,20_29,m,white,59
2018GQ0015024,5,1,51175,3,20_29,m,white,35
2018GQ0015070,5,1,51135,3,20_29,f,white,66
2018GQ0015222,5,1,51105,3,20_29,m,white,137
2018GQ0015270,5,1,51215,3,40_49,m,black.aa,18
2018GQ0015508,5,1,51080,3,30_39,m,black.aa,81
2018GQ0015558,5,1,51010,3,20_29,m,black.aa,62
2018GQ0015585,5,1,51206,3,10_19,f,white,60
2018GQ0015676,5,1,59303,3,20_29,m,white,6
2018GQ0015736,5,1,51044,3,30_39,m,black.aa,9
2018GQ0015775,5,1,51206,3,10_19,f,white,27
2018GQ0015791,5,1,51097,3,70_79,m,white,40
2018GQ0015804,5,1,51186,3,10_19,f,black.aa,74
2018GQ0015874,5,1,59303,3,10_19,m,white,86
2018GQ0015894,5,1,51154,3,10_19,m,white,254
2018GQ0015902,5,1,51154,3,20_29,m,two.,13
2018GQ0015920,5,1,51135,3,50_59,m,black.aa,130
2018GQ0016002,5,1,51235,3,10_19,m,white,61
2018GQ0016196,5,1,51186,3,10_19,f,black.aa,72
2018GQ0016208,5,1,51096,3,60_69,f,white,172
2018GQ0016258,5,1,51206,3,80_89,m,white,75
2018GQ0016422,5,1,51135,3,10_19,f,white,8
2018GQ0016489,5,1,59303,3,20_29,f,two.,54
2018GQ0016521,5,1,51175,3,20_29,m,white,5
2018GQ0016565,5,1,51125,3,50_59,m,white,74
2018GQ0016600,5,1,55002,3,60_69,f,black.aa,102
2018GQ0016697,5,1,55002,3,50_59,m,black.aa,101
2018GQ0016698,5,1,51044,3,70_79,f,a.ind..nat.ak,37
2018GQ0016866,5,1,51120,3,80_89,m,white,19
2018GQ0016883,5,1,51096,3,40_49,f,white,20
2018GQ0016895,5,1,51084,3,30_39,f,white,44
2018GQ0016942,5,1,51096,3,60_69,m,white,6
2018GQ0016945,5,1,55002,3,40_49,m,white,43
2018GQ0016949,5,1,51225,3,30_39,m,black.aa,85
2018GQ0016994,5,1,51167,3,40_49,m,black.aa,61
2018GQ0016999,5,1,59303,3,10_19,f,white,44
2018GQ0017051,5,1,51010,3,10_19,m,white,9
2018GQ0017075,5,1,59303,3,10_19,m,white,2
2018GQ0017112,5,1,51040,3,10_19,m,white,7
2018GQ0017142,5,1,51225,3,90_99,f,white,19
2018GQ0017179,5,1,51206,3,20_29,f,black.aa,74
2018GQ0017185,5,1,51085,3,70_79,m,black.aa,82
2018GQ0017275,5,1,55001,3,60_69,f,white,6
2018GQ0017286,5,1,51105,3,20_29,m,white,31
2018GQ0017334,5,1,51110,3,60_69,m,white,3
2018GQ0017360,5,1,51206,3,20_29,f,black.aa,4
2018GQ0017465,5,1,51087,3,90_99,f,white,42
2018GQ0017488,5,1,51215,3,20_29,f,white,38
2018GQ0017522,5,1,51154,3,20_29,m,white,11
2018GQ0017559,5,1,51089,3,40_49,m,white,141
2018GQ0017565,5,1,51154,3,20_29,m,white,7
2018GQ0017582,5,1,51105,3,40_49,m,black.aa,6
2018GQ0017596,5,1,51090,3,20_29,f,white,82
2018GQ0017605,5,1,51235,3,40_49,m,white,164
2018GQ0017606,5,1,51087,3,30_39,m,white,11
2018GQ0017752,5,1,51090,3,80_89,m,white,72
2018GQ0017754,5,1,51020,3,30_39,m,black.aa,21
2018GQ0017796,5,1,51125,3,90_99,f,white,7
2018GQ0017811,5,1,51235,3,10_19,m,black.aa,58
2018GQ0017817,5,1,51135,3,60_69,m,black.aa,9
2018GQ0017829,5,1,51175,3,20_29,m,white,171
2018GQ0017854,5,1,4101,3,80_89,m,white,2
2018GQ0017916,5,1,51080,3,50_59,m,white,79
2018GQ0017983,5,1,51105,3,60_69,m,black.aa,72
2018GQ0018031,5,1,51235,3,10_19,f,white,129
2018GQ0018039,5,1,51020,3,30_39,m,white,142
2018GQ0018061,5,1,51044,3,20_29,m,white,0
