"geo_id","block_group_name","population","m0_9","m10_19","m20_29","m30_39","m40_49","m50_59","m60_69","m70_79","m80_89","f0_9","f10_19","f20_29","f30_39","f40_49","f50_59","f60_69","f70_79","f80_89","m","f","white","black.aa","a.ind..nat.ak","asian","nat.hi.pt.isl","other","two."
"1400000US51059420700","Census Tract 4207, Fairfax County, Virginia","4662",276,296,226,278,335,317,220,141,105,359,325,276,275,341,361,281,194,56,2194,2468,3006,451,0,716,0,66,423
"1400000US51059451300","Census Tract 4513, Fairfax County, Virginia","2510",129,218,64,125,225,253,118,85,21,104,178,147,141,251,192,138,59,62,1238,1272,1982,52,0,352,0,4,120
"1400000US51059422000","Census Tract 4220, Fairfax County, Virginia","3661",218,151,272,201,256,290,161,37,218,173,251,160,288,257,200,128,151,249,1804,1857,1584,1248,6,459,0,205,159
"1400000US51059432600","Census Tract 4326, Fairfax County, Virginia","4844",368,446,112,175,453,354,349,170,12,312,321,225,255,406,343,330,156,57,2439,2405,3164,559,43,783,0,54,241
"1400000US51059451400","Census Tract 4514, Fairfax County, Virginia","3249",250,140,331,378,224,56,127,86,32,285,122,203,360,206,150,102,105,92,1624,1625,1682,159,0,506,0,867,35
"1400000US51059460400","Census Tract 4604, Fairfax County, Virginia","5181",399,241,434,318,415,320,348,172,65,317,314,217,255,389,298,404,191,84,2712,2469,3158,277,0,1365,0,12,369
"1400000US51059480100","Census Tract 4801, Fairfax County, Virginia","4060",184,308,157,34,250,369,313,220,53,161,356,143,107,272,431,352,230,120,1888,2172,3336,29,31,490,0,60,114
"1400000US51059492300","Census Tract 4923, Fairfax County, Virginia","3436",180,399,161,241,309,197,161,72,0,269,274,184,214,212,296,160,99,8,1720,1716,2441,238,0,410,6,71,270
"1400000US51059481600","Census Tract 4816, Fairfax County, Virginia","3282",173,337,85,105,198,285,238,209,21,213,222,139,138,225,322,200,150,22,1651,1631,2916,0,0,290,0,0,76
"1400000US51059430600","Census Tract 4306, Fairfax County, Virginia","7468",605,454,596,744,529,281,474,147,89,187,673,666,548,364,538,342,92,139,3919,3549,3728,583,55,1979,0,1081,42
"1400000US51059431500","Census Tract 4315, Fairfax County, Virginia","5481",491,438,209,302,362,357,314,176,60,302,395,163,378,431,411,466,141,85,2709,2772,4187,444,8,672,0,36,134
"1400000US51059431600","Census Tract 4316, Fairfax County, Virginia","8483",300,547,482,438,404,578,326,152,487,418,534,427,372,617,460,359,337,1245,3714,4769,5047,1151,19,1809,0,169,288
"1400000US51059450800","Census Tract 4508, Fairfax County, Virginia","3447",87,183,195,179,273,286,258,68,123,248,197,191,182,207,289,227,123,131,1652,1795,2051,157,40,1028,0,19,152
"1400000US51059450900","Census Tract 4509, Fairfax County, Virginia","1701",121,49,130,135,94,139,127,62,27,93,55,108,98,94,149,84,93,43,884,817,1301,49,5,234,0,70,42
"1400000US51059451000","Census Tract 4510, Fairfax County, Virginia","2658",199,121,77,257,133,203,205,55,72,75,156,98,161,190,241,198,57,160,1322,1336,2009,107,0,371,0,93,78
"1400000US51059451200","Census Tract 4512, Fairfax County, Virginia","1644",76,122,59,49,144,111,156,81,41,46,110,82,30,127,139,156,58,57,839,805,1429,49,3,124,3,12,24
"1400000US51059451800","Census Tract 4518, Fairfax County, Virginia","3683",279,146,327,268,170,293,145,135,79,167,162,224,228,175,306,294,216,69,1842,1841,1959,225,0,718,0,431,350
"1400000US51059460200","Census Tract 4602, Fairfax County, Virginia","4158",312,327,101,180,218,367,355,145,85,219,274,260,177,233,390,293,166,56,2090,2068,3487,42,0,406,0,26,197
"1400000US51059461000","Census Tract 4610, Fairfax County, Virginia","2586",193,222,146,78,173,207,148,71,25,171,217,115,108,224,241,133,38,76,1263,1323,1971,133,0,277,0,0,205
"1400000US51059461100","Census Tract 4611, Fairfax County, Virginia","7189",654,608,189,328,518,499,488,283,81,289,641,262,334,568,616,415,324,92,3648,3541,5209,143,0,1181,0,363,293
"1400000US51059481500","Census Tract 4815, Fairfax County, Virginia","2253",81,125,86,77,170,185,190,156,41,108,174,71,71,166,217,179,133,23,1111,1142,1893,99,0,196,0,0,65
"1400000US51059482400","Census Tract 4824, Fairfax County, Virginia","2292",177,133,79,82,190,170,187,92,30,155,207,27,74,217,214,130,98,30,1140,1152,1926,21,0,261,0,11,73
"1400000US51059415900","Census Tract 4159, Fairfax County, Virginia","3310",188,146,87,179,198,251,241,111,53,242,230,104,156,311,292,277,91,153,1454,1856,2639,152,10,272,0,30,207
"1400000US51059416100","Census Tract 4161, Fairfax County, Virginia","3623",213,225,120,173,189,380,287,211,52,161,174,128,186,270,340,235,173,106,1850,1773,3053,124,0,183,0,93,170
"1400000US51059420100","Census Tract 4201, Fairfax County, Virginia","4254",282,246,418,290,352,272,212,126,100,193,315,145,191,248,382,216,122,144,2298,1956,2605,545,0,750,0,212,142
"1400000US51059420300","Census Tract 4203, Fairfax County, Virginia","6186",621,311,323,229,573,521,199,165,41,297,550,287,479,494,398,370,223,105,2983,3203,4172,928,0,590,0,343,153
"1400000US51059421400","Census Tract 4214, Fairfax County, Virginia","9151",830,552,670,1182,424,316,483,140,30,926,535,739,1013,399,452,316,116,28,4627,4524,4009,1760,0,1169,0,1760,453
"1400000US51059421800","Census Tract 4218, Fairfax County, Virginia","6623",513,469,806,679,385,354,246,11,5,275,514,538,482,513,545,270,10,8,3468,3155,2886,2537,3,493,22,242,440
"1400000US51059430500","Census Tract 4305, Fairfax County, Virginia","1792",89,126,138,171,85,106,64,65,31,98,62,135,117,147,144,65,89,60,875,917,1164,107,0,452,0,0,69
"1400000US51059431900","Census Tract 4319, Fairfax County, Virginia","3174",190,232,174,121,153,340,223,115,41,101,268,193,127,209,229,254,113,91,1589,1585,2460,90,12,463,0,51,98
"1400000US51059432500","Census Tract 4325, Fairfax County, Virginia","5696",313,523,195,358,410,504,356,176,18,387,331,199,296,453,502,394,183,98,2853,2843,4421,396,13,633,0,0,233
"1400000US51059491000","Census Tract 4910, Fairfax County, Virginia","1815",99,154,65,53,102,197,124,46,12,108,211,88,44,129,233,134,10,6,852,963,1391,51,0,283,0,0,90
"1400000US51059470500","Census Tract 4705, Fairfax County, Virginia","5351",425,366,236,232,387,417,321,128,200,371,342,87,187,515,350,405,184,198,2712,2639,3775,69,0,1303,0,0,204
"1400000US51059460900","Census Tract 4609, Fairfax County, Virginia","2521",155,243,36,115,201,209,153,47,80,163,203,72,116,204,230,146,85,63,1239,1282,2076,0,0,314,0,34,97
"1400000US51059415401","Census Tract 4154.01, Fairfax County, Virginia","4968",296,540,434,492,235,250,311,13,51,376,67,283,530,500,386,145,28,31,2622,2346,2996,991,39,251,0,617,74
"1400000US51059415402","Census Tract 4154.02, Fairfax County, Virginia","2966",137,121,200,140,162,267,234,151,46,187,178,72,168,215,313,177,131,67,1458,1508,1999,510,0,126,0,154,177
"1400000US51059420201","Census Tract 4202.01, Fairfax County, Virginia","4165",289,290,170,318,275,342,217,74,24,203,162,331,353,280,405,313,87,32,1999,2166,2197,954,0,747,6,59,202
"1400000US51059420202","Census Tract 4202.02, Fairfax County, Virginia","1990",71,83,220,271,131,155,68,1,0,54,25,261,282,113,175,37,43,0,1000,990,1027,592,0,254,0,50,67
"1400000US51059420203","Census Tract 4202.03, Fairfax County, Virginia","2844",235,142,119,206,237,248,150,45,50,182,141,103,254,210,237,137,111,37,1432,1412,1917,383,0,390,0,47,107
"1400000US51059421001","Census Tract 4210.01, Fairfax County, Virginia","2710",154,201,239,183,264,215,119,30,22,100,175,117,265,221,231,83,59,32,1427,1283,1395,610,74,298,0,23,310
"1400000US51059420501","Census Tract 4205.01, Fairfax County, Virginia","1795",27,69,115,102,85,94,191,189,125,19,5,59,40,77,81,192,208,117,997,798,1464,167,0,38,0,46,80
"1400000US51059420502","Census Tract 4205.02, Fairfax County, Virginia","1832",45,45,222,233,180,140,48,22,14,80,58,134,205,217,114,47,13,15,949,883,1138,297,0,122,0,220,55
"1400000US51059420503","Census Tract 4205.03, Fairfax County, Virginia","3442",324,32,529,366,192,122,135,31,0,219,114,280,546,184,179,102,65,22,1731,1711,1712,1049,0,383,0,253,45
"1400000US51059421002","Census Tract 4210.02, Fairfax County, Virginia","4870",296,309,375,407,238,317,305,105,51,371,272,367,536,256,349,179,103,34,2403,2467,2455,1140,48,945,0,65,217
"1400000US51059421101","Census Tract 4211.01, Fairfax County, Virginia","6296",483,424,352,681,438,448,250,92,0,483,299,194,633,399,671,288,135,26,3168,3128,3999,1385,0,530,0,150,232
"1400000US51059421102","Census Tract 4211.02, Fairfax County, Virginia","3643",251,150,120,346,169,286,220,109,87,292,105,155,319,225,307,200,185,117,1738,1905,2140,713,0,529,0,93,168
"1400000US51059421103","Census Tract 4211.03, Fairfax County, Virginia","5496",329,361,215,363,469,506,160,156,74,400,431,289,329,480,543,301,75,15,2633,2863,3475,782,0,787,0,148,304
"1400000US51059421701","Census Tract 4217.01, Fairfax County, Virginia","5227",596,264,339,585,238,242,142,21,34,557,412,495,432,313,351,148,50,8,2461,2766,2008,1179,0,525,0,762,753
"1400000US51059421702","Census Tract 4217.02, Fairfax County, Virginia","5018",551,345,387,161,416,222,261,159,30,556,221,393,300,363,233,174,176,70,2532,2486,2700,1083,0,368,0,549,318
"1400000US51059422101","Census Tract 4221.01, Fairfax County, Virginia","7612",613,373,537,770,385,586,403,31,0,845,244,687,675,510,534,284,78,57,3698,3914,3779,1347,0,1075,0,1050,361
"1400000US51059422102","Census Tract 4221.02, Fairfax County, Virginia","7332",437,484,442,470,782,294,81,143,11,671,648,592,663,655,513,222,211,13,3144,4188,2900,2956,0,1141,0,135,200
"1400000US51059422201","Census Tract 4222.01, Fairfax County, Virginia","3352",137,296,190,83,184,342,186,84,52,160,329,144,116,327,286,200,180,56,1554,1798,1564,295,0,1391,0,14,88
"1400000US51059422202","Census Tract 4222.02, Fairfax County, Virginia","6608",400,699,396,483,544,444,208,34,0,451,545,464,480,633,475,238,95,19,3208,3400,2778,1692,51,1704,0,50,333
"1400000US51059422301","Census Tract 4223.01, Fairfax County, Virginia","3246",230,185,239,252,197,258,137,6,8,269,60,200,343,215,286,130,155,76,1512,1734,1789,632,17,449,0,85,274
"1400000US51059422302","Census Tract 4223.02, Fairfax County, Virginia","5906",247,245,412,491,546,374,269,134,48,392,282,316,740,289,545,290,168,118,2766,3140,3174,731,0,1602,0,0,399
"1400000US51059422401","Census Tract 4224.01, Fairfax County, Virginia","2715",164,156,304,349,101,176,94,46,26,120,47,336,239,194,217,102,44,0,1416,1299,1958,360,0,205,0,136,56
"1400000US51059422402","Census Tract 4224.02, Fairfax County, Virginia","5460",499,292,352,592,427,342,95,84,0,347,230,388,669,456,315,233,110,29,2683,2777,3097,1263,0,499,0,235,366
"1400000US51059422403","Census Tract 4224.03, Fairfax County, Virginia","3072",230,148,118,226,251,263,183,56,43,205,162,125,274,184,313,149,77,65,1518,1554,2056,371,9,354,0,80,202
"1400000US51059430101","Census Tract 4301.01, Fairfax County, Virginia","4706",319,307,174,198,331,302,399,213,32,159,410,349,141,345,399,312,242,74,2275,2431,3610,53,0,684,0,96,263
"1400000US51059430102","Census Tract 4301.02, Fairfax County, Virginia","3270",125,248,296,209,211,236,196,76,23,148,192,380,175,265,187,171,57,75,1620,1650,2035,261,0,813,0,0,161
"1400000US51059430201","Census Tract 4302.01, Fairfax County, Virginia","4784",293,436,520,329,349,310,217,110,27,316,260,202,312,373,334,243,105,48,2591,2193,3253,271,0,910,0,73,277
"1400000US51059430202","Census Tract 4302.02, Fairfax County, Virginia","5162",298,436,520,281,383,333,299,131,63,215,235,290,390,323,423,288,205,49,2744,2418,3676,304,0,925,14,39,204
"1400000US51059430203","Census Tract 4302.03, Fairfax County, Virginia","2688",137,212,195,132,203,180,129,72,15,193,111,250,191,155,236,110,121,46,1275,1413,1776,193,30,528,0,1,160
"1400000US51059430801","Census Tract 4308.01, Fairfax County, Virginia","4671",386,281,200,266,314,398,255,162,51,260,301,158,275,363,368,266,242,125,2313,2358,3484,150,0,703,0,131,203
"1400000US51059430802","Census Tract 4308.02, Fairfax County, Virginia","4158",256,174,196,361,293,284,161,139,35,286,199,281,311,279,356,323,138,86,1899,2259,3313,324,1,195,0,267,58
"1400000US51059430901","Census Tract 4309.01, Fairfax County, Virginia","4280",287,375,278,349,278,351,234,77,11,226,317,165,322,380,261,227,105,37,2240,2040,1741,749,0,1337,0,268,185
"1400000US51059430902","Census Tract 4309.02, Fairfax County, Virginia","3587",204,282,239,190,319,243,172,143,52,229,171,261,212,251,255,236,123,5,1844,1743,2256,273,50,724,0,164,120
"1400000US51059431001","Census Tract 4310.01, Fairfax County, Virginia","4909",277,418,252,270,389,386,343,158,22,202,287,367,243,488,272,323,168,44,2515,2394,2991,424,9,1072,0,158,255
"1400000US51059431002","Census Tract 4310.02, Fairfax County, Virginia","2432",146,170,125,222,165,125,84,52,34,195,175,120,240,198,157,136,78,10,1123,1309,1103,570,0,527,0,153,79
"1400000US51059431801","Census Tract 4318.01, Fairfax County, Virginia","4400",236,445,131,273,373,433,143,79,10,252,323,201,405,339,340,252,103,62,2123,2277,3120,197,0,809,0,62,212
"1400000US51059431802","Census Tract 4318.02, Fairfax County, Virginia","3319",172,287,163,193,260,199,186,142,31,191,238,154,220,264,287,132,164,36,1633,1686,2055,233,0,724,0,161,146
"1400000US51059432201","Census Tract 4322.01, Fairfax County, Virginia","2264",97,85,282,141,160,122,82,53,0,145,123,213,237,210,88,109,88,29,1022,1242,1525,175,0,430,0,22,112
"1400000US51059432202","Census Tract 4322.02, Fairfax County, Virginia","4859",258,364,261,366,314,204,273,133,52,439,335,141,354,390,333,304,135,203,2225,2634,3508,74,37,603,0,87,550
"1400000US51059432401","Census Tract 4324.01, Fairfax County, Virginia","3654",123,360,209,215,129,354,317,112,20,155,268,168,172,228,373,299,96,56,1839,1815,2832,169,0,568,17,0,68
"1400000US51059432402","Census Tract 4324.02, Fairfax County, Virginia","4903",259,417,223,369,348,303,293,188,43,311,398,218,308,251,357,406,179,32,2443,2460,3898,241,19,557,0,18,170
"1400000US51059432701","Census Tract 4327.01, Fairfax County, Virginia","3061",143,142,146,120,190,250,267,128,30,208,147,271,140,174,261,309,122,13,1416,1645,1950,511,36,361,0,39,164
"1400000US51059432702","Census Tract 4327.02, Fairfax County, Virginia","4461",401,255,360,319,257,233,150,123,30,362,247,226,539,223,339,271,88,38,2128,2333,2264,866,0,670,0,366,295
"1400000US51059440201","Census Tract 4402.01, Fairfax County, Virginia","3208",137,50,324,478,179,100,196,32,7,163,19,514,387,325,154,143,0,0,1503,1705,1733,372,0,659,0,134,310
"1400000US51059440202","Census Tract 4402.02, Fairfax County, Virginia","5833",509,235,351,497,317,291,479,106,56,375,246,545,502,347,370,338,148,121,2841,2992,3118,877,0,1243,0,274,321
"1400000US51059440501","Census Tract 4405.01, Fairfax County, Virginia","5181",213,474,131,173,342,393,398,172,82,344,366,226,304,315,452,432,256,108,2378,2803,3677,113,0,1154,18,35,184
"1400000US51059440502","Census Tract 4405.02, Fairfax County, Virginia","7670",65,1348,1639,289,292,220,198,47,19,108,1433,1290,172,166,150,172,45,17,4117,3553,4893,1375,11,954,15,180,242
"1400000US51059440701","Census Tract 4407.01, Fairfax County, Virginia","3016",140,276,157,118,198,274,227,114,61,119,247,68,115,232,228,218,150,74,1565,1451,2199,94,0,609,0,36,78
"1400000US51059440702","Census Tract 4407.02, Fairfax County, Virginia","5676",441,445,253,295,297,391,337,203,137,389,411,195,330,388,378,406,236,144,2799,2877,4476,121,11,915,0,26,127
"1400000US51059450601","Census Tract 4506.01, Fairfax County, Virginia","4235",245,232,233,268,422,363,222,184,42,252,187,141,407,270,331,254,117,65,2211,2024,2657,54,0,1134,0,266,124
"1400000US51059450602","Census Tract 4506.02, Fairfax County, Virginia","4686",231,262,431,503,414,257,171,85,42,369,200,372,368,386,278,177,110,30,2396,2290,2387,340,0,946,0,858,155
"1400000US51059451502","Census Tract 4515.02, Fairfax County, Virginia","5259",441,159,483,406,435,328,274,123,157,311,262,215,437,240,252,267,227,242,2806,2453,3211,574,20,688,0,619,147
"1400000US51059450701","Census Tract 4507.01, Fairfax County, Virginia","2937",249,142,209,237,149,263,153,85,51,143,89,196,208,176,241,215,110,21,1538,1399,1671,155,0,847,0,131,133
"1400000US51059450702","Census Tract 4507.02, Fairfax County, Virginia","4772",364,291,627,849,195,254,108,44,33,400,231,380,323,198,130,205,44,96,2765,2007,1802,438,0,619,0,1579,334
"1400000US51059451501","Census Tract 4515.01, Fairfax County, Virginia","5327",350,227,303,573,373,290,258,127,60,420,222,246,546,287,381,304,240,120,2561,2766,3047,444,0,1301,0,289,246
"1400000US51059451601","Census Tract 4516.01, Fairfax County, Virginia","6031",853,367,475,599,671,115,92,29,28,798,449,494,475,278,177,91,10,30,3229,2802,2557,94,0,484,0,2466,430
"1400000US51059451602","Census Tract 4516.02, Fairfax County, Virginia","2674",173,225,296,114,212,130,212,66,5,73,160,203,193,138,211,165,63,35,1433,1241,1559,286,0,491,0,263,75
"1400000US51059452101","Census Tract 4521.01, Fairfax County, Virginia","5566",316,265,371,525,395,316,346,137,75,458,251,333,451,406,363,421,120,17,2746,2820,2994,676,0,1085,0,586,225
"1400000US51059452102","Census Tract 4521.02, Fairfax County, Virginia","3651",187,113,207,248,357,315,200,73,87,219,78,324,181,310,191,148,189,224,1787,1864,2032,125,0,1214,0,245,35
"1400000US51059452301","Census Tract 4523.01, Fairfax County, Virginia","3354",116,246,219,365,225,330,145,57,14,225,159,232,197,231,170,253,114,56,1717,1637,1215,247,234,912,168,432,146
"1400000US51059452302","Census Tract 4523.02, Fairfax County, Virginia","5303",457,473,409,597,267,331,215,9,33,320,359,473,346,504,249,173,44,44,2791,2512,2664,113,0,985,0,1345,196
"1400000US51059452501","Census Tract 4525.01, Fairfax County, Virginia","3720",260,191,235,221,278,245,282,91,53,129,204,289,285,281,221,311,67,77,1856,1864,2236,218,35,1078,0,6,147
"1400000US51059452502","Census Tract 4525.02, Fairfax County, Virginia","5783",519,210,473,680,368,300,303,124,4,561,276,429,455,381,428,197,62,13,2981,2802,2333,2033,8,788,0,401,220
"1400000US51059452801","Census Tract 4528.01, Fairfax County, Virginia","5686",205,199,228,586,368,406,359,132,62,422,283,391,676,309,467,293,188,112,2545,3141,2857,1477,0,1044,0,85,223
"1400000US51059452802","Census Tract 4528.02, Fairfax County, Virginia","2855",92,70,137,192,206,147,232,123,105,37,91,98,275,153,296,301,147,153,1304,1551,1535,928,0,178,0,24,190
"1400000US51059460501","Census Tract 4605.01, Fairfax County, Virginia","2592",189,217,139,57,196,187,192,105,35,133,160,97,100,198,204,223,109,51,1317,1275,1776,28,0,564,0,27,197
"1400000US51059460502","Census Tract 4605.02, Fairfax County, Virginia","7634",482,524,499,533,484,450,434,64,135,348,688,493,668,614,609,405,142,62,3605,4029,4633,607,0,2036,0,1,357
"1400000US51059460701","Census Tract 4607.01, Fairfax County, Virginia","3531",326,287,161,196,276,337,100,74,44,232,118,233,232,277,315,179,67,77,1801,1730,2510,215,0,563,0,75,168
"1400000US51059460702","Census Tract 4607.02, Fairfax County, Virginia","4614",393,434,159,235,348,404,215,106,63,298,292,125,268,426,361,193,210,84,2357,2257,3498,100,0,768,0,26,222
"1400000US51059461201","Census Tract 4612.01, Fairfax County, Virginia","4622",249,421,119,174,199,497,336,224,66,228,392,158,200,329,429,328,201,72,2285,2337,3585,234,0,603,0,0,200
"1400000US51059461202","Census Tract 4612.02, Fairfax County, Virginia","6358",330,462,230,723,522,406,264,109,66,498,297,454,618,512,404,332,69,62,3112,3246,2948,661,0,2249,32,0,468
"1400000US51059461601","Census Tract 4616.01, Fairfax County, Virginia","8120",642,429,846,870,731,391,240,179,129,621,384,379,787,644,370,207,159,112,4457,3663,4046,700,30,2444,0,32,868
"1400000US51059461602","Census Tract 4616.02, Fairfax County, Virginia","5592",107,141,1021,943,378,225,89,76,34,171,91,1063,746,154,181,122,50,0,3014,2578,2692,321,0,1876,16,377,310
"1400000US51059461801","Census Tract 4618.01, Fairfax County, Virginia","1535",131,126,104,99,78,84,35,18,34,72,88,91,200,125,105,100,38,7,709,826,1047,134,17,284,0,36,17
"1400000US51059461802","Census Tract 4618.02, Fairfax County, Virginia","5278",260,436,581,547,247,215,275,90,26,266,103,339,560,311,367,500,96,59,2677,2601,3136,108,28,1377,0,300,329
"1400000US51059482303","Census Tract 4823.03, Fairfax County, Virginia","3489",199,131,121,329,283,243,225,108,25,112,141,255,327,193,257,232,235,73,1664,1825,2915,87,0,271,0,54,162
"1400000US51059482501","Census Tract 4825.01, Fairfax County, Virginia","10229",952,584,1075,1034,876,425,285,37,15,896,470,845,1304,640,378,341,72,0,5283,4946,3824,2062,22,4012,0,77,232
"1400000US51059482502","Census Tract 4825.02, Fairfax County, Virginia","2941",177,309,133,211,192,272,170,48,10,147,183,124,228,244,253,176,54,10,1522,1419,2152,17,8,624,6,10,124
"1400000US51059482503","Census Tract 4825.03, Fairfax County, Virginia","4882",333,388,194,203,494,425,297,71,33,261,477,236,202,516,441,244,34,33,2438,2444,3045,119,68,1426,0,7,217
"1400000US51059482504","Census Tract 4825.04, Fairfax County, Virginia","5191",229,352,311,197,355,536,356,102,33,299,547,159,179,484,593,281,130,48,2471,2720,3493,126,0,1206,17,25,324
"1400000US51059482601","Census Tract 4826.01, Fairfax County, Virginia","7371",532,574,334,521,524,716,435,86,0,449,523,427,503,695,571,309,172,0,3722,3649,4556,290,15,2352,0,59,99
"1400000US51059470300","Census Tract 4703, Fairfax County, Virginia","3205",145,256,98,55,142,327,259,179,96,167,347,81,108,249,316,201,121,58,1557,1648,2818,81,0,247,0,20,39
"1400000US51059470400","Census Tract 4704, Fairfax County, Virginia","4676",349,250,175,172,286,291,390,214,73,321,432,92,183,325,358,371,236,158,2200,2476,3915,78,0,647,0,0,36
"1400000US51059470800","Census Tract 4708, Fairfax County, Virginia","2967",180,250,112,93,258,206,148,100,43,157,294,97,82,354,169,157,153,114,1390,1577,2185,75,17,540,0,44,106
"1400000US51059480300","Census Tract 4803, Fairfax County, Virginia","7399",414,534,246,172,530,608,463,387,263,386,654,240,300,518,594,564,347,179,3617,3782,5087,144,0,1874,0,71,223
"1400000US51059482100","Census Tract 4821, Fairfax County, Virginia","3602",281,194,229,287,240,270,139,73,35,278,119,317,201,288,273,197,104,77,1748,1854,2206,576,6,283,0,58,473
"1400000US51059481400","Census Tract 4814, Fairfax County, Virginia","7172",495,238,365,521,369,473,383,237,237,506,388,312,621,627,420,495,326,159,3318,3854,5039,642,0,795,0,15,681
"1400000US51059470600","Census Tract 4706, Fairfax County, Virginia","2620",166,142,46,119,141,243,217,164,67,85,161,81,77,178,212,248,191,82,1305,1315,2234,12,0,311,11,11,41
"1400000US51059470900","Census Tract 4709, Fairfax County, Virginia","6990",587,433,180,175,658,544,355,133,274,404,549,153,253,664,435,479,319,395,3339,3651,5518,112,0,1082,0,98,180
"1400000US51059415100","Census Tract 4151, Fairfax County, Virginia","3742",256,307,96,212,258,273,243,126,70,293,229,140,215,305,242,276,116,85,1841,1901,2964,164,0,168,21,336,89
"1400000US51059415300","Census Tract 4153, Fairfax County, Virginia","3743",174,219,176,250,283,312,215,78,72,229,211,202,295,310,266,216,104,131,1779,1964,2539,219,13,215,0,604,153
"1400000US51059415500","Census Tract 4155, Fairfax County, Virginia","6217",689,539,128,364,481,345,277,183,123,300,442,123,556,492,329,382,293,171,3129,3088,4463,1209,0,305,0,13,227
"1400000US51059420600","Census Tract 4206, Fairfax County, Virginia","4807",302,319,368,509,307,187,272,76,0,327,249,389,665,384,192,174,87,0,2340,2467,2745,874,0,359,21,518,290
"1400000US51059431300","Census Tract 4313, Fairfax County, Virginia","4365",319,390,130,308,250,451,188,162,62,303,247,183,281,294,333,199,208,57,2260,2105,3041,317,0,573,0,37,397
"1400000US51059440100","Census Tract 4401, Fairfax County, Virginia","7520",310,688,286,303,493,691,376,160,284,593,569,238,345,651,545,452,250,286,3591,3929,5340,189,0,1439,0,130,422
"1400000US51059450300","Census Tract 4503, Fairfax County, Virginia","4776",520,205,463,404,324,281,264,39,13,301,135,361,354,426,268,296,69,53,2513,2263,2737,347,12,665,0,805,210
