"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","white","black.aa","a.ind..nat.ak","asian","nat.hi.pt.isl","other","two.","not.hisp.latino","hisp.latino"
1365,168,182,125,161,191,193,210,100,35,654,711,1029,63,0,191,0,6,76,1332,33
1508,179,193,146,229,196,204,196,116,49,688,820,1051,132,2,199,0,17,107,1408,100
583,76,73,66,75,98,86,67,29,13,360,223,214,24,0,327,0,3,15,564,19
2391,308,277,237,320,355,366,314,141,73,1167,1224,1528,283,6,406,2,43,123,2220,171
2867,330,336,271,399,429,414,414,199,75,1531,1336,2083,104,2,541,3,20,114,2725,142
1422,169,179,154,194,204,215,177,97,33,728,694,918,121,1,260,0,39,83,1255,167
1109,134,132,108,148,170,168,129,80,40,548,561,679,33,0,295,0,17,85,1025,84
3085,375,413,323,462,429,459,349,201,74,1390,1695,1592,448,12,751,1,107,174,2606,479
1433,185,169,125,176,185,238,191,116,48,669,764,1201,9,0,133,0,25,65,1309,124
650,68,84,59,74,86,102,108,51,18,302,348,640,9,0,1,0,0,0,629,21
1685,236,256,190,192,241,225,201,106,38,745,940,974,296,2,174,2,114,123,1413,272
1289,147,163,137,156,177,196,197,83,33,473,816,971,94,1,191,0,20,12,1128,161
1506,189,195,144,204,214,228,203,91,38,691,815,1334,35,0,114,0,0,23,1213,293
1469,169,208,153,189,216,214,191,85,44,675,794,958,94,3,258,1,50,105,1260,209
854,100,104,79,115,113,143,109,63,28,445,409,755,8,1,55,0,21,14,734,120
1771,227,248,172,235,239,289,202,121,38,724,1047,1089,142,2,413,2,56,67,1507,264
2787,377,355,317,406,410,381,327,144,70,1529,1258,1492,391,7,561,3,209,124,2088,699
3208,410,453,340,412,449,463,393,210,78,1503,1705,1733,372,8,659,3,123,310,2762,446
812,112,94,97,101,111,111,109,55,22,486,326,352,145,3,222,0,8,82,762,50
1276,159,198,129,194,176,172,127,83,38,699,577,537,69,0,507,0,27,136,1245,31
917,131,104,101,122,138,126,117,48,30,381,536,480,50,2,293,2,20,70,839,78
1999,222,254,182,264,301,289,274,148,65,1015,984,1396,94,2,436,2,18,51,1904,95
1680,215,195,179,231,250,250,193,129,38,784,896,906,202,0,486,2,25,59,1583,97
1170,165,155,106,167,153,166,153,72,33,747,423,642,99,3,374,2,16,34,1119,51
3221,413,412,337,435,438,486,401,210,89,1367,1854,1926,449,4,464,8,95,275,2749,472
1203,142,164,130,178,166,178,137,77,31,508,695,848,77,2,131,0,53,92,907,296
1744,201,236,164,235,259,264,214,125,46,792,952,1137,79,2,402,3,45,76,1609,135
2143,236,253,231,287,288,338,282,171,57,1095,1048,1566,122,1,340,3,45,66,1900,243
2032,253,286,245,285,253,325,234,105,46,1099,933,1229,99,2,364,1,201,136,1479,553
1189,141,147,134,164,176,185,133,84,25,567,622,492,114,0,465,2,11,105,1162,27
1996,210,273,200,290,277,271,255,169,51,966,1030,1259,120,3,444,5,44,121,1792,204
1883,237,239,194,245,245,278,255,129,61,1138,745,1346,179,3,220,2,32,101,1777,106
1214,126,151,113,157,179,175,177,93,43,652,562,1027,67,0,93,0,16,11,1170,44
1920,198,236,199,249,262,303,254,164,55,879,1041,1611,33,1,226,0,29,20,1757,163
1970,229,260,223,254,296,307,239,122,40,942,1028,1252,113,6,346,6,161,86,1444,526
2107,265,295,229,291,301,296,244,124,62,1152,955,1303,17,2,573,0,187,25,1414,693
963,117,127,105,146,116,142,115,71,24,511,452,545,39,7,331,0,32,9,770,193
1760,197,262,171,220,218,275,233,131,53,914,846,1302,42,0,340,0,3,73,1638,122
2976,359,363,316,425,425,450,353,211,74,1488,1488,1598,519,3,634,2,113,107,2514,462
2596,381,371,323,394,353,343,275,121,35,1365,1231,1508,370,3,305,0,131,279,1159,1437
1466,167,206,163,215,190,207,173,110,35,783,683,1059,138,2,183,1,47,36,1240,226
671,85,87,70,103,103,99,75,33,16,393,278,351,62,0,194,0,16,48,619,52
1439,194,197,154,182,213,212,166,98,23,816,623,1009,137,0,148,1,25,119,1287,152
1120,114,131,116,142,160,164,149,103,41,521,599,950,0,0,162,0,0,8,1101,19
824,93,101,84,100,122,126,107,69,22,380,444,776,24,0,5,0,5,14,755,69
3022,425,475,405,475,450,365,273,124,30,1490,1532,1307,137,48,411,2,1006,111,994,2028
2016,244,274,253,291,308,267,230,112,37,1087,929,1082,164,10,528,4,163,65,1532,484
1770,266,219,200,258,205,261,218,104,39,842,928,593,527,0,350,1,85,214,1489,281
1275,167,162,150,167,173,162,177,82,35,651,624,874,129,0,96,0,69,107,1115,160
2210,321,328,253,343,300,308,213,118,26,1082,1128,989,128,3,476,2,470,142,1321,889
793,81,99,75,108,110,114,124,61,21,376,417,652,12,0,76,0,5,48,737,56
1579,206,216,168,194,222,228,204,103,38,805,774,1239,52,0,151,1,12,124,1444,135
1489,208,165,182,200,195,207,211,92,29,605,884,956,190,8,174,1,54,106,1223,266
1696,198,208,172,246,246,249,210,122,45,807,889,1065,221,3,250,0,72,85,1402,294
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,114,106,87,99,122,121,114,58,23,454,390,612,44,0,116,0,9,63,776,68
2452,287,313,243,345,348,371,318,162,65,1395,1057,1233,315,1,771,1,63,68,2348,104
1740,206,239,162,243,244,234,235,116,61,865,875,1437,48,0,171,0,13,71,1641,99
1281,171,191,134,167,183,175,150,65,45,682,599,757,154,2,171,0,62,135,1090,191
1289,159,157,128,182,187,208,148,93,27,531,758,651,198,0,376,5,16,43,1231,58
1694,176,212,177,198,233,293,228,134,43,786,908,1497,26,0,114,0,14,43,1584,110
1739,178,199,167,265,277,279,219,113,42,725,1014,855,172,3,620,1,14,74,1686,53
4793,614,640,517,608,638,747,587,314,128,2417,2376,3063,472,13,705,9,178,353,3952,841
1374,170,167,130,183,221,224,165,87,27,627,747,599,173,5,521,2,8,66,1333,41
2062,254,253,189,249,254,329,296,155,83,1040,1022,1737,17,1,181,0,3,123,1960,102
2516,314,360,274,297,355,378,297,170,71,1251,1265,1899,202,1,183,2,104,125,2048,468
956,125,114,95,122,135,136,126,71,32,410,546,579,105,6,167,11,9,79,920,36
1768,223,235,175,236,253,247,237,128,34,855,913,1095,249,4,280,1,49,90,1553,215
2577,300,326,286,328,344,392,356,174,71,1196,1381,1921,117,1,373,2,31,132,2441,136
1003,113,136,107,129,144,156,122,78,18,470,533,782,80,1,79,1,7,53,944,59
1293,173,173,131,176,166,208,154,77,35,636,657,831,149,2,189,2,37,83,1124,169
999,108,121,116,141,152,146,119,73,23,580,419,380,11,0,566,0,6,36,954,45
2633,373,364,294,377,369,381,278,144,53,1431,1202,1290,421,6,372,2,219,323,2090,543
3661,479,471,418,490,498,558,438,214,95,1804,1857,1936,893,6,459,3,205,159,3114,547
1763,219,232,188,239,253,269,200,123,40,896,867,1286,58,1,320,2,44,52,1548,215
2574,313,348,289,353,370,374,303,159,65,1330,1244,1544,113,3,615,3,147,149,2103,471
1991,232,261,183,250,262,320,258,172,53,1179,812,1647,174,2,97,0,33,38,1818,173
2793,363,361,289,391,405,421,314,168,81,1304,1489,1456,272,4,781,4,100,176,2257,536
2029,245,272,231,295,273,311,231,126,45,1117,912,1078,351,6,382,7,108,97,1658,371
3103,374,387,314,402,473,467,393,213,80,1597,1506,1786,172,2,887,4,120,132,2645,458
1815,202,245,169,216,265,315,220,121,62,913,902,1604,43,3,108,1,18,38,1677,138
1800,232,221,198,243,257,278,213,112,46,891,909,1023,229,2,400,4,77,65,1566,234
1114,140,144,129,161,164,147,129,71,29,582,532,700,102,1,133,0,131,47,764,350
2065,243,288,227,287,302,278,256,150,34,1110,955,1044,40,5,786,1,150,39,1439,626
730,82,110,61,95,99,111,95,58,19,318,412,303,42,0,299,0,2,84,721,9
1108,130,165,92,151,184,149,126,79,32,546,562,481,43,2,537,1,10,34,1060,48
2439,293,334,281,327,355,363,272,158,56,1206,1233,1094,326,7,868,3,70,71,2336,103
968,110,100,109,120,145,144,136,76,28,332,636,705,51,0,181,0,10,21,896,72
2753,320,380,290,371,394,434,325,169,70,1374,1379,1747,219,3,555,3,77,149,2247,506
1420,173,195,138,198,200,216,173,98,29,804,616,848,123,3,276,1,123,46,1064,356
1358,197,178,134,209,186,202,149,74,29,673,685,751,229,1,195,1,49,132,1208,150
2892,368,391,322,426,420,424,318,163,60,1337,1555,1478,332,3,847,1,177,54,2004,888
2137,235,260,201,270,295,324,320,164,68,985,1152,1609,10,0,424,0,0,94,2113,24
1483,202,187,170,197,203,215,180,95,34,699,784,1049,141,9,177,2,52,53,1075,408
773,74,101,92,100,123,125,99,44,15,360,413,532,45,1,135,1,25,34,679,94
1657,222,213,165,212,244,272,184,99,46,736,921,951,260,1,255,1,55,134,1400,257
1177,116,142,115,154,180,193,162,80,35,607,570,1064,50,0,35,0,2,26,1115,62
1214,151,154,124,162,167,187,164,69,36,644,570,909,6,0,230,3,8,58,1148,66
1422,196,212,165,207,200,184,154,81,23,677,745,864,126,2,170,1,168,91,948,474
662,76,81,60,91,90,117,70,53,24,312,350,543,15,0,89,0,11,4,612,50
3384,490,476,456,531,454,405,359,161,52,1623,1761,1443,702,8,258,2,378,593,1933,1451
973,104,120,93,139,142,141,138,67,29,420,553,664,50,0,231,0,6,22,956,17
1775,197,218,199,245,234,274,251,111,46,993,782,964,93,0,627,0,18,73,1711,64
1038,134,112,100,136,169,152,144,65,26,330,708,789,36,1,161,0,7,44,1009,29
1721,198,216,178,246,232,268,221,119,43,998,723,1537,29,2,81,1,43,28,1265,456
1221,158,170,115,180,152,184,144,83,35,578,643,721,145,1,226,1,83,44,1118,103
953,111,96,85,113,142,170,128,74,34,422,531,853,19,0,68,0,2,11,915,38
1434,170,192,130,189,186,197,226,99,45,714,720,1088,20,0,272,1,6,47,1363,71
2631,342,364,267,335,354,379,347,174,69,1364,1267,2104,106,2,184,2,63,170,2393,238
847,96,119,95,117,111,141,94,55,19,439,408,546,45,0,179,0,49,28,692,155
1412,194,183,171,208,197,194,150,86,29,826,586,905,67,2,171,0,110,157,1003,409
1962,249,239,222,273,315,292,210,125,37,956,1006,933,204,5,562,0,101,157,1567,395
2297,289,296,226,296,315,349,281,184,61,1187,1110,1435,117,4,554,3,37,147,2151,146
909,104,108,88,112,113,156,132,66,30,454,455,841,11,1,25,2,21,8,810,99
1946,214,243,183,264,298,297,254,130,63,991,955,1347,19,2,535,1,17,25,1823,123
2918,326,395,297,397,407,428,388,208,72,1414,1504,1873,144,5,753,3,44,96,2731,187
1221,140,151,127,187,196,175,135,81,29,656,565,647,31,1,409,0,100,33,943,278
2516,298,301,258,348,328,391,341,188,63,1182,1334,1808,323,3,165,0,71,146,2094,422
1881,186,255,248,288,306,263,203,97,35,884,997,598,623,1,463,0,150,46,1323,558
3471,383,438,366,468,508,546,439,239,84,1616,1855,1711,191,8,1404,20,20,117,3413,58
1299,183,175,155,190,163,166,162,79,26,678,621,616,168,2,353,2,116,42,984,315
2215,263,274,239,316,323,341,279,128,52,1250,965,1363,228,2,413,5,57,147,1913,302
1734,212,217,183,239,233,261,221,114,54,833,901,1345,58,1,209,1,45,75,1465,269
2299,291,288,260,316,309,314,307,165,49,1221,1078,1619,226,4,234,1,130,85,1646,653
1438,161,157,121,173,220,224,221,118,43,726,712,1256,49,0,106,0,8,19,1355,83
1804,219,216,199,221,245,260,245,149,50,880,924,1507,47,1,138,0,41,70,1568,236
3651,448,441,407,492,515,567,441,242,98,1787,1864,2112,204,8,958,3,217,149,2933,718
1025,142,132,102,134,149,153,108,77,28,400,625,614,154,2,136,0,16,103,930,95
1706,201,221,193,219,220,264,216,117,55,933,773,1029,91,1,447,4,24,110,1609,97
2460,298,343,280,338,366,327,279,174,55,1197,1263,1631,207,4,351,3,83,181,2035,425
2015,239,252,185,261,278,303,266,160,71,992,1023,1529,185,4,218,2,17,60,1892,123
3092,372,358,306,413,412,496,413,225,97,1520,1572,2219,264,2,461,3,40,103,2899,193
1485,170,173,135,199,208,234,208,114,44,719,766,1287,0,1,169,0,1,27,1372,113
1566,194,198,163,206,233,229,186,109,48,772,794,1207,60,0,195,0,34,70,1317,249
865,108,111,80,118,121,138,99,61,29,404,461,669,7,0,174,0,0,15,821,44
2677,312,344,278,314,353,433,387,184,72,1347,1330,2087,91,3,368,3,12,113,2544,133
1409,186,213,164,212,185,194,153,75,27,689,720,712,164,5,154,0,293,81,935,474
1861,231,259,195,272,272,259,216,114,43,866,995,974,118,1,658,3,55,52,1572,289
1734,203,217,157,192,241,286,224,166,48,828,906,1581,25,0,61,1,19,47,1684,50
2863,321,361,319,417,395,455,344,177,74,1442,1421,1752,47,3,780,0,176,105,2154,709
1268,156,149,121,178,180,200,155,100,29,698,570,746,202,2,192,0,51,75,1117,151
2007,228,243,215,261,310,284,261,145,60,965,1042,1020,95,4,806,4,7,71,1985,22
907,133,131,105,123,115,126,98,54,22,334,573,507,63,4,148,0,76,109,624,283
1330,180,223,154,181,169,166,164,77,16,867,463,810,56,4,153,2,136,169,855,475
2619,340,349,295,373,343,364,312,174,69,1430,1189,1558,364,8,333,5,192,159,1980,639
1443,170,170,152,183,192,222,191,114,49,712,731,1223,27,0,107,3,45,38,1275,168
1299,165,187,131,159,159,187,164,110,37,754,545,1015,69,3,99,2,27,84,1136,163
2195,278,289,258,301,309,334,242,140,44,1124,1071,1590,189,1,289,0,55,71,1515,680
1939,245,254,178,247,247,271,284,158,55,1000,939,1587,121,0,131,1,6,93,1868,71
2330,309,304,224,278,290,364,320,171,70,1209,1121,1793,146,0,230,2,50,109,2290,40
1603,237,228,201,225,219,213,175,73,32,867,736,847,381,1,112,0,122,140,1017,586
1283,153,173,124,164,187,210,138,86,48,549,734,680,57,0,393,0,73,80,1112,171
2261,274,302,252,304,316,350,264,142,57,1036,1225,1402,306,4,322,2,130,95,1732,529
1541,186,243,156,216,230,229,158,89,34,783,758,861,229,4,190,4,182,71,1069,472
735,92,75,70,99,112,112,84,71,20,412,323,633,67,0,25,1,1,8,734,1
1683,207,233,202,237,220,216,215,108,45,813,870,1016,225,3,248,3,50,138,1447,236
1336,167,172,142,171,190,203,165,97,29,677,659,918,52,3,274,1,16,72,1293,43
1898,233,243,215,248,241,294,246,125,53,946,952,1262,393,0,150,2,41,50,1682,216
1985,235,245,205,252,282,289,275,138,64,937,1048,1286,68,1,482,0,33,115,1816,169
1482,162,192,161,201,207,231,192,89,47,729,753,1083,39,1,313,0,3,43,1460,22
2335,321,344,243,323,324,315,274,139,52,1264,1071,1259,352,6,396,3,76,243,1991,344
1124,156,146,128,156,160,166,118,69,25,611,513,418,194,0,364,1,15,132,1047,77
2099,267,272,221,251,270,326,291,140,61,942,1157,1528,119,2,273,3,53,121,1890,209
924,115,114,97,147,146,114,114,53,24,486,438,225,206,2,436,2,7,46,862,62
1488,160,206,173,218,184,225,190,104,28,644,844,781,333,1,266,4,46,57,1380,108
1641,164,203,152,211,249,273,218,121,50,882,759,1258,17,1,335,0,11,19,1570,71
2426,299,308,249,320,325,341,350,178,56,996,1430,1761,150,0,326,3,8,178,2375,51
1031,144,146,100,137,146,133,122,67,36,440,591,549,83,1,268,0,6,124,1002,29
978,131,138,110,141,125,153,113,41,26,625,353,472,132,0,202,3,10,159,910,68
2747,323,379,333,427,390,357,324,152,62,1457,1290,1582,452,5,313,2,286,107,1908,839
1397,155,164,153,154,190,238,172,121,50,668,729,1245,93,3,23,0,20,13,1242,155
662,84,76,55,72,83,109,110,54,19,245,417,634,0,0,2,0,2,24,626,36
1934,251,263,228,291,241,299,222,98,41,831,1103,1267,217,4,174,3,200,69,1238,696
1476,164,184,149,196,212,259,160,112,40,775,701,1075,205,2,128,0,18,48,1470,6
1085,133,131,120,144,141,169,143,71,33,559,526,779,37,1,199,1,27,41,957,128
660,76,94,61,110,83,90,98,38,10,223,437,498,86,0,32,0,6,38,614,46
1890,193,255,202,280,300,272,218,115,55,912,978,543,107,0,1215,0,20,5,1796,94
1757,218,237,208,272,226,264,183,99,50,709,1048,1071,141,8,199,2,267,69,1027,730
1372,165,157,126,166,232,212,185,98,31,600,772,705,255,0,316,1,6,89,1361,11
1229,138,152,131,152,199,197,153,86,21,578,651,653,228,1,210,1,93,43,1011,218
1956,242,218,190,266,260,298,283,143,56,1095,861,1591,58,1,240,0,34,32,1812,144
1645,196,197,155,216,222,268,223,118,50,847,798,1347,20,0,224,0,18,36,1532,113
1193,153,141,108,157,185,170,159,92,28,535,658,725,46,0,380,0,1,41,1188,5
2508,292,353,282,338,362,375,285,153,68,1168,1340,1292,175,1,792,0,173,75,1976,532
1318,190,181,131,177,182,166,175,83,33,621,697,923,59,0,128,1,90,117,955,363
1971,247,248,200,291,297,279,224,137,48,953,1018,1219,145,5,404,2,61,135,1603,368
2236,257,274,241,310,340,338,269,153,54,995,1241,1299,61,5,693,1,93,84,1800,436
1091,147,125,112,139,149,170,136,84,29,553,538,876,13,0,171,0,21,10,813,278
2027,269,253,244,310,271,288,232,122,38,871,1156,1342,227,3,170,3,204,78,1345,682
1908,278,248,216,228,267,264,244,112,51,865,1043,1242,98,2,326,2,71,167,1425,483
1296,133,160,119,179,202,205,172,91,35,662,634,912,84,0,281,0,4,15,1267,29
2118,234,278,226,288,309,315,286,130,52,949,1169,1286,177,5,530,2,25,93,2005,113
2297,278,292,230,308,306,348,315,147,73,1117,1180,1808,115,2,269,3,61,39,2033,264
1815,216,239,169,218,255,279,252,135,52,852,963,1389,50,0,283,0,4,89,1768,47
2318,295,294,235,304,350,318,310,149,63,1121,1197,1357,398,2,329,2,141,89,1948,370
2297,298,310,232,309,314,345,293,146,50,1152,1145,1381,401,3,289,2,121,100,1743,554
2112,247,275,214,289,331,321,242,139,54,964,1148,1244,104,11,445,2,176,130,1653,459
2277,259,282,249,308,318,337,309,136,79,1298,979,1709,138,2,329,1,20,78,1978,299
2252,259,261,221,263,347,333,317,173,78,1135,1117,1963,62,0,179,1,18,29,2144,108
1827,241,244,190,232,271,272,217,121,39,1116,711,938,137,5,512,2,8,225,1807,20
601,74,69,66,71,72,97,83,53,16,327,274,540,32,0,23,0,0,6,538,63
977,128,117,67,139,147,135,139,78,27,505,472,934,1,0,33,0,0,9,977,0
1075,134,163,127,147,142,145,143,59,15,994,81,523,435,7,51,1,41,17,822,253
1333,164,150,154,170,205,194,160,95,41,544,789,1071,35,0,182,0,1,44,1217,116
2641,346,390,319,382,385,330,281,160,48,1426,1215,1272,720,7,310,1,241,90,1709,932
2596,269,288,252,387,404,390,359,183,64,1357,1239,1907,496,2,132,0,27,32,2424,172
1722,247,275,208,279,243,203,157,81,29,795,927,644,48,3,440,3,293,291,1118,604
1501,176,197,158,209,230,199,200,101,31,752,749,610,302,1,502,1,39,46,1409,92
1286,220,199,164,215,174,156,94,49,15,749,537,701,42,2,24,1,353,163,404,882
2401,288,309,292,323,320,395,272,138,64,1098,1303,1379,444,3,284,14,185,92,1750,651
1337,165,180,149,161,164,211,176,89,42,615,722,904,45,1,275,5,27,80,1213,124
1630,207,208,175,214,228,242,191,112,53,708,922,1108,92,4,246,4,90,86,1305,325
822,87,103,77,111,154,122,95,45,28,374,448,216,20,0,569,1,1,15,822,0
2200,255,286,243,280,348,335,261,133,59,960,1240,1408,94,3,531,0,66,98,1799,401
800,97,114,85,101,119,125,98,39,22,402,398,431,46,1,241,0,14,67,736,64
3147,352,421,328,484,430,472,402,199,59,1424,1723,1226,1060,1,731,3,10,116,3098,49
1179,122,156,158,153,177,143,152,77,41,595,584,562,149,1,408,1,26,32,1054,125
740,102,125,99,105,114,88,63,36,8,478,262,442,14,1,45,1,208,29,218,522
1533,196,194,167,199,203,237,194,98,45,822,711,1080,158,1,196,1,38,59,1295,238
1299,159,159,113,157,176,223,176,91,45,643,656,1103,29,2,100,0,42,23,1166,133
1440,151,193,154,191,201,228,164,110,48,756,684,1115,38,0,256,0,8,23,1376,64
1684,210,203,164,241,229,247,230,116,44,869,815,802,315,2,453,4,20,88,1580,104
1523,220,221,207,224,205,187,159,77,23,745,778,724,285,6,167,2,104,235,1016,507
1497,169,202,140,199,200,225,200,109,53,602,895,1150,94,0,190,1,11,51,1454,43
2967,345,427,294,418,428,409,348,204,94,1373,1594,1550,218,5,1009,7,71,107,2634,333
1244,154,163,149,162,154,191,169,72,30,656,588,645,298,3,137,1,99,61,956,288
1063,110,116,110,125,159,175,149,86,33,507,556,954,53,0,51,0,0,5,1044,19
1394,158,174,123,171,186,227,195,114,46,671,723,1337,6,1,40,0,1,9,1365,29
1396,168,183,129,178,198,245,168,91,36,631,765,849,33,1,386,5,16,106,1306,90
815,87,86,81,115,116,128,123,51,28,424,391,632,8,0,116,0,10,49,781,34
2501,319,342,286,352,380,337,279,154,52,1162,1339,1453,340,10,301,3,271,123,1685,816
2175,257,271,212,274,272,320,326,173,70,1134,1041,1793,102,0,184,2,41,53,2113,62
1950,242,246,196,273,291,289,236,127,50,1007,943,840,317,1,703,1,19,69,1835,115
1267,167,151,110,180,176,183,164,98,38,613,654,834,78,0,185,4,15,151,1240,27
1857,233,270,198,247,256,275,214,130,34,915,942,1202,186,3,255,6,77,128,1400,457
1456,151,178,125,202,205,244,191,109,51,623,833,1163,6,1,275,0,0,11,1436,20
857,86,97,86,126,147,119,119,51,26,488,369,362,56,0,412,0,6,21,831,26
1609,230,247,193,223,220,212,174,75,35,939,670,475,402,0,314,0,136,282,1280,329
1388,169,166,127,174,185,219,195,114,39,693,695,963,75,0,226,1,14,109,1283,105
1613,185,195,158,220,277,258,189,102,29,829,784,709,123,0,749,0,17,15,1502,111
2126,261,251,241,264,309,339,278,131,52,995,1131,1034,209,3,714,2,103,61,1795,331
1227,157,161,112,152,154,183,167,99,42,586,641,854,31,0,167,0,7,168,1194,33
2391,280,307,236,346,340,367,281,169,65,1202,1189,1604,28,0,622,0,29,108,2228,163
2200,272,331,220,264,315,321,253,166,58,1163,1037,1712,96,1,248,1,28,114,1652,548
1183,153,156,117,162,174,176,140,75,30,621,562,609,92,0,343,1,27,111,1050,133
3195,389,419,308,454,471,479,369,217,89,1524,1671,1761,154,1,986,4,50,239,2976,219
641,108,75,53,89,110,88,72,35,11,269,372,344,27,0,146,0,9,115,617,24
2260,263,279,221,308,310,324,318,175,62,1120,1140,1551,95,3,521,0,36,54,2122,138
578,54,73,63,78,86,90,79,37,18,309,269,445,85,0,31,0,10,7,461,117
3230,406,414,372,449,456,463,379,199,92,1689,1541,2162,206,8,439,4,284,127,2345,885
1907,222,266,191,248,295,293,222,121,49,1143,764,975,84,5,761,0,28,54,1744,163
2577,356,382,333,388,369,348,243,117,41,1213,1364,1312,289,6,349,1,447,173,1314,1263
1913,230,265,265,272,284,258,206,108,25,988,925,787,341,1,616,0,142,26,1232,681
946,122,111,87,122,122,158,124,76,24,447,499,827,18,0,101,0,0,0,924,22
1080,142,152,108,147,159,163,128,57,24,487,593,644,31,4,302,0,19,80,978,102
453,59,56,48,57,60,71,55,35,12,254,199,318,4,0,103,0,2,26,439,14
1879,244,243,196,268,276,255,241,111,45,970,909,1152,225,4,310,3,109,76,1345,534
898,116,113,102,119,111,151,110,60,16,451,447,482,129,0,176,1,27,83,803,95
1015,114,136,113,153,132,156,122,69,20,454,561,757,119,2,39,0,77,21,650,365
2066,238,250,210,282,297,318,281,125,65,934,1132,1419,144,1,317,4,58,123,1625,441
2974,348,390,284,392,407,442,396,228,87,1414,1560,2146,197,3,519,1,14,94,2879,95
2490,294,321,254,347,364,385,282,159,84,1260,1230,1679,174,1,435,1,45,155,1994,496
1652,203,256,195,255,222,241,168,90,22,998,654,892,61,4,279,3,381,32,748,904
2360,296,302,224,298,337,353,303,170,77,1116,1244,1938,0,0,302,0,29,91,2179,181
2392,299,307,248,327,361,341,297,154,58,1174,1218,993,524,11,665,1,50,148,2220,172
718,109,89,54,100,106,115,90,45,10,367,351,438,189,0,45,0,18,28,571,147
841,81,93,84,101,129,146,116,73,18,435,406,681,8,0,133,0,11,8,770,71
694,68,97,69,90,98,111,83,53,25,364,330,571,7,0,72,0,10,34,554,140
2017,229,233,200,277,307,291,277,141,62,973,1044,1702,23,0,197,0,2,93,1822,195
1110,126,135,107,157,152,180,150,68,35,545,565,729,86,1,259,0,20,15,1028,82
931,93,118,93,118,130,142,135,80,22,504,427,851,5,0,54,1,0,20,916,15
1160,159,150,126,154,159,172,134,75,31,554,606,640,194,0,173,2,28,123,1052,108
527,59,79,35,59,81,90,58,47,19,280,247,364,19,0,105,1,0,38,517,10
2852,345,372,299,396,410,426,340,195,69,1468,1384,1906,174,6,465,0,212,89,2066,786
2379,278,299,237,330,338,350,322,164,61,1211,1168,1433,477,1,412,2,24,30,2250,129
1288,161,175,131,181,179,211,145,78,27,516,772,1079,57,2,49,0,33,68,883,405
1578,196,181,196,203,233,211,216,99,43,705,873,1127,155,5,218,3,34,36,1309,269
1328,153,162,143,173,173,206,193,95,30,687,641,1115,84,0,82,0,0,47,1260,68
5299,655,669,525,685,777,814,693,344,137,2461,2838,3458,577,7,879,8,160,210,4873,426
3206,409,464,372,432,453,463,356,184,73,1522,1684,1711,235,9,836,3,302,110,2379,827
1261,162,147,143,151,153,221,161,80,43,639,622,939,64,1,141,0,10,106,1192,69
1038,110,132,85,154,145,167,132,77,36,531,507,910,91,0,11,0,3,23,1003,35
2126,230,251,201,286,301,337,286,160,74,1098,1028,1520,54,1,458,2,16,75,2026,100
2130,235,252,231,285,298,324,271,164,70,900,1230,1342,368,5,324,4,13,74,2076,54
2440,272,292,233,335,331,401,330,180,66,1195,1245,1918,169,0,338,0,5,10,2217,223
2063,247,266,211,307,359,267,223,124,59,926,1137,452,99,0,1427,0,9,76,1982,81
1278,167,160,125,159,188,196,173,73,37,566,712,1001,110,0,66,0,73,28,940,338
