"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","white","black.aa","a.ind..nat.ak","asian","nat.hi.pt.isl","other","two.","not.hisp.latino","hisp.latino"
1038,33,71,94,223,197,210,147,63,0,332,706,799,18,0,151,0,12,58,1009,29
1721,189,200,198,224,238,302,193,153,24,978,743,1625,0,0,76,0,0,20,1310,411
1221,133,252,181,62,276,113,131,73,0,590,631,699,162,0,213,0,103,44,1113,108
953,106,188,25,69,139,206,116,64,40,426,527,837,24,0,78,0,0,14,921,32
1434,160,228,124,106,221,273,131,94,97,722,712,1108,0,0,273,0,0,53,1346,88
2631,294,325,207,262,363,481,334,259,106,1327,1304,2097,106,0,166,0,98,164,2367,264
847,112,35,130,152,91,83,106,90,48,441,406,557,45,0,178,0,44,23,705,142
1412,136,140,349,171,247,202,66,81,20,811,601,726,0,0,114,0,120,452,676,736
1962,584,208,57,356,320,155,158,87,37,938,1024,696,273,0,699,0,93,201,1179,783
2297,314,205,231,252,348,309,346,211,81,1241,1056,1445,16,0,666,0,9,161,2159,138
909,184,64,81,112,156,135,109,34,34,439,470,840,0,0,22,14,26,7,810,99
1946,185,400,87,108,359,427,239,103,38,1002,944,1356,16,0,542,0,0,32,1833,113
2918,376,245,285,222,569,476,246,191,308,1398,1520,1889,12,9,819,0,53,136,2726,192
1221,130,96,181,119,216,264,122,79,14,660,561,641,22,0,439,0,110,9,941,280
2516,259,228,355,411,364,380,308,167,44,1166,1350,1776,357,0,153,0,94,136,2117,399
1881,481,203,67,365,243,251,61,90,120,873,1008,624,632,0,446,0,130,49,1368,513
3471,459,410,411,679,372,419,446,155,120,1629,1842,1435,80,32,1720,107,0,97,3420,51
1299,187,118,116,272,227,122,82,126,49,681,618,598,166,0,361,0,147,27,1000,299
2215,231,297,429,260,429,262,209,62,36,1223,992,1368,292,0,398,0,21,136,1930,285
1734,116,291,224,115,210,223,315,132,108,804,930,1347,49,13,207,0,49,69,1467,267
2299,246,399,240,257,349,378,267,160,3,1193,1106,1595,257,0,246,0,111,90,1695,604
1438,118,97,117,127,186,145,275,262,111,745,693,1267,48,15,101,0,0,7,1349,89
1804,259,335,178,116,238,354,264,42,18,910,894,1560,43,0,142,0,0,59,1605,199
3651,412,204,542,445,651,502,341,260,294,1741,1910,2132,138,0,1119,0,228,34,2917,734
1025,32,71,181,276,115,139,142,52,17,403,622,606,198,0,100,0,0,121,944,81
1706,171,221,210,145,214,373,268,97,7,980,726,1006,106,0,459,0,0,135,1598,108
2460,330,402,316,205,333,390,203,207,74,1252,1208,1622,266,0,328,0,20,224,2061,399
2015,323,326,131,230,325,352,224,77,27,996,1019,1545,248,13,167,0,0,42,1909,106
3092,479,469,204,471,440,404,387,215,23,1495,1597,2217,341,0,446,0,38,50,2877,215
1485,156,160,116,91,150,359,262,167,24,712,773,1300,0,0,162,0,0,23,1373,112
1566,314,174,77,224,218,214,330,5,10,768,798,1190,70,0,198,0,35,73,1318,248
865,145,125,24,111,165,74,109,77,35,408,457,666,5,0,176,0,0,18,825,40
2677,355,475,90,205,444,399,341,235,133,1350,1327,2218,20,0,326,0,0,113,2623,54
1409,193,206,75,254,191,147,205,95,43,697,712,742,154,0,146,0,295,72,954,455
1861,251,138,378,481,219,181,101,79,33,881,980,1039,131,0,631,0,7,53,1597,264
1734,240,260,143,90,317,270,157,89,168,826,908,1596,18,0,51,0,19,50,1690,44
2863,321,351,538,430,666,219,274,42,22,1407,1456,1821,44,0,719,0,170,109,2142,721
1268,125,14,366,280,191,108,150,22,12,716,552,762,243,0,153,0,53,57,1144,124
2007,216,458,126,17,493,470,112,96,19,980,1027,1015,73,0,821,0,8,90,1988,19
907,146,198,121,122,149,80,69,11,11,323,584,517,62,0,155,0,63,110,604,303
1330,354,321,70,187,317,67,14,0,0,862,468,434,0,0,0,0,713,183,365,965
2619,660,244,326,540,393,238,213,5,0,1456,1163,1049,808,0,322,0,294,146,1317,1302
1443,141,220,213,95,237,165,230,81,61,721,722,1223,12,0,91,0,78,39,1266,177
1299,0,18,734,301,89,118,21,18,0,731,568,1028,81,0,70,0,15,105,1147,152
2195,464,162,308,295,310,349,157,93,57,1152,1043,1591,213,0,275,0,41,75,1427,768
1939,255,189,147,104,204,381,408,173,78,1002,937,1670,108,0,62,0,0,99,1878,61
2330,211,333,271,210,223,342,555,123,62,1165,1165,1817,155,0,221,0,45,92,2330,0
1603,119,315,181,213,244,353,178,0,0,824,779,840,397,0,109,0,114,143,1032,571
1283,167,83,181,368,191,101,131,52,9,535,748,690,26,0,395,0,89,83,1126,157
2261,319,214,507,296,264,336,128,180,17,1020,1241,877,941,0,341,0,66,36,1548,713
1541,254,153,156,282,410,168,99,19,0,776,765,642,503,0,144,0,178,74,764,777
735,56,91,54,108,51,83,142,113,37,391,344,637,92,0,0,0,0,6,735,0
1683,123,256,278,184,243,315,162,56,66,823,860,752,482,13,150,0,47,239,1442,241
1336,98,250,79,104,255,319,138,28,65,685,651,907,26,0,300,0,19,84,1283,53
1898,317,264,178,311,301,263,149,61,54,953,945,1258,449,0,143,0,0,48,1674,224
1985,223,252,276,124,369,385,134,162,60,946,1039,1294,74,0,493,0,0,124,1798,187
1482,133,281,92,118,228,270,177,136,47,707,775,1053,33,14,331,0,1,50,1458,24
2335,304,252,64,239,487,508,306,175,0,1270,1065,698,911,25,403,0,0,298,2021,314
1124,146,155,313,78,177,87,152,0,16,596,528,402,226,0,349,0,0,147,1050,74
2099,287,377,67,120,299,362,337,112,138,913,1186,1532,101,0,236,0,116,114,1891,208
924,236,79,120,311,83,47,30,18,0,465,459,186,271,0,425,0,0,42,863,61
1488,146,118,68,163,78,349,212,159,195,648,840,719,419,0,260,0,44,46,1386,102
1641,198,98,325,446,236,142,144,52,0,890,751,1260,10,28,330,0,0,13,1576,65
2426,494,173,297,363,423,181,273,91,131,1010,1416,1778,36,0,277,0,0,335,2412,14
1031,84,49,124,254,61,107,118,132,102,443,588,543,92,0,265,0,0,131,1006,25
978,251,12,16,293,164,69,117,56,0,647,331,425,138,0,190,0,0,225,912,66
2747,327,520,465,614,369,204,156,72,20,1465,1282,1529,610,0,199,0,383,26,1594,1153
1397,207,217,73,116,149,147,227,182,79,704,693,1303,88,0,6,0,0,0,1256,141
662,77,139,11,56,142,157,80,0,0,240,422,638,0,0,0,0,0,24,623,39
1934,347,275,184,317,342,336,83,50,0,865,1069,1306,236,0,22,0,370,0,663,1271
1476,164,281,99,181,234,251,179,77,10,749,727,1056,224,16,109,0,18,53,1473,3
1085,159,21,127,338,39,119,128,110,44,537,548,785,37,0,225,0,0,38,960,125
660,8,33,148,204,136,91,29,11,0,218,442,505,95,0,31,0,0,29,601,59
1890,378,228,127,415,334,253,85,48,22,919,971,595,106,0,1189,0,0,0,1801,89
1757,462,231,229,217,232,84,177,61,64,685,1072,986,150,0,221,0,400,0,763,994
1372,196,172,119,321,252,191,98,23,0,607,765,708,257,0,308,0,0,99,1372,0
1229,92,140,408,264,133,134,2,56,0,574,655,675,203,0,204,0,137,10,1012,217
1956,286,248,219,293,244,398,211,53,4,1074,882,1559,68,0,253,0,52,24,1801,155
1645,173,246,142,148,175,342,329,54,36,877,768,1371,19,0,216,0,0,39,1515,130
1193,265,156,23,90,228,108,169,79,75,516,677,736,37,0,380,0,0,40,1193,0
2508,329,229,572,503,297,384,115,57,22,1180,1328,1310,191,0,742,0,253,12,1997,511
1318,152,184,90,164,189,180,228,81,50,629,689,935,41,0,104,0,106,132,991,327
1971,189,439,162,156,399,329,192,99,6,980,991,1247,154,0,374,0,38,158,1611,360
2236,398,330,163,317,287,222,324,141,54,1041,1195,1310,72,0,759,0,13,82,1826,410
1091,141,195,0,227,125,79,205,94,25,538,553,869,0,0,222,0,0,0,820,271
2027,233,152,432,170,200,437,267,79,57,832,1195,1357,258,0,46,0,273,93,1337,690
1908,211,330,158,174,305,364,243,89,34,807,1101,1276,85,0,305,0,23,219,1468,440
1296,116,216,181,50,176,194,255,77,31,709,587,895,102,0,287,0,0,12,1266,30
2118,261,176,247,382,314,263,302,105,68,954,1164,1304,177,0,558,0,0,79,2002,116
2297,171,330,349,241,269,515,307,81,34,1093,1204,1829,115,0,246,26,75,6,2007,290
1815,199,357,137,102,253,444,246,54,23,893,922,1397,56,0,287,0,0,75,1765,50
2318,390,306,372,353,350,275,213,51,8,1116,1202,1378,485,0,190,0,193,72,1949,369
2297,389,239,363,570,329,240,87,58,22,1154,1143,1162,804,0,229,0,19,83,1788,509
2112,246,283,307,466,207,214,302,56,31,953,1159,1247,9,13,462,0,249,132,1699,413
2277,218,204,412,197,283,379,450,80,54,1296,981,1755,138,0,304,0,0,80,2003,274
2252,215,416,145,105,235,441,340,240,115,1105,1147,1952,62,0,182,0,23,33,2132,120
1827,173,144,644,441,307,90,19,9,0,1109,718,914,104,27,512,0,0,270,1807,20
601,41,82,74,44,68,88,80,87,37,318,283,542,33,0,20,0,0,6,540,61
977,110,99,87,186,73,186,159,67,10,486,491,937,0,0,34,0,0,6,977,0
1075,0,92,390,298,139,109,47,0,0,992,83,519,431,11,72,0,21,21,837,238
1333,25,94,44,116,206,145,172,217,314,575,758,1090,35,0,175,0,0,33,1219,114
2641,396,271,349,400,460,314,304,55,92,1434,1207,1355,818,0,305,0,163,0,1783,858
2596,434,430,112,414,488,356,245,117,0,1360,1236,1908,527,0,133,0,0,28,2429,167
1722,418,105,123,324,311,228,98,104,11,784,938,628,55,0,425,0,337,277,1166,556
1501,197,124,402,360,86,138,61,78,55,753,748,607,338,0,481,0,37,38,1407,94
1286,189,152,172,191,210,241,74,49,8,714,572,718,47,0,0,0,356,165,418,868
2401,663,187,281,571,171,229,192,107,0,1143,1258,606,1299,0,215,43,137,101,1795,606
1337,119,195,218,80,186,301,171,60,7,617,720,925,10,0,317,10,0,75,1214,123
1630,192,83,189,232,302,200,217,84,131,671,959,1110,54,0,208,0,178,80,1303,327
822,60,91,150,88,61,153,132,43,44,371,451,233,24,0,565,0,0,0,822,0
2200,207,350,261,361,313,428,199,48,33,962,1238,1428,95,0,523,0,41,113,1837,363
800,98,68,99,226,158,101,24,2,24,405,395,433,57,0,227,0,0,83,723,77
3147,480,418,436,776,368,395,246,0,28,1457,1690,1221,1064,0,742,0,0,120,3100,47
1179,296,22,313,218,107,149,74,0,0,580,599,563,188,0,398,0,0,30,1057,122
740,163,29,182,222,118,0,17,0,9,447,293,439,0,0,0,0,301,0,11,729
1533,296,195,98,257,175,248,167,71,26,796,737,1101,162,0,187,0,20,63,1305,228
1299,56,207,144,236,118,200,159,132,47,630,669,1114,3,0,99,0,83,0,1166,133
1440,185,197,143,127,172,325,172,107,12,744,696,1119,24,0,268,0,3,26,1373,67
1684,184,219,196,156,270,398,212,49,0,849,835,779,354,0,442,0,0,109,1582,102
1523,302,180,308,253,131,310,32,7,0,726,797,488,496,10,182,0,32,315,1060,463
1497,141,38,216,228,159,262,214,164,75,594,903,1144,114,0,186,0,7,46,1473,24
2967,441,324,254,563,415,468,395,76,31,1372,1595,1644,232,0,992,21,0,78,2619,348
1244,161,124,179,232,91,236,136,59,26,682,562,515,440,0,108,0,124,57,964,280
1063,93,137,123,56,95,154,180,146,79,492,571,936,51,0,68,0,0,8,1046,17
1394,204,164,117,85,220,261,108,146,89,647,747,1348,0,0,43,0,0,3,1362,32
1396,147,223,123,95,254,362,108,84,0,629,767,865,32,0,395,11,0,93,1317,79
815,138,179,26,95,158,133,86,0,0,411,404,623,11,0,113,0,15,53,768,47
2501,509,335,147,411,478,183,229,160,49,1145,1356,933,381,0,278,0,779,130,1362,1139
2175,237,260,92,259,157,512,409,159,90,1147,1028,1779,114,0,155,0,69,58,2140,35
1950,235,239,242,168,456,355,142,71,42,1001,949,866,342,0,672,0,11,59,1840,110
1267,289,177,81,214,98,140,161,107,0,622,645,840,66,0,148,0,17,196,1267,0
1857,286,301,263,248,282,261,142,74,0,884,973,1170,205,0,267,4,65,146,1425,432
1456,113,259,80,26,167,308,255,170,78,607,849,1169,0,0,275,0,0,12,1436,20
857,76,13,228,285,96,112,12,9,26,513,344,352,60,0,425,0,0,20,840,17
1609,252,104,480,245,187,113,159,35,34,930,679,497,412,0,295,0,130,275,1274,335
1388,247,225,117,113,249,245,97,73,22,719,669,975,84,0,200,0,5,124,1265,123
1613,181,300,194,122,298,307,118,38,55,844,769,711,134,0,759,0,0,9,1495,118
2126,241,316,412,303,389,192,187,60,26,996,1130,1028,221,0,724,0,129,24,1792,334
1227,147,231,194,80,172,222,69,90,22,583,644,862,0,0,153,0,0,212,1199,28
2391,170,457,315,87,343,541,332,98,48,1204,1187,1623,22,0,630,0,0,116,2235,156
2200,247,434,94,325,379,357,198,125,41,1156,1044,1741,101,0,249,0,11,98,1654,546
1183,84,150,120,235,279,152,152,11,0,618,565,635,80,0,329,0,0,139,1052,131
3195,320,355,573,574,566,330,213,126,138,1520,1675,1797,115,0,1022,0,0,261,2985,210
641,129,101,0,137,145,49,24,28,28,291,350,340,0,0,153,0,0,148,617,24
2260,287,423,221,193,480,433,184,10,29,1092,1168,1565,83,0,600,0,0,12,2108,152
578,70,66,201,110,92,26,13,0,0,282,296,436,142,0,0,0,0,0,467,111
3230,422,321,389,430,447,283,366,203,369,1649,1581,2193,225,0,327,0,431,54,1688,1542
1907,278,357,294,378,293,217,90,0,0,1153,754,1051,88,7,703,0,0,58,1740,167
2577,542,406,244,376,343,204,335,94,33,1231,1346,1311,329,0,355,0,411,171,1385,1192
1913,157,215,236,313,337,241,242,104,68,977,936,755,396,0,634,0,128,0,1276,637
946,109,143,61,55,96,131,182,84,85,452,494,827,13,0,106,0,0,0,921,25
1080,215,113,33,143,206,104,131,115,20,443,637,642,0,15,343,0,0,80,982,98
453,51,17,20,87,69,76,94,39,0,247,206,321,0,0,101,0,0,31,440,13
1879,312,322,254,226,331,204,191,39,0,973,906,1136,292,0,314,0,91,46,1354,525
898,78,18,235,291,87,124,28,37,0,438,460,480,149,0,192,0,0,77,796,102
1015,167,126,43,346,124,89,34,48,38,421,594,769,140,0,0,0,106,0,684,331
2066,386,189,308,477,364,281,34,27,0,929,1137,1421,138,0,321,0,0,186,1637,429
2974,363,596,214,234,530,441,449,116,31,1452,1522,2165,206,18,493,0,0,92,2879,95
2490,418,306,248,403,213,278,344,179,101,1224,1266,1665,215,0,455,0,0,155,2009,481
1652,177,249,271,333,226,168,158,46,24,981,671,898,77,0,298,0,357,22,806,846
2360,358,415,106,157,378,443,223,216,64,1055,1305,1952,0,0,300,0,18,90,2209,151
2392,308,459,285,194,542,436,123,20,25,1147,1245,1001,522,18,641,0,62,148,2207,185
718,14,53,131,252,183,78,7,0,0,376,342,418,226,0,39,0,16,19,581,137
841,41,162,26,32,130,157,123,149,21,405,436,676,5,0,143,0,0,17,758,83
694,126,17,39,232,143,39,84,0,14,362,332,564,0,0,78,0,0,52,551,143
2017,269,186,111,341,166,290,363,215,76,979,1038,1735,21,0,171,0,0,90,1834,183
1110,187,149,92,132,120,151,177,83,19,529,581,709,89,0,301,0,0,11,1042,68
931,68,188,37,92,132,126,204,57,27,507,424,856,0,0,55,8,0,12,918,13
1160,95,185,113,88,146,151,250,53,79,581,579,652,186,0,179,0,12,131,1064,96
527,58,66,45,0,76,131,75,70,6,269,258,365,0,0,102,0,0,60,522,5
2852,385,190,530,631,288,447,349,19,13,1483,1369,1948,181,0,453,0,188,82,2119,733
2379,164,451,241,395,289,354,335,87,63,1201,1178,1469,504,0,389,0,9,8,2239,140
1288,181,111,163,179,334,117,121,53,29,505,783,1095,65,13,30,0,23,62,885,403
1578,207,190,220,144,235,249,138,65,130,724,854,1131,160,38,216,0,0,33,1335,243
1328,77,155,186,104,100,349,317,40,0,664,664,1126,80,0,74,0,0,48,1258,70
5299,90,2439,2319,139,136,68,88,11,9,2542,2757,3485,860,0,562,17,164,211,4848,451
3206,396,709,524,431,445,305,241,155,0,1519,1687,1463,254,0,844,0,610,35,1791,1415
1261,84,166,200,121,138,314,174,50,14,666,595,958,56,0,124,0,0,123,1187,74
1038,116,136,72,78,86,191,196,117,46,550,488,909,99,0,10,0,0,20,1013,25
2126,176,314,209,353,273,409,279,99,14,1063,1063,1526,12,10,505,1,0,72,2020,106
2130,330,336,366,533,151,253,106,55,0,904,1226,1353,432,26,302,0,0,17,2072,58
2440,220,389,257,270,212,400,450,182,60,1190,1250,1893,163,0,374,0,0,10,2227,213
2063,264,250,204,345,362,290,224,35,89,930,1133,510,106,0,1370,0,0,77,1986,77
1278,108,69,222,250,205,222,135,35,32,569,709,1019,105,0,33,0,96,25,956,322
