"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","white","black.aa","a.ind..nat.ak","asian","nat.hi.pt.isl","other","two.","not.hisp.latino","hisp.latino"
1422,160,159,179,167,166,224,183,126,58,692,730,1041,202,4,96,0,28,51,1310,112
662,77,81,83,69,74,107,89,50,32,336,326,484,100,3,41,2,8,24,621,41
3384,349,398,393,444,413,452,473,296,166,1676,1708,2467,507,9,221,1,56,123,3106,278
973,108,120,115,121,115,147,120,88,39,501,472,698,153,0,62,0,18,42,895,78
1775,192,214,200,209,239,263,262,137,59,846,929,1290,240,4,136,5,36,64,1645,130
1038,101,145,119,119,150,142,148,82,32,507,531,764,142,6,70,2,23,31,944,94
1721,193,232,211,211,238,224,219,117,76,849,872,1248,273,5,102,0,29,64,1583,138
1221,129,142,148,154,145,187,173,95,48,608,613,858,204,6,93,1,21,38,1130,91
953,96,104,102,123,125,158,129,67,49,449,504,681,152,5,65,1,19,30,887,66
1434,165,198,175,161,181,201,203,102,48,701,733,1026,228,4,93,0,24,59,1331,103
2631,281,315,319,319,320,363,384,202,128,1336,1295,1896,408,4,157,4,57,105,2417,214
847,120,80,94,117,100,128,103,58,47,422,425,623,115,2,51,0,16,40,795,52
1412,152,196,159,163,160,207,213,107,55,676,736,1021,211,4,104,1,19,52,1315,97
1962,225,220,226,262,233,285,263,159,89,963,999,1472,272,6,119,4,32,57,1825,137
2297,246,292,274,283,289,340,280,197,96,1089,1208,1668,369,1,131,1,45,82,2126,171
909,85,107,127,125,114,144,95,67,45,448,461,672,128,4,65,0,21,19,834,75
1946,210,246,230,247,230,288,280,136,79,945,1001,1396,275,4,140,2,37,92,1803,143
2918,320,352,352,351,354,453,361,244,131,1418,1500,2116,423,4,197,1,62,115,2677,241
1221,132,156,153,152,148,159,169,99,53,587,634,919,167,6,72,0,22,35,1118,103
2516,257,314,304,323,307,352,331,222,106,1256,1260,1849,367,7,169,7,45,72,2332,184
1881,207,226,202,237,233,287,252,138,99,921,960,1358,292,2,120,2,36,71,1738,143
3471,346,434,421,461,416,500,456,283,154,1655,1816,2525,507,9,246,4,68,112,3232,239
1299,163,156,164,153,163,179,164,108,49,608,691,966,174,5,95,1,10,48,1200,99
2215,233,279,258,302,290,317,295,160,81,1083,1132,1585,328,9,156,2,43,92,2042,173
1734,185,197,218,212,215,245,247,134,81,896,838,1257,260,3,110,1,37,66,1594,140
2299,242,305,244,278,259,335,320,203,113,1098,1201,1708,319,9,139,2,40,82,2147,152
1438,132,157,163,183,185,201,229,118,70,696,742,1053,213,9,102,3,21,37,1349,89
1804,195,228,209,201,256,257,229,150,79,870,934,1327,273,3,112,0,32,57,1664,140
3651,367,463,443,445,447,554,498,267,167,1813,1838,2664,573,13,219,4,65,113,3382,269
1025,103,132,122,135,140,147,130,73,43,508,517,751,158,5,55,1,17,38,954,71
1706,178,196,203,227,212,269,222,130,69,787,919,1242,264,6,85,4,32,73,1582,124
2460,263,309,302,318,291,330,342,208,97,1259,1201,1812,374,6,152,1,38,77,2273,187
2015,218,269,242,271,248,277,266,148,76,968,1047,1456,301,6,154,2,23,73,1885,130
3092,307,387,383,363,377,476,428,235,136,1450,1642,2249,474,6,199,5,46,113,2856,236
1485,153,183,167,207,184,198,206,119,68,709,776,1088,219,5,84,0,23,66,1385,100
1566,150,175,193,198,177,234,222,140,77,772,794,1140,230,4,102,1,30,59,1452,114
865,102,112,108,94,107,123,114,67,38,444,421,624,151,5,50,0,18,17,793,72
2677,295,316,319,346,326,399,332,238,106,1384,1293,1953,400,5,170,4,41,104,2469,208
1409,131,178,164,177,169,186,211,125,68,685,724,1026,211,2,95,0,22,53,1315,94
1861,183,239,209,249,235,262,266,147,71,922,939,1360,294,7,114,1,30,55,1726,135
1734,172,239,218,200,211,245,237,148,64,843,891,1248,258,4,125,1,29,69,1611,123
2863,337,380,320,358,355,378,375,237,123,1380,1483,2118,433,13,168,1,42,88,2663,200
1268,136,159,138,175,148,179,179,117,37,628,640,935,186,3,76,0,24,44,1177,91
2007,220,260,251,254,250,288,245,156,83,993,1014,1439,316,3,141,2,37,69,1866,141
907,89,88,104,117,110,152,147,58,42,420,487,677,125,5,60,1,12,27,845,62
1330,157,155,168,173,142,202,201,88,44,663,667,979,198,5,81,1,26,40,1227,103
2619,285,314,322,327,328,383,357,181,122,1302,1317,1920,360,14,163,3,51,108,2417,202
1443,138,175,170,190,173,216,195,112,74,694,749,1037,237,6,86,1,24,52,1340,103
1299,149,158,162,163,129,195,171,100,72,642,657,925,196,5,99,2,26,46,1222,77
2195,221,250,263,297,269,325,293,194,83,1094,1101,1620,314,9,139,0,42,71,2038,157
1939,197,242,259,235,220,284,264,155,83,887,1052,1401,317,11,115,0,21,74,1804,135
2330,268,263,299,300,295,317,287,204,97,1158,1172,1660,363,13,167,1,30,96,2160,170
1603,190,196,196,201,217,196,196,132,79,804,799,1178,234,2,108,1,29,51,1490,113
1283,125,156,152,153,171,197,180,106,43,632,651,969,173,3,72,1,17,48,1177,106
2261,242,275,258,252,311,353,304,171,95,1117,1144,1661,346,9,130,2,38,75,2097,164
1541,196,166,161,221,170,223,230,120,54,759,782,1159,213,3,81,3,30,52,1425,116
735,80,83,93,95,88,113,102,61,20,370,365,543,113,4,42,1,10,22,673,62
1683,169,209,235,206,192,240,225,133,74,762,921,1219,271,10,101,0,17,65,1566,117
1336,151,151,138,179,165,201,190,110,51,658,678,969,205,4,91,1,20,46,1251,85
1898,205,232,231,248,218,281,268,146,69,946,952,1414,279,6,109,0,24,66,1773,125
1985,204,230,225,248,256,289,267,178,88,948,1037,1480,268,6,129,2,36,64,1848,137
1482,199,180,160,189,186,217,167,123,61,742,740,1100,218,3,76,1,21,63,1360,122
2335,279,273,254,297,299,301,340,183,109,1158,1177,1720,367,6,125,1,33,83,2183,152
1124,129,126,133,142,134,183,149,84,44,535,589,822,185,3,60,2,13,39,1057,67
2099,212,231,240,275,275,316,280,171,99,1007,1092,1554,320,4,112,3,41,65,1932,167
924,89,100,131,111,95,143,132,79,44,433,491,689,118,2,73,0,12,30,855,69
1488,159,202,168,192,194,203,203,100,67,723,765,1133,194,5,78,1,30,47,1376,112
1641,163,194,180,243,214,214,229,133,71,775,866,1189,267,5,116,1,22,41,1521,120
2426,258,257,297,297,305,346,352,218,96,1225,1201,1792,335,7,153,0,43,96,2263,163
1031,126,128,108,144,136,146,122,79,42,503,528,757,158,0,62,0,16,38,956,75
978,117,137,110,111,130,136,119,89,29,471,507,710,165,2,59,1,11,30,912,66
2747,321,324,315,365,349,389,353,223,108,1368,1379,1964,425,7,192,0,54,105,2568,179
1397,142,169,165,187,171,227,171,101,64,681,716,992,221,3,105,2,24,50,1306,91
662,78,85,76,98,80,76,88,49,32,305,357,468,119,1,37,0,12,25,608,54
1934,196,230,210,256,240,298,247,171,86,928,1006,1426,283,9,115,2,33,66,1800,134
1476,155,183,175,188,194,205,183,129,64,684,792,1105,224,3,83,0,13,48,1369,107
1085,110,133,129,132,144,179,134,84,40,504,581,768,160,3,81,0,22,51,1009,76
660,62,83,84,89,75,111,71,49,36,315,345,469,104,1,47,1,10,28,621,39
1890,201,226,215,229,274,279,248,131,87,954,936,1376,276,3,123,1,39,72,1754,136
1757,194,187,229,227,228,275,224,121,72,867,890,1266,272,7,119,2,35,56,1624,133
1372,127,157,177,155,174,202,189,118,73,669,703,1028,196,8,77,2,23,38,1272,100
1229,135,146,141,200,152,176,146,87,46,611,618,904,181,3,71,0,21,49,1131,98
1956,202,222,220,236,256,316,263,151,90,927,1029,1448,283,2,122,1,28,72,1796,160
1645,165,194,208,211,215,231,228,115,78,837,808,1203,240,7,102,0,30,63,1502,143
1193,111,154,146,143,170,174,156,89,50,569,624,881,169,5,62,1,25,50,1097,96
2508,261,314,291,310,296,351,351,203,131,1210,1298,1793,403,12,175,3,39,83,2331,177
1318,123,176,189,144,160,186,190,94,56,624,694,963,206,6,90,0,19,34,1218,100
1971,224,226,241,247,237,275,290,147,84,942,1029,1431,321,9,115,1,30,64,1825,146
2236,251,272,257,308,252,306,315,168,107,1103,1133,1683,301,6,138,0,35,73,2071,165
1091,113,137,137,148,119,160,126,104,47,545,546,839,143,2,48,1,14,44,1026,65
2027,199,276,254,242,232,300,269,155,100,941,1086,1472,299,3,139,4,36,74,1891,136
1908,193,229,202,266,238,278,244,153,105,924,984,1420,255,5,121,6,25,76,1760,148
1296,130,177,172,136,179,179,164,103,56,652,644,941,204,6,79,2,13,51,1226,70
2118,214,289,246,262,267,295,278,168,99,1000,1118,1550,321,5,124,1,42,75,1943,175
2297,225,272,283,285,303,340,299,199,91,1149,1148,1650,367,7,142,2,29,100,2134,163
1815,199,240,234,214,213,265,217,148,85,837,978,1327,270,7,107,3,31,70,1668,147
2318,241,284,282,307,277,338,298,193,98,1164,1154,1676,369,9,140,1,45,78,2119,199
2297,243,283,246,294,298,324,318,189,102,1105,1192,1695,340,4,137,1,38,82,2135,162
2112,213,308,265,269,261,263,308,140,85,1029,1083,1512,324,5,152,2,31,86,1964,148
2277,264,267,267,265,293,311,310,204,96,1114,1163,1668,336,6,154,2,37,74,2119,158
2252,228,315,270,271,273,322,309,183,81,1127,1125,1609,339,6,159,3,44,92,2095,157
1827,182,261,204,249,198,246,255,149,83,880,947,1345,285,6,88,1,27,75,1698,129
601,66,71,76,90,67,94,80,34,23,298,303,458,69,3,40,0,11,20,550,51
977,111,121,93,141,121,132,132,84,42,470,507,717,137,4,59,0,16,44,906,71
1075,100,121,156,119,139,158,146,75,61,528,547,807,144,5,69,1,16,33,991,84
1333,150,168,155,190,161,179,178,103,49,672,661,1013,169,5,75,1,30,40,1222,111
2641,269,359,285,323,354,382,330,227,112,1300,1341,1915,393,10,179,2,50,92,2440,201
2596,280,313,316,330,303,370,362,222,100,1269,1327,1899,383,11,159,4,44,96,2406,190
1722,164,193,207,221,198,268,236,150,85,852,870,1254,257,4,107,1,35,64,1594,128
1501,150,199,167,191,191,223,200,121,59,727,774,1090,237,7,91,1,22,53,1389,112
1286,149,173,161,150,155,193,157,104,44,641,645,923,193,3,90,0,23,54,1190,96
2401,264,294,289,319,297,347,324,176,91,1179,1222,1728,377,9,161,2,48,76,2216,185
1337,138,163,148,177,161,193,192,104,61,678,659,963,214,4,90,0,25,41,1241,96
1630,177,170,197,196,231,223,223,143,70,772,858,1166,257,8,108,1,36,54,1516,114
822,85,114,106,111,94,115,108,60,29,420,402,606,127,4,39,0,15,31,757,65
2200,225,276,259,285,278,298,309,186,84,1078,1122,1639,314,6,141,0,30,70,2038,162
800,76,108,117,91,92,111,97,69,39,403,397,581,116,2,59,1,10,31,752,48
3147,311,397,365,414,374,436,453,260,137,1546,1601,2282,508,6,192,3,56,100,2930,217
1179,110,162,158,141,134,163,157,99,55,576,603,853,177,2,79,1,21,46,1103,76
740,82,92,76,103,100,96,97,61,33,378,362,533,119,1,43,1,15,28,692,48
1533,170,187,173,192,182,229,203,133,64,742,791,1115,221,6,100,2,37,52,1410,123
1299,146,194,149,152,147,192,165,101,53,633,666,968,184,2,80,2,15,48,1211,88
1440,170,146,165,198,179,189,212,127,54,681,759,1027,212,0,106,1,30,64,1346,94
1684,186,188,182,224,213,219,243,151,78,820,864,1240,255,3,104,1,26,55,1556,128
1523,164,192,172,161,220,217,202,128,67,716,807,1121,235,3,96,0,26,42,1412,111
1497,138,169,165,196,187,239,203,126,74,724,773,1096,231,2,92,1,22,53,1374,123
2967,294,375,342,390,354,416,425,245,126,1461,1506,2151,477,5,184,3,53,94,2758,209
1244,155,147,144,155,148,160,152,121,62,610,634,928,170,3,79,0,28,36,1151,93
1063,104,125,139,146,116,143,152,105,33,519,544,779,170,3,74,0,8,29,985,78
1394,159,166,162,160,177,202,184,113,71,686,708,1054,187,3,80,1,17,52,1285,109
1396,137,190,175,174,159,194,192,99,76,680,716,1041,183,2,98,2,21,49,1317,79
815,89,100,87,89,117,136,104,56,37,401,414,596,128,4,47,1,15,24,757,58
2501,288,329,299,322,309,332,322,196,104,1208,1293,1817,376,8,166,1,46,87,2327,174
2175,238,293,235,269,297,284,266,197,96,1100,1075,1625,304,3,121,2,41,79,2021,154
1950,212,258,218,266,229,285,241,177,64,968,982,1444,299,6,111,2,22,66,1815,135
1267,153,143,151,175,160,176,154,97,58,614,653,930,195,2,75,0,17,48,1172,95
1857,210,221,230,241,203,268,262,141,81,918,939,1323,283,5,124,2,37,83,1700,157
1456,150,196,192,158,210,200,176,114,60,720,736,1062,222,7,89,2,16,58,1374,82
857,106,104,100,111,96,109,110,86,35,415,442,604,141,0,55,1,18,38,794,63
1609,169,216,199,175,191,235,240,122,62,808,801,1177,214,9,110,0,31,68,1496,113
1388,148,192,155,169,180,207,153,120,64,654,734,1022,202,3,78,1,25,57,1261,127
1613,174,190,181,197,201,245,221,135,69,757,856,1176,224,5,111,1,32,64,1489,124
2126,234,254,260,269,278,320,261,158,92,1032,1094,1547,315,3,133,7,39,82,1957,169
1227,135,146,141,199,152,176,145,87,46,611,616,903,181,3,71,0,21,48,1129,98
2391,231,278,318,308,296,346,308,195,111,1149,1242,1729,382,8,150,3,23,96,2225,166
2200,264,285,263,272,245,297,320,170,84,1059,1141,1631,329,13,123,3,38,63,2046,154
1183,136,141,143,133,151,157,167,105,50,567,616,866,168,2,78,1,21,47,1091,92
3195,316,388,387,376,417,499,426,239,147,1581,1614,2359,457,10,209,4,58,98,2973,222
641,62,85,68,68,75,107,89,62,25,328,313,463,107,0,39,2,9,21,587,54
2260,242,322,277,282,268,307,298,170,94,1097,1163,1648,331,7,144,2,33,95,2079,181
578,60,75,69,62,82,69,79,56,26,265,313,423,79,4,32,0,9,31,545,33
3230,373,409,354,405,423,449,401,262,154,1563,1667,2374,464,5,199,3,62,123,2994,236
1907,212,214,243,232,239,279,258,149,81,916,991,1388,292,6,114,3,41,63,1771,136
2577,270,318,316,312,327,373,338,208,115,1253,1324,1876,416,6,164,1,39,75,2410,167
1913,210,257,217,220,241,268,241,159,100,938,975,1412,282,4,111,1,35,68,1775,138
946,98,132,125,114,129,124,116,70,38,459,487,717,126,4,60,0,7,32,883,63
1080,116,131,110,136,127,170,150,95,45,561,519,793,166,1,64,2,15,39,1003,77
453,49,50,56,52,53,65,65,41,22,203,250,322,70,0,32,0,11,18,426,27
1879,199,227,208,252,234,278,240,151,90,898,981,1396,263,8,112,2,30,68,1729,150
898,106,114,107,119,109,109,120,70,44,414,484,636,157,2,54,0,14,35,829,69
1015,121,105,125,103,143,153,140,83,42,485,530,752,151,9,61,1,15,26,944,71
2066,231,258,236,226,237,334,267,186,91,968,1098,1513,313,7,116,0,42,75,1887,179
2974,331,391,343,337,437,396,384,233,122,1426,1548,2140,414,7,238,0,60,115,2731,243
2490,251,303,309,301,309,403,319,207,88,1209,1281,1787,396,8,174,2,38,85,2308,182
1652,185,201,204,200,199,236,226,130,71,786,866,1191,247,2,124,1,31,56,1530,122
2360,265,281,266,298,301,327,333,177,112,1127,1233,1765,317,6,156,3,31,82,2188,172
2392,270,319,285,302,310,346,298,183,79,1169,1223,1747,344,8,159,4,42,88,2211,181
718,75,97,95,83,87,125,86,48,22,363,355,516,128,1,33,1,7,32,659,59
841,91,119,114,86,101,117,113,67,33,410,431,616,129,2,44,1,12,37,783,58
694,75,95,84,87,85,100,81,56,31,337,357,516,106,0,37,0,12,23,632,62
2017,216,258,252,261,226,280,266,175,83,1000,1017,1495,276,12,121,3,32,78,1854,163
1110,131,152,122,125,143,142,149,97,49,520,590,812,161,6,63,0,15,53,1038,72
931,92,119,116,97,109,159,131,70,38,471,460,677,132,3,71,0,16,32,868,63
1160,118,166,143,141,143,153,139,93,64,549,611,857,166,4,62,1,22,48,1080,80
527,62,61,57,60,77,70,66,48,26,265,262,385,80,1,33,1,6,21,485,42
2852,287,358,339,368,348,399,399,244,110,1395,1457,2130,382,5,193,0,50,92,2622,230
2379,259,276,299,308,279,336,334,195,93,1175,1204,1737,353,11,144,4,42,88,2204,175
1288,149,151,157,145,161,174,178,117,56,624,664,938,193,2,81,1,24,49,1186,102
1578,172,180,185,212,202,231,203,114,79,757,821,1138,233,3,111,3,32,58,1455,123
1328,131,161,145,186,164,211,165,97,68,640,688,972,182,4,87,3,18,62,1216,112
5299,573,629,623,696,660,728,749,412,229,2607,2692,3855,810,22,349,5,82,176,4931,368
3206,338,403,390,406,383,459,445,258,124,1572,1634,2380,449,10,196,1,51,119,2978,228
1261,130,133,137,153,180,207,165,95,61,595,666,932,178,0,84,1,21,45,1144,117
1038,119,121,118,135,114,152,152,87,40,493,545,748,166,5,63,0,16,40,959,79
2126,226,295,248,234,245,296,328,174,80,1047,1079,1551,318,9,143,3,28,74,1989,137
2130,245,279,256,267,242,313,271,170,87,1058,1072,1566,301,4,135,3,38,83,1986,144
2440,246,320,296,278,285,360,337,206,112,1163,1277,1763,387,5,165,2,37,81,2282,158
2063,215,258,234,257,256,308,265,181,89,976,1087,1494,322,3,138,1,30,75,1927,136
1278,141,151,162,157,156,177,161,111,62,650,628,935,196,4,71,0,18,54,1186,92
