"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59","COL60","COL61","COL62","COL63","COL64","COL65","COL66","COL67","COL68","COL69","COL70","COL71","COL72","COL73","COL74","COL75","COL76","COL77","COL78","COL79","COL80","COL81","COL82","COL83","COL84","COL85","COL86","COL87","COL88","COL89","COL90","COL91","COL92","COL93","COL94","COL95","COL96"
"59150014",1070.00,115.00,20.00,40.00,55.00,650.00,80.00,55.00,40.00,35.00,30.00,60.00,90.00,90.00,90.00,85.00,305.00,90.00,90.00,55.00,30.00,30.00,20.00,10.00,0.00,0.00,48.20,100.00,10.70,60.70,28.50,2.80,520.00,60.00,10.00,20.00,25.00,300.00,40.00,30.00,15.00,15.00,15.00,20.00,45.00,30.00,45.00,40.00,160.00,40.00,45.00,40.00,10.00,15.00,15.00,5.00,0.00,0.00,48.60,100.00,11.50,57.70,30.80,2.90,550.00,55.00,10.00,20.00,30.00,350.00,40.00,30.00,20.00,20.00,15.00,35.00,50.00,55.00,45.00,40.00,145.00,45.00,45.00,20.00,20.00,15.00,5.00,10.00,0.00,0.00,47.80,100.00,10.00,63.60,26.40,2.70
"59150015",495.00,100.00,20.00,30.00,45.00,310.00,50.00,30.00,10.00,5.00,20.00,40.00,40.00,45.00,40.00,25.00,90.00,25.00,30.00,15.00,10.00,10.00,10.00,0.00,0.00,0.00,40.80,100.00,20.20,62.60,18.20,2.00,235.00,50.00,10.00,15.00,25.00,145.00,20.00,15.00,5.00,0.00,10.00,15.00,25.00,15.00,25.00,15.00,40.00,5.00,10.00,10.00,5.00,5.00,5.00,0.00,0.00,0.00,41.70,100.00,21.30,61.70,17.00,2.10,260.00,45.00,10.00,20.00,20.00,170.00,35.00,15.00,10.00,5.00,15.00,25.00,20.00,25.00,20.00,10.00,50.00,15.00,15.00,5.00,5.00,5.00,0.00,0.00,5.00,0.00,39.90,100.00,17.30,65.40,19.20,1.90
"59150016",410.00,110.00,20.00,45.00,45.00,250.00,30.00,10.00,10.00,5.00,20.00,35.00,50.00,25.00,40.00,25.00,55.00,20.00,10.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,38.50,100.00,26.80,61.00,13.40,1.20,190.00,55.00,10.00,25.00,30.00,110.00,10.00,5.00,5.00,5.00,0.00,10.00,25.00,10.00,20.00,15.00,25.00,10.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,38.10,100.00,28.90,57.90,13.20,0.00,220.00,50.00,10.00,20.00,20.00,135.00,20.00,5.00,5.00,5.00,15.00,20.00,25.00,15.00,20.00,15.00,30.00,10.00,5.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,38.80,100.00,22.70,61.40,13.60,2.30
"59150017",300.00,50.00,10.00,20.00,20.00,190.00,25.00,15.00,15.00,5.00,10.00,20.00,20.00,30.00,35.00,25.00,60.00,20.00,15.00,15.00,5.00,10.00,0.00,0.00,0.00,0.00,43.60,100.00,16.70,63.30,20.00,3.30,145.00,25.00,10.00,10.00,10.00,90.00,5.00,10.00,5.00,5.00,5.00,10.00,10.00,10.00,20.00,10.00,25.00,10.00,5.00,10.00,0.00,5.00,0.00,0.00,0.00,0.00,43.10,100.00,17.20,62.10,17.20,3.40,155.00,20.00,5.00,15.00,5.00,100.00,15.00,5.00,10.00,5.00,5.00,15.00,5.00,15.00,10.00,10.00,30.00,15.00,15.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,44.00,100.00,12.90,64.50,19.40,0.00
"59150018",540.00,70.00,10.00,30.00,30.00,305.00,45.00,35.00,10.00,0.00,15.00,15.00,45.00,65.00,50.00,35.00,165.00,55.00,50.00,30.00,15.00,15.00,10.00,5.00,5.00,0.00,48.30,100.00,13.00,56.50,30.60,2.80,255.00,30.00,0.00,10.00,15.00,140.00,15.00,20.00,10.00,0.00,0.00,5.00,20.00,25.00,20.00,15.00,85.00,20.00,30.00,15.00,5.00,10.00,5.00,5.00,0.00,0.00,49.30,100.00,11.80,54.90,33.30,3.90,285.00,40.00,10.00,20.00,15.00,170.00,25.00,15.00,5.00,0.00,10.00,15.00,25.00,35.00,30.00,15.00,80.00,30.00,20.00,10.00,10.00,5.00,5.00,0.00,5.00,0.00,47.40,100.00,14.00,59.60,28.10,1.80
"59150019",595.00,125.00,20.00,45.00,55.00,345.00,35.00,30.00,5.00,10.00,20.00,50.00,65.00,45.00,30.00,45.00,130.00,35.00,45.00,25.00,15.00,10.00,10.00,0.00,0.00,0.00,43.10,100.00,21.00,58.00,21.80,1.70,285.00,60.00,5.00,25.00,25.00,160.00,15.00,15.00,5.00,5.00,5.00,25.00,30.00,30.00,15.00,25.00,65.00,20.00,20.00,10.00,5.00,5.00,5.00,5.00,0.00,0.00,43.50,100.00,21.10,56.10,22.80,1.80,310.00,60.00,5.00,20.00,35.00,185.00,20.00,15.00,0.00,10.00,15.00,25.00,35.00,20.00,15.00,20.00,65.00,15.00,20.00,15.00,10.00,10.00,5.00,0.00,0.00,0.00,42.80,100.00,19.40,59.70,21.00,3.20
"59150020",390.00,80.00,20.00,25.00,25.00,255.00,30.00,20.00,15.00,0.00,20.00,25.00,45.00,40.00,30.00,25.00,55.00,10.00,15.00,20.00,5.00,5.00,5.00,0.00,0.00,0.00,40.10,100.00,20.50,65.40,14.10,1.30,190.00,35.00,10.00,15.00,10.00,125.00,15.00,10.00,10.00,0.00,10.00,15.00,20.00,25.00,15.00,10.00,30.00,5.00,10.00,10.00,0.00,5.00,5.00,0.00,0.00,0.00,40.20,100.00,18.40,65.80,15.80,2.60,200.00,40.00,15.00,15.00,20.00,130.00,10.00,15.00,10.00,5.00,15.00,10.00,25.00,15.00,15.00,10.00,30.00,5.00,5.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,40.00,100.00,20.00,65.00,15.00,2.50
"59150021",290.00,45.00,10.00,20.00,20.00,185.00,25.00,30.00,10.00,5.00,10.00,15.00,20.00,25.00,30.00,20.00,55.00,20.00,15.00,10.00,5.00,5.00,5.00,0.00,0.00,0.00,41.90,100.00,15.50,63.80,19.00,1.70,145.00,30.00,10.00,10.00,10.00,90.00,15.00,20.00,10.00,0.00,5.00,5.00,5.00,10.00,15.00,10.00,25.00,15.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,39.40,100.00,20.70,62.10,17.20,0.00,145.00,20.00,5.00,5.00,10.00,90.00,15.00,5.00,5.00,0.00,5.00,10.00,15.00,15.00,15.00,10.00,25.00,10.00,10.00,10.00,0.00,5.00,5.00,0.00,0.00,0.00,44.50,100.00,13.80,62.10,17.20,3.40
"59150022",295.00,70.00,20.00,25.00,30.00,175.00,35.00,15.00,5.00,5.00,10.00,25.00,30.00,20.00,15.00,15.00,45.00,20.00,10.00,10.00,5.00,0.00,0.00,0.00,0.00,0.00,37.70,100.00,23.70,59.30,15.30,0.00,150.00,40.00,10.00,15.00,15.00,80.00,15.00,5.00,5.00,0.00,5.00,10.00,15.00,10.00,5.00,5.00,25.00,10.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,37.60,100.00,26.70,53.30,16.70,0.00,145.00,25.00,5.00,10.00,15.00,95.00,25.00,10.00,0.00,5.00,5.00,15.00,20.00,5.00,10.00,5.00,20.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.80,100.00,17.20,65.50,13.80,0.00
"59150023",550.00,95.00,15.00,40.00,45.00,370.00,60.00,40.00,20.00,10.00,15.00,50.00,45.00,50.00,45.00,35.00,85.00,30.00,25.00,15.00,5.00,10.00,5.00,0.00,0.00,0.00,40.20,100.00,17.30,67.30,15.50,1.80,285.00,50.00,5.00,25.00,20.00,190.00,40.00,20.00,10.00,5.00,5.00,20.00,25.00,20.00,25.00,20.00,40.00,15.00,10.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,39.10,100.00,17.50,66.70,14.00,1.80,270.00,45.00,5.00,20.00,25.00,180.00,20.00,20.00,10.00,10.00,10.00,30.00,20.00,30.00,15.00,20.00,45.00,15.00,15.00,5.00,5.00,5.00,0.00,5.00,0.00,0.00,41.30,100.00,16.70,66.70,16.70,1.90
"59150024",340.00,45.00,15.00,15.00,20.00,205.00,25.00,25.00,5.00,10.00,15.00,15.00,20.00,30.00,30.00,35.00,90.00,25.00,30.00,25.00,10.00,10.00,5.00,10.00,0.00,0.00,48.20,100.00,13.20,60.30,26.50,2.90,170.00,25.00,5.00,10.00,10.00,95.00,10.00,15.00,5.00,0.00,10.00,5.00,10.00,15.00,10.00,15.00,45.00,10.00,10.00,10.00,5.00,5.00,5.00,0.00,0.00,0.00,46.30,100.00,14.70,55.90,26.50,2.90,175.00,20.00,5.00,5.00,5.00,110.00,15.00,10.00,0.00,10.00,5.00,10.00,10.00,15.00,20.00,20.00,50.00,10.00,15.00,15.00,5.00,5.00,0.00,5.00,0.00,0.00,50.10,100.00,11.40,62.90,28.60,2.90
"59150025",610.00,85.00,25.00,35.00,30.00,370.00,50.00,40.00,15.00,15.00,20.00,35.00,45.00,35.00,65.00,60.00,155.00,55.00,40.00,30.00,15.00,20.00,10.00,10.00,5.00,0.00,46.00,100.00,13.90,60.70,25.40,3.30,300.00,45.00,10.00,20.00,15.00,175.00,35.00,20.00,5.00,5.00,10.00,10.00,10.00,20.00,30.00,30.00,80.00,25.00,20.00,15.00,10.00,10.00,5.00,5.00,0.00,0.00,45.70,100.00,15.00,58.30,26.70,3.30,310.00,40.00,15.00,15.00,15.00,195.00,20.00,15.00,10.00,10.00,10.00,20.00,25.00,20.00,30.00,30.00,75.00,30.00,20.00,15.00,5.00,10.00,5.00,5.00,0.00,0.00,46.30,100.00,12.90,62.90,24.20,3.20
"59150027",570.00,15.00,0.00,5.00,10.00,170.00,5.00,15.00,10.00,5.00,10.00,10.00,15.00,15.00,40.00,45.00,390.00,75.00,65.00,80.00,70.00,95.00,65.00,25.00,5.00,5.00,68.70,100.00,2.60,29.80,68.40,16.70,235.00,10.00,0.00,0.00,10.00,70.00,5.00,5.00,0.00,5.00,5.00,5.00,0.00,5.00,20.00,20.00,160.00,35.00,20.00,35.00,35.00,35.00,20.00,5.00,5.00,0.00,67.40,100.00,4.30,29.80,68.10,14.90,335.00,0.00,0.00,0.00,0.00,100.00,0.00,10.00,0.00,0.00,5.00,0.00,10.00,15.00,25.00,25.00,230.00,40.00,45.00,40.00,35.00,65.00,45.00,15.00,5.00,0.00,69.50,100.00,0.00,29.90,68.70,19.40
"59150028",440.00,45.00,15.00,15.00,15.00,220.00,25.00,30.00,10.00,15.00,15.00,15.00,25.00,25.00,30.00,35.00,180.00,30.00,35.00,40.00,35.00,40.00,25.00,10.00,0.00,0.00,53.50,100.00,10.20,50.00,40.90,9.10,180.00,20.00,5.00,10.00,10.00,95.00,10.00,15.00,5.00,5.00,5.00,5.00,10.00,10.00,15.00,15.00,65.00,10.00,15.00,15.00,15.00,15.00,5.00,10.00,0.00,0.00,50.10,100.00,11.10,52.80,36.10,8.30,260.00,20.00,10.00,10.00,5.00,125.00,15.00,15.00,5.00,5.00,15.00,15.00,10.00,15.00,20.00,20.00,115.00,20.00,20.00,30.00,25.00,25.00,20.00,5.00,5.00,0.00,55.90,100.00,7.70,48.10,44.20,9.60
"59150029",425.00,75.00,15.00,30.00,30.00,260.00,30.00,25.00,15.00,15.00,20.00,25.00,30.00,30.00,30.00,30.00,90.00,35.00,15.00,15.00,15.00,10.00,5.00,5.00,0.00,0.00,43.30,100.00,17.60,61.20,21.20,2.40,210.00,45.00,10.00,20.00,15.00,120.00,10.00,15.00,10.00,10.00,10.00,10.00,10.00,15.00,15.00,15.00,45.00,20.00,5.00,5.00,5.00,5.00,0.00,5.00,0.00,0.00,42.50,100.00,21.40,57.10,21.40,2.40,210.00,30.00,10.00,10.00,15.00,140.00,15.00,10.00,10.00,10.00,15.00,15.00,15.00,20.00,20.00,20.00,40.00,15.00,10.00,10.00,5.00,5.00,0.00,5.00,0.00,0.00,44.10,100.00,14.30,66.70,19.00,2.40
"59150030",510.00,70.00,15.00,20.00,35.00,315.00,45.00,30.00,15.00,10.00,20.00,20.00,45.00,40.00,45.00,35.00,125.00,30.00,35.00,20.00,10.00,25.00,20.00,5.00,5.00,0.00,45.90,100.00,13.70,61.80,24.50,4.90,240.00,30.00,10.00,10.00,15.00,150.00,25.00,10.00,10.00,0.00,10.00,10.00,20.00,20.00,25.00,20.00,60.00,15.00,15.00,15.00,5.00,10.00,10.00,0.00,0.00,0.00,47.10,100.00,12.50,62.50,25.00,4.20,265.00,35.00,5.00,5.00,20.00,165.00,25.00,15.00,5.00,10.00,10.00,15.00,25.00,20.00,15.00,20.00,60.00,15.00,20.00,5.00,5.00,15.00,10.00,0.00,0.00,0.00,44.90,100.00,13.20,62.30,22.60,5.70
"59150031",680.00,105.00,15.00,35.00,55.00,420.00,60.00,45.00,30.00,25.00,20.00,40.00,55.00,55.00,55.00,50.00,155.00,40.00,40.00,30.00,20.00,25.00,15.00,5.00,0.00,0.00,44.20,100.00,15.40,61.80,22.80,3.70,335.00,60.00,10.00,20.00,30.00,200.00,25.00,25.00,15.00,10.00,5.00,15.00,25.00,25.00,30.00,25.00,80.00,25.00,15.00,10.00,10.00,10.00,5.00,0.00,0.00,0.00,43.30,100.00,17.90,59.70,23.90,3.00,350.00,50.00,10.00,15.00,25.00,220.00,35.00,15.00,15.00,10.00,10.00,20.00,30.00,30.00,30.00,20.00,80.00,20.00,25.00,10.00,10.00,15.00,10.00,5.00,0.00,0.00,45.00,100.00,14.30,62.90,22.90,4.30
"59150032",400.00,75.00,15.00,25.00,35.00,255.00,40.00,25.00,10.00,15.00,10.00,25.00,40.00,35.00,30.00,30.00,65.00,20.00,20.00,5.00,5.00,15.00,10.00,0.00,5.00,0.00,41.30,100.00,18.80,63.80,16.30,3.80,205.00,45.00,15.00,15.00,20.00,125.00,20.00,15.00,5.00,5.00,0.00,5.00,20.00,20.00,15.00,15.00,35.00,15.00,10.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,38.90,100.00,22.00,61.00,17.10,2.40,200.00,30.00,5.00,10.00,15.00,135.00,20.00,10.00,10.00,10.00,5.00,10.00,20.00,20.00,20.00,15.00,30.00,10.00,5.00,5.00,5.00,5.00,5.00,0.00,5.00,0.00,43.70,100.00,15.00,67.50,15.00,2.50
"59150033",475.00,120.00,30.00,50.00,45.00,280.00,30.00,30.00,10.00,0.00,35.00,40.00,45.00,35.00,30.00,30.00,70.00,25.00,20.00,10.00,10.00,10.00,5.00,0.00,5.00,0.00,38.50,100.00,25.30,58.90,14.70,2.10,225.00,60.00,20.00,20.00,20.00,130.00,10.00,15.00,5.00,5.00,10.00,15.00,20.00,15.00,15.00,10.00,35.00,15.00,10.00,5.00,10.00,5.00,5.00,0.00,0.00,0.00,39.10,100.00,26.70,57.80,15.60,2.20,245.00,60.00,10.00,25.00,25.00,155.00,15.00,10.00,5.00,5.00,20.00,25.00,20.00,15.00,10.00,15.00,35.00,15.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,37.90,100.00,24.50,63.30,14.30,0.00
"59150034",435.00,90.00,20.00,25.00,50.00,260.00,45.00,15.00,5.00,10.00,10.00,35.00,55.00,40.00,35.00,20.00,80.00,25.00,20.00,20.00,10.00,10.00,10.00,5.00,0.00,0.00,41.90,100.00,20.70,59.80,18.40,2.30,205.00,40.00,5.00,15.00,20.00,120.00,25.00,15.00,0.00,5.00,0.00,10.00,25.00,15.00,15.00,10.00,35.00,10.00,5.00,10.00,5.00,5.00,5.00,5.00,0.00,0.00,41.00,100.00,19.50,58.50,17.10,2.40,235.00,45.00,10.00,10.00,25.00,135.00,20.00,5.00,5.00,10.00,5.00,20.00,25.00,20.00,15.00,10.00,45.00,15.00,10.00,10.00,5.00,5.00,5.00,0.00,0.00,0.00,42.70,100.00,19.10,57.40,19.10,2.10
"59150035",885.00,105.00,25.00,40.00,50.00,610.00,75.00,40.00,40.00,30.00,45.00,80.00,75.00,95.00,75.00,65.00,170.00,50.00,55.00,30.00,20.00,10.00,10.00,0.00,0.00,0.00,44.30,100.00,11.90,68.90,19.20,1.10,440.00,55.00,15.00,15.00,30.00,290.00,35.00,20.00,15.00,10.00,15.00,35.00,35.00,50.00,35.00,35.00,90.00,30.00,25.00,15.00,10.00,5.00,0.00,0.00,0.00,0.00,44.40,100.00,12.50,65.90,20.50,1.10,455.00,50.00,10.00,20.00,25.00,320.00,40.00,20.00,20.00,15.00,20.00,40.00,40.00,45.00,45.00,30.00,80.00,25.00,30.00,15.00,5.00,5.00,10.00,0.00,0.00,0.00,44.30,100.00,11.00,70.30,17.60,1.10
"59150036",575.00,70.00,15.00,20.00,35.00,320.00,55.00,30.00,20.00,15.00,10.00,25.00,40.00,50.00,40.00,35.00,185.00,40.00,35.00,15.00,25.00,75.00,35.00,30.00,10.00,0.00,49.80,100.00,12.20,55.70,32.20,13.00,250.00,40.00,10.00,10.00,15.00,145.00,25.00,10.00,10.00,5.00,0.00,5.00,20.00,25.00,25.00,20.00,70.00,20.00,20.00,5.00,10.00,20.00,5.00,10.00,5.00,0.00,47.30,100.00,16.00,58.00,28.00,8.00,325.00,35.00,5.00,10.00,20.00,175.00,30.00,15.00,10.00,10.00,5.00,15.00,25.00,25.00,20.00,15.00,115.00,20.00,15.00,10.00,15.00,50.00,30.00,15.00,10.00,5.00,51.80,100.00,10.80,53.80,35.40,15.40
"59150037",450.00,85.00,15.00,30.00,40.00,285.00,35.00,30.00,15.00,10.00,25.00,30.00,35.00,45.00,35.00,25.00,75.00,30.00,20.00,15.00,5.00,5.00,5.00,5.00,0.00,0.00,40.30,100.00,18.90,63.30,16.70,1.10,205.00,40.00,5.00,15.00,20.00,125.00,15.00,15.00,5.00,5.00,10.00,15.00,20.00,20.00,15.00,10.00,35.00,10.00,10.00,5.00,0.00,5.00,5.00,0.00,0.00,0.00,40.90,100.00,19.50,61.00,17.10,2.40,240.00,45.00,15.00,15.00,20.00,160.00,25.00,15.00,5.00,5.00,15.00,20.00,15.00,25.00,15.00,10.00,40.00,20.00,10.00,5.00,0.00,5.00,5.00,5.00,0.00,0.00,39.80,100.00,18.80,66.70,16.70,2.10
