"COL0","COL1","COL2","COL3"
"59150322",95.00,30.00,70.00
"59150323",100.00,65.00,40.00
"59150324",105.00,45.00,60.00
"59150325",95.00,40.00,55.00
"59150326",120.00,55.00,65.00
"59150327",95.00,60.00,40.00
"59150328",60.00,20.00,35.00
"59150329",190.00,90.00,95.00
"59150330",115.00,60.00,55.00
"59150331",115.00,60.00,60.00
"59150332",120.00,65.00,55.00
"59150333",95.00,45.00,50.00
"59150334",100.00,35.00,65.00
"59150335",100.00,45.00,55.00
"59150336",115.00,55.00,60.00
"59150337",75.00,30.00,45.00
"59150338",75.00,25.00,50.00
"59150339",115.00,60.00,60.00
"59150340",115.00,50.00,65.00
"59150341",100.00,35.00,60.00
"59150342",110.00,60.00,55.00
"59150343",150.00,60.00,95.00
"59150344",125.00,70.00,55.00
"59150345",250.00,130.00,115.00
"59150346",170.00,90.00,80.00
"59150347",220.00,105.00,115.00
"59150348",195.00,85.00,110.00
"59150349",140.00,50.00,95.00
"59150350",220.00,130.00,90.00
"59150351",145.00,75.00,70.00
"59150352",450.00,235.00,215.00
"59150353",205.00,100.00,110.00
"59150354",250.00,130.00,120.00
"59150355",190.00,105.00,85.00
"59150356",115.00,50.00,65.00
"59150357",460.00,245.00,215.00
"59150358",165.00,80.00,85.00
"59150359",255.00,125.00,135.00
"59150360",265.00,140.00,130.00
"59150361",205.00,120.00,90.00
"59150362",125.00,60.00,60.00
"59150363",135.00,70.00,60.00
"59150364",140.00,60.00,85.00
"59150365",70.00,30.00,45.00
"59150366",145.00,70.00,75.00
"59150367",330.00,155.00,180.00
"59150368",90.00,40.00,45.00
"59150369",140.00,65.00,70.00
"59150370",375.00,185.00,190.00
"59150371",110.00,60.00,50.00
"59150372",185.00,90.00,95.00
"59150373",105.00,50.00,55.00
"59150375",70.00,30.00,45.00
"59150376",80.00,30.00,50.00
"59150377",95.00,40.00,55.00
"59150378",205.00,65.00,140.00
"59150379",105.00,45.00,65.00
"59150380",130.00,40.00,90.00
"59150381",115.00,50.00,70.00
"59150382",100.00,45.00,55.00
"59150383",90.00,50.00,40.00
"59150384",105.00,55.00,50.00
"59150385",110.00,45.00,65.00
"59150386",115.00,50.00,65.00
"59150387",90.00,40.00,45.00
"59150388",165.00,70.00,90.00
"59150389",110.00,50.00,55.00
"59150390",80.00,25.00,55.00
"59150391",80.00,40.00,40.00
"59150392",70.00,40.00,30.00
"59150393",100.00,50.00,45.00
"59150394",80.00,30.00,50.00
"59150395",100.00,40.00,60.00
"59150396",205.00,60.00,145.00
"59150397",90.00,30.00,60.00
"59150398",70.00,30.00,40.00
"59150399",80.00,30.00,50.00
"59150400",175.00,85.00,90.00
"59150401",115.00,50.00,60.00
"59150402",140.00,70.00,65.00
"59150403",105.00,50.00,55.00
"59150404",110.00,45.00,70.00
"59150405",110.00,45.00,60.00
"59150406",170.00,90.00,85.00
"59150407",135.00,70.00,65.00
"59150408",155.00,80.00,75.00
"59150409",105.00,45.00,60.00
"59150410",110.00,45.00,70.00
"59150412",90.00,35.00,50.00
"59150414",80.00,35.00,45.00
"59150415",165.00,75.00,90.00
"59150416",110.00,50.00,65.00
"59150417",80.00,40.00,45.00
"59150419",110.00,55.00,60.00
"59150420",100.00,55.00,40.00
"59150421",135.00,70.00,70.00
"59150422",120.00,55.00,70.00
"59150423",90.00,45.00,45.00
"59150424",195.00,95.00,95.00
"59150425",105.00,70.00,45.00
"59150426",130.00,60.00,75.00
"59150427",90.00,50.00,45.00
"59150428",165.00,75.00,90.00
"59150429",115.00,50.00,65.00
"59150430",140.00,65.00,75.00
"59150431",110.00,50.00,55.00
"59150432",215.00,115.00,105.00
"59150433",100.00,55.00,45.00
"59150434",100.00,45.00,55.00
"59150435",100.00,55.00,50.00
"59150436",165.00,85.00,85.00
"59150437",380.00,185.00,195.00
"59150438",205.00,115.00,85.00
"59150439",110.00,55.00,55.00
"59150440",125.00,55.00,65.00
"59150441",120.00,55.00,60.00
"59150442",95.00,50.00,45.00
"59150443",105.00,60.00,50.00
"59150444",95.00,30.00,65.00
"59150445",90.00,45.00,50.00
"59150446",90.00,30.00,65.00
"59150447",120.00,35.00,85.00
"59150448",195.00,100.00,90.00
"59150449",80.00,40.00,40.00
"59150450",65.00,30.00,35.00
"59150451",70.00,30.00,40.00
"59150452",50.00,20.00,30.00
"59150453",75.00,30.00,40.00
"59150454",95.00,30.00,60.00
"59150455",135.00,70.00,70.00
"59150457",120.00,50.00,65.00
"59150459",80.00,40.00,40.00
"59150460",80.00,45.00,40.00
"59150461",55.00,35.00,15.00
"59150462",55.00,30.00,25.00
"59150463",75.00,20.00,45.00
"59150465",60.00,35.00,30.00
"59150466",75.00,30.00,45.00
"59150468",75.00,35.00,35.00
"59150469",95.00,40.00,55.00
"59150470",90.00,40.00,55.00
"59150471",100.00,40.00,60.00
"59150472",85.00,35.00,50.00
"59150473",135.00,60.00,75.00
"59150474",125.00,60.00,65.00
"59150475",175.00,75.00,100.00
"59150476",205.00,90.00,115.00
"59150477",115.00,60.00,60.00
"59150478",140.00,70.00,70.00
"59150479",50.00,20.00,30.00
"59150480",95.00,30.00,60.00
"59150481",80.00,25.00,55.00
"59150482",130.00,60.00,70.00
"59150483",55.00,25.00,30.00
"59150484",125.00,70.00,55.00
"59150485",80.00,35.00,40.00
"59150486",70.00,15.00,55.00
"59150487",80.00,40.00,40.00
"59150488",225.00,100.00,125.00
"59150489",100.00,55.00,40.00
"59150490",80.00,30.00,45.00
"59150491",140.00,90.00,55.00
"59150492",100.00,55.00,45.00
"59150493",200.00,120.00,75.00
"59150494",220.00,120.00,100.00
"59150495",285.00,150.00,130.00
"59150496",260.00,125.00,135.00
"59150497",220.00,110.00,110.00
"59150498",305.00,165.00,140.00
"59150499",285.00,160.00,125.00
"59150500",260.00,125.00,130.00
"59150503",190.00,80.00,110.00
"59150504",195.00,95.00,105.00
"59150505",130.00,60.00,75.00
"59150506",60.00,25.00,30.00
"59150507",50.00,15.00,30.00
"59150508",45.00,10.00,30.00
"59150509",50.00,15.00,30.00
"59150510",50.00,10.00,35.00
"59150511",60.00,25.00,35.00
"59150512",45.00,20.00,25.00
"59150513",70.00,30.00,40.00
"59150514",65.00,25.00,40.00
"59150515",50.00,20.00,30.00
"59150516",70.00,25.00,40.00
"59150517",55.00,25.00,30.00
"59150518",55.00,20.00,35.00
"59150519",70.00,20.00,45.00
"59150520",260.00,85.00,180.00
"59150521",125.00,50.00,65.00
"59150522",75.00,35.00,45.00
"59150523",115.00,40.00,65.00
"59150524",105.00,55.00,50.00
"59150525",120.00,60.00,55.00
"59150526",115.00,55.00,60.00
"59150527",110.00,70.00,45.00
"59150528",100.00,50.00,50.00
"59150529",90.00,40.00,45.00
"59150530",125.00,55.00,70.00
"59150531",225.00,105.00,120.00
"59150532",125.00,60.00,65.00
"59150533",145.00,65.00,80.00
"59150534",105.00,50.00,55.00
"59150535",125.00,55.00,70.00
"59150536",200.00,50.00,150.00
"59150537",110.00,40.00,60.00
"59150538",95.00,50.00,50.00
"59150539",75.00,20.00,55.00
"59150540",105.00,55.00,50.00
"59150541",175.00,75.00,100.00
"59150542",145.00,55.00,95.00
"59150543",85.00,35.00,50.00
"59150544",305.00,90.00,215.00
"59150545",95.00,40.00,60.00
"59150546",110.00,50.00,60.00
"59150547",125.00,60.00,70.00
"59150548",85.00,30.00,50.00
"59150549",90.00,40.00,50.00
"59150550",95.00,45.00,50.00
"59150551",50.00,20.00,25.00
"59150552",55.00,30.00,30.00
"59150553",105.00,45.00,65.00
"59150554",70.00,35.00,40.00
"59150555",65.00,25.00,40.00
"59150556",230.00,95.00,135.00
"59150557",140.00,55.00,85.00
"59150558",195.00,70.00,125.00
"59150559",100.00,40.00,60.00
"59150560",85.00,40.00,45.00
"59150561",75.00,30.00,45.00
"59150562",80.00,30.00,55.00
"59150563",250.00,105.00,145.00
"59150564",170.00,55.00,115.00
"59150565",135.00,45.00,90.00
"59150566",205.00,45.00,160.00
"59150567",190.00,50.00,145.00
"59150568",180.00,65.00,115.00
"59150569",290.00,105.00,185.00
"59150570",225.00,75.00,150.00
"59150571",65.00,20.00,40.00
"59150572",40.00,15.00,30.00
"59150573",230.00,70.00,155.00
"59150575",65.00,20.00,40.00
"59150577",200.00,50.00,150.00
"59150578",50.00,20.00,30.00
"59150579",50.00,20.00,30.00
"59150580",50.00,20.00,35.00
"59150581",45.00,20.00,25.00
"59150582",90.00,40.00,55.00
"59150583",120.00,45.00,75.00
"59150584",150.00,60.00,85.00
"59150585",90.00,40.00,50.00
"59150586",245.00,100.00,145.00
"59150587",180.00,85.00,95.00
"59150588",170.00,80.00,95.00
"59150589",85.00,25.00,60.00
"59150590",115.00,50.00,70.00
"59150591",110.00,55.00,60.00
"59150592",180.00,80.00,100.00
"59150593",145.00,55.00,85.00
"59150594",155.00,80.00,80.00
"59150595",205.00,70.00,135.00
"59150596",130.00,45.00,80.00
"59150597",245.00,125.00,120.00
"59150598",210.00,100.00,110.00
"59150599",295.00,100.00,190.00
"59150600",150.00,60.00,90.00
"59150601",235.00,105.00,135.00
"59150602",120.00,50.00,75.00
"59150603",115.00,50.00,55.00
"59150604",235.00,110.00,120.00
"59150605",135.00,65.00,75.00
"59150606",170.00,80.00,85.00
"59150607",265.00,110.00,160.00
"59150608",210.00,100.00,110.00
"59150609",160.00,65.00,95.00
"59150610",250.00,90.00,160.00
"59150611",250.00,115.00,135.00
"59150612",190.00,90.00,105.00
"59150613",200.00,80.00,120.00
"59150614",260.00,105.00,155.00
"59150615",180.00,70.00,110.00
"59150616",290.00,130.00,155.00
"59150617",265.00,115.00,155.00
"59150618",355.00,165.00,185.00
"59150619",220.00,100.00,120.00
"59150620",260.00,105.00,150.00
"59150621",265.00,115.00,155.00
"59150622",225.00,110.00,115.00
"59150623",255.00,90.00,165.00
"59150624",320.00,135.00,190.00
"59150625",250.00,120.00,135.00
"59150626",270.00,125.00,145.00
"59150627",185.00,70.00,120.00
"59150628",300.00,145.00,155.00
"59150629",265.00,115.00,145.00
"59150630",500.00,215.00,285.00
"59150631",475.00,220.00,250.00
"59150632",505.00,190.00,315.00
"59150633",315.00,130.00,180.00
"59150634",290.00,100.00,190.00
"59150635",240.00,95.00,150.00
"59150636",275.00,105.00,165.00
"59150637",195.00,70.00,125.00
"59150638",325.00,115.00,210.00
"59150639",230.00,55.00,175.00
"59150640",220.00,80.00,140.00
"59150641",305.00,110.00,195.00
"59150642",345.00,150.00,190.00
"59150643",295.00,95.00,205.00
"59150644",315.00,110.00,205.00
"59150645",155.00,65.00,85.00
"59150646",330.00,140.00,190.00
"59150647",185.00,55.00,130.00
"59150648",110.00,35.00,70.00
"59150649",225.00,90.00,140.00
"59150650",180.00,65.00,115.00
"59150651",75.00,20.00,55.00
"59150652",175.00,55.00,115.00
"59150653",180.00,80.00,105.00
"59150654",205.00,80.00,120.00
"59150655",135.00,70.00,65.00
"59150656",185.00,80.00,100.00
"59150657",65.00,20.00,45.00
"59150658",150.00,50.00,95.00
"59150659",150.00,70.00,80.00
"59150660",65.00,25.00,40.00
"59150661",60.00,15.00,45.00
"59150662",35.00,15.00,20.00
"59150663",55.00,25.00,30.00
"59150664",75.00,30.00,45.00
"59150665",45.00,10.00,30.00
"59150666",55.00,15.00,40.00
"59150667",55.00,25.00,35.00
"59150668",95.00,25.00,65.00
"59150669",70.00,35.00,40.00
"59150670",75.00,40.00,35.00
"59150671",45.00,20.00,25.00
"59150672",180.00,85.00,95.00
"59150673",90.00,30.00,65.00
"59150674",75.00,30.00,50.00
"59150675",200.00,95.00,105.00
"59150676",180.00,80.00,100.00
"59150677",75.00,25.00,50.00
"59150678",175.00,80.00,95.00
"59150679",110.00,45.00,70.00
"59150680",155.00,50.00,105.00
"59150681",80.00,35.00,45.00
"59150682",205.00,90.00,120.00
"59150683",100.00,40.00,55.00
"59150684",195.00,75.00,120.00
"59150685",240.00,110.00,135.00
"59150686",105.00,50.00,55.00
"59150687",130.00,60.00,65.00
"59150688",120.00,45.00,75.00
"59150689",100.00,45.00,55.00
"59150690",105.00,55.00,50.00
"59150691",140.00,60.00,75.00
"59150692",95.00,30.00,60.00
"59150693",70.00,35.00,25.00
"59150694",90.00,35.00,55.00
"59150695",100.00,45.00,55.00
"59150696",90.00,45.00,50.00
"59150697",160.00,80.00,80.00
"59150698",115.00,40.00,75.00
"59150699",130.00,65.00,65.00
"59150700",100.00,50.00,50.00
"59150701",100.00,45.00,50.00
"59150702",75.00,20.00,60.00
"59150703",90.00,40.00,50.00
"59150704",185.00,75.00,105.00
"59150705",220.00,90.00,130.00
"59150706",120.00,40.00,75.00
"59150707",200.00,90.00,120.00
"59150708",275.00,120.00,155.00
"59150709",535.00,255.00,280.00
"59150710",220.00,115.00,110.00
"59150711",370.00,180.00,190.00
"59150712",205.00,120.00,90.00
"59150713",210.00,100.00,110.00
"59150714",110.00,60.00,55.00
"59150715",240.00,125.00,115.00
"59150716",215.00,105.00,110.00
"59150717",140.00,70.00,70.00
"59150718",195.00,90.00,110.00
"59150719",235.00,125.00,110.00
"59150720",300.00,175.00,120.00
"59150721",195.00,95.00,100.00
"59150722",220.00,105.00,115.00
"59150723",200.00,90.00,105.00
"59150724",170.00,85.00,80.00
"59150725",215.00,120.00,100.00
"59150726",145.00,75.00,70.00
"59150727",175.00,80.00,90.00
"59150728",135.00,50.00,85.00
"59150729",160.00,75.00,85.00
"59150730",100.00,55.00,45.00
"59150731",145.00,65.00,75.00
"59150732",90.00,40.00,55.00
"59150733",95.00,40.00,60.00
"59150734",170.00,80.00,90.00
"59150735",210.00,95.00,115.00
"59150736",160.00,65.00,90.00
"59150737",55.00,20.00,35.00
"59150738",115.00,60.00,60.00
"59150739",80.00,40.00,45.00
"59150740",170.00,85.00,90.00
"59150741",220.00,110.00,105.00
"59150742",245.00,145.00,100.00
"59150743",175.00,85.00,90.00
"59150744",155.00,75.00,80.00
"59150745",170.00,80.00,85.00
"59150746",160.00,70.00,90.00
"59150747",145.00,75.00,70.00
"59150748",195.00,100.00,100.00
"59150749",210.00,100.00,110.00
"59150750",270.00,135.00,135.00
"59150751",240.00,130.00,110.00
"59150752",95.00,45.00,45.00
"59150753",140.00,60.00,80.00
"59150754",205.00,120.00,95.00
"59150755",260.00,155.00,110.00
"59150756",70.00,35.00,30.00
"59150757",470.00,300.00,170.00
"59150758",150.00,60.00,85.00
"59150759",75.00,45.00,30.00
"59150760",295.00,240.00,55.00
"59150761",190.00,185.00,5.00
"59150762",410.00,240.00,170.00
"59150763",170.00,125.00,45.00
"59150777",445.00,225.00,215.00
"59150779",430.00,220.00,210.00
"59150780",1105.00,635.00,470.00
"59150782",250.00,115.00,135.00
"59150784",375.00,205.00,165.00
"59150785",1060.00,590.00,470.00
"59150786",165.00,60.00,105.00
"59150787",110.00,50.00,60.00
"59150788",240.00,110.00,125.00
"59150790",330.00,165.00,165.00
"59150791",360.00,215.00,150.00
"59150792",340.00,185.00,160.00
"59150793",570.00,305.00,265.00
"59150795",505.00,280.00,230.00
"59150816",145.00,70.00,75.00
"59150817",220.00,95.00,125.00
"59150819",230.00,120.00,110.00
"59150820",270.00,140.00,130.00
"59150821",250.00,140.00,110.00
"59150822",185.00,105.00,85.00
"59150823",240.00,125.00,110.00
"59150824",235.00,135.00,100.00
"59150827",220.00,95.00,120.00
"59150828",320.00,145.00,170.00
"59150831",305.00,180.00,125.00
"59150832",410.00,230.00,180.00
"59150837",265.00,130.00,135.00
"59150840",225.00,130.00,90.00
"59150841",305.00,150.00,155.00
"59150845",390.00,205.00,185.00
"59150846",365.00,160.00,205.00
"59150850",720.00,380.00,345.00
"59150859",180.00,90.00,85.00
"59150861",305.00,155.00,150.00
"59150863",270.00,125.00,145.00
"59150864",275.00,125.00,150.00
"59150865",375.00,175.00,200.00
"59150866",275.00,155.00,120.00
"59150871",255.00,155.00,110.00
"59150872",80.00,40.00,40.00
"59150873",160.00,70.00,90.00
"59150874",305.00,140.00,160.00
"59150875",260.00,125.00,135.00
"59150876",270.00,115.00,155.00
"59150877",215.00,95.00,120.00
"59150878",250.00,105.00,145.00
"59150879",295.00,115.00,180.00
"59150880",235.00,80.00,160.00
"59150881",235.00,105.00,135.00
"59150882",240.00,95.00,140.00
"59150883",110.00,45.00,65.00
"59150884",120.00,60.00,55.00
"59150885",190.00,80.00,110.00
"59150886",120.00,60.00,55.00
"59150887",75.00,25.00,50.00
"59150888",65.00,20.00,40.00
"59150889",50.00,15.00,40.00
"59150890",70.00,25.00,50.00
"59150891",80.00,30.00,50.00
"59150892",60.00,25.00,35.00
"59150893",80.00,40.00,45.00
"59150894",125.00,50.00,80.00
"59150895",80.00,40.00,45.00
"59150896",90.00,30.00,60.00
"59150897",85.00,40.00,50.00
"59150898",110.00,65.00,50.00
"59150899",95.00,30.00,65.00
"59150900",45.00,15.00,30.00
"59150901",40.00,15.00,20.00
"59150902",45.00,20.00,25.00
"59150903",65.00,35.00,35.00
"59150904",60.00,25.00,35.00
"59150905",65.00,25.00,40.00
"59150906",65.00,30.00,40.00
"59150907",105.00,40.00,65.00
"59150908",75.00,25.00,45.00
"59150909",70.00,30.00,35.00
"59150910",65.00,30.00,40.00
"59150911",65.00,30.00,35.00
"59150912",60.00,20.00,35.00
"59150913",50.00,25.00,30.00
"59150914",30.00,10.00,20.00
"59150915",50.00,25.00,30.00
"59150916",60.00,25.00,35.00
"59150917",50.00,20.00,30.00
"59150918",70.00,25.00,45.00
"59150919",50.00,20.00,25.00
"59150920",65.00,30.00,40.00
"59150922",70.00,30.00,40.00
"59150923",130.00,65.00,70.00
"59150924",215.00,100.00,110.00
"59150925",170.00,60.00,110.00
"59150926",195.00,90.00,110.00
"59150927",145.00,70.00,70.00
"59150928",85.00,45.00,45.00
"59150929",70.00,25.00,45.00
"59150930",40.00,25.00,20.00
"59150931",70.00,30.00,35.00
"59150932",70.00,25.00,40.00
"59150933",70.00,35.00,35.00
"59150934",65.00,20.00,40.00
"59150935",90.00,35.00,50.00
"59150936",90.00,45.00,50.00
"59150937",125.00,70.00,55.00
"59150938",115.00,60.00,55.00
"59150939",520.00,245.00,275.00
"59150940",,,
"59150941",,,
