"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"59150076",524.00,,,207.00,196.00,1594.60,0.33
"59150077",406.00,,,154.00,143.00,3567.70,0.11
"59150078",643.00,,,241.00,222.00,1329.60,0.48
"59150079",575.00,,,223.00,217.00,5544.80,0.10
"59150080",324.00,,,129.00,126.00,4456.70,0.07
"59150081",634.00,,,292.00,269.00,4301.20,0.15
"59150082",755.00,,,346.00,346.00,14547.20,0.05
"59150083",533.00,,,261.00,254.00,10349.50,0.05
"59150084",944.00,,,507.00,493.00,17711.10,0.05
"59150085",883.00,,,525.00,517.00,16629.00,0.05
"59150086",723.00,,,437.00,428.00,13745.20,0.05
"59150087",521.00,,,279.00,271.00,19885.50,0.03
"59150088",508.00,,,243.00,240.00,20158.70,0.03
"59150089",600.00,,,271.00,266.00,7662.80,0.08
"59150090",579.00,,,207.00,202.00,5572.70,0.10
"59150091",667.00,,,390.00,381.00,12777.80,0.05
"59150092",473.00,,,273.00,269.00,9202.30,0.05
"59150093",632.00,,,293.00,287.00,6147.90,0.10
"59150094",693.00,,,313.00,312.00,8794.40,0.08
"59150095",476.00,,,191.00,178.00,3733.30,0.13
"59150096",592.00,,,234.00,215.00,3423.90,0.17
"59150097",708.00,,,276.00,251.00,4325.00,0.16
"59150098",457.00,,,201.00,195.00,4065.80,0.11
"59150099",583.00,,,206.00,202.00,5563.00,0.10
"59150100",624.00,,,247.00,241.00,3010.10,0.21
"59150101",447.00,,,159.00,150.00,1850.20,0.24
"59150102",361.00,,,134.00,126.00,1996.70,0.18
"59150103",670.00,,,229.00,212.00,1593.00,0.42
"59150104",539.00,,,185.00,172.00,3225.60,0.17
"59150105",348.00,,,124.00,109.00,2664.60,0.13
"59150106",880.00,,,306.00,297.00,2128.20,0.41
"59150107",463.00,,,155.00,154.00,2313.80,0.20
"59150108",326.00,,,127.00,123.00,3790.70,0.09
"59150109",586.00,,,219.00,213.00,2797.10,0.21
"59150110",535.00,,,202.00,191.00,2955.80,0.18
"59150111",535.00,,,221.00,212.00,1928.60,0.28
"59150112",729.00,,,288.00,259.00,1317.10,0.55
"59150113",835.00,,,310.00,289.00,2226.10,0.38
"59150114",530.00,,,204.00,192.00,3559.40,0.15
"59150115",387.00,,,132.00,127.00,2455.60,0.16
"59150116",449.00,,,172.00,159.00,1895.30,0.24
"59150117",481.00,,,170.00,162.00,1605.50,0.30
"59150118",652.00,,,223.00,219.00,747.90,0.87
"59150119",694.00,,,303.00,287.00,708.30,0.98
"59150120",660.00,,,226.00,221.00,2200.70,0.30
"59150121",562.00,,,195.00,185.00,1625.70,0.35
"59150122",522.00,,,178.00,175.00,3258.40,0.16
"59150123",830.00,,,285.00,269.00,3764.20,0.22
"59150124",823.00,,,274.00,258.00,2610.20,0.32
"59150125",492.00,,,175.00,164.00,3462.40,0.14
"59150126",722.00,,,255.00,230.00,3158.40,0.23
"59150127",836.00,,,307.00,280.00,1899.60,0.44
"59150129",507.00,,,178.00,162.00,2857.90,0.18
"59150130",725.00,,,280.00,255.00,2183.70,0.33
"59150131",552.00,,,206.00,190.00,2720.60,0.20
"59150132",773.00,,,298.00,278.00,2066.80,0.37
"59150133",416.00,,,166.00,154.00,2632.90,0.16
"59150134",486.00,,,175.00,168.00,1840.90,0.26
"59150135",608.00,,,234.00,216.00,3559.70,0.17
"59150136",479.00,,,179.00,156.00,3453.50,0.14
"59150137",530.00,,,232.00,208.00,4706.90,0.11
"59150140",534.00,,,245.00,237.00,5791.80,0.09
"59150141",1324.00,,,712.00,684.00,4759.20,0.28
"59150142",561.00,,,215.00,202.00,3037.40,0.18
"59150143",496.00,,,204.00,188.00,3914.80,0.13
"59150145",799.00,,,298.00,276.00,2990.30,0.27
"59150146",540.00,,,173.00,168.00,4716.20,0.11
"59150147",423.00,,,145.00,141.00,2603.10,0.16
"59150148",746.00,,,178.00,173.00,5760.60,0.13
"59150152",421.00,,,197.00,194.00,3294.20,0.13
"59150153",731.00,,,308.00,294.00,3599.20,0.20
"59150157",432.00,,,144.00,140.00,2832.80,0.15
"59150158",549.00,,,188.00,184.00,3210.50,0.17
"59150159",702.00,,,242.00,231.00,3084.40,0.23
"59150160",711.00,,,238.00,223.00,4625.90,0.15
"59150161",651.00,,,235.00,221.00,3175.60,0.21
"59150162",426.00,,,160.00,149.00,2970.70,0.14
"59150163",630.00,,,212.00,199.00,3442.60,0.18
"59150164",569.00,,,201.00,195.00,3816.20,0.15
"59150165",524.00,,,176.00,172.00,3201.00,0.16
"59150166",279.00,,,98.00,94.00,2743.40,0.10
"59150167",473.00,,,152.00,151.00,3583.30,0.13
"59150174",408.00,,,144.00,138.00,2315.60,0.18
"59150175",508.00,,,150.00,143.00,2416.70,0.21
"59150176",606.00,,,194.00,193.00,6215.40,0.10
"59150177",326.00,,,131.00,128.00,3186.70,0.10
"59150178",732.00,,,278.00,254.00,1397.20,0.52
"59150179",424.00,,,149.00,143.00,2813.50,0.15
"59150180",534.00,,,188.00,182.00,3906.40,0.14
"59150181",481.00,,,205.00,187.00,2837.80,0.17
"59150182",775.00,,,297.00,269.00,1717.30,0.45
"59150183",776.00,,,301.00,289.00,4993.60,0.16
"59150184",776.00,,,261.00,252.00,10012.90,0.08
"59150185",740.00,,,360.00,349.00,7034.20,0.11
"59150186",639.00,,,385.00,380.00,12171.40,0.05
"59150187",1008.00,,,647.00,620.00,11586.20,0.09
"59150188",475.00,,,292.00,289.00,17992.40,0.03
"59150189",565.00,,,344.00,334.00,13048.50,0.04
"59150190",618.00,,,374.00,357.00,19495.30,0.03
"59150191",630.00,,,400.00,370.00,19687.50,0.03
"59150192",1011.00,,,595.00,583.00,18053.60,0.06
"59150193",522.00,,,370.00,352.00,16730.80,0.03
"59150194",541.00,,,372.00,350.00,17508.10,0.03
"59150195",684.00,,,314.00,303.00,7491.80,0.09
"59150196",542.00,,,237.00,229.00,9249.10,0.06
"59150197",632.00,,,398.00,387.00,23321.00,0.03
"59150198",651.00,,,370.00,360.00,12145.50,0.05
"59150199",524.00,,,379.00,328.00,9562.00,0.05
"59150200",601.00,,,299.00,262.00,461.20,1.30
"59150201",632.00,,,264.00,257.00,7642.10,0.08
"59150202",755.00,,,280.00,260.00,4096.60,0.18
"59150203",604.00,,,266.00,240.00,3597.40,0.17
"59150204",765.00,,,322.00,311.00,5444.80,0.14
"59150205",588.00,,,217.00,198.00,3018.50,0.19
"59150206",581.00,,,232.00,206.00,1955.60,0.30
"59150207",515.00,,,198.00,181.00,3508.20,0.15
"59150208",600.00,,,225.00,204.00,3141.40,0.19
"59150209",688.00,,,281.00,271.00,3370.90,0.20
"59150210",722.00,,,272.00,255.00,2971.20,0.24
"59150211",615.00,,,231.00,218.00,1603.70,0.38
"59150212",380.00,,,139.00,130.00,804.90,0.47
"59150213",579.00,,,232.00,207.00,3621.00,0.16
"59150214",347.00,,,225.00,224.00,2624.80,0.13
"59150219",627.00,,,262.00,250.00,401.80,1.56
"59150220",634.00,,,241.00,234.00,5758.40,0.11
"59150221",1130.00,,,353.00,346.00,1198.00,0.94
"59150222",544.00,,,209.00,201.00,5088.90,0.11
"59150223",449.00,,,161.00,155.00,3527.10,0.13
"59150224",1624.00,,,517.00,515.00,2583.50,0.63
"59150225",462.00,,,148.00,145.00,2955.90,0.16
"59150226",370.00,,,126.00,121.00,2170.10,0.17
"59150227",519.00,,,179.00,176.00,2654.70,0.20
"59150228",1255.00,,,440.00,434.00,1249.10,1.00
"59150229",409.00,,,133.00,131.00,14.70,27.78
"59150230",1211.00,,,480.00,479.00,854.90,1.42
"59150231",264.00,,,87.00,87.00,2721.60,0.10
"59150232",719.00,,,235.00,235.00,2365.10,0.30
"59150233",1855.00,,,932.00,920.00,1756.00,1.06
"59150234",652.00,,,229.00,229.00,3289.60,0.20
"59150235",979.00,,,348.00,340.00,7439.20,0.13
"59150236",724.00,,,403.00,393.00,1547.00,0.47
"59150237",673.00,,,241.00,234.00,5924.30,0.11
"59150238",540.00,,,173.00,168.00,4411.80,0.12
"59150239",852.00,,,339.00,331.00,1034.50,0.82
"59150240",1618.00,,,563.00,559.00,3022.60,0.54
"59150241",930.00,,,307.00,303.00,1934.30,0.48
"59150242",744.00,,,346.00,332.00,5106.40,0.15
"59150243",892.00,,,327.00,322.00,1804.60,0.49
"59150244",938.00,,,401.00,350.00,24.90,37.71
"59150245",556.00,,,253.00,211.00,1299.70,0.43
"59150246",475.00,,,195.00,180.00,1866.40,0.25
"59150249",519.00,,,204.00,188.00,929.10,0.56
"59150250",468.00,,,173.00,158.00,2065.30,0.23
"59150251",423.00,,,153.00,144.00,2803.20,0.15
"59150252",803.00,,,267.00,262.00,1764.80,0.46
"59150253",719.00,,,318.00,303.00,282.90,2.54
"59150254",466.00,,,196.00,178.00,2656.80,0.18
"59150255",490.00,,,185.00,169.00,2208.20,0.22
"59150260",616.00,,,213.00,202.00,2162.20,0.28
"59150261",447.00,,,159.00,143.00,4067.30,0.11
"59150262",341.00,,,130.00,116.00,2909.60,0.12
"59150263",487.00,,,186.00,172.00,3728.90,0.13
"59150264",311.00,,,114.00,106.00,3820.60,0.08
"59150265",442.00,,,210.00,208.00,5504.40,0.08
"59150266",1407.00,,,591.00,587.00,9342.60,0.15
"59150267",1067.00,,,595.00,576.00,12321.00,0.09
"59150268",576.00,,,220.00,218.00,5895.60,0.10
"59150269",317.00,,,115.00,110.00,2728.10,0.12
"59150270",286.00,,,103.00,98.00,3032.90,0.09
"59150271",482.00,,,183.00,171.00,2999.40,0.16
"59150272",568.00,,,209.00,196.00,3528.00,0.16
"59150273",474.00,,,164.00,153.00,2909.80,0.16
"59150274",546.00,,,190.00,171.00,3965.10,0.14
"59150275",431.00,,,146.00,136.00,3591.70,0.12
"59150276",476.00,,,158.00,148.00,4327.30,0.11
"59150277",445.00,,,179.00,165.00,2829.00,0.16
"59150278",751.00,,,311.00,281.00,3545.80,0.21
"59150279",730.00,,,296.00,278.00,3519.80,0.21
"59150280",369.00,,,202.00,189.00,11114.50,0.03
"59150281",487.00,,,204.00,198.00,7527.00,0.06
"59150282",574.00,,,207.00,190.00,1027.20,0.56
"59150283",394.00,,,149.00,135.00,3237.50,0.12
"59150284",548.00,,,200.00,185.00,2664.10,0.21
"59150285",518.00,,,181.00,169.00,2779.00,0.19
"59150286",738.00,,,266.00,250.00,3098.20,0.24
"59150287",571.00,,,191.00,188.00,2778.60,0.21
"59150288",626.00,,,196.00,187.00,3564.90,0.18
"59150289",491.00,,,166.00,162.00,4054.50,0.12
"59150290",483.00,,,174.00,166.00,2796.80,0.17
"59150291",503.00,,,228.00,211.00,5570.30,0.09
"59150292",453.00,,,168.00,157.00,5712.50,0.08
"59150293",485.00,,,167.00,165.00,3452.00,0.14
"59150294",439.00,,,178.00,171.00,4611.30,0.10
"59150295",550.00,,,204.00,189.00,6555.40,0.08
"59150296",524.00,,,217.00,209.00,1466.60,0.36
"59150297",593.00,,,318.00,300.00,7394.00,0.08
"59150298",532.00,,,183.00,176.00,6576.00,0.08
"59150299",683.00,,,264.00,250.00,5621.40,0.12
"59150300",480.00,,,175.00,171.00,5896.80,0.08
"59150301",528.00,,,200.00,182.00,4718.50,0.11
"59150302",511.00,,,199.00,186.00,4793.60,0.11
"59150303",563.00,,,203.00,203.00,915.10,0.62
"59150304",494.00,,,186.00,178.00,2663.10,0.19
"59150305",427.00,,,165.00,157.00,3505.70,0.12
"59150306",427.00,,,79.00,76.00,6100.00,0.07
"59150307",632.00,,,273.00,254.00,2110.90,0.30
"59150308",501.00,,,223.00,203.00,4575.30,0.11
"59150309",745.00,,,299.00,269.00,6663.70,0.11
"59150310",536.00,,,310.00,283.00,4895.00,0.11
"59150311",532.00,,,199.00,181.00,6567.90,0.08
"59150312",562.00,,,211.00,203.00,6445.00,0.09
"59150313",1088.00,,,418.00,402.00,6296.30,0.17
"59150314",499.00,,,203.00,192.00,5809.10,0.09
"59150315",471.00,,,185.00,169.00,5395.20,0.09
"59150316",523.00,,,279.00,250.00,5304.30,0.10
"59150317",455.00,,,178.00,155.00,5371.90,0.08
"59150318",560.00,,,218.00,195.00,5882.40,0.10
"59150319",482.00,,,192.00,171.00,5943.30,0.08
"59150320",751.00,,,303.00,281.00,6186.20,0.12
"59150321",518.00,,,194.00,178.00,6355.80,0.08
"59150322",421.00,,,184.00,168.00,5127.90,0.08
"59150323",588.00,,,226.00,195.00,3487.50,0.17
"59150324",557.00,,,192.00,182.00,4406.60,0.13
"59150325",510.00,,,218.00,198.00,5044.50,0.10
"59150326",662.00,,,248.00,242.00,5412.90,0.12
"59150327",517.00,,,202.00,188.00,1398.80,0.37
"59150328",556.00,,,181.00,170.00,2393.50,0.23
"59150329",959.00,,,356.00,333.00,3109.60,0.31
"59150330",506.00,,,189.00,174.00,6462.30,0.08
"59150331",782.00,,,307.00,275.00,5068.00,0.15
"59150332",683.00,,,264.00,246.00,6103.70,0.11
"59150333",541.00,,,202.00,185.00,5426.30,0.10
"59150334",507.00,,,208.00,192.00,5767.90,0.09
"59150335",618.00,,,225.00,213.00,6457.70,0.10
"59150336",597.00,,,224.00,211.00,4396.20,0.14
"59150337",449.00,,,177.00,163.00,4586.30,0.10
"59150338",513.00,,,183.00,169.00,6812.70,0.08
"59150339",631.00,,,237.00,226.00,6498.50,0.10
"59150340",581.00,,,209.00,198.00,7326.60,0.08
"59150341",494.00,,,181.00,178.00,7635.20,0.06
"59150342",445.00,,,195.00,184.00,5548.60,0.08
"59150343",505.00,,,230.00,211.00,8305.90,0.06
"59150344",490.00,,,226.00,210.00,8419.20,0.06
"59150345",632.00,,,325.00,310.00,7400.50,0.09
"59150346",418.00,,,189.00,178.00,6066.80,0.07
"59150347",542.00,,,304.00,291.00,8262.20,0.07
"59150348",569.00,,,315.00,310.00,14515.30,0.04
"59150349",411.00,,,228.00,212.00,11480.40,0.04
"59150350",572.00,,,308.00,297.00,5607.80,0.10
"59150351",415.00,,,259.00,234.00,14664.30,0.03
"59150352",771.00,,,547.00,537.00,13743.30,0.06
"59150353",490.00,,,275.00,267.00,11807.20,0.04
"59150354",549.00,,,340.00,331.00,12767.40,0.04
"59150355",519.00,,,299.00,285.00,18872.70,0.03
"59150356",479.00,,,236.00,220.00,5622.10,0.09
"59150357",924.00,,,568.00,565.00,10620.70,0.09
"59150358",545.00,,,250.00,241.00,6278.80,0.09
"59150359",496.00,,,310.00,287.00,11753.60,0.04
"59150360",642.00,,,352.00,339.00,7287.20,0.09
"59150361",524.00,,,223.00,207.00,9323.80,0.06
"59150362",427.00,,,170.00,164.00,7625.00,0.06
"59150363",480.00,,,208.00,193.00,4938.30,0.10
"59150364",493.00,,,199.00,189.00,8529.40,0.06
"59150365",361.00,,,148.00,146.00,5348.10,0.07
"59150366",636.00,,,267.00,244.00,5422.00,0.12
"59150367",1245.00,,,586.00,567.00,12266.00,0.10
"59150368",509.00,,,176.00,156.00,6869.10,0.07
"59150369",537.00,,,209.00,205.00,6929.00,0.08
"59150370",1317.00,,,658.00,627.00,11624.00,0.11
"59150371",535.00,,,205.00,183.00,7514.00,0.07
"59150372",709.00,,,299.00,287.00,7227.30,0.10
"59150373",719.00,,,272.00,239.00,6129.60,0.12
"59150375",474.00,,,165.00,157.00,6422.80,0.07
"59150376",465.00,,,186.00,163.00,6888.90,0.07
"59150377",503.00,,,194.00,178.00,7518.70,0.07
"59150378",862.00,,,375.00,375.00,14887.70,0.06
"59150379",578.00,,,235.00,206.00,7234.00,0.08
"59150380",591.00,,,235.00,214.00,10404.90,0.06
"59150381",638.00,,,258.00,230.00,8775.80,0.07
"59150382",583.00,,,213.00,190.00,8740.60,0.07
"59150383",538.00,,,211.00,192.00,8485.80,0.06
"59150384",468.00,,,212.00,190.00,8055.10,0.06
"59150385",512.00,,,206.00,177.00,7441.90,0.07
"59150386",586.00,,,206.00,179.00,5250.90,0.11
"59150387",482.00,,,178.00,163.00,7566.70,0.06
"59150388",787.00,,,303.00,270.00,2799.70,0.28
"59150389",702.00,,,261.00,237.00,6868.90,0.10
"59150390",601.00,,,199.00,187.00,5235.20,0.11
"59150391",516.00,,,197.00,182.00,7701.50,0.07
"59150392",503.00,,,164.00,146.00,3674.20,0.14
"59150393",596.00,,,221.00,186.00,7137.70,0.08
"59150394",617.00,,,226.00,204.00,7820.00,0.08
"59150395",748.00,,,244.00,231.00,9432.50,0.08
"59150396",660.00,,,312.00,305.00,5246.40,0.13
"59150397",456.00,,,163.00,155.00,7651.00,0.06
"59150398",492.00,,,156.00,137.00,7687.50,0.06
"59150399",478.00,,,176.00,158.00,7320.10,0.07
"59150400",711.00,,,254.00,226.00,7414.00,0.10
"59150401",623.00,,,203.00,191.00,6720.60,0.09
"59150402",702.00,,,268.00,238.00,4117.30,0.17
"59150403",649.00,,,251.00,226.00,6838.80,0.09
"59150404",537.00,,,188.00,162.00,9538.20,0.06
"59150405",473.00,,,190.00,165.00,7221.40,0.07
"59150406",739.00,,,278.00,260.00,6621.90,0.11
"59150407",767.00,,,268.00,241.00,7899.10,0.10
"59150408",753.00,,,272.00,255.00,9194.10,0.08
"59150409",482.00,,,159.00,150.00,8087.20,0.06
"59150410",581.00,,,223.00,199.00,6693.50,0.09
"59150412",448.00,,,170.00,155.00,7593.20,0.06
"59150414",649.00,,,230.00,207.00,9140.80,0.07
"59150415",886.00,,,321.00,269.00,7540.40,0.12
"59150416",663.00,,,243.00,230.00,7424.40,0.09
"59150417",484.00,,,184.00,173.00,6816.90,0.07
"59150419",447.00,,,183.00,168.00,4890.60,0.09
"59150420",556.00,,,194.00,180.00,6457.60,0.09
"59150421",642.00,,,228.00,206.00,6400.80,0.10
"59150422",894.00,,,321.00,316.00,10275.90,0.09
"59150423",468.00,,,177.00,163.00,3518.80,0.13
"59150424",862.00,,,342.00,317.00,5727.60,0.15
"59150425",388.00,,,146.00,130.00,4439.40,0.09
"59150426",634.00,,,180.00,169.00,2536.00,0.25
"59150427",568.00,,,210.00,198.00,5541.50,0.10
"59150428",589.00,,,252.00,243.00,3918.80,0.15
"59150429",562.00,,,236.00,209.00,5137.10,0.11
"59150430",545.00,,,215.00,190.00,6550.50,0.08
"59150431",600.00,,,242.00,208.00,5763.70,0.10
"59150432",878.00,,,354.00,327.00,6626.40,0.13
"59150433",496.00,,,175.00,160.00,7873.00,0.06
"59150434",477.00,,,173.00,166.00,6943.20,0.07
"59150435",598.00,,,233.00,210.00,8704.50,0.07
"59150436",776.00,,,282.00,256.00,7152.10,0.11
"59150437",1252.00,,,631.00,586.00,12061.70,0.10
"59150438",819.00,,,351.00,318.00,9285.70,0.09
"59150439",507.00,,,159.00,155.00,4941.50,0.10
"59150440",642.00,,,229.00,204.00,5676.40,0.11
"59150441",651.00,,,226.00,214.00,5641.20,0.12
"59150442",641.00,,,231.00,214.00,6116.40,0.10
"59150443",690.00,,,261.00,239.00,5817.90,0.12
"59150444",764.00,,,248.00,229.00,7527.10,0.10
"59150445",627.00,,,242.00,210.00,7108.80,0.09
"59150446",507.00,,,195.00,167.00,6057.30,0.08
"59150447",693.00,,,235.00,206.00,8794.40,0.08
"59150448",636.00,,,301.00,281.00,6278.40,0.10
"59150449",617.00,,,236.00,200.00,5215.60,0.12
"59150450",575.00,,,189.00,177.00,4107.10,0.14
"59150451",506.00,,,180.00,162.00,6239.20,0.08
"59150452",424.00,,,131.00,117.00,5083.90,0.08
"59150453",632.00,,,226.00,195.00,6112.20,0.10
"59150454",683.00,,,246.00,220.00,4526.20,0.15
"59150455",822.00,,,318.00,274.00,5425.70,0.15
"59150457",731.00,,,263.00,221.00,5285.60,0.14
"59150459",678.00,,,201.00,168.00,6759.70,0.10
"59150460",516.00,,,175.00,163.00,8113.20,0.06
"59150461",369.00,,,121.00,105.00,8443.90,0.04
"59150462",449.00,,,129.00,124.00,10490.70,0.04
"59150463",555.00,,,193.00,166.00,5787.30,0.10
"59150465",518.00,,,183.00,163.00,7719.80,0.07
"59150466",481.00,,,161.00,147.00,8016.70,0.06
"59150468",564.00,,,209.00,175.00,6706.30,0.08
"59150469",641.00,,,213.00,188.00,7798.10,0.08
"59150470",578.00,,,202.00,173.00,9059.60,0.06
"59150471",634.00,,,229.00,204.00,8544.50,0.07
"59150472",472.00,,,166.00,153.00,8054.60,0.06
"59150473",658.00,,,235.00,211.00,7852.00,0.08
"59150474",649.00,,,229.00,198.00,7707.80,0.08
"59150475",696.00,,,323.00,286.00,8477.50,0.08
"59150476",896.00,,,376.00,303.00,5848.60,0.15
"59150477",615.00,,,216.00,184.00,7834.40,0.08
"59150478",765.00,,,259.00,236.00,7758.60,0.10
"59150479",472.00,,,174.00,155.00,2862.30,0.16
"59150480",535.00,,,192.00,172.00,8346.30,0.06
"59150481",477.00,,,186.00,162.00,8457.40,0.06
"59150482",846.00,,,282.00,250.00,9505.60,0.09
"59150483",502.00,,,180.00,155.00,8422.80,0.06
"59150484",697.00,,,255.00,228.00,7676.20,0.09
"59150485",538.00,,,221.00,193.00,3907.00,0.14
"59150486",585.00,,,192.00,183.00,9766.30,0.06
"59150487",437.00,,,175.00,156.00,2629.40,0.17
"59150488",472.00,,,695.00,292.00,6742.90,0.07
"59150489",572.00,,,203.00,195.00,4758.70,0.12
"59150490",524.00,,,191.00,183.00,5586.40,0.09
"59150491",470.00,,,209.00,205.00,15932.20,0.03
"59150492",576.00,,,235.00,227.00,8067.20,0.07
"59150493",464.00,,,297.00,285.00,12817.70,0.04
"59150494",404.00,,,283.00,269.00,15419.80,0.03
"59150495",635.00,,,403.00,392.00,992.30,0.64
"59150496",599.00,,,355.00,351.00,17163.30,0.03
"59150497",624.00,,,335.00,331.00,20064.30,0.03
"59150498",600.00,,,385.00,384.00,15957.40,0.04
"59150499",629.00,,,411.00,401.00,17818.70,0.04
"59150500",722.00,,,411.00,393.00,15833.30,0.05
"59150503",527.00,,,286.00,274.00,12370.90,0.04
"59150504",1013.00,,,531.00,434.00,4640.40,0.22
"59150505",646.00,,,270.00,253.00,6140.70,0.11
"59150506",386.00,,,120.00,114.00,4478.00,0.09
"59150507",474.00,,,170.00,153.00,3220.10,0.15
"59150508",464.00,,,168.00,158.00,3668.00,0.13
"59150509",427.00,,,169.00,158.00,2583.20,0.17
"59150510",459.00,,,161.00,147.00,2462.40,0.19
"59150511",346.00,,,192.00,158.00,2709.50,0.13
"59150512",459.00,,,145.00,135.00,2075.00,0.22
"59150513",471.00,,,162.00,152.00,2783.70,0.17
"59150514",608.00,,,198.00,176.00,3018.90,0.20
"59150515",383.00,,,126.00,118.00,1847.60,0.21
"59150516",471.00,,,148.00,135.00,3062.40,0.15
"59150517",406.00,,,132.00,120.00,2976.50,0.14
"59150518",414.00,,,140.00,132.00,3174.80,0.13
"59150519",403.00,,,155.00,129.00,2583.30,0.16
"59150520",1012.00,,,542.00,488.00,6155.70,0.16
"59150521",608.00,,,239.00,203.00,3855.40,0.16
"59150522",585.00,,,233.00,200.00,4791.20,0.12
"59150523",613.00,,,246.00,214.00,5239.30,0.12
"59150524",502.00,,,205.00,182.00,5796.80,0.09
"59150525",523.00,,,193.00,171.00,6339.40,0.08
"59150526",559.00,,,241.00,210.00,6817.10,0.08
"59150527",561.00,,,216.00,186.00,8806.90,0.06
"59150528",552.00,,,206.00,188.00,7206.30,0.08
"59150529",537.00,,,213.00,190.00,5587.90,0.10
"59150530",581.00,,,258.00,254.00,11785.00,0.05
"59150531",757.00,,,337.00,321.00,4358.10,0.17
"59150532",595.00,,,223.00,204.00,6356.80,0.09
"59150533",620.00,,,268.00,216.00,6391.80,0.10
"59150534",535.00,,,227.00,188.00,5437.00,0.10
"59150535",599.00,,,245.00,215.00,6427.00,0.09
"59150536",516.00,,,279.00,274.00,10320.00,0.05
"59150537",586.00,,,230.00,207.00,6666.70,0.09
"59150538",186.00,,,121.00,110.00,2336.70,0.08
"59150539",483.00,,,207.00,185.00,5149.30,0.09
"59150540",572.00,,,269.00,214.00,4677.00,0.12
"59150541",733.00,,,340.00,258.00,3087.60,0.24
"59150542",456.00,,,200.00,193.00,4672.10,0.10
"59150543",515.00,,,173.00,148.00,2200.90,0.23
"59150544",782.00,,,510.00,469.00,3927.70,0.20
