"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36"
"9330010.01",5350.00,4510.00,5.00,340.00,500.00,2430.00,2080.00,0.00,135.00,215.00,2925.00,2430.00,5.00,200.00,285.00,5355.00,4760.00,45.00,50.00,495.00,75.00,1.40,2430.00,2175.00,25.00,15.00,210.00,35.00,1.40,2925.00,2585.00,25.00,30.00,285.00,35.00,1.20
"9330010.02",4640.00,3825.00,5.00,265.00,550.00,2180.00,1830.00,0.00,110.00,235.00,2460.00,1990.00,0.00,155.00,310.00,4640.00,4020.00,35.00,45.00,545.00,55.00,1.20,2180.00,1915.00,20.00,15.00,235.00,25.00,1.10,2460.00,2110.00,15.00,25.00,310.00,25.00,1.00
"9330011.00",6615.00,5760.00,0.00,285.00,570.00,3190.00,2845.00,5.00,130.00,210.00,3430.00,2915.00,0.00,150.00,360.00,6615.00,5990.00,25.00,25.00,570.00,45.00,0.70,3190.00,2950.00,15.00,15.00,210.00,25.00,0.80,3430.00,3040.00,15.00,15.00,360.00,20.00,0.60
"9330012.00",8090.00,7015.00,0.00,560.00,520.00,3880.00,3435.00,0.00,250.00,190.00,4210.00,3585.00,0.00,305.00,325.00,8090.00,7485.00,50.00,40.00,515.00,70.00,0.90,3880.00,3645.00,30.00,15.00,190.00,35.00,0.90,4215.00,3840.00,20.00,30.00,325.00,30.00,0.70
"9330013.01",6480.00,5345.00,10.00,315.00,810.00,3170.00,2685.00,5.00,145.00,330.00,3320.00,2660.00,0.00,175.00,480.00,6480.00,5580.00,55.00,35.00,810.00,80.00,1.20,3170.00,2790.00,25.00,15.00,330.00,35.00,1.10,3315.00,2790.00,25.00,20.00,480.00,40.00,1.20
"9330013.03",4985.00,4345.00,5.00,165.00,465.00,2440.00,2200.00,0.00,85.00,155.00,2540.00,2150.00,0.00,80.00,310.00,4985.00,4465.00,30.00,25.00,465.00,35.00,0.70,2440.00,2255.00,15.00,10.00,155.00,20.00,0.80,2540.00,2210.00,15.00,15.00,305.00,20.00,0.80
"9330013.04",3635.00,2975.00,0.00,100.00,560.00,1790.00,1525.00,0.00,45.00,220.00,1840.00,1450.00,0.00,55.00,340.00,3630.00,3055.00,5.00,15.00,555.00,15.00,0.40,1790.00,1560.00,5.00,5.00,220.00,10.00,0.60,1840.00,1495.00,0.00,10.00,335.00,5.00,0.30
"9330014.01",3080.00,2375.00,0.00,85.00,620.00,1455.00,1185.00,0.00,30.00,240.00,1625.00,1195.00,0.00,50.00,380.00,3080.00,2435.00,20.00,10.00,610.00,20.00,0.60,1455.00,1205.00,5.00,5.00,230.00,10.00,0.70,1620.00,1230.00,10.00,5.00,375.00,10.00,0.60
"9330014.02",5965.00,4385.00,0.00,150.00,1430.00,2805.00,2115.00,5.00,85.00,605.00,3160.00,2270.00,0.00,65.00,825.00,5965.00,4485.00,25.00,35.00,1425.00,40.00,0.70,2805.00,2165.00,15.00,20.00,605.00,25.00,0.90,3160.00,2320.00,5.00,15.00,815.00,15.00,0.50
"9330015.01",5480.00,4555.00,0.00,175.00,745.00,2720.00,2335.00,0.00,80.00,305.00,2760.00,2220.00,0.00,95.00,440.00,5480.00,4680.00,30.00,30.00,740.00,45.00,0.80,2720.00,2390.00,20.00,10.00,305.00,20.00,0.70,2760.00,2290.00,10.00,15.00,440.00,20.00,0.70
"9330015.02",5930.00,4960.00,0.00,185.00,780.00,2845.00,2445.00,0.00,75.00,330.00,3080.00,2520.00,0.00,110.00,450.00,5930.00,5115.00,25.00,15.00,775.00,35.00,0.60,2850.00,2500.00,15.00,10.00,330.00,20.00,0.70,3080.00,2615.00,15.00,5.00,445.00,15.00,0.50
"9330016.01",5175.00,4210.00,0.00,175.00,790.00,2500.00,2090.00,0.00,75.00,335.00,2670.00,2120.00,0.00,100.00,455.00,5170.00,4340.00,20.00,35.00,780.00,35.00,0.70,2500.00,2145.00,10.00,10.00,330.00,15.00,0.60,2670.00,2195.00,10.00,20.00,445.00,20.00,0.70
"9330016.04",7340.00,6380.00,5.00,280.00,680.00,3540.00,3155.00,5.00,115.00,265.00,3800.00,3225.00,0.00,165.00,415.00,7345.00,6595.00,35.00,45.00,675.00,55.00,0.70,3540.00,3240.00,20.00,20.00,265.00,30.00,0.80,3800.00,3355.00,20.00,20.00,410.00,30.00,0.80
"9330016.05",4765.00,4110.00,5.00,195.00,460.00,2320.00,2045.00,0.00,90.00,185.00,2445.00,2070.00,0.00,105.00,275.00,4765.00,4260.00,35.00,20.00,450.00,45.00,0.90,2320.00,2115.00,25.00,5.00,180.00,25.00,1.10,2445.00,2145.00,15.00,15.00,270.00,20.00,0.80
"9330016.06",4890.00,4180.00,5.00,220.00,485.00,2340.00,2010.00,5.00,115.00,210.00,2550.00,2170.00,0.00,105.00,275.00,4890.00,4335.00,40.00,35.00,480.00,55.00,1.10,2340.00,2095.00,20.00,20.00,210.00,30.00,1.30,2550.00,2240.00,15.00,20.00,270.00,25.00,1.00
"9330017.01",7525.00,6170.00,5.00,255.00,1100.00,3650.00,3075.00,0.00,130.00,445.00,3880.00,3095.00,0.00,125.00,660.00,7525.00,6355.00,40.00,40.00,1095.00,60.00,0.80,3650.00,3165.00,25.00,20.00,440.00,35.00,1.00,3880.00,3185.00,15.00,20.00,655.00,25.00,0.60
"9330017.02",6580.00,5370.00,0.00,220.00,990.00,3190.00,2680.00,0.00,100.00,405.00,3395.00,2690.00,0.00,125.00,575.00,6580.00,5545.00,40.00,25.00,975.00,50.00,0.80,3190.00,2760.00,20.00,10.00,400.00,25.00,0.80,3390.00,2790.00,20.00,10.00,575.00,25.00,0.70
"9330018.01",6910.00,5500.00,5.00,195.00,1210.00,3365.00,2725.00,5.00,95.00,535.00,3550.00,2770.00,5.00,95.00,675.00,6915.00,5650.00,25.00,30.00,1205.00,35.00,0.50,3365.00,2810.00,15.00,10.00,530.00,15.00,0.40,3550.00,2840.00,10.00,15.00,675.00,25.00,0.70
"9330018.02",6925.00,5925.00,0.00,480.00,520.00,3425.00,3000.00,0.00,220.00,195.00,3500.00,2925.00,0.00,260.00,320.00,6925.00,6290.00,85.00,35.00,515.00,105.00,1.50,3425.00,3160.00,50.00,15.00,195.00,60.00,1.80,3500.00,3130.00,35.00,15.00,315.00,45.00,1.30
"9330019.00",4760.00,3995.00,5.00,430.00,340.00,2235.00,1925.00,0.00,190.00,130.00,2525.00,2070.00,5.00,240.00,210.00,4760.00,4360.00,40.00,20.00,335.00,55.00,1.20,2235.00,2080.00,15.00,10.00,125.00,25.00,1.10,2520.00,2275.00,25.00,10.00,210.00,30.00,1.20
"9330020.00",2410.00,2030.00,0.00,175.00,200.00,1145.00,970.00,0.00,90.00,90.00,1260.00,1060.00,0.00,85.00,115.00,2410.00,2160.00,40.00,15.00,200.00,45.00,1.90,1145.00,1045.00,20.00,5.00,85.00,15.00,1.30,1265.00,1120.00,25.00,5.00,115.00,25.00,2.00
"9330021.00",3670.00,2945.00,0.00,455.00,270.00,1725.00,1415.00,0.00,170.00,135.00,1945.00,1525.00,0.00,285.00,135.00,3670.00,3340.00,40.00,30.00,265.00,50.00,1.40,1725.00,1555.00,20.00,15.00,135.00,30.00,1.70,1945.00,1785.00,15.00,10.00,130.00,20.00,1.00
"9330022.00",3060.00,2605.00,5.00,300.00,155.00,1300.00,1135.00,0.00,110.00,60.00,1760.00,1470.00,0.00,190.00,95.00,3060.00,2830.00,40.00,40.00,155.00,60.00,2.00,1300.00,1220.00,10.00,20.00,60.00,20.00,1.50,1760.00,1610.00,30.00,20.00,100.00,40.00,2.30
"9330023.00",4070.00,3335.00,0.00,505.00,225.00,1970.00,1660.00,0.00,215.00,105.00,2100.00,1680.00,0.00,295.00,120.00,4070.00,3785.00,40.00,30.00,225.00,50.00,1.20,1970.00,1845.00,10.00,10.00,100.00,20.00,1.00,2100.00,1935.00,25.00,20.00,125.00,30.00,1.40
"9330024.00",5785.00,4695.00,0.00,760.00,330.00,2825.00,2355.00,0.00,315.00,150.00,2965.00,2340.00,0.00,445.00,180.00,5790.00,5375.00,60.00,30.00,325.00,70.00,1.20,2820.00,2640.00,20.00,10.00,145.00,25.00,0.90,2970.00,2735.00,35.00,20.00,175.00,45.00,1.50
"9330025.00",7330.00,5845.00,0.00,1100.00,375.00,3530.00,2885.00,0.00,470.00,180.00,3795.00,2965.00,0.00,635.00,200.00,7325.00,6790.00,100.00,65.00,370.00,130.00,1.80,3535.00,3270.00,45.00,40.00,180.00,65.00,1.80,3795.00,3515.00,55.00,25.00,195.00,70.00,1.80
"9330026.00",4670.00,3825.00,0.00,515.00,335.00,2195.00,1825.00,0.00,225.00,145.00,2475.00,1995.00,0.00,290.00,185.00,4675.00,4245.00,60.00,30.00,335.00,75.00,1.60,2200.00,2015.00,25.00,10.00,145.00,30.00,1.40,2475.00,2230.00,35.00,20.00,190.00,45.00,1.80
"9330027.01",4070.00,3310.00,0.00,360.00,395.00,1905.00,1565.00,0.00,160.00,185.00,2165.00,1755.00,0.00,205.00,210.00,4070.00,3610.00,30.00,35.00,390.00,50.00,1.20,1905.00,1690.00,15.00,15.00,180.00,30.00,1.60,2165.00,1920.00,15.00,20.00,210.00,25.00,1.20
"9330027.02",3785.00,3015.00,0.00,375.00,400.00,1665.00,1335.00,0.00,160.00,175.00,2120.00,1680.00,0.00,215.00,225.00,3785.00,3315.00,25.00,55.00,395.00,50.00,1.30,1665.00,1455.00,15.00,25.00,175.00,25.00,1.50,2120.00,1855.00,10.00,30.00,225.00,25.00,1.20
"9330028.00",3060.00,2560.00,0.00,290.00,215.00,1425.00,1215.00,0.00,115.00,100.00,1635.00,1345.00,0.00,175.00,110.00,3060.00,2810.00,30.00,10.00,215.00,35.00,1.10,1430.00,1310.00,10.00,0.00,105.00,10.00,0.70,1635.00,1495.00,15.00,10.00,110.00,25.00,1.50
"9330029.00",6575.00,5420.00,5.00,965.00,190.00,3110.00,2650.00,0.00,385.00,75.00,3465.00,2770.00,0.00,580.00,115.00,6570.00,6230.00,120.00,35.00,190.00,135.00,2.10,3105.00,2960.00,60.00,15.00,75.00,65.00,2.10,3465.00,3270.00,60.00,25.00,115.00,70.00,2.00
"9330030.00",6865.00,5760.00,0.00,835.00,270.00,3310.00,2850.00,0.00,365.00,95.00,3550.00,2910.00,0.00,470.00,175.00,6860.00,6500.00,75.00,20.00,270.00,90.00,1.30,3310.00,3170.00,40.00,10.00,90.00,50.00,1.50,3555.00,3335.00,40.00,10.00,175.00,40.00,1.10
"9330031.01",6135.00,4995.00,0.00,970.00,175.00,2905.00,2420.00,0.00,420.00,65.00,3230.00,2570.00,0.00,545.00,110.00,6135.00,5830.00,120.00,20.00,175.00,125.00,2.00,2905.00,2775.00,60.00,5.00,65.00,65.00,2.20,3225.00,3050.00,55.00,15.00,110.00,65.00,2.00
"9330031.02",4610.00,3750.00,0.00,535.00,320.00,2245.00,1875.00,0.00,240.00,135.00,2360.00,1875.00,0.00,295.00,185.00,4610.00,4190.00,85.00,15.00,320.00,90.00,2.00,2245.00,2055.00,45.00,10.00,135.00,45.00,2.00,2365.00,2135.00,40.00,5.00,185.00,40.00,1.70
"9330032.00",9085.00,7505.00,10.00,925.00,650.00,4430.00,3760.00,5.00,395.00,265.00,4660.00,3745.00,0.00,525.00,385.00,9085.00,8255.00,145.00,35.00,645.00,165.00,1.80,4430.00,4075.00,75.00,15.00,265.00,80.00,1.80,4660.00,4180.00,75.00,25.00,385.00,85.00,1.80
"9330033.01",5170.00,4400.00,5.00,450.00,320.00,2435.00,2120.00,0.00,180.00,125.00,2740.00,2275.00,0.00,270.00,190.00,5170.00,4755.00,85.00,20.00,315.00,95.00,1.80,2435.00,2265.00,40.00,10.00,125.00,40.00,1.60,2735.00,2490.00,50.00,15.00,190.00,50.00,1.80
"9330033.02",3135.00,2535.00,5.00,160.00,445.00,1525.00,1265.00,0.00,75.00,185.00,1605.00,1265.00,0.00,85.00,255.00,3135.00,2655.00,35.00,15.00,440.00,40.00,1.30,1530.00,1320.00,15.00,10.00,185.00,25.00,1.60,1610.00,1335.00,15.00,5.00,250.00,15.00,0.90
"9330034.01",5195.00,4035.00,0.00,245.00,915.00,2540.00,2025.00,0.00,115.00,395.00,2655.00,2010.00,0.00,130.00,520.00,5195.00,4230.00,45.00,15.00,905.00,50.00,1.00,2535.00,2115.00,25.00,5.00,390.00,30.00,1.20,2655.00,2115.00,20.00,10.00,515.00,25.00,0.90
"9330034.02",7110.00,5640.00,10.00,555.00,910.00,3475.00,2855.00,5.00,240.00,370.00,3640.00,2785.00,5.00,310.00,535.00,7110.00,6085.00,90.00,30.00,905.00,105.00,1.50,3475.00,3050.00,40.00,15.00,370.00,45.00,1.30,3640.00,3035.00,55.00,20.00,535.00,65.00,1.80
"9330035.01",4295.00,3560.00,5.00,225.00,510.00,2145.00,1825.00,0.00,110.00,205.00,2155.00,1735.00,0.00,115.00,300.00,4300.00,3720.00,45.00,15.00,510.00,55.00,1.30,2145.00,1895.00,25.00,15.00,205.00,30.00,1.40,2155.00,1825.00,20.00,5.00,305.00,20.00,0.90
"9330035.02",6905.00,5640.00,5.00,495.00,760.00,3355.00,2845.00,0.00,210.00,290.00,3550.00,2800.00,0.00,280.00,470.00,6900.00,6030.00,75.00,35.00,760.00,90.00,1.30,3355.00,3010.00,35.00,20.00,290.00,45.00,1.30,3545.00,3025.00,35.00,20.00,465.00,45.00,1.30
"9330036.01",6125.00,4965.00,0.00,210.00,935.00,2990.00,2510.00,5.00,95.00,380.00,3130.00,2455.00,0.00,115.00,560.00,6120.00,5140.00,20.00,30.00,930.00,35.00,0.60,2990.00,2590.00,10.00,10.00,375.00,20.00,0.70,3130.00,2545.00,10.00,20.00,555.00,20.00,0.60
"9330036.02",6110.00,5120.00,0.00,220.00,770.00,3040.00,2635.00,0.00,85.00,320.00,3070.00,2485.00,0.00,140.00,450.00,6115.00,5295.00,25.00,25.00,765.00,40.00,0.70,3045.00,2705.00,10.00,10.00,320.00,20.00,0.70,3070.00,2590.00,15.00,20.00,445.00,25.00,0.80
"9330037.01",4910.00,4110.00,5.00,585.00,205.00,2425.00,2070.00,0.00,275.00,80.00,2480.00,2040.00,5.00,315.00,125.00,4905.00,4590.00,85.00,20.00,210.00,95.00,1.90,2430.00,2290.00,45.00,10.00,80.00,50.00,2.10,2480.00,2300.00,40.00,15.00,125.00,50.00,2.00
"9330037.02",3625.00,2925.00,0.00,530.00,170.00,1820.00,1525.00,0.00,225.00,70.00,1810.00,1400.00,0.00,305.00,105.00,3625.00,3340.00,95.00,20.00,170.00,105.00,2.90,1815.00,1690.00,50.00,10.00,65.00,55.00,3.00,1810.00,1650.00,50.00,10.00,100.00,50.00,2.80
"9330038.00",5655.00,4775.00,5.00,770.00,110.00,2640.00,2265.00,0.00,335.00,45.00,3015.00,2515.00,5.00,435.00,65.00,5655.00,5415.00,120.00,15.00,105.00,130.00,2.30,2640.00,2530.00,65.00,0.00,45.00,65.00,2.50,3015.00,2885.00,55.00,10.00,60.00,65.00,2.20
"9330039.01",5885.00,4845.00,5.00,980.00,50.00,2740.00,2290.00,0.00,430.00,15.00,3140.00,2550.00,0.00,550.00,35.00,5880.00,5655.00,150.00,30.00,50.00,165.00,2.80,2740.00,2630.00,80.00,15.00,10.00,90.00,3.30,3145.00,3025.00,70.00,15.00,35.00,75.00,2.40
"9330039.02",5445.00,4565.00,5.00,775.00,95.00,2425.00,2055.00,5.00,335.00,35.00,3025.00,2515.00,0.00,445.00,60.00,5450.00,5165.00,145.00,45.00,95.00,165.00,3.00,2420.00,2310.00,60.00,15.00,35.00,70.00,2.90,3025.00,2860.00,80.00,25.00,60.00,95.00,3.10
"9330040.01",4110.00,3420.00,5.00,650.00,35.00,1840.00,1565.00,5.00,260.00,15.00,2265.00,1850.00,5.00,390.00,20.00,4105.00,3930.00,115.00,25.00,35.00,130.00,3.20,1845.00,1750.00,60.00,15.00,20.00,70.00,3.80,2265.00,2180.00,60.00,5.00,20.00,60.00,2.60
"9330040.02",4580.00,3825.00,0.00,705.00,50.00,1995.00,1695.00,5.00,275.00,20.00,2595.00,2130.00,0.00,430.00,30.00,4580.00,4405.00,100.00,20.00,50.00,110.00,2.40,1990.00,1925.00,40.00,10.00,15.00,45.00,2.30,2590.00,2485.00,65.00,15.00,30.00,65.00,2.50
"9330041.01",4335.00,3620.00,0.00,680.00,35.00,1895.00,1610.00,0.00,270.00,15.00,2440.00,2000.00,0.00,415.00,20.00,4335.00,4155.00,115.00,30.00,30.00,130.00,3.00,1895.00,1825.00,50.00,10.00,15.00,55.00,2.90,2435.00,2335.00,70.00,15.00,20.00,75.00,3.10
"9330041.02",7390.00,6100.00,5.00,1175.00,110.00,3285.00,2740.00,5.00,510.00,35.00,4110.00,3360.00,0.00,665.00,75.00,7390.00,7070.00,155.00,60.00,110.00,185.00,2.50,3285.00,3170.00,55.00,30.00,35.00,70.00,2.10,4110.00,3905.00,100.00,30.00,75.00,110.00,2.70
"9330042.00",6480.00,5275.00,5.00,1070.00,135.00,3110.00,2605.00,0.00,440.00,60.00,3370.00,2670.00,5.00,630.00,70.00,6485.00,6180.00,110.00,60.00,135.00,135.00,2.10,3110.00,2980.00,45.00,25.00,60.00,55.00,1.80,3375.00,3205.00,65.00,35.00,70.00,85.00,2.50
"9330043.01",4040.00,3235.00,0.00,660.00,145.00,1950.00,1585.00,0.00,295.00,65.00,2090.00,1650.00,0.00,360.00,75.00,4040.00,3785.00,75.00,45.00,140.00,100.00,2.50,1950.00,1825.00,35.00,25.00,65.00,50.00,2.60,2090.00,1955.00,40.00,20.00,75.00,50.00,2.40
"9330043.02",4335.00,3420.00,0.00,690.00,220.00,2040.00,1660.00,0.00,270.00,105.00,2290.00,1760.00,0.00,425.00,115.00,4330.00,4020.00,75.00,20.00,215.00,85.00,2.00,2040.00,1900.00,35.00,5.00,100.00,40.00,2.00,2295.00,2125.00,45.00,15.00,115.00,45.00,2.00
"9330044.00",4695.00,3820.00,0.00,695.00,175.00,2225.00,1835.00,0.00,320.00,75.00,2465.00,1990.00,0.00,380.00,100.00,4695.00,4400.00,85.00,35.00,175.00,100.00,2.10,2225.00,2095.00,45.00,20.00,75.00,50.00,2.20,2470.00,2310.00,40.00,20.00,95.00,55.00,2.20
"9330045.01",4765.00,3880.00,0.00,850.00,35.00,2280.00,1875.00,5.00,385.00,15.00,2490.00,2000.00,0.00,470.00,20.00,4765.00,4555.00,130.00,45.00,30.00,155.00,3.30,2275.00,2170.00,70.00,25.00,10.00,80.00,3.50,2485.00,2385.00,65.00,20.00,20.00,70.00,2.80
"9330045.02",5855.00,4780.00,5.00,1030.00,40.00,2800.00,2350.00,0.00,440.00,10.00,3055.00,2430.00,5.00,595.00,25.00,5855.00,5610.00,170.00,35.00,35.00,190.00,3.20,2800.00,2705.00,70.00,15.00,10.00,80.00,2.90,3055.00,2905.00,105.00,20.00,25.00,115.00,3.80
"9330046.00",5150.00,4175.00,5.00,920.00,45.00,2405.00,2005.00,5.00,375.00,20.00,2750.00,2175.00,5.00,550.00,25.00,5150.00,4910.00,165.00,35.00,45.00,180.00,3.50,2405.00,2305.00,65.00,15.00,20.00,75.00,3.10,2750.00,2610.00,95.00,20.00,25.00,105.00,3.80
"9330047.01",3510.00,2885.00,5.00,600.00,10.00,1610.00,1355.00,0.00,250.00,5.00,1900.00,1535.00,5.00,355.00,10.00,3505.00,3360.00,115.00,20.00,10.00,125.00,3.60,1605.00,1540.00,50.00,10.00,5.00,55.00,3.40,1900.00,1820.00,65.00,10.00,10.00,70.00,3.70
"9330047.02",4105.00,3370.00,5.00,720.00,15.00,1930.00,1625.00,5.00,300.00,5.00,2175.00,1750.00,0.00,420.00,5.00,4105.00,3925.00,140.00,25.00,10.00,155.00,3.80,1930.00,1850.00,60.00,15.00,5.00,65.00,3.40,2175.00,2075.00,80.00,10.00,5.00,90.00,4.10
"9330048.00",7925.00,6595.00,0.00,1250.00,80.00,3740.00,3180.00,0.00,525.00,30.00,4185.00,3415.00,0.00,725.00,45.00,7930.00,7585.00,220.00,45.00,75.00,245.00,3.10,3740.00,3570.00,115.00,25.00,30.00,130.00,3.50,4185.00,4015.00,105.00,25.00,45.00,115.00,2.70
"9330049.01",13615.00,11625.00,10.00,1805.00,175.00,6600.00,5710.00,10.00,815.00,65.00,7015.00,5910.00,5.00,985.00,110.00,13615.00,13065.00,310.00,70.00,170.00,350.00,2.60,6600.00,6335.00,170.00,30.00,65.00,185.00,2.80,7015.00,6730.00,140.00,40.00,110.00,160.00,2.30
"9330049.02",5835.00,4910.00,5.00,845.00,70.00,2630.00,2240.00,5.00,370.00,25.00,3205.00,2675.00,5.00,480.00,40.00,5830.00,5560.00,150.00,55.00,70.00,175.00,3.00,2630.00,2510.00,70.00,25.00,25.00,85.00,3.20,3200.00,3050.00,85.00,30.00,40.00,95.00,3.00
"9330050.02",6220.00,5190.00,5.00,835.00,190.00,3075.00,2620.00,0.00,385.00,65.00,3145.00,2570.00,0.00,450.00,120.00,6220.00,5890.00,130.00,15.00,185.00,135.00,2.20,3075.00,2945.00,60.00,15.00,60.00,60.00,2.00,3145.00,2950.00,70.00,5.00,120.00,75.00,2.40
