"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"1500000US510594709001","Block Group 1, Census Tract 4709, Fairfax County, Virginia","1937","348","1801","297","2","6","0","12","134","202","0","12","0","12","0","12","0","12","0","12"
"1500000US510594511001","Block Group 1, Census Tract 4511, Fairfax County, Virginia","1004","166","650","125","43","45","0","12","151","108","0","12","110","103","50","41","5","8","45","40"
"1500000US510594406001","Block Group 1, Census Tract 4406, Fairfax County, Virginia","3116","190","2069","198","85","66","10","16","600","100","0","12","93","79","259","106","58","50","201","92"
"1500000US510594911034","Block Group 4, Census Tract 4911.03, Fairfax County, Virginia","755","245","414","157","116","133","0","12","130","106","0","12","0","12","95","83","14","27","81","80"
"1500000US510594711001","Block Group 1, Census Tract 4711, Fairfax County, Virginia","1396","395","804","297","13","21","0","12","381","198","0","12","188","260","10","16","0","12","10","16"
"1500000US510594605021","Block Group 1, Census Tract 4605.02, Fairfax County, Virginia","3428","490","1634","331","185","177","0","12","1407","499","0","12","0","12","202","204","0","12","202","204"
"1500000US510594516011","Block Group 1, Census Tract 4516.01, Fairfax County, Virginia","2785","757","1452","547","94","79","0","12","413","184","0","12","781","480","45","45","23","28","22","35"
"1500000US510594202012","Block Group 2, Census Tract 4202.01, Fairfax County, Virginia","1673","286","881","218","478","174","0","12","256","131","0","12","0","12","58","68","0","12","58","68"
"1500000US510594617003","Block Group 3, Census Tract 4617, Fairfax County, Virginia","1480","312","751","253","120","188","0","12","484","252","0","12","0","12","125","90","0","12","125","90"
"1500000US510594322011","Block Group 1, Census Tract 4322.01, Fairfax County, Virginia","2264","268","1525","237","175","113","0","12","430","200","0","12","22","30","112","67","4","9","108","68"
"1500000US510594822024","Block Group 4, Census Tract 4822.02, Fairfax County, Virginia","1365","299","1029","268","63","65","0","12","191","121","0","12","0","12","82","81","0","12","82","81"
"1500000US510594819002","Block Group 2, Census Tract 4819, Fairfax County, Virginia","1508","338","1051","298","215","174","0","12","106","95","0","12","0","12","136","173","0","12","136","173"
"1500000US510594811043","Block Group 3, Census Tract 4811.04, Fairfax County, Virginia","583","161","181","91","11","18","0","12","376","143","0","12","0","12","15","18","0","12","15","18"
"1500000US510594326001","Block Group 1, Census Tract 4326, Fairfax County, Virginia","2391","326","1528","247","376","239","24","37","311","163","0","12","43","55","109","95","0","12","109","95"
"1500000US510594914051","Block Group 1, Census Tract 4914.05, Fairfax County, Virginia","2867","139","2137","128","61","43","0","12","541","132","0","12","14","21","114","67","11","18","103","64"
"1500000US510594714022","Block Group 2, Census Tract 4714.02, Fairfax County, Virginia","1422","256","901","169","121","118","0","12","260","151","0","12","57","90","83","66","35","42","48","50"
"1500000US510594504001","Block Group 1, Census Tract 4504, Fairfax County, Virginia","1109","256","679","135","17","25","0","12","328","203","0","12","0","12","85","85","4","9","81","84"
"1500000US510594520001","Block Group 1, Census Tract 4520, Fairfax County, Virginia","3085","154","1592","192","466","90","46","61","751","174","0","12","56","38","174","111","21","23","153","103"
"1500000US510594823033","Block Group 3, Census Tract 4823.03, Fairfax County, Virginia","1433","193","1201","203","7","11","0","12","133","78","0","12","27","42","65","51","9","13","56","50"
"1500000US510594152004","Block Group 4, Census Tract 4152, Fairfax County, Virginia","650","166","641","165","9","15","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US510594224023","Block Group 3, Census Tract 4224.02, Fairfax County, Virginia","1685","361","974","272","296","198","0","12","140","122","0","12","152","130","123","123","0","12","123","123"
"1500000US510594917041","Block Group 1, Census Tract 4917.04, Fairfax County, Virginia","1289","395","992","357","94","83","0","12","191","204","0","12","0","12","12","20","0","12","12","20"
"1500000US510594918032","Block Group 2, Census Tract 4918.03, Fairfax County, Virginia","1506","373","1334","345","35","62","0","12","114","132","0","12","0","12","23","35","0","12","23","35"
"1500000US510594314002","Block Group 2, Census Tract 4314, Fairfax County, Virginia","1469","253","958","194","94","91","0","12","258","178","0","12","44","53","115","101","0","12","115","101"
"1500000US510594509002","Block Group 2, Census Tract 4509, Fairfax County, Virginia","854","105","755","104","4","8","5","9","55","48","0","12","21","31","14","17","0","12","14","17"
"1500000US510594917012","Block Group 2, Census Tract 4917.01, Fairfax County, Virginia","1771","381","1089","317","190","162","0","12","425","178","0","12","0","12","67","50","0","12","67","50"
"1500000US510594810001","Block Group 1, Census Tract 4810, Fairfax County, Virginia","2787","522","1355","449","604","296","10","17","561","243","0","12","174","235","83","74","14","15","69","66"
"1500000US510594402011","Block Group 1, Census Tract 4402.01, Fairfax County, Virginia","3208","333","1733","267","372","203","0","12","659","177","0","12","134","106","310","177","0","12","310","177"
"1500000US510594211031","Block Group 1, Census Tract 4211.03, Fairfax County, Virginia","812","237","352","130","156","177","0","12","222","175","0","12","0","12","82","83","0","12","82","83"
"1500000US510594601003","Block Group 3, Census Tract 4601, Fairfax County, Virginia","1276","214","533","152","67","57","0","12","507","220","0","12","27","53","142","123","0","12","142","123"
"1500000US510594914013","Block Group 3, Census Tract 4914.01, Fairfax County, Virginia","917","229","459","128","50","51","0","12","293","167","0","12","45","42","70","52","13","20","57","50"
"1500000US510594408003","Block Group 3, Census Tract 4408, Fairfax County, Virginia","1999","420","1396","353","36","55","10","17","527","315","0","12","0","12","30","51","0","12","30","51"
"1500000US510594616011","Block Group 1, Census Tract 4616.01, Fairfax County, Virginia","1680","561","784","307","366","386","0","12","486","366","0","12","19","31","25","42","0","12","25","42"
"1500000US510594618023","Block Group 3, Census Tract 4618.02, Fairfax County, Virginia","1170","319","642","218","99","125","11","19","384","275","0","12","0","12","34","54","0","12","34","54"
"1500000US510594206002","Block Group 2, Census Tract 4206, Fairfax County, Virginia","3221","316","1800","330","796","247","0","12","317","104","21","31","12","18","275","143","0","12","275","143"
"1500000US510594202011","Block Group 1, Census Tract 4202.01, Fairfax County, Virginia","1203","266","848","224","77","74","0","12","115","93","0","12","43","52","120","106","0","12","120","106"
"1500000US510594709002","Block Group 2, Census Tract 4709, Fairfax County, Virginia","1744","389","1137","261","30","35","0","12","403","266","0","12","98","120","76","101","0","12","76","101"
"1500000US510594325002","Block Group 2, Census Tract 4325, Fairfax County, Virginia","2143","299","1605","304","122","89","0","12","350","116","0","12","0","12","66","55","21","31","45","45"
"1500000US510594523022","Block Group 2, Census Tract 4523.02, Fairfax County, Virginia","2032","489","1031","400","44","49","0","12","364","222","0","12","458","373","135","124","8","13","127","122"
"1500000US510594712013","Block Group 3, Census Tract 4712.01, Fairfax County, Virginia","1189","244","439","217","114","129","0","12","506","198","0","12","0","12","130","120","118","118","12","16"
"1500000US510594618021","Block Group 1, Census Tract 4618.02, Fairfax County, Virginia","1996","293","1259","252","0","12","0","12","548","212","0","12","24","40","165","134","0","12","165","134"
"1500000US510594302021","Block Group 1, Census Tract 4302.02, Fairfax County, Virginia","1883","379","1346","337","189","134","0","12","215","114","0","12","32","49","101","80","13","21","88","77"
"1500000US510594823031","Block Group 1, Census Tract 4823.03, Fairfax County, Virginia","1214","186","1027","179","67","55","0","12","93","98","0","12","27","42","0","12","0","12","0","12"
"1500000US510594921003","Block Group 3, Census Tract 4921, Fairfax County, Virginia","1920","326","1612","356","33","51","0","12","226","153","0","12","29","48","20","35","0","12","20","35"
"1500000US510594514001","Block Group 1, Census Tract 4514, Fairfax County, Virginia","1970","391","933","299","106","86","0","12","346","138","0","12","558","301","27","37","0","12","27","37"
"1500000US510594505002","Block Group 2, Census Tract 4505, Fairfax County, Virginia","2107","305","1303","339","12","19","0","12","581","123","0","12","187","185","24","23","0","12","24","23"
"1500000US510594525011","Block Group 1, Census Tract 4525.01, Fairfax County, Virginia","963","271","545","251","39","61","35","57","344","156","0","12","0","12","0","12","0","12","0","12"
"1500000US510594604001","Block Group 1, Census Tract 4604, Fairfax County, Virginia","1760","285","1305","218","42","45","0","12","340","170","0","12","0","12","73","98","0","12","73","98"
"1500000US510594201002","Block Group 2, Census Tract 4201, Fairfax County, Virginia","2976","367","1598","448","531","99","0","12","634","270","0","12","106","140","107","98","0","12","107","98"
"1500000US510594216001","Block Group 1, Census Tract 4216, Fairfax County, Virginia","2596","614","1508","495","370","253","0","12","325","287","0","12","114","129","279","170","59","76","220","161"
"1500000US510594213002","Block Group 2, Census Tract 4213, Fairfax County, Virginia","1466","173","1059","208","151","72","9","15","183","84","0","12","64","50","0","12","0","12","0","12"
"1500000US510594501003","Block Group 3, Census Tract 4501, Fairfax County, Virginia","671","357","351","171","62","68","0","12","208","224","0","12","0","12","50","58","0","12","50","58"
"1500000US510594219002","Block Group 2, Census Tract 4219, Fairfax County, Virginia","1439","292","1009","241","236","155","0","12","47","61","16","33","10","12","121","81","27","38","94","67"
"1500000US510594802013","Block Group 3, Census Tract 4802.01, Fairfax County, Virginia","1120","198","950","181","0","12","0","12","162","102","0","12","0","12","8","13","0","12","8","13"
"1500000US510594155002","Block Group 2, Census Tract 4155, Fairfax County, Virginia","824","229","776","233","24","23","0","12","5","7","0","12","5","5","14","23","0","12","14","23"
"1500000US510594809012","Block Group 2, Census Tract 4809.01, Fairfax County, Virginia","3022","607","1278","572","137","216","79","98","411","183","0","12","1006","466","111","92","0","12","111","92"
"1500000US510594306004","Block Group 4, Census Tract 4306, Fairfax County, Virginia","2016","471","1056","426","163","229","46","70","528","273","0","12","215","217","8","13","0","12","8","13"
"1500000US510594402024","Block Group 4, Census Tract 4402.02, Fairfax County, Virginia","1770","442","593","234","528","474","0","12","350","223","0","12","85","114","214","339","0","12","214","339"
"1500000US510594224031","Block Group 1, Census Tract 4224.03, Fairfax County, Virginia","1275","218","874","146","129","92","0","12","96","77","0","12","69","81","107","68","8","11","99","68"
"1500000US510594521013","Block Group 3, Census Tract 4521.01, Fairfax County, Virginia","2210","485","989","274","128","145","0","12","476","262","0","12","475","484","142","125","0","12","142","125"
"1500000US510594822023","Block Group 3, Census Tract 4822.02, Fairfax County, Virginia","793","152","652","142","12","19","0","12","76","66","0","12","0","12","53","38","31","35","22","18"
"1500000US510594923002","Block Group 2, Census Tract 4923, Fairfax County, Virginia","1579","263","1239","252","52","49","0","12","151","110","0","12","0","12","137","104","20","31","117","103"
"1500000US510594524005","Block Group 5, Census Tract 4524, Fairfax County, Virginia","1489","335","956","322","218","245","16","25","112","76","0","12","31","52","156","115","52","64","104","84"
"1500000US510594917025","Block Group 5, Census Tract 4917.02, Fairfax County, Virginia","1696","487","1065","473","356","285","0","12","123","101","0","12","67","110","85","72","0","12","85","72"
"1500000US510599803001","Block Group 1, Census Tract 9803, Fairfax County, Virginia","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US510594825032","Block Group 2, Census Tract 4825.03, Fairfax County, Virginia","844","217","612","169","0","12","68","98","101","88","0","12","0","12","63","59","0","12","63","59"
"1500000US510594913012","Block Group 2, Census Tract 4913.01, Fairfax County, Virginia","2452","383","1233","226","345","236","0","12","771","283","0","12","86","109","17","28","0","12","17","28"
"1500000US510594814004","Block Group 4, Census Tract 4814, Fairfax County, Virginia","1740","331","1457","321","15","24","0","12","171","174","0","12","15","25","82","92","0","12","82","92"
"1500000US510594905011","Block Group 1, Census Tract 4905.01, Fairfax County, Virginia","1281","242","703","217","154","110","35","53","93","71","0","12","136","97","160","130","0","12","160","130"
"1500000US510594202013","Block Group 3, Census Tract 4202.01, Fairfax County, Virginia","1289","382","468","255","399","216","0","12","376","219","6","10","16","33","24","37","0","12","24","37"
"1500000US510594156001","Block Group 1, Census Tract 4156, Fairfax County, Virginia","1694","189","1524","191","0","12","0","12","114","75","0","12","13","20","43","64","0","12","43","64"
"1500000US510594222011","Block Group 1, Census Tract 4222.01, Fairfax County, Virginia","1739","233","855","217","172","121","0","12","624","222","0","12","14","19","74","55","15","22","59","52"
"1500000US510594526001","Block Group 1, Census Tract 4526, Fairfax County, Virginia","4793","827","2667","824","1057","385","34","51","682","354","0","12","0","12","353","240","37","58","316","222"
"1500000US510594901011","Block Group 1, Census Tract 4901.01, Fairfax County, Virginia","1374","299","599","192","173","136","7","11","529","205","0","12","0","12","66","59","0","12","66","59"
"1500000US510594612011","Block Group 1, Census Tract 4612.01, Fairfax County, Virginia","2062","244","1737","232","0","12","0","12","181","108","0","12","0","12","144","122","0","12","144","122"
"1500000US510594812021","Block Group 1, Census Tract 4812.02, Fairfax County, Virginia","2516","404","1899","364","203","153","0","12","183","115","0","12","106","135","125","140","0","12","125","140"
"1500000US510594707003","Block Group 3, Census Tract 4707, Fairfax County, Virginia","956","203","566","184","103","115","41","62","157","105","11","16","0","12","78","74","0","12","78","74"
"1500000US510594221024","Block Group 4, Census Tract 4221.02, Fairfax County, Virginia","1768","602","587","330","1091","533","0","12","0","12","0","12","0","12","90","97","19","30","71","90"
"1500000US510594920001","Block Group 1, Census Tract 4920, Fairfax County, Virginia","2577","438","1921","407","94","139","0","12","372","176","0","12","32","51","158","185","0","12","158","185"
"1500000US510594211033","Block Group 3, Census Tract 4211.03, Fairfax County, Virginia","1003","214","782","181","89","77","0","12","79","100","0","12","0","12","53","53","0","12","53","53"
"1500000US510594211034","Block Group 4, Census Tract 4211.03, Fairfax County, Virginia","1293","293","831","234","296","164","0","12","83","65","0","12","0","12","83","78","43","65","40","53"
"1500000US510594808021","Block Group 1, Census Tract 4808.02, Fairfax County, Virginia","999","207","380","142","11","17","0","12","572","252","0","12","0","12","36","46","0","12","36","46"
"1500000US510594714012","Block Group 2, Census Tract 4714.01, Fairfax County, Virginia","2633","413","1290","306","421","265","0","12","372","148","0","12","227","163","323","159","15","23","308","164"
"1500000US510594220001","Block Group 1, Census Tract 4220, Fairfax County, Virginia","3661","257","1584","307","1248","188","6","12","459","130","0","12","205","163","159","116","0","12","159","116"
"1500000US510594302023","Block Group 3, Census Tract 4302.02, Fairfax County, Virginia","1763","281","1312","251","58","40","0","12","333","181","8","13","0","12","52","65","52","65","0","12"
"1500000US510594304001","Block Group 1, Census Tract 4304, Fairfax County, Virginia","2574","468","1544","368","43","41","0","12","689","362","0","12","148","186","150","163","0","12","150","163"
"1500000US510594155003","Block Group 3, Census Tract 4155, Fairfax County, Virginia","1991","427","1653","368","289","177","0","12","11","24","0","12","8","17","30","38","0","12","30","38"
"1500000US510594916012","Block Group 2, Census Tract 4916.01, Fairfax County, Virginia","2793","525","1190","324","272","178","0","12","1136","409","0","12","20","36","175","126","9","15","166","125"
"1500000US510594515021","Block Group 1, Census Tract 4515.02, Fairfax County, Virginia","2029","318","1054","244","368","228","20","27","382","177","0","12","108","103","97","81","0","12","97","81"
"1500000US510594916021","Block Group 1, Census Tract 4916.02, Fairfax County, Virginia","3103","480","1107","256","58","55","0","12","1641","537","0","12","191","215","106","114","0","12","106","114"
"1500000US510594826011","Block Group 1, Census Tract 4826.01, Fairfax County, Virginia","1815","302","1668","303","43","52","15","26","70","95","0","12","0","12","19","29","0","12","19","29"
"1500000US510594516022","Block Group 2, Census Tract 4516.02, Fairfax County, Virginia","1800","214","1023","248","286","149","0","12","400","167","0","12","91","99","0","12","0","12","0","12"
"1500000US510594205021","Block Group 1, Census Tract 4205.02, Fairfax County, Virginia","1114","137","700","131","102","47","0","12","77","54","0","12","208","163","27","25","0","12","27","25"
"1500000US510594713011","Block Group 1, Census Tract 4713.01, Fairfax County, Virginia","2065","308","1044","257","24","24","0","12","817","267","0","12","146","139","34","32","0","12","34","32"
"1500000US510594912014","Block Group 4, Census Tract 4912.01, Fairfax County, Virginia","730","210","274","133","21","34","0","12","299","200","0","12","0","12","136","139","0","12","136","139"
"1500000US510594508003","Block Group 3, Census Tract 4508, Fairfax County, Virginia","1108","266","444","150","0","12","0","12","648","252","0","12","0","12","16","27","0","12","16","27"
"1500000US510594811011","Block Group 1, Census Tract 4811.01, Fairfax County, Virginia","2439","180","685","142","446","210","7","12","1204","279","0","12","74","126","23","25","5","8","18","24"
"1500000US510594822031","Block Group 1, Census Tract 4822.03, Fairfax County, Virginia","968","260","708","235","52","46","0","12","181","123","0","12","6","14","21","32","0","12","21","32"
"1500000US510594916022","Block Group 2, Census Tract 4916.02, Fairfax County, Virginia","2753","501","1747","446","265","168","0","12","573","295","0","12","16","26","152","163","11","17","141","164"
"1500000US510594506023","Block Group 3, Census Tract 4506.02, Fairfax County, Virginia","1420","286","848","255","126","111","0","12","277","139","0","12","123","115","46","45","0","12","46","45"
"1500000US510594219001","Block Group 1, Census Tract 4219, Fairfax County, Virginia","1358","265","743","228","294","209","11","18","75","76","27","30","52","71","156","110","22","34","134","105"
"1500000US510594913014","Block Group 4, Census Tract 4913.01, Fairfax County, Virginia","2892","664","1478","569","340","312","0","12","897","292","0","12","177","249","0","12","0","12","0","12"
"1500000US510594911012","Block Group 2, Census Tract 4911.01, Fairfax County, Virginia","2137","189","1609","179","10","16","0","12","424","133","0","12","0","12","94","67","9","14","85","62"
"1500000US510594321001","Block Group 1, Census Tract 4321, Fairfax County, Virginia","1483","209","1049","198","141","90","45","48","177","100","0","12","25","28","46","48","9","14","37","45"
"1500000US510594809011","Block Group 1, Census Tract 4809.01, Fairfax County, Virginia","773","188","537","160","43","49","0","12","183","130","0","12","0","12","10","15","0","12","10","15"
"1500000US510594155004","Block Group 4, Census Tract 4155, Fairfax County, Virginia","1657","431","372","171","896","401","0","12","255","55","0","12","0","12","134","184","0","12","134","184"
"1500000US510594157001","Block Group 1, Census Tract 4157, Fairfax County, Virginia","1177","191","1066","188","50","73","0","12","35","24","0","12","0","12","26","24","0","12","26","24"
"1500000US510594324012","Block Group 2, Census Tract 4324.01, Fairfax County, Virginia","1214","181","909","192","0","12","0","12","230","91","17","27","0","12","58","45","0","12","58","45"
"1500000US510594808011","Block Group 1, Census Tract 4808.01, Fairfax County, Virginia","1422","347","864","294","125","64","62","78","113","130","0","12","167","173","91","64","0","12","91","64"
"1500000US510594803002","Block Group 2, Census Tract 4803, Fairfax County, Virginia","662","230","543","178","0","12","0","12","89","115","0","12","30","46","0","12","0","12","0","12"
"1500000US510594217011","Block Group 1, Census Tract 4217.01, Fairfax County, Virginia","3384","643","1400","559","702","237","0","12","258","211","0","12","285","261","739","403","108","164","631","383"
"1500000US510594615002","Block Group 2, Census Tract 4615, Fairfax County, Virginia","973","314","664","302","20","33","0","12","267","229","0","12","0","12","22","35","0","12","22","35"
"1500000US510594616023","Block Group 3, Census Tract 4616.02, Fairfax County, Virginia","1775","446","744","281","0","12","0","12","961","410","0","12","0","12","70","88","16","26","54","85"
"1500000US510594152003","Block Group 3, Census Tract 4152, Fairfax County, Virginia","1038","212","789","145","18","29","0","12","161","188","0","12","9","13","61","52","0","12","61","52"
"1500000US510594911021","Block Group 1, Census Tract 4911.02, Fairfax County, Virginia","1721","211","1612","198","0","12","0","12","81","93","0","12","0","12","28","32","0","12","28","32"
"1500000US510594310012","Block Group 2, Census Tract 4310.01, Fairfax County, Virginia","1221","405","721","362","145","136","0","12","226","127","0","12","91","141","38","59","0","12","38","59"
"1500000US510594703002","Block Group 2, Census Tract 4703, Fairfax County, Virginia","953","133","855","127","19","30","0","12","68","63","0","12","0","12","11","17","0","12","11","17"
"1500000US510594607023","Block Group 3, Census Tract 4607.02, Fairfax County, Virginia","1434","193","1115","176","0","12","0","12","272","155","0","12","0","12","47","40","0","12","47","40"
"1500000US510594161001","Block Group 1, Census Tract 4161, Fairfax County, Virginia","2631","325","2104","266","106","123","0","12","167","117","0","12","84","94","170","158","0","12","170","158"
"1500000US510594509001","Block Group 1, Census Tract 4509, Fairfax County, Virginia","847","132","546","129","45","44","0","12","179","104","0","12","49","49","28","32","0","12","28","32"
"1500000US510594524003","Block Group 3, Census Tract 4524, Fairfax County, Virginia","1412","583","699","260","0","12","0","12","103","113","0","12","109","89","501","554","501","554","0","12"
"1500000US510594911031","Block Group 1, Census Tract 4911.03, Fairfax County, Virginia","1962","562","642","288","276","193","0","12","750","447","0","12","96","121","198","248","0","12","198","248"
"1500000US510594604002","Block Group 2, Census Tract 4604, Fairfax County, Virginia","2297","282","1435","182","25","29","0","12","661","255","0","12","12","17","164","97","9","15","155","93"
"1500000US510594151003","Block Group 3, Census Tract 4151, Fairfax County, Virginia","909","203","842","198","0","12","0","12","25","28","13","20","21","33","8","11","0","12","8","11"
"1500000US510594825041","Block Group 1, Census Tract 4825.04, Fairfax County, Virginia","1946","207","1347","194","19","31","0","12","555","164","0","12","0","12","25","39","0","12","25","39"
"1500000US510594905023","Block Group 3, Census Tract 4905.02, Fairfax County, Virginia","2918","482","1873","401","16","25","13","19","871","355","0","12","49","57","96","137","0","12","96","137"
"1500000US510594506013","Block Group 3, Census Tract 4506.01, Fairfax County, Virginia","1221","305","647","208","21","33","0","12","427","200","0","12","114","138","12","20","0","12","12","20"
"1500000US510594213001","Block Group 1, Census Tract 4213, Fairfax County, Virginia","2516","240","1808","279","326","135","0","12","165","128","0","12","71","96","146","74","0","12","146","74"
"1500000US510594811032","Block Group 2, Census Tract 4811.03, Fairfax County, Virginia","1881","353","598","213","630","219","0","12","463","203","0","12","144","197","46","75","6","12","40","72"
"1500000US510594915011","Block Group 1, Census Tract 4915.01, Fairfax County, Virginia","3471","617","1287","450","63","76","38","53","1884","603","114","148","0","12","85","96","0","12","85","96"
"1500000US510594318022","Block Group 2, Census Tract 4318.02, Fairfax County, Virginia","1299","269","593","200","168","179","0","12","353","139","0","12","161","171","24","28","0","12","24","28"
"1500000US510594302012","Block Group 2, Census Tract 4302.01, Fairfax County, Virginia","2215","336","1363","306","271","187","0","12","413","179","0","12","21","26","147","118","90","104","57","50"
"1500000US510594319001","Block Group 1, Census Tract 4319, Fairfax County, Virginia","1734","202","1345","235","52","68","12","17","207","86","0","12","43","41","75","53","30","36","45","37"
"1500000US510594309022","Block Group 2, Census Tract 4309.02, Fairfax County, Virginia","2299","232","1619","254","236","146","0","12","234","151","0","12","125","139","85","69","0","12","85","69"
"1500000US510594922021","Block Group 1, Census Tract 4922.02, Fairfax County, Virginia","1438","252","1260","256","49","88","13","20","106","55","0","12","0","12","10","18","0","12","10","18"
"1500000US510594922033","Block Group 3, Census Tract 4922.03, Fairfax County, Virginia","1804","233","1549","219","47","59","0","12","138","98","0","12","0","12","70","70","40","58","30","35"
"1500000US510594521021","Block Group 1, Census Tract 4521.02, Fairfax County, Virginia","3651","267","2032","272","125","79","0","12","1214","219","0","12","245","178","35","49","0","12","35","49"
"1500000US510594223023","Block Group 3, Census Tract 4223.02, Fairfax County, Virginia","1025","208","614","157","198","154","0","12","99","87","0","12","0","12","114","87","0","12","114","87"
"1500000US510594811051","Block Group 1, Census Tract 4811.05, Fairfax County, Virginia","1706","240","1029","199","88","83","0","12","465","182","0","12","0","12","124","119","0","12","124","119"
"1500000US510594207001","Block Group 1, Census Tract 4207, Fairfax County, Virginia","2460","386","1631","272","210","127","0","12","353","290","0","12","25","36","241","188","13","19","228","186"
"1500000US510594325003","Block Group 3, Census Tract 4325, Fairfax County, Virginia","2015","237","1529","225","239","91","13","21","174","85","0","12","0","12","60","82","7","11","53","82"
"1500000US510594315002","Block Group 2, Census Tract 4315, Fairfax County, Virginia","3092","349","2219","336","321","173","0","12","461","180","0","12","36","42","55","53","7","12","48","52"
"1500000US510594816002","Block Group 2, Census Tract 4816, Fairfax County, Virginia","1485","218","1289","204","0","12","0","12","169","72","0","12","0","12","27","42","0","12","27","42"
"1500000US510594901031","Block Group 1, Census Tract 4901.03, Fairfax County, Virginia","1566","256","1207","256","60","57","0","12","195","128","0","12","34","41","70","65","0","12","70","65"
"1500000US510594704003","Block Group 3, Census Tract 4704, Fairfax County, Virginia","865","162","669","132","7","10","0","12","174","136","0","12","0","12","15","24","0","12","15","24"
"1500000US510594804012","Block Group 2, Census Tract 4804.01, Fairfax County, Virginia","2677","306","2144","346","29","32","0","12","368","108","0","12","0","12","136","73","0","12","136","73"
"1500000US510594151002","Block Group 2, Census Tract 4151, Fairfax County, Virginia","1409","327","706","238","164","78","0","12","143","104","0","12","315","222","81","87","52","81","29","32"
"1500000US510594712011","Block Group 1, Census Tract 4712.01, Fairfax County, Virginia","1861","273","974","273","118","108","0","12","706","294","0","12","11","17","52","45","22","24","30","35"
"1500000US510594158003","Block Group 3, Census Tract 4158, Fairfax County, Virginia","1734","199","1581","215","20","30","0","12","61","57","0","12","25","36","47","50","0","12","47","50"
"1500000US510594912012","Block Group 2, Census Tract 4912.01, Fairfax County, Virginia","2863","533","1752","458","47","66","0","12","783","332","0","12","176","270","105","118","0","12","105","118"
"1500000US510594918011","Block Group 1, Census Tract 4918.01, Fairfax County, Virginia","1268","239","746","149","247","216","0","12","143","95","0","12","57","92","75","69","0","12","75","69"
"1500000US510594826022","Block Group 2, Census Tract 4826.02, Fairfax County, Virginia","2007","409","1020","245","65","61","0","12","843","421","0","12","8","13","71","83","0","12","71","83"
