"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M"
"1500000US510594822024","Block Group 4, Census Tract 4822.02, Fairfax County, Virginia","1365","299","1343","302","22","34"
"1500000US510594819002","Block Group 2, Census Tract 4819, Fairfax County, Virginia","1508","338","1408","340","100","133"
"1500000US510594811043","Block Group 3, Census Tract 4811.04, Fairfax County, Virginia","583","161","564","158","19","22"
"1500000US510594326001","Block Group 1, Census Tract 4326, Fairfax County, Virginia","2391","326","2220","343","171","115"
"1500000US510594914051","Block Group 1, Census Tract 4914.05, Fairfax County, Virginia","2867","139","2735","156","132","81"
"1500000US510594714022","Block Group 2, Census Tract 4714.02, Fairfax County, Virginia","1422","256","1255","271","167","129"
"1500000US510594504001","Block Group 1, Census Tract 4504, Fairfax County, Virginia","1109","256","1025","254","84","49"
"1500000US510594520001","Block Group 1, Census Tract 4520, Fairfax County, Virginia","3085","154","2606","167","479","123"
"1500000US510594823033","Block Group 3, Census Tract 4823.03, Fairfax County, Virginia","1433","193","1309","208","124","85"
"1500000US510594152004","Block Group 4, Census Tract 4152, Fairfax County, Virginia","650","166","629","166","21","32"
"1500000US510594224023","Block Group 3, Census Tract 4224.02, Fairfax County, Virginia","1685","361","1413","326","272","188"
"1500000US510594917041","Block Group 1, Census Tract 4917.04, Fairfax County, Virginia","1289","395","1128","377","161","116"
"1500000US510594918032","Block Group 2, Census Tract 4918.03, Fairfax County, Virginia","1506","373","1213","302","293","260"
"1500000US510594314002","Block Group 2, Census Tract 4314, Fairfax County, Virginia","1469","253","1260","241","209","124"
"1500000US510594509002","Block Group 2, Census Tract 4509, Fairfax County, Virginia","854","105","734","105","120","68"
"1500000US510594917012","Block Group 2, Census Tract 4917.01, Fairfax County, Virginia","1771","381","1507","283","264","267"
"1500000US510594810001","Block Group 1, Census Tract 4810, Fairfax County, Virginia","2787","522","1769","333","1018","524"
"1500000US510594402011","Block Group 1, Census Tract 4402.01, Fairfax County, Virginia","3208","333","2762","315","446","189"
"1500000US510594211031","Block Group 1, Census Tract 4211.03, Fairfax County, Virginia","812","237","762","244","50","55"
"1500000US510594601003","Block Group 3, Census Tract 4601, Fairfax County, Virginia","1276","214","1268","214","8","13"
"1500000US510594914013","Block Group 3, Census Tract 4914.01, Fairfax County, Virginia","917","229","839","212","78","62"
"1500000US510594408003","Block Group 3, Census Tract 4408, Fairfax County, Virginia","1999","420","1904","367","95","123"
"1500000US510594616011","Block Group 1, Census Tract 4616.01, Fairfax County, Virginia","1680","561","1583","564","97","85"
"1500000US510594618023","Block Group 3, Census Tract 4618.02, Fairfax County, Virginia","1170","319","1119","324","51","48"
"1500000US510594206002","Block Group 2, Census Tract 4206, Fairfax County, Virginia","3221","316","2749","316","472","235"
"1500000US510594202011","Block Group 1, Census Tract 4202.01, Fairfax County, Virginia","1203","266","907","174","296","208"
"1500000US510594709002","Block Group 2, Census Tract 4709, Fairfax County, Virginia","1744","389","1609","374","135","129"
"1500000US510594325002","Block Group 2, Census Tract 4325, Fairfax County, Virginia","2143","299","1900","230","243","246"
"1500000US510594523022","Block Group 2, Census Tract 4523.02, Fairfax County, Virginia","2032","489","1041","322","991","418"
"1500000US510594712013","Block Group 3, Census Tract 4712.01, Fairfax County, Virginia","1189","244","1162","245","27","40"
"1500000US510594618021","Block Group 1, Census Tract 4618.02, Fairfax County, Virginia","1996","293","1792","313","204","155"
"1500000US510594302021","Block Group 1, Census Tract 4302.02, Fairfax County, Virginia","1883","379","1777","395","106","88"
"1500000US510594823031","Block Group 1, Census Tract 4823.03, Fairfax County, Virginia","1214","186","1170","198","44","60"
"1500000US510594921003","Block Group 3, Census Tract 4921, Fairfax County, Virginia","1920","326","1757","352","163","152"
"1500000US510594514001","Block Group 1, Census Tract 4514, Fairfax County, Virginia","1970","391","854","158","1116","388"
"1500000US510594505002","Block Group 2, Census Tract 4505, Fairfax County, Virginia","2107","305","1414","174","693","280"
"1500000US510594525011","Block Group 1, Census Tract 4525.01, Fairfax County, Virginia","963","271","770","182","193","214"
"1500000US510594604001","Block Group 1, Census Tract 4604, Fairfax County, Virginia","1760","285","1638","289","122","96"
"1500000US510594201002","Block Group 2, Census Tract 4201, Fairfax County, Virginia","2976","367","2514","299","462","224"
"1500000US510594216001","Block Group 1, Census Tract 4216, Fairfax County, Virginia","2596","614","1159","423","1437","435"
"1500000US510594213002","Block Group 2, Census Tract 4213, Fairfax County, Virginia","1466","173","1240","191","226","107"
"1500000US510594501003","Block Group 3, Census Tract 4501, Fairfax County, Virginia","671","357","619","352","52","84"
"1500000US510594219002","Block Group 2, Census Tract 4219, Fairfax County, Virginia","1439","292","1287","275","152","107"
"1500000US510594802013","Block Group 3, Census Tract 4802.01, Fairfax County, Virginia","1120","198","1101","195","19","23"
"1500000US510594155002","Block Group 2, Census Tract 4155, Fairfax County, Virginia","824","229","755","220","69","66"
"1500000US510594809012","Block Group 2, Census Tract 4809.01, Fairfax County, Virginia","3022","607","994","327","2028","616"
"1500000US510594306004","Block Group 4, Census Tract 4306, Fairfax County, Virginia","2016","471","1309","452","707","422"
"1500000US510594402024","Block Group 4, Census Tract 4402.02, Fairfax County, Virginia","1770","442","1489","451","281","189"
"1500000US510594224031","Block Group 1, Census Tract 4224.03, Fairfax County, Virginia","1275","218","1115","185","160","103"
"1500000US510594521013","Block Group 3, Census Tract 4521.01, Fairfax County, Virginia","2210","485","1321","397","889","577"
"1500000US510594822023","Block Group 3, Census Tract 4822.02, Fairfax County, Virginia","793","152","737","152","56","41"
"1500000US510594923002","Block Group 2, Census Tract 4923, Fairfax County, Virginia","1579","263","1444","230","135","126"
"1500000US510594524005","Block Group 5, Census Tract 4524, Fairfax County, Virginia","1489","335","1223","291","266","231"
"1500000US510594917025","Block Group 5, Census Tract 4917.02, Fairfax County, Virginia","1696","487","1402","419","294","199"
"1500000US510599803001","Block Group 1, Census Tract 9803, Fairfax County, Virginia","0","12","0","12","0","12"
"1500000US510594825032","Block Group 2, Census Tract 4825.03, Fairfax County, Virginia","844","217","776","212","68","74"
"1500000US510594913012","Block Group 2, Census Tract 4913.01, Fairfax County, Virginia","2452","383","2388","380","64","93"
"1500000US510594814004","Block Group 4, Census Tract 4814, Fairfax County, Virginia","1740","331","1641","326","99","102"
"1500000US510594905011","Block Group 1, Census Tract 4905.01, Fairfax County, Virginia","1281","242","1090","214","191","112"
"1500000US510594202013","Block Group 3, Census Tract 4202.01, Fairfax County, Virginia","1289","382","1231","354","58","59"
"1500000US510594156001","Block Group 1, Census Tract 4156, Fairfax County, Virginia","1694","189","1584","179","110","85"
"1500000US510594222011","Block Group 1, Census Tract 4222.01, Fairfax County, Virginia","1739","233","1686","231","53","44"
"1500000US510594526001","Block Group 1, Census Tract 4526, Fairfax County, Virginia","4793","827","3041","628","1752","918"
"1500000US510594901011","Block Group 1, Census Tract 4901.01, Fairfax County, Virginia","1374","299","1333","302","41","35"
"1500000US510594612011","Block Group 1, Census Tract 4612.01, Fairfax County, Virginia","2062","244","1960","244","102","81"
"1500000US510594812021","Block Group 1, Census Tract 4812.02, Fairfax County, Virginia","2516","404","2048","265","468","291"
"1500000US510594707003","Block Group 3, Census Tract 4707, Fairfax County, Virginia","956","203","920","202","36","36"
"1500000US510594221024","Block Group 4, Census Tract 4221.02, Fairfax County, Virginia","1768","602","1553","606","215","283"
"1500000US510594920001","Block Group 1, Census Tract 4920, Fairfax County, Virginia","2577","438","2528","421","49","47"
"1500000US510594211033","Block Group 3, Census Tract 4211.03, Fairfax County, Virginia","1003","214","944","214","59","50"
"1500000US510594211034","Block Group 4, Census Tract 4211.03, Fairfax County, Virginia","1293","293","1124","297","169","138"
"1500000US510594808021","Block Group 1, Census Tract 4808.02, Fairfax County, Virginia","999","207","954","208","45","37"
"1500000US510594714012","Block Group 2, Census Tract 4714.01, Fairfax County, Virginia","2633","413","2090","368","543","270"
"1500000US510594220001","Block Group 1, Census Tract 4220, Fairfax County, Virginia","3661","257","3114","274","547","93"
"1500000US510594302023","Block Group 3, Census Tract 4302.02, Fairfax County, Virginia","1763","281","1548","243","215","220"
"1500000US510594304001","Block Group 1, Census Tract 4304, Fairfax County, Virginia","2574","468","2103","415","471","349"
"1500000US510594155003","Block Group 3, Census Tract 4155, Fairfax County, Virginia","1991","427","1818","355","173","158"
"1500000US510594916012","Block Group 2, Census Tract 4916.01, Fairfax County, Virginia","2793","525","2250","478","543","249"
"1500000US510594515021","Block Group 1, Census Tract 4515.02, Fairfax County, Virginia","2029","318","1658","314","371","165"
"1500000US510594916021","Block Group 1, Census Tract 4916.02, Fairfax County, Virginia","3103","480","2645","541","458","250"
"1500000US510594826011","Block Group 1, Census Tract 4826.01, Fairfax County, Virginia","1815","302","1677","310","138","151"
"1500000US510594516022","Block Group 2, Census Tract 4516.02, Fairfax County, Virginia","1800","214","1566","246","234","131"
"1500000US510594205021","Block Group 1, Census Tract 4205.02, Fairfax County, Virginia","1114","137","764","128","350","167"
"1500000US510594713011","Block Group 1, Census Tract 4713.01, Fairfax County, Virginia","2065","308","1439","244","626","206"
"1500000US510594912014","Block Group 4, Census Tract 4912.01, Fairfax County, Virginia","730","210","730","210","0","12"
"1500000US510594508003","Block Group 3, Census Tract 4508, Fairfax County, Virginia","1108","266","1060","271","48","52"
"1500000US510594811011","Block Group 1, Census Tract 4811.01, Fairfax County, Virginia","2439","180","2336","213","103","125"
"1500000US510594822031","Block Group 1, Census Tract 4822.03, Fairfax County, Virginia","968","260","896","250","72","86"
"1500000US510594916022","Block Group 2, Census Tract 4916.02, Fairfax County, Virginia","2753","501","2054","395","699","378"
"1500000US510594506023","Block Group 3, Census Tract 4506.02, Fairfax County, Virginia","1420","286","1064","188","356","187"
"1500000US510594219001","Block Group 1, Census Tract 4219, Fairfax County, Virginia","1358","265","1208","261","150","104"
"1500000US510594913014","Block Group 4, Census Tract 4913.01, Fairfax County, Virginia","2892","664","2004","437","888","564"
"1500000US510594911012","Block Group 2, Census Tract 4911.01, Fairfax County, Virginia","2137","189","2113","193","24","38"
"1500000US510594321001","Block Group 1, Census Tract 4321, Fairfax County, Virginia","1483","209","1075","198","408","204"
"1500000US510594809011","Block Group 1, Census Tract 4809.01, Fairfax County, Virginia","773","188","679","158","94","105"
"1500000US510594155004","Block Group 4, Census Tract 4155, Fairfax County, Virginia","1657","431","1400","427","257","149"
"1500000US510594157001","Block Group 1, Census Tract 4157, Fairfax County, Virginia","1177","191","1115","201","62","48"
"1500000US510594324012","Block Group 2, Census Tract 4324.01, Fairfax County, Virginia","1214","181","1148","173","66","59"
"1500000US510594808011","Block Group 1, Census Tract 4808.01, Fairfax County, Virginia","1422","347","726","218","696","346"
"1500000US510594803002","Block Group 2, Census Tract 4803, Fairfax County, Virginia","662","230","612","212","50","41"
"1500000US510594217011","Block Group 1, Census Tract 4217.01, Fairfax County, Virginia","3384","643","1383","392","2001","671"
"1500000US510594615002","Block Group 2, Census Tract 4615, Fairfax County, Virginia","973","314","956","313","17","27"
"1500000US510594616023","Block Group 3, Census Tract 4616.02, Fairfax County, Virginia","1775","446","1711","449","64","80"
"1500000US510594152003","Block Group 3, Census Tract 4152, Fairfax County, Virginia","1038","212","1009","213","29","32"
"1500000US510594911021","Block Group 1, Census Tract 4911.02, Fairfax County, Virginia","1721","211","1265","225","456","208"
"1500000US510594310012","Block Group 2, Census Tract 4310.01, Fairfax County, Virginia","1221","405","1118","373","103","142"
"1500000US510594703002","Block Group 2, Census Tract 4703, Fairfax County, Virginia","953","133","915","142","38","42"
"1500000US510594607023","Block Group 3, Census Tract 4607.02, Fairfax County, Virginia","1434","193","1363","185","71","70"
"1500000US510594161001","Block Group 1, Census Tract 4161, Fairfax County, Virginia","2631","325","2393","338","238","131"
"1500000US510594509001","Block Group 1, Census Tract 4509, Fairfax County, Virginia","847","132","692","131","155","96"
"1500000US510594524003","Block Group 3, Census Tract 4524, Fairfax County, Virginia","1412","583","664","259","748","572"
"1500000US510594911031","Block Group 1, Census Tract 4911.03, Fairfax County, Virginia","1962","562","1129","313","833","539"
"1500000US510594604002","Block Group 2, Census Tract 4604, Fairfax County, Virginia","2297","282","2151","279","146","83"
"1500000US510594151003","Block Group 3, Census Tract 4151, Fairfax County, Virginia","909","203","810","169","99","72"
"1500000US510594825041","Block Group 1, Census Tract 4825.04, Fairfax County, Virginia","1946","207","1823","218","123","88"
"1500000US510594905023","Block Group 3, Census Tract 4905.02, Fairfax County, Virginia","2918","482","2731","443","187","103"
"1500000US510594506013","Block Group 3, Census Tract 4506.01, Fairfax County, Virginia","1221","305","943","273","278","190"
"1500000US510594213001","Block Group 1, Census Tract 4213, Fairfax County, Virginia","2516","240","2094","190","422","206"
"1500000US510594811032","Block Group 2, Census Tract 4811.03, Fairfax County, Virginia","1881","353","1323","297","558","276"
"1500000US510594915011","Block Group 1, Census Tract 4915.01, Fairfax County, Virginia","3471","617","3413","619","58","51"
"1500000US510594318022","Block Group 2, Census Tract 4318.02, Fairfax County, Virginia","1299","269","984","245","315","213"
"1500000US510594302012","Block Group 2, Census Tract 4302.01, Fairfax County, Virginia","2215","336","1913","323","302","102"
"1500000US510594319001","Block Group 1, Census Tract 4319, Fairfax County, Virginia","1734","202","1465","192","269","71"
"1500000US510594309022","Block Group 2, Census Tract 4309.02, Fairfax County, Virginia","2299","232","1646","206","653","225"
"1500000US510594922021","Block Group 1, Census Tract 4922.02, Fairfax County, Virginia","1438","252","1355","264","83","96"
"1500000US510594922033","Block Group 3, Census Tract 4922.03, Fairfax County, Virginia","1804","233","1568","238","236","179"
"1500000US510594521021","Block Group 1, Census Tract 4521.02, Fairfax County, Virginia","3651","267","2919","296","732","243"
"1500000US510594223023","Block Group 3, Census Tract 4223.02, Fairfax County, Virginia","1025","208","930","212","95","67"
"1500000US510594811051","Block Group 1, Census Tract 4811.05, Fairfax County, Virginia","1706","240","1609","245","97","120"
"1500000US510594207001","Block Group 1, Census Tract 4207, Fairfax County, Virginia","2460","386","2035","364","425","171"
"1500000US510594325003","Block Group 3, Census Tract 4325, Fairfax County, Virginia","2015","237","1892","247","123","66"
"1500000US510594315002","Block Group 2, Census Tract 4315, Fairfax County, Virginia","3092","349","2899","361","193","100"
"1500000US510594816002","Block Group 2, Census Tract 4816, Fairfax County, Virginia","1485","218","1372","175","113","119"
"1500000US510594901031","Block Group 1, Census Tract 4901.03, Fairfax County, Virginia","1566","256","1317","231","249","156"
"1500000US510594704003","Block Group 3, Census Tract 4704, Fairfax County, Virginia","865","162","821","166","44","50"
"1500000US510594804012","Block Group 2, Census Tract 4804.01, Fairfax County, Virginia","2677","306","2622","293","55","58"
"1500000US510594151002","Block Group 2, Census Tract 4151, Fairfax County, Virginia","1409","327","935","167","474","280"
"1500000US510594712011","Block Group 1, Census Tract 4712.01, Fairfax County, Virginia","1861","273","1572","331","289","220"
"1500000US510594158003","Block Group 3, Census Tract 4158, Fairfax County, Virginia","1734","199","1684","198","50","48"
"1500000US510594912012","Block Group 2, Census Tract 4912.01, Fairfax County, Virginia","2863","533","2154","441","709","390"
"1500000US510594918011","Block Group 1, Census Tract 4918.01, Fairfax County, Virginia","1268","239","1117","247","151","131"
"1500000US510594826022","Block Group 2, Census Tract 4826.02, Fairfax County, Virginia","2007","409","1994","411","13","21"
"1500000US510594208001","Block Group 1, Census Tract 4208, Fairfax County, Virginia","907","301","582","261","325","206"
"1500000US510594516014","Block Group 4, Census Tract 4516.01, Fairfax County, Virginia","1330","572","307","316","1023","524"
"1500000US510594525023","Block Group 3, Census Tract 4525.02, Fairfax County, Virginia","2619","658","1268","560","1351","584"
"1500000US510594301011","Block Group 1, Census Tract 4301.01, Fairfax County, Virginia","1443","239","1275","217","168","113"
"1500000US510594917021","Block Group 1, Census Tract 4917.02, Fairfax County, Virginia","1299","327","1136","283","163","177"
"1500000US510594607012","Block Group 2, Census Tract 4607.01, Fairfax County, Virginia","2195","332","1410","304","785","180"
"1500000US510594921001","Block Group 1, Census Tract 4921, Fairfax County, Virginia","1939","305","1868","315","71","110"
"1500000US510594819003","Block Group 3, Census Tract 4819, Fairfax County, Virginia","2330","349","2330","349","0","12"
"1500000US510594218003","Block Group 3, Census Tract 4218, Fairfax County, Virginia","1603","568","1017","345","586","417"
"1500000US510594506021","Block Group 1, Census Tract 4506.02, Fairfax County, Virginia","1283","325","1112","245","171","182"
"1500000US510594525022","Block Group 2, Census Tract 4525.02, Fairfax County, Virginia","2261","548","1498","437","763","369"
"1500000US510594216003","Block Group 3, Census Tract 4216, Fairfax County, Virginia","1541","617","718","258","823","537"
"1500000US510594612013","Block Group 3, Census Tract 4612.01, Fairfax County, Virginia","735","152","735","152","0","12"
"1500000US510594160001","Block Group 1, Census Tract 4160, Fairfax County, Virginia","1683","398","1447","347","236","161"
"1500000US510594607011","Block Group 1, Census Tract 4607.01, Fairfax County, Virginia","1336","262","1293","253","43","38"
"1500000US510594203002","Block Group 2, Census Tract 4203, Fairfax County, Virginia","1898","461","1682","419","216","190"
"1500000US510594615004","Block Group 4, Census Tract 4615, Fairfax County, Virginia","1985","368","1816","365","169","133"
"1500000US510594403002","Block Group 2, Census Tract 4403, Fairfax County, Virginia","1482","124","1460","123","22","23"
"1500000US510594526002","Block Group 2, Census Tract 4526, Fairfax County, Virginia","2335","484","1991","587","344","396"
"1500000US510594604003","Block Group 3, Census Tract 4604, Fairfax County, Virginia","1124","323","1047","299","77","111"
"1500000US510594401002","Block Group 2, Census Tract 4401, Fairfax County, Virginia","2099","383","1890","303","209","237"
"1500000US510594811042","Block Group 2, Census Tract 4811.04, Fairfax County, Virginia","924","325","862","309","62","96"
"1500000US510594211021","Block Group 1, Census Tract 4211.02, Fairfax County, Virginia","1488","256","1380","250","108","100"
"1500000US510594712021","Block Group 1, Census Tract 4712.02, Fairfax County, Virginia","1641","361","1570","363","71","90"
"1500000US510594814002","Block Group 2, Census Tract 4814, Fairfax County, Virginia","2426","398","2415","398","11","18"
"1500000US510594814001","Block Group 1, Census Tract 4814, Fairfax County, Virginia","1031","198","1002","195","29","34"
"1500000US510594214002","Block Group 2, Census Tract 4214, Fairfax County, Virginia","978","360","910","353","68","69"
"1500000US510594502001","Block Group 1, Census Tract 4502, Fairfax County, Virginia","2747","466","1486","440","1261","552"
"1500000US510594308021","Block Group 1, Census Tract 4308.02, Fairfax County, Virginia","1397","200","1242","199","155","101"
"1500000US510594913011","Block Group 1, Census Tract 4913.01, Fairfax County, Virginia","662","227","626","229","36","67"
"1500000US510594901032","Block Group 2, Census Tract 4901.03, Fairfax County, Virginia","1934","665","580","216","1354","633"
"1500000US510594324021","Block Group 1, Census Tract 4324.02, Fairfax County, Virginia","1476","188","1471","190","5","8"
"1500000US510594712023","Block Group 3, Census Tract 4712.02, Fairfax County, Virginia","1085","344","957","322","128","122"
"1500000US510594817023","Block Group 3, Census Tract 4817.02, Fairfax County, Virginia","660","124","614","115","46","44"
"1500000US510594811031","Block Group 1, Census Tract 4811.03, Fairfax County, Virginia","1890","257","1796","249","94","75"
"1500000US510594809033","Block Group 3, Census Tract 4809.03, Fairfax County, Virginia","1757","433","672","223","1085","441"
"1500000US510594911033","Block Group 3, Census Tract 4911.03, Fairfax County, Virginia","1372","447","1372","447","0","12"
"1500000US510594917033","Block Group 3, Census Tract 4917.03, Fairfax County, Virginia","1229","348","1011","292","218","214"
"1500000US510594805032","Block Group 2, Census Tract 4805.03, Fairfax County, Virginia","1956","201","1812","202","144","91"
"1500000US510594911011","Block Group 1, Census Tract 4911.01, Fairfax County, Virginia","1645","183","1532","180","113","86"
"1500000US510594705001","Block Group 1, Census Tract 4705, Fairfax County, Virginia","1193","324","1193","324","0","12"
"1500000US510594713012","Block Group 2, Census Tract 4713.01, Fairfax County, Virginia","2508","380","1976","252","532","331"
"1500000US510594511002","Block Group 2, Census Tract 4511, Fairfax County, Virginia","1318","240","955","164","363","188"
"1500000US510594808022","Block Group 2, Census Tract 4808.02, Fairfax County, Virginia","1971","330","1603","288","368","226"
"1500000US510594405011","Block Group 1, Census Tract 4405.01, Fairfax County, Virginia","2236","388","1800","307","436","257"
"1500000US510594408002","Block Group 2, Census Tract 4408, Fairfax County, Virginia","1091","370","813","251","278","399"
"1500000US510594208003","Block Group 3, Census Tract 4208, Fairfax County, Virginia","2027","362","1305","179","722","410"
"1500000US510594825042","Block Group 2, Census Tract 4825.04, Fairfax County, Virginia","1908","275","1425","247","483","244"
"1500000US510594405022","Block Group 2, Census Tract 4405.02, Fairfax County, Virginia","1296","163","1267","169","29","28"
"1500000US510594619012","Block Group 2, Census Tract 4619.01, Fairfax County, Virginia","2118","274","2005","252","113","76"
"1500000US510594901013","Block Group 3, Census Tract 4901.01, Fairfax County, Virginia","2297","295","2033","298","264","106"
"1500000US510594910001","Block Group 1, Census Tract 4910, Fairfax County, Virginia","1815","232","1768","222","47","50"
"1500000US510594823021","Block Group 1, Census Tract 4823.02, Fairfax County, Virginia","2318","431","1948","415","370","172"
"1500000US510594823022","Block Group 2, Census Tract 4823.02, Fairfax County, Virginia","2297","422","1743","406","554","206"
"1500000US510594618022","Block Group 2, Census Tract 4618.02, Fairfax County, Virginia","2112","437","1653","369","459","333"
"1500000US510594323001","Block Group 1, Census Tract 4323, Fairfax County, Virginia","2277","256","1978","231","299","160"
"1500000US510594703001","Block Group 1, Census Tract 4703, Fairfax County, Virginia","2252","207","2144","190","108","89"
"1500000US510594616012","Block Group 2, Census Tract 4616.01, Fairfax County, Virginia","1827","381","1808","386","19","30"
"1500000US510594603001","Block Group 1, Census Tract 4603, Fairfax County, Virginia","601","109","538","95","63","52"
"1500000US510594820013","Block Group 3, Census Tract 4820.01, Fairfax County, Virginia","977","171","977","171","0","12"
"1500000US510594405023","Block Group 3, Census Tract 4405.02, Fairfax County, Virginia","1075","175","822","168","253","79"
"1500000US510594401001","Block Group 1, Census Tract 4401, Fairfax County, Virginia","1333","371","1217","327","116","131"
"1500000US510594215001","Block Group 1, Census Tract 4215, Fairfax County, Virginia","2641","666","1709","501","932","566"
"1500000US510594211013","Block Group 3, Census Tract 4211.01, Fairfax County, Virginia","2596","433","2424","428","172","125"
"1500000US510594914012","Block Group 2, Census Tract 4914.01, Fairfax County, Virginia","1722","445","1118","250","604","391"
"1500000US510594402021","Block Group 1, Census Tract 4402.02, Fairfax County, Virginia","1501","371","1409","363","92","90"
"1500000US510594808013","Block Group 3, Census Tract 4808.01, Fairfax County, Virginia","1286","308","404","182","882","299"
"1500000US510594216002","Block Group 2, Census Tract 4216, Fairfax County, Virginia","2401","589","1750","518","651","395"
"1500000US510594825043","Block Group 3, Census Tract 4825.04, Fairfax County, Virginia","1337","192","1213","206","124","118"
"1500000US510594502002","Block Group 2, Census Tract 4502, Fairfax County, Virginia","1630","310","1305","264","325","214"
"1500000US510594917024","Block Group 4, Census Tract 4917.02, Fairfax County, Virginia","822","406","822","406","0","12"
"1500000US510594318011","Block Group 1, Census Tract 4318.01, Fairfax County, Virginia","2200","306","1799","322","401","214"
"1500000US510594917011","Block Group 1, Census Tract 4917.01, Fairfax County, Virginia","800","199","736","162","64","96"
"1500000US510594528012","Block Group 2, Census Tract 4528.01, Fairfax County, Virginia","3147","833","3098","841","49","52"
"1500000US510594825012","Block Group 2, Census Tract 4825.01, Fairfax County, Virginia","1179","475","1054","411","125","146"
"1500000US510594516013","Block Group 3, Census Tract 4516.01, Fairfax County, Virginia","740","499","13","19","727","498"
"1500000US510594313003","Block Group 3, Census Tract 4313, Fairfax County, Virginia","1533","229","1295","220","238","228"
"1500000US510594714011","Block Group 1, Census Tract 4714.01, Fairfax County, Virginia","1299","255","1166","242","133","82"
"1500000US510594319002","Block Group 2, Census Tract 4319, Fairfax County, Virginia","1440","177","1376","191","64","90"
"1500000US510594915023","Block Group 3, Census Tract 4915.02, Fairfax County, Virginia","1684","387","1580","384","104","85"
"1500000US510594821001","Block Group 1, Census Tract 4821, Fairfax County, Virginia","1523","359","1016","329","507","321"
"1500000US510594820022","Block Group 2, Census Tract 4820.02, Fairfax County, Virginia","1497","183","1454","179","43","42"
"1500000US510594612022","Block Group 2, Census Tract 4612.02, Fairfax County, Virginia","2967","365","2634","380","333","154"
"1500000US510594154023","Block Group 3, Census Tract 4154.02, Fairfax County, Virginia","1244","319","956","211","288","241"
"1500000US510594704001","Block Group 1, Census Tract 4704, Fairfax County, Virginia","1063","168","1044","167","19","22"
"1500000US510594158001","Block Group 1, Census Tract 4158, Fairfax County, Virginia","1394","227","1365","226","29","33"
"1500000US510594811053","Block Group 3, Census Tract 4811.05, Fairfax County, Virginia","1396","147","1306","153","90","76"
"1500000US510594825021","Block Group 1, Census Tract 4825.02, Fairfax County, Virginia","815","145","781","147","34","32"
"1500000US510594527002","Block Group 2, Census Tract 4527, Fairfax County, Virginia","2501","442","1253","266","1248","355"
"1500000US510594920002","Block Group 2, Census Tract 4920, Fairfax County, Virginia","2175","337","2143","328","32","37"
"1500000US510594905012","Block Group 2, Census Tract 4905.01, Fairfax County, Virginia","1950","284","1835","247","115","148"
"1500000US510594905022","Block Group 2, Census Tract 4905.02, Fairfax County, Virginia","1267","361","1267","361","0","12"
"1500000US510594923001","Block Group 1, Census Tract 4923, Fairfax County, Virginia","1857","246","1400","210","457","133"
