"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M"
"1500000US510594808012","Block Group 2, Census Tract 4808.01, Fairfax County, Virginia","2534","389","1275","225","102","91","91","55","85","56","72","46","74","75","13","18","70","54","19","28","49","39","44","35","66","39","53","34","95","46","95","45","103","58","46","46","33","30","27","27","49","40","59","34","14","19","16","19","0","12","1259","202","85","53","77","43","163","133","37","29","83","60","0","12","11","16","14","22","19","20","23","22","155","75","120","63","79","40","49","31","73","37","71","52","57","36","30","21","25","22","21","23","19","19","19","20","29","26"
"1500000US510594709001","Block Group 1, Census Tract 4709, Fairfax County, Virginia","1937","348","995","226","52","47","110","78","62","53","64","52","0","12","0","12","34","53","34","50","0","12","20","30","0","12","36","40","122","80","70","43","102","57","40","47","54","48","24","28","25","26","16","24","0","12","9","17","121","81","942","179","26","21","82","96","37","44","54","40","0","12","0","12","0","12","18","28","0","12","0","12","42","35","54","50","104","67","67","45","123","66","28","29","22","27","0","12","2","6","52","79","59","58","44","38","128","64"
"1500000US510594511001","Block Group 1, Census Tract 4511, Fairfax County, Virginia","1004","166","496","82","34","19","17","16","0","12","21","15","13","20","8","13","0","12","0","12","9","13","26","19","62","45","25","19","28","20","14","19","46","26","18","16","26","25","25","18","19","15","59","31","29","27","11","13","6","8","508","107","18","19","36","27","41","22","15","20","8","12","0","12","0","12","14","21","36","30","31","18","28","26","41","24","19","16","40","26","38","28","24","22","15","13","5","8","24","16","44","25","9","12","11","12","11","12"
"1500000US510594406001","Block Group 1, Census Tract 4406, Fairfax County, Virginia","3116","190","1565","177","116","58","104","43","107","41","72","35","80","101","32","32","23","20","50","29","109","47","128","50","86","36","106","42","114","47","96","37","67","29","40","22","93","37","22","15","29","18","39","22","23","18","18","15","11","16","1551","115","125","45","83","41","116","41","50","29","36","27","56","29","21","22","64","31","96","42","95","34","58","29","103","35","142","46","79","32","136","39","42","30","65","30","37","23","28","18","41","25","43","23","20","15","15","13"
"1500000US510594911034","Block Group 4, Census Tract 4911.03, Fairfax County, Virginia","755","245","362","140","68","68","0","12","15","27","0","12","0","12","18","33","0","12","14","24","40","69","28","34","39","45","19","30","16","27","20","34","14","22","0","12","21","34","13","22","20","26","17","27","0","12","0","12","0","12","393","175","0","12","17","30","69","90","29","34","0","12","0","12","0","12","0","12","25","36","41","41","53","63","33","39","33","42","44","44","12","21","20","32","0","12","0","12","10","20","7","16","0","12","0","12","0","12"
"1500000US510594711001","Block Group 1, Census Tract 4711, Fairfax County, Virginia","1396","395","1023","335","90","62","82","71","47","53","18","29","45","53","0","12","0","12","18","31","292","247","82","76","77","55","83","62","18","30","120","126","0","12","0","12","11","17","0","12","13","24","0","12","9","15","9","16","9","14","373","116","26","47","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","22","42","41","79","52","15","24","108","80","0","12","14","23","11","17","13","22","0","12","13","21","9","15","9","16","21","23","0","12"
"1500000US510594605021","Block Group 1, Census Tract 4605.02, Fairfax County, Virginia","3428","490","1594","271","104","81","117","109","118","102","36","41","21","34","0","12","0","12","157","124","62","59","120","85","167","88","171","106","123","91","131","93","96","72","15","23","14","24","33","39","59","51","16","26","0","12","19","38","15","23","1834","313","106","79","17","30","207","150","99","100","47","53","78","119","0","12","91","94","72","60","176","119","176","106","171","112","151","99","124","71","134","104","46","45","57","44","15","24","30","34","20","33","0","12","17","33","0","12"
"1500000US510594516011","Block Group 1, Census Tract 4516.01, Fairfax County, Virginia","2785","757","1396","456","198","133","223","133","111","86","28","28","12","22","33","40","10","20","16","22","113","72","132","112","60","42","86","86","141","84","67","52","30","32","10","19","40","37","11","17","18","20","19","24","10","17","8","14","20","16","1389","371","154","108","117","79","136","86","102","85","34","38","42","61","16","25","58","66","147","104","102","74","47","53","105","63","84","58","92","62","53","37","13","18","39","36","19","21","0","12","0","12","10","16","19","18","0","12"
"1500000US510594202012","Block Group 2, Census Tract 4202.01, Fairfax County, Virginia","1673","286","960","196","95","48","53","28","80","46","102","66","29","38","0","12","0","12","42","61","28","30","66","46","64","51","71","32","19","20","50","32","125","59","9","13","64","36","20","23","19","21","0","12","17","19","7","11","0","12","713","137","14","17","25","21","13","17","10","17","0","12","0","12","0","12","88","91","0","12","30","25","46","35","80","35","75","46","57","34","116","71","54","42","9","15","18","21","46","30","0","12","25","21","7","11","0","12"
"1500000US510594617003","Block Group 3, Census Tract 4617, Fairfax County, Virginia","1480","312","674","168","103","59","82","71","39","62","17","22","0","12","0","12","0","12","0","12","0","12","45","44","73","56","20","33","45","65","99","81","44","56","22","27","14","22","0","12","0","12","30","28","41","40","0","12","0","12","806","200","39","41","82","76","68","70","9","15","0","12","0","12","0","12","21","33","0","12","18","31","139","89","90","52","56","69","45","36","0","12","48","52","0","12","13","21","14","22","55","47","38","43","0","12","71","84"
"1500000US510594322011","Block Group 1, Census Tract 4322.01, Fairfax County, Virginia","2264","268","1022","199","43","43","54","39","42","45","36","32","7","18","7","17","27","34","158","108","90","72","56","38","85","60","84","59","76","58","72","39","50","52","45","31","27","32","0","12","10","13","37","34","16","20","0","12","0","12","1242","249","103","79","42","39","95","64","13","20","15","25","16","26","0","12","111","71","86","62","115","69","122","52","156","76","54","37","46","47","42","33","22","23","50","36","9","14","28","24","55","41","33","35","6","24","23","33"
"1500000US510594822024","Block Group 4, Census Tract 4822.02, Fairfax County, Virginia","1365","299","654","160","0","12","0","12","11","17","0","12","4","10","0","12","0","12","9","17","37","42","120","62","59","60","67","44","24","30","40","32","31","34","9","15","15","22","37","33","25","26","54","41","47","41","65","42","0","12","711","168","87","63","28","30","40","30","11","18","18","28","0","12","0","12","0","12","43","41","104","72","35","33","42","35","53","43","19","24","53","35","17","27","35","34","10","17","55","43","13","16","32","31","16","19","0","12"
"1500000US510594819002","Block Group 2, Census Tract 4819, Fairfax County, Virginia","1508","338","688","238","15","25","43","68","0","12","34","38","55","51","0","12","0","12","152","159","99","130","9","15","35","32","69","59","69","61","27","31","17","23","11","20","0","12","0","12","35","37","18","29","0","12","0","12","0","12","820","201","71","54","130","99","34","39","22","34","15","24","0","12","0","12","122","112","30","38","26","31","60","50","48","44","117","57","25","27","41","39","0","12","0","12","15","25","0","12","37","37","0","12","12","21","15","24"
"1500000US510594811043","Block Group 3, Census Tract 4811.04, Fairfax County, Virginia","583","161","360","111","17","19","38","46","0","12","34","38","0","12","0","12","0","12","8","13","17","14","66","41","101","54","0","12","68","67","0","12","0","12","0","12","0","12","11","18","0","12","0","12","0","12","0","12","0","12","223","79","34","32","0","12","8","14","0","12","0","12","0","12","0","12","0","12","56","35","51","33","33","26","26","36","0","12","0","12","0","12","0","12","15","24","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US510594326001","Block Group 1, Census Tract 4326, Fairfax County, Virginia","2391","326","1167","163","80","46","122","54","114","62","49","33","21","24","0","12","10","16","0","12","37","30","31","39","65","44","141","70","120","58","105","55","87","39","58","31","11","18","25","23","21","19","56","44","14","15","0","12","0","12","1224","188","48","43","139","70","70","44","26","30","47","48","0","12","28","29","90","64","53","40","71","44","111","51","62","53","130","59","45","21","70","33","23","26","55","32","13","15","44","35","53","45","32","32","0","12","14","23"
"1500000US510594914051","Block Group 1, Census Tract 4914.05, Fairfax County, Virginia","2867","139","1531","94","100","48","118","37","123","38","74","29","78","35","7","11","7","11","52","37","89","44","48","27","40","22","102","27","128","42","130","43","137","40","63","29","53","24","46","20","81","32","32","20","15","13","0","12","8","12","1336","98","30","33","91","52","78","35","125","44","49","44","17","18","0","12","33","22","28","21","41","25","71","31","98","31","119","36","126","37","140","41","89","34","65","32","42","17","26","12","40","23","13","13","15","16","0","12"
"1500000US510594714022","Block Group 2, Census Tract 4714.02, Fairfax County, Virginia","1422","256","728","140","38","28","6","11","12","19","12","19","0","12","13","19","0","12","65","60","104","67","69","38","44","34","41","31","86","46","12","20","79","44","11","17","30","23","45","34","0","12","22","24","23","21","8","12","8","13","694","183","38","37","71","48","28","26","46","39","0","12","0","12","0","12","0","12","56","46","30","27","36","29","111","68","8","14","22","21","85","62","21","23","58","33","18","19","8","12","12","20","34","23","12","19","0","12"
"1500000US510594504001","Block Group 1, Census Tract 4504, Fairfax County, Virginia","1109","256","548","155","32","18","44","40","61","40","47","38","0","12","0","12","0","12","0","12","31","32","34","23","15","13","23","18","73","31","77","39","24","16","5","7","22","18","12","12","16","13","17","15","11","12","0","12","4","8","561","134","45","27","32","26","63","46","35","27","0","12","0","12","0","12","0","12","0","12","31","19","28","17","52","34","96","37","40","19","27","18","9","11","9","9","20","17","20","15","35","23","0","12","5","7","14","22"
"1500000US510594520001","Block Group 1, Census Tract 4520, Fairfax County, Virginia","3085","154","1390","148","103","51","106","54","120","61","47","36","0","12","0","12","11","16","66","49","173","72","154","63","50","36","105","55","15","20","46","33","130","50","71","41","35","28","54","35","11","17","63","32","0","12","20","20","10","15","1695","126","137","75","37","25","32","28","9","14","22","33","0","12","20","30","102","49","104","45","139","77","80","35","79","39","99","48","168","55","102","46","44","29","7","11","23","25","50","33","92","48","90","64","121","63","138","74"
"1500000US510594823033","Block Group 3, Census Tract 4823.03, Fairfax County, Virginia","1433","193","669","130","0","12","126","57","35","25","21","23","10","16","0","12","0","12","0","12","46","34","43","32","52","36","74","56","56","42","34","27","51","32","17","14","30","26","8","13","19","21","30","23","0","12","17","21","0","12","764","127","23","23","41","31","25","35","36","45","14","22","0","12","0","12","0","12","52","31","78","64","103","54","61","33","49","37","31","28","44","28","9","14","49","31","17","19","15","16","41","23","19","23","9","13","48","27"
"1500000US510594152004","Block Group 4, Census Tract 4152, Fairfax County, Virginia","650","166","302","96","25","28","22","23","12","19","0","12","0","12","0","12","0","12","11","17","19","20","23","25","24","22","27","29","31","28","29","25","30","24","0","12","7","13","0","12","17","23","16","18","0","12","0","12","9","14","348","96","16","25","18","19","30","29","12","18","13","21","0","12","0","12","14","22","13","19","20","22","8","12","49","38","29","28","20","20","42","29","0","12","11","16","9","14","8","13","16","17","12","17","8","13","0","12"
"1500000US510594224023","Block Group 3, Census Tract 4224.02, Fairfax County, Virginia","1685","361","745","174","57","49","84","78","16","30","0","12","0","12","0","12","0","12","18","29","126","78","106","76","43","40","65","61","134","101","34","39","62","50","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","940","250","110","103","65","75","32","38","40","48","0","12","0","12","0","12","11","19","213","109","74","67","84","67","16","30","208","89","44","44","14","23","0","12","0","12","0","12","0","12","0","12","0","12","29","46","0","12"
"1500000US510594917041","Block Group 1, Census Tract 4917.04, Fairfax County, Virginia","1289","395","473","209","0","12","0","12","0","12","0","12","0","12","0","12","0","12","58","58","119","72","45","43","0","12","216","201","0","12","18","28","0","12","0","12","17","27","0","12","0","12","0","12","0","12","0","12","0","12","816","306","85","77","65","80","0","12","0","12","0","12","0","12","124","130","116","81","168","83","41","31","71","58","45","70","44","71","0","12","21","33","15","24","21","34","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US510594918032","Block Group 2, Census Tract 4918.03, Fairfax County, Virginia","1506","373","691","216","36","58","110","111","0","12","0","12","23","35","0","12","0","12","45","50","0","12","15","26","75","56","0","12","41","53","73","68","91","64","0","12","39","43","0","12","34","31","35","39","29","32","11","17","34","37","815","227","38","42","51","76","100","109","52","63","23","37","0","12","34","55","25","40","3","12","17","29","67","50","8","15","101","80","72","49","68","57","2","9","56","41","16","25","17","27","48","41","17","26","0","12","0","12"
"1500000US510594314002","Block Group 2, Census Tract 4314, Fairfax County, Virginia","1469","253","675","127","48","33","42","31","50","43","36","27","18","22","0","12","0","12","41","33","45","40","15","18","26","23","52","34","47","31","51","36","76","39","11","17","40","35","13","19","18","28","0","12","22","27","24","24","0","12","794","173","57","35","43","39","82","52","48","37","34","26","0","12","0","12","9","12","33","30","44","29","25","24","50","32","67","32","88","47","23","25","33","35","56","43","0","12","10","15","21","25","37","32","23","24","11","16"
"1500000US510594509002","Block Group 2, Census Tract 4509, Fairfax County, Virginia","854","105","445","60","24","22","21","20","20","19","22","24","0","12","0","12","0","12","43","32","28","24","28","24","22","15","27","21","15","15","57","24","42","25","13","15","8","11","26","23","6","10","23","25","7","10","13","14","0","12","409","71","13","14","36","22","15","13","12","18","0","12","15","19","0","12","14","19","13","13","19","19","11","11","21","13","27","19","71","34","35","28","4","8","36","29","14","14","0","12","14","13","28","21","0","12","11","15"
"1500000US510594917012","Block Group 2, Census Tract 4917.01, Fairfax County, Virginia","1771","381","724","159","52","33","10","16","8","13","9","14","0","12","10","17","0","12","49","47","76","38","137","108","127","62","26","23","13","17","33","30","13","19","43","54","0","12","16","18","30","33","35","36","11","18","9","14","17","18","1047","254","143","85","67","53","34","56","0","12","0","12","15","26","13","21","99","59","100","45","109","50","114","62","8","13","27","26","41","29","84","55","65","58","31","25","11","17","0","12","19","21","0","12","16","18","51","50"
"1500000US510594810001","Block Group 1, Census Tract 4810, Fairfax County, Virginia","2787","522","1529","282","186","147","118","106","49","48","14","16","31","36","0","12","8","13","110","73","175","81","212","83","132","75","118","71","164","85","74","47","34","25","5","9","35","24","0","12","22","27","0","12","0","12","15","24","27","34","1258","283","84","64","122","81","60","52","30","40","39","46","12","19","8","12","99","69","150","68","165","78","81","59","70","45","113","87","34","31","105","77","12","11","10","13","31","35","21","24","6","9","6","10","0","12","0","12"
"1500000US510594402011","Block Group 1, Census Tract 4402.01, Fairfax County, Virginia","3208","333","1503","237","134","86","3","13","0","12","14","21","36","49","17","26","13","22","86","62","208","99","269","100","209","77","82","49","97","69","11","18","89","41","76","45","8","13","102","76","10","17","17","21","15","23","7","13","0","12","1705","223","128","89","35","52","0","12","19","22","0","12","0","12","0","12","166","116","348","111","254","98","133","73","213","99","112","74","83","54","71","45","39","36","60","45","12","19","32","34","0","12","0","12","0","12","0","12"
"1500000US510594211031","Block Group 1, Census Tract 4211.03, Fairfax County, Virginia","812","237","486","162","122","111","0","12","47","34","27","30","13","20","0","12","0","12","9","14","22","26","44","44","0","12","47","44","53","39","34","30","34","24","7","11","0","12","0","12","0","12","22","19","0","12","5","8","0","12","326","113","61","72","29","27","9","12","0","12","0","12","0","12","17","24","11","17","29","37","9","15","0","12","37","35","28","31","45","27","31","21","0","12","0","12","0","12","15","17","0","12","5","8","0","12","0","12"
"1500000US510594601003","Block Group 3, Census Tract 4601, Fairfax County, Virginia","1276","214","699","123","14","22","72","40","82","45","52","40","7","15","0","12","0","12","24","22","30","23","0","12","65","56","54","38","55","45","58","35","108","43","19","20","0","12","16","19","6","9","5","9","23","24","9","13","0","12","577","113","14","22","24","28","0","12","19","22","51","53","42","59","8","13","10","15","8","13","0","12","16","24","61","33","76","41","96","48","50","37","29","22","7","12","0","12","13","17","23","26","22","24","0","12","8","13"
"1500000US510594914013","Block Group 3, Census Tract 4914.01, Fairfax County, Virginia","917","229","381","125","14","15","0","12","13","20","0","12","0","12","12","18","0","12","35","54","9","14","62","37","37","28","27","27","39","32","80","61","43","50","0","12","0","12","0","12","0","12","10","16","0","12","0","12","0","12","536","137","38","35","45","33","0","12","21","24","21","31","0","12","0","12","0","12","65","40","56","36","20","24","48","31","72","56","34","33","28","24","48","53","8","12","22","24","0","12","10","16","0","12","0","12","0","12"
"1500000US510594408003","Block Group 3, Census Tract 4408, Fairfax County, Virginia","1999","420","1015","269","12","21","9","15","48","53","129","101","20","32","0","12","0","12","25","40","18","27","48","41","13","21","96","74","52","49","76","66","115","93","28","43","63","56","38","37","58","54","48","35","88","69","31","25","0","12","984","199","34","35","50","45","40","43","20","22","54","59","0","12","0","12","61","69","27","35","22","27","41","45","28","29","47","49","86","65","81","64","79","59","39","41","23","25","103","84","39","36","22","25","56","35","32","52"
"1500000US510594616011","Block Group 1, Census Tract 4616.01, Fairfax County, Virginia","1680","561","784","305","20","33","36","46","35","44","83","91","20","33","31","49","0","12","0","12","0","12","21","26","108","81","53","47","20","33","53","65","123","98","0","12","0","12","40","47","0","12","35","40","42","41","35","40","29","23","896","329","31","36","204","181","0","12","91","84","0","12","0","12","0","12","0","12","20","31","49","40","81","69","24","28","88","110","79","89","37","43","0","12","35","40","0","12","15","23","30","35","52","42","60","59","0","12"
