GEO_ID,NAME,B09019_001E,B09019_001M,B09019_002E,B09019_002M,B09019_003E,B09019_003M,B09019_004E,B09019_004M,B09019_005E,B09019_005M,B09019_006E,B09019_006M,B09019_007E,B09019_007M,B09019_008E,B09019_008M,B09019_009E,B09019_009M,B09019_010E,B09019_010M,B09019_011E,B09019_011M,B09019_012E,B09019_012M,B09019_013E,B09019_013M,B09019_014E,B09019_014M,B09019_015E,B09019_015M,B09019_016E,B09019_016M,B09019_017E,B09019_017M,B09019_018E,B09019_018M,B09019_019E,B09019_019M,B09019_020E,B09019_020M,B09019_021E,B09019_021M,B09019_022E,B09019_022M,B09019_023E,B09019_023M,B09019_024E,B09019_024M,B09019_025E,B09019_025M,B09019_026E,B09019_026M,B09019_027E,B09019_027M,B09019_028E,B09019_028M,B09019_029E,B09019_029M,B09019_030E,B09019_030M,B09019_031E,B09019_031M,B09019_032E,B09019_032M,B09019_033E,B09019_033M,B09019_034E,B09019_034M,B09019_035E,B09019_035M,B09019_036E,B09019_036M,B09019_037E,B09019_037M,B09019_038E,B09019_038M
1500000US510594808012,"Block Group 2, Census Tract 4808.01, Fairfax County, Virginia",2534,389,2534,389,2238,417,604,95,332,78,272,82,471,78,982,260,929,258,0,12,53,54,0,12,16,18,44,47,0,12,6,9,48,56,67,73,50,72,0,12,17,19,0,12,0,12,296,95,243,78,119,64,99,63,20,19,124,52,117,52,7,11,53,46,0,12,21,30,13,15,0,12,19,31,0,12
1500000US510594709001,"Block Group 1, Census Tract 4709, Fairfax County, Virginia",1937,348,1896,329,1631,345,471,76,250,86,221,83,480,78,563,182,545,183,0,12,18,28,30,46,0,12,0,12,68,78,19,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,265,94,265,94,89,56,89,56,0,12,176,89,176,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,49
1500000US510594511001,"Block Group 1, Census Tract 4511, Fairfax County, Virginia",1004,166,1004,166,895,179,286,59,205,52,81,33,252,53,237,81,233,82,0,12,4,6,0,12,11,16,54,49,0,12,0,12,43,45,12,13,0,12,0,12,5,7,0,12,7,11,109,52,74,32,26,18,9,10,17,15,48,27,43,25,5,8,35,31,0,12,16,25,11,12,0,12,8,12,0,12
1500000US510594406001,"Block Group 1, Census Tract 4406, Fairfax County, Virginia",3116,190,3116,190,2759,167,735,47,485,49,250,47,630,46,1066,111,1014,116,27,27,25,20,111,64,21,19,76,48,6,10,17,19,38,27,59,39,10,15,15,24,8,12,4,6,22,21,357,147,203,46,77,39,46,31,31,27,126,35,102,32,24,19,154,120,10,16,115,114,17,17,0,12,12,17,0,12
1500000US510594911034,"Block Group 4, Census Tract 4911.03, Fairfax County, Virginia",755,245,755,245,594,241,203,77,89,57,114,63,145,62,194,134,177,124,17,28,0,12,0,12,33,58,19,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,161,108,89,49,50,51,33,40,17,30,39,32,14,23,25,31,72,76,30,58,42,51,0,12,0,12,0,12,0,12
1500000US510594711001,"Block Group 1, Census Tract 4711, Fairfax County, Virginia",1396,395,1396,395,890,378,268,94,149,78,119,63,265,98,308,164,239,132,69,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,49,68,49,68,0,12,0,12,0,12,0,12,506,296,216,112,164,109,31,35,133,104,52,41,39,32,13,22,290,204,0,12,276,202,14,23,0,12,0,12,0,12
1500000US510594605021,"Block Group 1, Census Tract 4605.02, Fairfax County, Virginia",3428,490,3428,490,2869,515,968,177,701,166,267,132,798,170,944,254,903,247,41,47,0,12,0,12,78,119,37,47,19,38,0,12,25,42,0,12,0,12,0,12,0,12,0,12,0,12,559,215,367,124,117,70,62,58,55,40,250,112,159,84,91,71,192,121,21,34,67,78,79,54,0,12,25,41,0,12
1500000US510594516011,"Block Group 1, Census Tract 4516.01, Fairfax County, Virginia",2785,757,2785,757,2556,741,515,130,318,135,197,62,356,95,1058,445,899,372,35,58,124,171,2,10,13,24,0,12,0,12,0,12,476,402,136,146,9,20,42,69,85,90,0,12,0,12,229,106,182,68,134,71,103,55,31,49,48,41,41,41,7,14,47,60,38,59,9,19,0,12,0,12,0,12,0,12
1500000US510594202012,"Block Group 2, Census Tract 4202.01, Fairfax County, Virginia",1673,286,1673,286,1498,291,386,69,186,56,200,75,378,77,581,155,558,150,23,33,0,12,7,11,0,12,29,32,0,12,13,20,40,37,64,56,0,12,48,52,0,12,0,12,16,23,175,64,143,43,90,43,70,36,20,23,53,32,44,27,9,14,32,32,0,12,0,12,19,23,0,12,13,22,0,12
1500000US510594617003,"Block Group 3, Census Tract 4617, Fairfax County, Virginia",1480,312,1480,312,1409,325,435,92,268,99,167,73,396,85,460,169,460,169,0,12,0,12,28,45,5,14,85,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,71,47,71,47,26,29,26,29,0,12,45,37,45,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510594322011,"Block Group 1, Census Tract 4322.01, Fairfax County, Virginia",2264,268,2264,268,1549,303,482,93,283,88,199,67,347,72,592,150,579,145,13,21,0,12,0,12,26,29,49,46,10,29,0,12,25,44,18,22,0,12,0,12,18,22,0,12,0,12,715,170,454,73,178,68,91,51,87,52,276,73,218,66,58,45,261,129,21,37,199,117,41,54,0,12,0,12,0,12
1500000US510594822024,"Block Group 4, Census Tract 4822.02, Fairfax County, Virginia",1365,299,1365,299,1003,309,373,109,273,98,100,48,345,105,249,120,238,115,11,17,0,12,4,10,0,12,0,12,0,12,0,12,0,12,32,34,17,26,15,23,0,12,0,12,0,12,362,156,259,89,152,79,90,42,62,65,107,45,87,46,20,21,103,84,0,12,33,40,65,65,0,12,5,30,0,12
1500000US510594819002,"Block Group 2, Census Tract 4819, Fairfax County, Virginia",1508,338,1508,338,1074,283,319,69,161,73,158,72,279,77,435,168,435,168,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,49,0,12,22,35,0,12,0,12,19,33,434,328,150,77,53,57,4,12,49,58,97,52,51,37,46,39,284,264,0,12,213,233,52,64,0,12,19,32,0,12
1500000US510594811043,"Block Group 3, Census Tract 4811.04, Fairfax County, Virginia",583,161,583,161,407,155,130,49,104,44,26,36,131,49,131,63,131,63,0,12,0,12,0,12,0,12,15,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,176,73,149,69,123,70,112,73,11,17,26,20,8,14,18,15,27,21,0,12,0,12,27,21,0,12,0,12,0,12
1500000US510594326001,"Block Group 1, Census Tract 4326, Fairfax County, Virginia",2391,326,2391,326,2244,330,632,74,399,84,233,64,557,73,823,185,795,199,28,30,0,12,59,79,16,24,60,73,26,31,24,37,23,27,24,27,0,12,10,16,14,23,0,12,0,12,147,67,137,61,92,51,83,49,9,15,45,33,45,33,0,12,10,16,0,12,0,12,10,16,0,12,0,12,0,12
1500000US510594914051,"Block Group 1, Census Tract 4914.05, Fairfax County, Virginia",2867,139,2862,137,2796,141,782,28,454,64,328,62,745,35,1087,82,1062,81,9,12,16,23,59,67,0,12,15,16,44,37,30,33,14,20,20,31,0,12,0,12,0,12,0,12,20,31,66,33,45,22,17,15,11,12,6,10,28,15,14,12,14,11,21,14,0,12,0,12,21,14,0,12,0,12,5,8
1500000US510594714022,"Block Group 2, Census Tract 4714.02, Fairfax County, Virginia",1422,256,1413,255,1161,293,358,80,227,72,131,55,295,79,360,158,360,158,0,12,0,12,0,12,61,66,47,53,0,12,0,12,28,41,12,19,0,12,0,12,12,19,0,12,0,12,252,115,154,48,84,39,55,34,29,27,70,35,59,35,11,17,98,90,14,23,43,54,12,17,0,12,29,46,9,4
1500000US510594504001,"Block Group 1, Census Tract 4504, Fairfax County, Virginia",1109,256,1109,256,992,252,270,48,128,45,142,36,252,50,351,131,328,131,0,12,23,20,0,12,4,7,4,8,15,18,0,12,91,62,5,7,0,12,0,12,5,7,0,12,0,12,117,54,80,33,23,16,17,15,6,10,57,27,50,25,7,10,37,41,0,12,30,41,7,10,0,12,0,12,0,12
1500000US510594520001,"Block Group 1, Census Tract 4520, Fairfax County, Virginia",3085,154,3079,154,2581,185,698,67,387,74,311,81,523,70,1009,133,934,140,29,49,46,57,74,69,46,38,73,45,12,17,0,12,76,49,70,49,0,12,22,41,28,30,0,12,20,27,498,147,402,66,38,25,38,25,0,12,364,68,315,63,49,48,96,109,0,12,61,60,35,53,0,12,0,12,6,4
1500000US510594823033,"Block Group 3, Census Tract 4823.03, Fairfax County, Virginia",1433,193,1433,193,991,209,346,65,176,54,170,61,261,55,354,113,335,109,8,13,11,17,19,21,0,12,11,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,442,129,344,72,130,62,81,37,49,49,214,49,189,50,25,21,98,71,0,12,30,24,15,17,0,12,53,64,0,12
1500000US510594152004,"Block Group 4, Census Tract 4152, Fairfax County, Virginia",650,166,650,166,522,176,163,52,107,46,56,34,159,53,149,68,149,68,0,12,0,12,13,21,0,12,0,12,0,12,0,12,21,33,17,23,0,12,0,12,0,12,0,12,17,23,128,62,94,39,18,19,18,19,0,12,76,38,45,30,31,30,34,33,0,12,12,17,22,27,0,12,0,12,0,12
1500000US510594224023,"Block Group 3, Census Tract 4224.02, Fairfax County, Virginia",1685,361,1685,361,1457,354,494,111,315,117,179,92,328,109,509,174,445,169,48,70,16,27,0,12,36,41,0,12,0,12,0,12,64,88,26,32,0,12,0,12,13,20,0,12,13,24,228,103,190,81,99,61,87,58,12,19,91,65,78,60,13,24,38,43,0,12,38,43,0,12,0,12,0,12,0,12
1500000US510594917041,"Block Group 1, Census Tract 4917.04, Fairfax County, Virginia",1289,395,1289,395,711,377,223,109,91,58,132,103,169,78,240,207,240,207,0,12,0,12,0,12,18,31,0,12,0,12,0,12,0,12,61,98,0,12,61,98,0,12,0,12,0,12,578,218,413,130,140,90,66,46,74,81,273,120,214,114,59,47,165,118,0,12,94,118,71,52,0,12,0,12,0,12
1500000US510594918032,"Block Group 2, Census Tract 4918.03, Fairfax County, Virginia",1506,373,1506,373,1451,379,449,101,184,69,265,88,427,106,532,224,532,224,0,12,0,12,0,12,18,30,0,12,0,12,0,12,0,12,25,40,0,12,25,40,0,12,0,12,0,12,55,38,55,38,16,26,16,26,0,12,39,36,39,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510594314002,"Block Group 2, Census Tract 4314, Fairfax County, Virginia",1469,253,1464,253,1378,264,358,61,229,58,129,52,339,65,558,134,549,129,0,12,9,16,0,12,0,12,13,23,51,57,0,12,24,33,35,33,13,25,0,12,8,14,0,12,14,19,86,58,70,42,21,24,10,15,11,18,49,35,49,35,0,12,16,26,0,12,16,26,0,12,0,12,0,12,5,3
1500000US510594509002,"Block Group 2, Census Tract 4509, Fairfax County, Virginia",854,105,854,105,806,118,255,36,163,40,92,31,202,36,219,66,204,67,0,12,15,23,34,33,19,27,57,50,0,12,5,9,0,12,15,18,6,11,0,12,0,12,0,12,9,14,48,33,39,24,22,18,22,18,0,12,17,16,11,12,6,9,9,14,0,12,9,14,0,12,0,12,0,12,0,12
1500000US510594917012,"Block Group 2, Census Tract 4917.01, Fairfax County, Virginia",1771,381,1771,381,1160,385,329,89,174,64,155,66,283,86,394,148,394,148,0,12,0,12,0,12,62,63,59,55,33,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,611,149,389,88,127,49,65,41,62,45,262,79,174,70,88,47,222,97,25,31,81,47,80,53,0,12,36,37,0,12
1500000US510594810001,"Block Group 1, Census Tract 4810, Fairfax County, Virginia",2787,522,2787,522,2422,560,652,118,406,110,246,74,531,114,899,314,899,314,0,12,0,12,7,12,106,83,79,68,0,12,0,12,42,52,106,106,62,91,24,40,0,12,0,12,20,33,365,106,252,71,144,52,102,46,42,26,108,47,61,36,47,32,113,51,0,12,47,39,57,35,0,12,9,14,0,12
1500000US510594402011,"Block Group 1, Census Tract 4402.01, Fairfax County, Virginia",3208,333,3208,333,1892,375,684,132,371,89,313,102,522,104,450,203,429,186,0,12,21,33,0,12,77,79,0,12,0,12,0,12,76,70,83,66,16,24,12,19,55,60,0,12,0,12,1316,230,927,141,461,132,334,115,127,69,466,111,314,96,152,76,389,145,0,12,131,91,219,93,0,12,39,44,0,12
1500000US510594211031,"Block Group 1, Census Tract 4211.03, Fairfax County, Virginia",812,237,812,237,797,236,222,52,162,53,60,39,219,50,356,147,356,147,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,15,15,15,15,15,15,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510594601003,"Block Group 3, Census Tract 4601, Fairfax County, Virginia",1276,214,1276,214,1227,223,357,51,240,65,117,46,312,62,487,150,475,144,0,12,12,24,0,12,20,25,0,12,28,41,0,12,23,37,0,12,0,12,0,12,0,12,0,12,0,12,49,41,36,30,0,12,0,12,0,12,36,30,31,28,5,8,13,22,0,12,0,12,5,9,0,12,8,13,0,12
1500000US510594914013,"Block Group 3, Census Tract 4914.01, Fairfax County, Virginia",917,229,917,229,760,234,267,81,122,64,145,60,200,74,215,84,202,81,0,12,13,20,0,12,16,25,38,36,0,12,0,12,0,12,24,25,0,12,0,12,24,25,0,12,0,12,157,69,122,51,43,35,43,35,0,12,79,38,51,31,28,25,35,31,0,12,17,25,18,19,0,12,0,12,0,12
1500000US510594408003,"Block Group 3, Census Tract 4408, Fairfax County, Virginia",1999,420,1994,419,1832,427,566,112,338,95,228,111,479,113,506,187,494,186,0,12,12,18,0,12,22,35,122,125,0,12,0,12,83,127,54,58,0,12,0,12,0,12,0,12,54,58,162,155,79,46,21,24,0,12,21,24,58,38,49,33,9,17,83,128,0,12,51,76,10,18,0,12,22,53,5,3
1500000US510594616011,"Block Group 1, Census Tract 4616.01, Fairfax County, Virginia",1680,561,1680,561,1615,574,423,113,222,100,201,104,422,114,531,253,531,253,0,12,0,12,0,12,38,62,0,12,28,47,0,12,146,233,27,39,0,12,27,39,0,12,0,12,0,12,65,62,51,48,36,42,20,35,16,26,15,23,15,23,0,12,14,22,0,12,0,12,14,22,0,12,0,12,0,12
1500000US510594618023,"Block Group 3, Census Tract 4618.02, Fairfax County, Virginia",1170,319,1170,319,662,292,228,102,173,87,55,60,196,98,238,139,238,139,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,508,210,355,125,217,116,162,105,55,70,138,84,58,46,80,71,153,116,0,12,60,94,93,73,0,12,0,12,0,12
1500000US510594206002,"Block Group 2, Census Tract 4206, Fairfax County, Virginia",3221,316,3221,316,2644,379,814,112,332,94,482,106,543,104,960,207,947,207,5,10,8,14,44,44,39,44,68,83,0,12,14,20,83,83,79,72,11,19,15,23,13,21,0,12,40,65,577,208,373,98,111,54,63,44,48,38,262,98,180,78,82,77,204,132,0,12,75,75,33,29,0,12,96,99,0,12
1500000US510594202011,"Block Group 1, Census Tract 4202.01, Fairfax County, Virginia",1203,266,1203,266,1110,283,328,69,217,66,111,53,278,65,381,120,362,110,9,16,10,21,81,100,11,16,0,12,31,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,93,53,70,37,13,21,13,21,0,12,57,30,37,25,20,20,23,24,0,12,13,19,10,16,0,12,0,12,0,12
1500000US510594709002,"Block Group 2, Census Tract 4709, Fairfax County, Virginia",1744,389,1700,387,1516,408,421,97,251,84,170,82,381,100,614,202,544,201,43,59,27,31,0,12,0,12,70,91,25,42,0,12,0,12,5,13,0,12,0,12,5,13,0,12,0,12,184,75,184,75,14,23,14,23,0,12,170,71,170,71,0,12,0,12,0,12,0,12,0,12,0,12,0,12,44,61
1500000US510594325002,"Block Group 2, Census Tract 4325, Fairfax County, Virginia",2143,299,2143,299,2008,312,606,70,377,70,229,67,546,83,717,186,615,150,67,44,35,52,0,12,10,16,0,12,49,36,15,23,50,47,15,24,0,12,15,24,0,12,0,12,0,12,135,62,106,42,30,28,30,28,0,12,76,37,54,32,22,23,29,32,0,12,29,32,0,12,0,12,0,12,0,12
1500000US510594523022,"Block Group 2, Census Tract 4523.02, Fairfax County, Virginia",2032,489,2032,489,1618,506,403,113,170,78,233,99,326,110,525,199,486,183,0,12,39,38,90,104,4,16,81,69,0,12,0,12,42,55,147,105,34,51,91,86,9,14,0,12,13,21,414,152,298,108,149,75,107,65,42,38,149,91,132,89,17,23,116,88,0,12,20,31,9,14,0,12,87,86,0,12
1500000US510594712013,"Block Group 3, Census Tract 4712.01, Fairfax County, Virginia",1189,244,1189,244,1086,251,361,82,192,76,169,78,272,84,393,140,393,140,0,12,0,12,0,12,15,23,0,12,23,37,0,12,0,12,22,26,0,12,10,15,12,21,0,12,0,12,103,69,89,58,79,55,69,52,10,17,10,17,10,17,0,12,14,23,0,12,14,23,0,12,0,12,0,12,0,12
1500000US510594618021,"Block Group 1, Census Tract 4618.02, Fairfax County, Virginia",1996,293,1996,293,1481,337,517,114,342,107,175,91,405,105,426,156,426,156,0,12,0,12,0,12,51,47,28,47,0,12,0,12,38,41,16,26,0,12,0,12,0,12,0,12,16,26,515,178,414,110,123,77,110,75,13,20,291,96,224,74,67,65,101,92,22,34,0,12,28,31,0,12,51,80,0,12
1500000US510594302021,"Block Group 1, Census Tract 4302.02, Fairfax County, Virginia",1883,379,1651,344,1309,240,388,69,282,66,106,43,325,64,490,125,477,121,13,21,0,12,25,30,17,27,17,27,0,12,24,35,0,12,23,25,0,12,0,12,11,16,0,12,12,19,342,329,102,56,43,50,10,15,33,49,59,33,41,31,18,21,240,282,8,13,187,274,19,22,0,12,26,40,232,128
1500000US510594823031,"Block Group 1, Census Tract 4823.03, Fairfax County, Virginia",1214,186,1214,186,899,208,344,71,170,63,174,52,288,69,181,80,181,80,0,12,0,12,0,12,0,12,14,23,0,12,0,12,15,23,57,63,0,12,0,12,11,18,0,12,46,64,315,92,268,72,143,58,135,60,8,13,125,53,107,48,18,19,47,42,0,12,30,42,17,14,0,12,0,12,0,12
1500000US510594921003,"Block Group 3, Census Tract 4921, Fairfax County, Virginia",1920,326,1920,326,1806,337,585,66,364,89,221,81,554,74,638,276,638,276,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,29,48,0,12,29,48,0,12,0,12,0,12,114,117,68,59,29,43,0,12,29,43,39,39,39,39,0,12,46,66,46,66,0,12,0,12,0,12,0,12,0,12
