"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18"
"9330047.02",2680.00,15.00,90.00,2580.00,10.00,65.00,15.00,2480.00,10.00,0.00,2680.00,1540.00,945.00,135.00,50.00,15.00,4105.00,1.50
"9330048.00",4775.00,95.00,1445.00,3235.00,190.00,165.00,120.00,2735.00,20.00,0.00,4775.00,2510.00,1680.00,380.00,175.00,30.00,7870.00,1.60
"9330049.01",7725.00,40.00,4375.00,3305.00,100.00,545.00,25.00,2630.00,0.00,0.00,7725.00,3445.00,3135.00,775.00,320.00,55.00,13595.00,1.80
"9330049.02",3140.00,0.00,1590.00,1540.00,0.00,200.00,0.00,1335.00,0.00,10.00,3140.00,1365.00,1205.00,345.00,190.00,35.00,5765.00,1.80
"9330050.02",3475.00,150.00,270.00,3050.00,115.00,70.00,300.00,2565.00,10.00,0.00,3475.00,1715.00,1160.00,330.00,190.00,80.00,6220.00,1.80
"9330050.03",3680.00,40.00,1010.00,2630.00,10.00,105.00,45.00,2470.00,5.00,0.00,3680.00,2040.00,1245.00,265.00,105.00,20.00,5860.00,1.60
"9330050.04",1875.00,15.00,280.00,1580.00,10.00,10.00,40.00,1510.00,10.00,0.00,1875.00,1060.00,545.00,160.00,90.00,25.00,3110.00,1.70
"9330051.01",1310.00,370.00,0.00,945.00,140.00,10.00,635.00,160.00,0.00,0.00,1310.00,315.00,410.00,260.00,215.00,110.00,3380.00,2.60
"9330051.02",1740.00,545.00,80.00,1120.00,0.00,35.00,680.00,400.00,0.00,0.00,1740.00,475.00,490.00,305.00,260.00,200.00,4590.00,2.60
"9330052.01",2225.00,500.00,65.00,1660.00,0.00,135.00,1100.00,425.00,5.00,0.00,2220.00,630.00,585.00,380.00,335.00,295.00,6005.00,2.70
"9330052.02",2220.00,735.00,0.00,1480.00,45.00,210.00,825.00,405.00,0.00,0.00,2215.00,525.00,615.00,410.00,395.00,275.00,6140.00,2.80
"9330053.01",2460.00,820.00,0.00,1640.00,0.00,45.00,1150.00,440.00,5.00,0.00,2460.00,625.00,740.00,460.00,365.00,275.00,6535.00,2.70
"9330053.02",1395.00,485.00,45.00,855.00,10.00,0.00,575.00,275.00,0.00,0.00,1395.00,405.00,465.00,195.00,200.00,125.00,3445.00,2.50
"9330054.01",1620.00,375.00,0.00,1240.00,110.00,0.00,765.00,360.00,5.00,5.00,1620.00,410.00,565.00,305.00,235.00,110.00,3995.00,2.50
"9330054.02",1575.00,645.00,0.00,930.00,15.00,0.00,790.00,115.00,5.00,0.00,1575.00,315.00,470.00,300.00,295.00,200.00,4475.00,2.80
"9330055.01",2615.00,285.00,0.00,2320.00,40.00,70.00,540.00,1650.00,20.00,0.00,2610.00,1105.00,820.00,325.00,225.00,135.00,5380.00,2.10
"9330055.02",2435.00,175.00,0.00,2260.00,15.00,15.00,250.00,1980.00,0.00,0.00,2435.00,1245.00,800.00,210.00,110.00,70.00,4325.00,1.80
"9330056.01",2400.00,55.00,325.00,2020.00,35.00,30.00,90.00,1865.00,5.00,0.00,2400.00,1290.00,720.00,240.00,105.00,45.00,4110.00,1.70
"9330056.02",2300.00,155.00,95.00,2050.00,95.00,115.00,300.00,1535.00,5.00,0.00,2295.00,960.00,800.00,285.00,195.00,60.00,4515.00,2.00
"9330057.01",1475.00,45.00,765.00,675.00,15.00,135.00,20.00,500.00,0.00,0.00,1475.00,830.00,410.00,95.00,85.00,60.00,2600.00,1.80
"9330057.02",2225.00,260.00,475.00,1495.00,95.00,145.00,330.00,925.00,0.00,0.00,2225.00,1025.00,650.00,265.00,180.00,110.00,4475.00,2.00
"9330058.00",2090.00,20.00,1005.00,1065.00,5.00,0.00,20.00,1030.00,10.00,0.00,2090.00,1690.00,295.00,50.00,25.00,20.00,2680.00,1.30
"9330059.06",4375.00,0.00,3535.00,840.00,0.00,30.00,0.00,805.00,5.00,0.00,4375.00,3245.00,930.00,140.00,45.00,10.00,5775.00,1.30
"9330059.07",2670.00,0.00,2550.00,115.00,0.00,115.00,0.00,5.00,0.00,0.00,2670.00,1080.00,1155.00,265.00,145.00,25.00,4890.00,1.80
"9330059.08",3450.00,0.00,3215.00,235.00,0.00,185.00,5.00,50.00,0.00,0.00,3450.00,1315.00,1315.00,480.00,265.00,80.00,6850.00,2.00
"9330059.09",4510.00,5.00,4355.00,150.00,0.00,90.00,10.00,50.00,0.00,0.00,4510.00,2845.00,1365.00,220.00,70.00,15.00,6580.00,1.50
"9330059.1",3920.00,0.00,3720.00,205.00,0.00,95.00,0.00,105.00,0.00,0.00,3925.00,2295.00,1275.00,245.00,90.00,15.00,6035.00,1.50
"9330059.11",4255.00,5.00,4170.00,80.00,0.00,45.00,0.00,40.00,0.00,0.00,4255.00,2305.00,1515.00,315.00,105.00,20.00,6805.00,1.60
"9330059.13",2600.00,0.00,2535.00,65.00,0.00,60.00,0.00,0.00,0.00,0.00,2595.00,1115.00,1100.00,280.00,85.00,10.00,4565.00,1.80
"9330059.14",4860.00,0.00,4660.00,195.00,0.00,130.00,0.00,70.00,0.00,0.00,4860.00,2110.00,1970.00,515.00,215.00,55.00,8730.00,1.80
"9330060.01",2055.00,5.00,1680.00,375.00,0.00,10.00,0.00,365.00,0.00,0.00,2055.00,1165.00,755.00,105.00,25.00,5.00,3125.00,1.50
"9330060.02",3990.00,0.00,3050.00,940.00,0.00,0.00,20.00,905.00,5.00,0.00,3990.00,2355.00,1360.00,195.00,60.00,15.00,5985.00,1.50
"9330061.00",3510.00,0.00,2965.00,540.00,0.00,10.00,0.00,530.00,0.00,0.00,3510.00,2150.00,1175.00,135.00,45.00,5.00,5115.00,1.50
"9330062.00",2355.00,0.00,2000.00,350.00,0.00,0.00,0.00,350.00,0.00,0.00,2355.00,1445.00,785.00,95.00,35.00,0.00,3430.00,1.50
"9330063.00",2550.00,10.00,1665.00,875.00,5.00,40.00,0.00,825.00,5.00,0.00,2545.00,1495.00,845.00,150.00,50.00,10.00,3885.00,1.50
"9330064.00",3085.00,0.00,2115.00,970.00,0.00,15.00,5.00,945.00,5.00,0.00,3085.00,1830.00,1035.00,165.00,50.00,5.00,4630.00,1.50
"9330065.00",4515.00,0.00,3565.00,950.00,0.00,5.00,5.00,935.00,5.00,0.00,4515.00,2565.00,1570.00,280.00,85.00,15.00,6970.00,1.50
"9330066.00",4595.00,0.00,4435.00,165.00,5.00,110.00,5.00,55.00,0.00,0.00,4600.00,1945.00,1745.00,565.00,275.00,70.00,8605.00,1.90
"9330067.01",2545.00,15.00,1660.00,875.00,0.00,15.00,10.00,850.00,0.00,0.00,2540.00,1585.00,755.00,145.00,45.00,10.00,3770.00,1.50
"9330067.02",2585.00,0.00,2350.00,230.00,0.00,60.00,0.00,170.00,5.00,0.00,2585.00,1070.00,1075.00,275.00,125.00,35.00,4755.00,1.80
"9330068.00",3490.00,5.00,2720.00,775.00,0.00,15.00,0.00,755.00,5.00,0.00,3495.00,2205.00,1075.00,150.00,50.00,15.00,5080.00,1.50
"9330069.01",3880.00,350.00,1070.00,2465.00,50.00,470.00,50.00,1895.00,0.00,0.00,3880.00,1125.00,1300.00,765.00,525.00,170.00,9035.00,2.30
"9330069.02",2130.00,5.00,1165.00,965.00,15.00,155.00,0.00,795.00,0.00,0.00,2130.00,650.00,605.00,470.00,310.00,85.00,4990.00,2.30
"9330100.01",1605.00,350.00,30.00,1220.00,190.00,195.00,340.00,495.00,5.00,5.00,1605.00,460.00,480.00,280.00,280.00,100.00,3935.00,2.50
"9330100.02",3220.00,485.00,175.00,2555.00,230.00,330.00,645.00,1350.00,10.00,0.00,3215.00,1100.00,1045.00,495.00,390.00,185.00,7280.00,2.30
"9330101.03",3255.00,0.00,1375.00,1875.00,5.00,30.00,5.00,1840.00,0.00,0.00,3255.00,1755.00,1065.00,300.00,120.00,15.00,5365.00,1.60
"9330101.04",2475.00,0.00,1575.00,900.00,0.00,55.00,5.00,845.00,0.00,0.00,2475.00,1190.00,855.00,280.00,120.00,35.00,4390.00,1.80
"9330101.05",2335.00,150.00,55.00,2130.00,180.00,335.00,90.00,1520.00,5.00,0.00,2340.00,890.00,770.00,345.00,250.00,80.00,4900.00,2.10
"9330101.06",2870.00,5.00,2015.00,825.00,5.00,50.00,0.00,765.00,0.00,25.00,2870.00,1465.00,1060.00,240.00,80.00,25.00,4750.00,1.70
"9330102.01",160.00,35.00,0.00,115.00,0.00,35.00,70.00,5.00,0.00,10.00,160.00,25.00,35.00,20.00,30.00,55.00,580.00,3.60
"9330102.02",2415.00,415.00,100.00,1900.00,40.00,555.00,345.00,960.00,0.00,0.00,2420.00,550.00,760.00,525.00,420.00,160.00,6185.00,2.60
"9330103.00",3660.00,470.00,360.00,2830.00,75.00,140.00,615.00,2000.00,0.00,0.00,3660.00,1425.00,1190.00,535.00,365.00,150.00,7690.00,2.10
"9330104.00",2805.00,1070.00,0.00,1730.00,175.00,260.00,860.00,435.00,0.00,0.00,2805.00,555.00,830.00,575.00,575.00,265.00,7700.00,2.70
"9330110.02",1085.00,595.00,0.00,485.00,35.00,145.00,225.00,75.00,0.00,0.00,1085.00,165.00,380.00,180.00,235.00,120.00,3065.00,2.80
"9330110.03",1215.00,680.00,15.00,520.00,75.00,130.00,160.00,160.00,0.00,0.00,1215.00,260.00,440.00,200.00,230.00,90.00,3130.00,2.60
"9330110.04",1445.00,875.00,65.00,500.00,15.00,245.00,180.00,65.00,0.00,0.00,1440.00,200.00,410.00,315.00,380.00,140.00,4230.00,2.90
"9330111.02",2750.00,1525.00,30.00,1195.00,85.00,230.00,365.00,515.00,0.00,0.00,2750.00,490.00,925.00,510.00,595.00,240.00,7550.00,2.70
"9330111.04",920.00,80.00,755.00,85.00,55.00,0.00,15.00,15.00,0.00,0.00,920.00,365.00,340.00,115.00,65.00,35.00,1855.00,2.00
"9330111.05",1720.00,565.00,65.00,1085.00,45.00,520.00,210.00,305.00,0.00,0.00,1725.00,325.00,560.00,335.00,360.00,135.00,4655.00,2.70
"9330111.06",35.00,15.00,0.00,15.00,0.00,0.00,15.00,0.00,0.00,5.00,40.00,5.00,10.00,5.00,5.00,5.00,125.00,3.60
"9330111.07",1675.00,220.00,185.00,1275.00,105.00,540.00,190.00,440.00,5.00,0.00,1675.00,395.00,545.00,320.00,295.00,120.00,4280.00,2.50
"9330112.00",1100.00,525.00,180.00,385.00,5.00,0.00,380.00,5.00,0.00,0.00,1095.00,300.00,345.00,180.00,195.00,85.00,2755.00,2.50
"9330113.00",2975.00,1105.00,310.00,1555.00,30.00,225.00,410.00,890.00,0.00,0.00,2975.00,760.00,880.00,545.00,585.00,205.00,7610.00,2.60
"9330114.01",960.00,630.00,0.00,330.00,0.00,110.00,220.00,0.00,0.00,0.00,960.00,130.00,250.00,180.00,280.00,115.00,2910.00,3.00
"9330114.02",1790.00,1060.00,0.00,730.00,5.00,0.00,625.00,100.00,0.00,0.00,1790.00,260.00,545.00,325.00,425.00,230.00,5265.00,2.90
"9330115.00",1990.00,895.00,0.00,1100.00,10.00,210.00,525.00,355.00,0.00,0.00,1990.00,405.00,575.00,390.00,415.00,210.00,5515.00,2.80
"9330116.00",1795.00,1170.00,0.00,630.00,5.00,75.00,450.00,105.00,0.00,0.00,1795.00,255.00,575.00,340.00,425.00,210.00,5240.00,2.90
"9330117.00",2145.00,1380.00,0.00,760.00,5.00,50.00,485.00,225.00,0.00,0.00,2140.00,385.00,715.00,375.00,455.00,210.00,5895.00,2.80
"9330118.00",3495.00,1220.00,1160.00,1105.00,35.00,55.00,430.00,580.00,0.00,5.00,3495.00,1115.00,1090.00,620.00,480.00,185.00,8065.00,2.30
"9330119.00",825.00,530.00,0.00,290.00,0.00,65.00,110.00,115.00,0.00,0.00,825.00,175.00,255.00,145.00,155.00,100.00,2270.00,2.80
"9330120.00",1355.00,900.00,0.00,455.00,55.00,195.00,110.00,100.00,0.00,0.00,1355.00,230.00,440.00,240.00,305.00,140.00,3800.00,2.80
"9330121.00",1440.00,1235.00,0.00,210.00,0.00,0.00,205.00,0.00,0.00,0.00,1440.00,150.00,420.00,260.00,415.00,195.00,4495.00,3.10
"9330122.00",1360.00,1080.00,0.00,280.00,20.00,30.00,225.00,0.00,0.00,0.00,1355.00,145.00,405.00,250.00,390.00,165.00,4155.00,3.10
"9330130.01",2640.00,190.00,1830.00,620.00,105.00,45.00,90.00,375.00,5.00,0.00,2640.00,1410.00,895.00,185.00,120.00,25.00,4385.00,1.70
"9330130.03",2450.00,300.00,1500.00,640.00,15.00,65.00,210.00,350.00,0.00,5.00,2450.00,1165.00,765.00,270.00,195.00,60.00,4600.00,1.90
"9330130.04",1310.00,290.00,875.00,50.00,10.00,0.00,35.00,0.00,0.00,95.00,1310.00,510.00,385.00,190.00,130.00,95.00,2915.00,2.20
"9330131.00",2580.00,1685.00,0.00,890.00,10.00,40.00,440.00,410.00,0.00,0.00,2580.00,625.00,780.00,450.00,470.00,255.00,6790.00,2.60
"9330132.00",1260.00,1105.00,0.00,150.00,10.00,0.00,130.00,15.00,0.00,0.00,1260.00,185.00,420.00,225.00,275.00,160.00,3650.00,2.90
"9330133.01",1430.00,1080.00,45.00,305.00,110.00,0.00,115.00,80.00,0.00,0.00,1430.00,300.00,520.00,240.00,270.00,95.00,3670.00,2.60
"9330133.02",2245.00,1670.00,150.00,425.00,100.00,200.00,120.00,0.00,0.00,0.00,2245.00,280.00,915.00,400.00,425.00,225.00,6210.00,2.80
"9330134.00",2695.00,1880.00,0.00,815.00,115.00,35.00,245.00,415.00,0.00,0.00,2690.00,475.00,895.00,520.00,515.00,280.00,7450.00,2.80
"9330135.00",1640.00,1440.00,0.00,200.00,30.00,10.00,155.00,0.00,0.00,5.00,1640.00,210.00,525.00,315.00,370.00,220.00,4910.00,3.00
"9330140.02",3010.00,1195.00,0.00,1815.00,75.00,595.00,70.00,1080.00,0.00,5.00,3010.00,820.00,1030.00,500.00,450.00,205.00,7320.00,2.40
"9330140.03",1520.00,525.00,0.00,995.00,0.00,430.00,170.00,400.00,5.00,5.00,1520.00,365.00,435.00,245.00,240.00,235.00,4290.00,2.80
"9330140.04",1610.00,770.00,0.00,795.00,15.00,595.00,160.00,25.00,0.00,40.00,1610.00,200.00,390.00,345.00,395.00,275.00,5185.00,3.20
"9330141.01",3295.00,1445.00,0.00,1850.00,70.00,785.00,150.00,845.00,0.00,0.00,3290.00,815.00,1035.00,600.00,605.00,230.00,8355.00,2.50
"9330141.02",400.00,45.00,0.00,350.00,0.00,45.00,0.00,310.00,0.00,0.00,400.00,155.00,150.00,50.00,35.00,10.00,785.00,2.00
