"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","armed.forces","civilian.employed","not.in.labor.force","unemployed","abroad.house","diff.us.house","same.house","i.0.9999","i.10000.14999","i.15000.24999","i.25000.34999","i.35000.49999","i.50000.64999","i.65000.74999","i.75000.99999","abroad.born","naturalization","not.citizen","puerto.rico.born","us.born","divorced","married","never","separated","widowed","no.schooling","private","public","with.disability","without.disability","federal","local","not.working","private.no.profit","private.profit","self.employed.corp","self.employed.no.corp","state","with.insurance","without.insurance","asian","black","other","two.","white"
6186,850,861,631,713,1063,928,588,389,163,2984,3202,84,3403,2568,131,110,337,5739,3657,23,162,252,169,410,270,1243,228,1007,575,36,4340,345,2938,2659,0,244,4469,351,1366,340,5846,683,255,2746,568,1639,126,148,21,5637,549,616,918,340,154,4158
3137,259,109,681,987,400,371,200,69,61,1587,1550,78,2282,725,52,27,958,2152,1157,15,101,183,178,314,183,1006,27,379,469,61,2201,352,1100,1583,30,72,2672,159,306,271,2866,628,164,845,280,1070,57,59,34,2816,321,631,547,181,79,1699
1795,48,80,193,151,168,190,373,370,222,977,818,12,833,910,40,33,262,1500,1136,0,81,39,17,117,15,390,14,242,122,24,1393,272,806,565,22,130,1619,27,149,311,1484,181,62,945,56,482,11,41,17,1733,62,44,163,48,77,1463
1832,158,105,328,428,378,268,97,37,33,976,856,67,1327,407,31,17,340,1475,645,7,55,122,156,181,105,561,40,188,248,6,1350,172,773,842,32,13,1425,83,324,96,1736,308,57,506,124,739,15,62,21,1609,223,148,288,210,51,1135
3442,546,151,773,883,402,323,236,100,28,1721,1721,97,2081,1208,56,0,863,2579,1623,44,129,124,200,248,126,948,23,352,472,41,2554,296,1198,1806,68,74,2716,156,570,229,3213,569,57,1355,242,907,149,90,73,3038,404,377,1007,243,43,1772
4807,641,556,737,1177,683,400,439,174,0,2316,2491,89,3073,1576,69,124,992,3691,2328,110,343,288,329,260,147,1002,74,451,645,30,3607,307,1984,2262,192,62,3542,156,1109,365,4442,421,245,1723,297,1823,69,89,140,4199,608,378,846,532,287,2764
4662,644,583,479,568,683,713,479,349,164,2121,2541,81,2239,2150,192,24,562,4076,2835,10,165,124,169,226,131,1002,150,946,193,8,3365,232,2191,1882,81,276,3449,263,950,495,4167,427,176,2411,272,1206,45,116,9,4425,237,725,440,72,423,3002
4084,602,430,682,516,438,659,438,215,104,1706,2378,0,2480,1513,91,18,352,3714,2176,18,276,424,151,240,115,684,64,549,687,22,2762,251,1687,1996,67,83,3064,126,894,269,3815,315,209,1576,134,1536,153,114,47,3485,599,511,412,410,251,2500
2710,253,371,331,460,483,455,192,105,60,1426,1284,28,1684,949,49,0,177,2533,1349,40,49,184,122,221,78,667,65,605,315,0,1725,232,1081,1314,23,60,2004,62,644,211,2499,329,113,1021,65,1025,71,61,25,2413,297,328,567,107,293,1415
4870,671,550,713,940,535,688,476,204,93,2449,2421,149,2781,1779,161,86,764,4020,2738,33,67,149,366,278,72,1167,78,994,725,50,3023,279,2080,2294,92,125,3582,167,1121,368,4502,520,139,2088,413,1413,144,121,32,4343,527,947,1113,105,193,2512
6296,925,676,559,1329,855,1119,573,229,31,3124,3172,118,3594,2335,249,119,653,5524,3533,0,143,282,398,424,175,1341,276,1120,574,55,4271,336,2661,2888,160,251,4466,350,1480,436,5860,808,239,2674,407,1811,88,185,84,5911,385,543,1371,150,237,3995
3643,556,256,255,664,417,603,411,292,189,1759,1884,108,1764,1680,91,2,395,3246,2053,49,16,67,106,130,105,1117,113,663,168,8,2691,327,1713,1341,33,229,2802,260,581,346,3297,560,94,1878,124,797,29,76,85,3434,209,557,691,84,171,2140
5496,719,772,498,708,943,1046,458,259,93,2645,2851,79,2922,2357,138,19,699,4778,3239,31,23,167,213,255,128,1440,161,702,366,76,4191,325,2683,2282,18,188,4078,306,1112,350,5146,862,195,2559,255,1395,59,133,38,5300,196,788,791,161,288,3468
2057,317,248,188,222,265,288,223,169,137,1028,1029,49,980,1016,12,87,60,1910,1288,19,33,20,47,111,67,472,52,84,65,4,1852,76,988,871,0,122,1559,92,406,122,1935,273,108,1066,143,354,21,81,11,1982,75,84,60,8,84,1821
3982,548,347,428,724,512,526,489,301,107,2002,1980,83,2138,1647,114,28,352,3602,2236,0,107,73,269,225,86,986,59,538,328,23,3034,150,2075,1641,27,89,2990,255,737,361,3621,461,127,1832,207,1121,65,137,32,3704,278,384,449,145,145,2859
9151,822,1190,1598,2466,914,873,899,313,76,4500,4651,86,5396,3635,34,289,1442,7420,5447,117,857,890,308,489,221,822,134,1086,3055,349,4527,573,3612,4545,179,242,7111,238,1802,511,8640,297,277,4370,399,3537,88,119,64,6319,2832,1157,1766,1754,449,4025
7340,399,1434,923,1765,1314,580,603,221,101,3943,3397,36,4110,2906,288,0,879,6461,4890,66,253,369,789,474,100,399,31,1182,2298,0,3829,361,2727,3911,224,117,5067,304,1969,675,6665,228,201,3803,266,2519,54,183,86,5429,1911,410,1608,830,176,4316
6538,291,758,846,1753,913,1114,489,341,33,3112,3426,0,3982,2262,294,51,902,5585,4238,0,408,464,770,267,100,291,69,1398,1912,42,3117,476,2034,3812,114,102,4810,191,1537,767,5771,259,47,3309,323,2326,42,207,25,5132,1406,724,2173,477,441,2723
5227,275,821,985,1220,683,720,352,112,59,2359,2868,53,2937,1897,340,206,506,4515,3318,89,414,342,325,333,131,275,52,961,1588,5,2621,465,1652,2892,138,80,3829,120,1278,311,4916,173,143,2826,214,1635,65,163,8,4097,1130,526,1181,749,730,2041
5018,462,638,892,560,902,540,527,368,129,2442,2576,16,2911,1915,176,36,471,4511,3227,18,217,276,331,378,109,462,223,799,749,10,3237,233,1601,2973,37,174,3480,201,1337,237,4781,163,212,2533,229,1553,37,284,7,4091,927,384,1056,540,334,2704
6623,767,974,1354,1171,891,877,542,28,19,3462,3161,162,3782,2266,413,61,1094,5468,3744,85,299,611,360,547,210,767,91,1406,676,0,4450,411,2249,3737,177,49,4694,191,1738,701,5922,503,130,2855,307,2316,219,266,27,5453,1170,512,2531,272,431,2877
3066,202,597,1010,797,336,78,31,15,0,1550,1516,365,1065,1491,145,179,816,2071,2277,49,170,87,143,106,32,202,139,131,121,20,2655,38,1124,1893,0,11,1851,143,1072,185,2881,365,25,2402,41,211,9,13,0,2259,807,164,595,147,325,1835
3661,389,385,404,490,526,504,315,211,437,1822,1839,44,1897,1640,80,75,353,3233,2109,9,143,152,248,142,113,745,68,655,311,18,2609,177,1625,1477,126,256,2909,149,603,426,3235,461,51,1747,40,1187,53,77,45,3262,399,476,1206,191,155,1633
7612,1187,661,1270,1504,927,1156,690,138,79,3666,3946,201,4548,2796,67,32,1504,6076,4352,25,325,468,660,426,169,1187,58,1418,985,87,5064,359,3501,3539,109,104,5707,209,1696,728,6884,709,317,3220,101,2602,63,600,0,6621,991,1097,1335,1051,338,3791
7332,923,1170,1068,1159,1458,820,343,360,31,3126,4206,115,3917,2918,382,116,1228,5988,4258,120,309,395,723,346,258,923,20,1652,1404,0,4256,709,2658,3641,157,167,4840,316,2176,407,6925,711,356,3527,284,2039,150,205,60,6564,768,1167,2946,131,201,2887
3352,314,584,325,202,517,637,384,273,116,1562,1790,20,1536,1673,123,37,308,3007,2060,3,21,76,129,176,108,779,75,1052,142,13,2070,105,1786,1214,18,229,2391,148,813,299,3053,212,137,1816,126,845,77,94,45,3233,119,1351,301,21,97,1582
6608,834,1225,844,973,1189,923,441,157,22,3204,3404,86,3419,2908,195,0,1432,5176,3960,60,177,244,342,436,137,1252,300,1916,521,0,3871,475,2685,3274,38,136,4229,649,1730,365,6243,706,170,3169,414,1729,110,307,3,5873,735,1691,1663,104,332,2818
3246,496,282,436,560,415,525,256,183,93,1521,1725,70,1734,1420,22,55,594,2597,1746,40,83,77,188,301,100,711,69,707,271,20,2179,297,1298,1380,73,198,2403,143,700,266,2980,353,115,1511,83,932,65,165,22,2928,318,453,608,97,262,1826
5906,635,505,757,1195,877,918,554,287,178,2755,3151,149,3400,2248,109,50,963,4893,2995,39,92,227,340,297,257,1659,200,1068,438,24,4176,613,2268,2764,81,180,4487,248,1171,374,5532,822,199,2484,339,1698,100,215,49,5348,558,1540,720,0,374,3272
2715,265,212,630,573,287,416,205,92,35,1398,1317,49,1735,855,76,34,827,1854,1258,21,118,138,267,170,132,611,83,332,235,18,2047,257,1097,1326,17,18,2162,102,451,205,2510,319,139,969,145,1056,44,28,15,2570,145,210,362,144,49,1950
5460,832,507,744,1275,884,653,328,206,31,2650,2810,146,3254,1905,155,20,495,4945,2943,0,101,130,387,154,216,1529,76,793,442,16,4133,302,2503,2468,58,129,4044,281,1135,453,5007,724,324,2207,227,1769,85,92,32,5112,348,519,1231,232,350,3128
3072,452,298,238,487,442,588,324,131,112,1494,1578,58,1642,1297,75,52,349,2671,1739,40,28,59,91,147,85,883,74,465,201,29,2303,167,1613,1166,44,82,2354,167,551,207,2865,370,142,1419,129,804,102,90,16,2791,281,357,355,89,201,2070
4706,485,699,536,368,699,685,689,428,117,2306,2400,53,2307,2250,96,114,218,4374,3011,0,102,65,184,172,69,1103,175,517,247,17,3750,222,2418,1848,42,176,3442,294,970,310,4396,327,212,2391,261,1245,73,131,66,4474,232,686,64,87,273,3596
3270,299,412,643,388,507,430,369,127,95,1622,1648,0,1898,1282,90,17,278,2975,1840,46,91,145,194,190,75,689,78,684,254,8,2246,292,1392,1452,46,88,2238,144,888,259,3011,271,143,1365,184,1002,152,84,69,3111,159,817,267,0,165,2021
4784,605,677,716,667,731,631,461,210,86,2590,2194,64,2505,2066,149,34,778,3972,3063,19,79,83,250,300,107,883,65,907,466,94,3252,222,2190,2233,23,116,3160,245,1379,274,4510,308,181,2260,383,1304,62,155,131,4513,271,899,262,78,268,3277
5162,539,643,805,679,739,768,564,312,113,2760,2402,33,2727,2256,146,61,665,4436,3147,40,59,53,198,182,224,1259,143,729,287,31,3972,254,2438,2268,54,148,3633,249,1280,503,4659,398,178,2419,478,1489,55,102,43,5011,151,912,310,51,204,3685
2688,352,308,425,335,364,410,229,193,72,1261,1427,21,1448,1160,59,0,240,2448,1657,11,33,57,133,95,107,595,59,498,147,7,1977,178,1208,1215,30,57,1828,114,746,211,2477,181,106,1238,133,708,69,120,133,2610,78,533,197,35,173,1750
7309,1012,1033,559,1033,1094,1051,767,501,259,3705,3604,107,3787,3290,125,84,526,6699,4664,14,139,281,189,348,176,1498,87,1367,615,127,5113,413,3564,2988,124,220,5232,295,1782,562,6747,587,440,3502,402,1852,143,281,102,6827,482,1660,303,205,311,4830
1792,219,195,254,286,212,236,150,146,94,883,909,5,1027,748,12,0,98,1694,953,24,41,78,118,46,75,457,28,343,48,0,1373,115,756,813,13,95,1371,157,264,205,1587,157,108,761,64,608,28,36,30,1718,74,405,128,0,68,1191
7468,580,1141,1305,1318,927,851,845,262,239,3869,3599,12,4215,3058,183,294,529,6645,4528,173,402,556,779,336,114,580,106,1665,2628,27,3042,235,2853,3875,205,300,5431,214,1823,405,7063,277,222,3382,404,2877,102,167,37,5743,1725,1922,594,1124,51,3777
2785,331,334,364,424,337,463,308,143,81,1410,1375,9,1619,1086,71,66,265,2454,1474,16,115,192,138,174,76,600,83,732,336,20,1614,145,1227,1257,16,140,2096,94,595,209,2576,131,81,1163,106,1107,93,68,36,2491,294,696,159,49,171,1710
4671,653,539,364,563,689,786,514,395,168,2269,2402,53,2445,2078,95,17,334,4320,2808,62,62,104,225,173,135,1102,81,629,420,44,3497,322,2261,1829,50,209,3547,116,1008,343,4328,427,245,2223,337,1163,48,140,88,4278,393,699,155,128,211,3478
4158,559,363,483,639,576,627,513,267,131,1882,2276,73,2489,1540,56,27,484,3647,2175,23,83,252,257,305,126,937,66,575,250,54,3213,439,1559,1899,117,144,3308,181,669,266,3892,439,265,1671,249,1328,67,105,34,3690,468,235,304,257,50,3312
4280,538,666,433,657,644,622,476,191,53,2237,2043,36,2378,1804,62,91,474,3715,2399,0,57,205,262,265,120,972,119,1079,584,44,2454,334,1903,1835,79,129,2957,161,1162,275,4005,439,239,1883,144,1384,53,77,61,3923,357,1287,728,263,161,1841
3587,472,404,486,404,570,470,422,291,68,1825,1762,26,1989,1507,65,63,408,3116,1992,18,317,232,200,149,169,510,101,783,406,18,2279,340,1703,1342,145,57,2691,133,763,258,3329,134,152,1577,168,1335,37,134,50,3158,429,689,262,218,125,2293
4909,517,707,616,524,880,644,621,304,96,2559,2350,60,2587,2153,109,24,501,4384,2852,61,105,311,239,279,114,948,138,1037,496,60,3178,284,2273,2123,65,164,3347,150,1412,331,4578,456,225,2312,333,1377,55,128,23,4644,265,1060,423,164,255,3007
2432,377,325,241,435,342,277,240,137,58,1130,1302,0,1273,1115,44,29,248,2155,1415,0,59,92,161,243,72,390,28,626,326,7,1445,147,1039,1155,2,89,1646,151,635,183,2249,160,119,1152,53,774,53,85,36,2240,192,514,534,135,79,1170
4365,624,607,311,597,543,784,391,370,138,2213,2152,114,2006,2081,164,17,668,3680,2740,0,40,128,114,302,119,922,132,744,232,0,3257,165,2315,1717,0,168,3093,326,946,421,3944,382,211,2362,264,970,25,97,54,4004,361,588,312,42,376,3047
4612,603,602,453,572,688,648,659,231,156,2259,2353,33,2349,2156,74,17,546,4049,2809,74,190,117,211,240,153,818,208,831,264,0,3309,303,2239,1887,13,170,3424,227,961,307,4305,417,158,2245,109,1377,89,173,44,4211,401,976,491,121,297,2727
5481,777,804,368,677,809,791,802,299,154,2711,2770,138,2592,2657,94,75,441,4965,3405,6,68,65,141,101,108,1587,292,716,196,49,4228,256,2759,2263,18,185,3881,210,1390,295,5186,665,210,2876,310,1259,27,92,42,5217,264,686,451,48,134,4162
8483,734,1077,918,837,1009,1047,687,491,1683,3729,4754,67,3575,4565,276,0,379,8104,6147,133,301,248,524,247,116,767,100,1994,872,53,5464,369,3449,3304,139,1222,6535,324,1624,1355,7128,318,223,4895,226,2319,264,227,11,7111,1372,1779,1125,205,282,5092
4400,494,725,319,670,708,790,404,206,84,2153,2247,8,2587,1743,62,83,825,3492,2594,53,125,253,199,173,175,828,79,739,695,20,2867,308,2167,1797,56,72,3155,146,1099,330,4070,345,231,1773,199,1580,71,108,93,4067,333,831,215,63,207,3084
3319,371,488,324,426,516,473,328,301,92,1659,1660,45,1617,1601,56,55,210,3054,1971,3,78,80,134,215,114,724,128,543,259,7,2382,164,1679,1321,19,136,2395,144,780,290,3029,197,82,1686,145,1047,31,79,52,3169,150,761,231,148,135,2044
3174,317,453,365,271,357,581,487,221,122,1585,1589,65,1560,1495,54,23,474,2677,1908,70,47,25,151,76,64,833,54,547,70,0,2503,96,1717,1193,80,88,2313,215,646,217,2957,342,91,1623,167,735,120,63,33,3050,124,451,85,70,101,2467
3619,579,516,354,523,464,546,374,224,39,1591,2028,26,1906,1652,35,0,263,3356,2279,25,73,84,157,202,70,729,106,611,318,28,2556,227,1582,1759,26,25,2484,204,931,324,3295,256,153,1694,187,1126,45,127,31,3407,212,723,523,71,120,2182
3960,505,401,571,458,510,637,438,293,147,1877,2083,33,2231,1615,81,42,490,3428,2300,18,53,193,185,244,101,866,110,697,162,9,2982,302,1888,1651,43,76,2754,219,987,359,3601,294,219,1729,215,1191,44,118,150,3725,235,415,221,224,177,2923
2264,247,213,482,386,369,223,184,136,24,1037,1227,14,1355,880,15,80,486,1698,1205,8,75,115,198,121,58,484,122,255,407,25,1455,266,758,1172,24,44,1769,112,383,86,2178,174,136,906,232,745,25,46,0,2001,263,404,173,22,111,1554
4859,711,640,399,712,723,559,601,276,238,2275,2584,73,2219,2516,51,73,630,4156,3169,35,85,69,111,272,103,1015,227,818,361,0,3453,339,2324,1921,31,244,3423,275,1161,316,4543,439,193,2608,159,1237,39,140,44,4312,547,628,76,119,524,3512
5385,649,602,711,736,634,780,846,305,122,2727,2658,126,2737,2442,80,100,700,4585,3404,20,96,174,284,144,80,1183,116,853,399,45,3972,168,2807,2254,35,121,3821,179,1385,354,5031,446,232,2649,310,1364,148,166,70,4980,405,1046,425,58,170,3686
3654,339,596,374,391,359,700,599,205,91,1864,1790,53,1811,1698,92,75,310,3269,2237,0,37,96,120,139,66,959,90,466,214,19,2865,175,1837,1508,7,127,2522,210,922,365,3289,475,138,1822,133,864,62,100,60,3484,170,564,157,28,70,2835
4903,593,762,436,679,592,693,720,349,79,2460,2443,117,2390,2296,100,42,375,4486,2993,9,26,143,241,245,56,1190,194,477,180,45,4007,256,2543,1946,11,147,3493,220,1190,219,4684,437,255,2509,226,1229,88,118,41,4592,311,555,252,42,168,3886
5696,685,845,399,689,855,1045,729,325,124,2837,2859,129,2780,2688,99,80,438,5178,3491,28,53,105,223,206,136,1454,226,652,302,16,4500,196,3182,2115,33,170,4063,254,1379,495,5201,615,271,2907,350,1327,105,57,64,5496,200,654,416,13,240,4373
4844,671,747,336,453,853,695,685,324,80,2440,2404,78,2482,2203,81,21,280,4543,2830,73,36,55,217,190,122,1321,114,775,192,86,3677,169,2648,1874,48,105,3451,171,1222,342,4502,671,289,2326,181,1211,70,88,8,4700,144,789,540,100,229,3186
3061,365,270,409,286,368,513,541,245,64,1400,1661,28,1722,1265,46,15,330,2716,1719,0,30,105,101,175,109,822,106,382,224,0,2349,168,1677,1152,43,21,2239,207,615,273,2788,435,137,1339,115,868,54,73,40,2889,172,366,492,84,159,1960
4461,735,508,569,834,500,576,422,236,81,2094,2367,38,2482,1868,73,14,411,4036,2440,22,238,305,258,361,102,735,92,862,677,11,2819,358,1895,2019,71,118,3203,280,978,223,4238,406,237,2009,214,1458,64,60,13,4196,265,685,829,346,284,2317
2358,411,319,310,320,299,348,229,122,0,1135,1223,37,1169,1091,61,8,304,2046,1552,0,52,37,63,110,57,487,56,525,190,0,1587,129,1074,1090,19,46,1572,100,686,167,2191,163,95,1189,152,680,6,61,12,2101,257,412,529,36,262,1119
7520,850,1250,532,682,1158,1227,860,398,563,3638,3882,107,3574,3768,71,145,790,6585,4528,0,220,299,214,184,71,2004,319,1011,898,29,5263,513,3452,3041,61,453,5231,320,1969,685,6835,442,372,3913,385,2045,94,196,73,7043,477,1442,210,126,414,5328
3208,329,73,771,848,528,287,330,32,10,1517,1691,37,2335,743,93,18,787,2403,1107,54,85,207,238,261,191,1065,51,636,475,0,2046,359,1209,1582,52,6,2906,171,131,93,3115,251,135,858,268,1535,83,78,0,3073,135,676,359,137,305,1731
5833,749,502,924,1023,677,675,830,259,194,2773,3060,12,3224,2402,195,188,893,4752,3592,31,143,327,534,287,170,749,58,939,1227,16,3593,455,2278,2845,72,183,4469,243,1121,387,5446,271,271,2690,427,1797,248,85,44,5145,688,1239,842,280,306,3166
2629,244,412,147,224,354,515,302,298,133,1325,1304,17,1244,1310,58,11,253,2365,1614,5,41,38,49,95,30,757,40,439,51,5,2094,118,1491,914,5,101,1991,130,508,235,2394,276,92,1370,127,593,72,89,10,2596,33,376,139,15,61,2038
5181,590,777,358,513,635,868,859,393,188,2365,2816,46,2593,2396,146,72,461,4648,3264,12,105,148,233,176,72,1171,182,857,439,27,3676,332,2453,2037,73,286,3817,234,1130,356,4825,328,253,2587,311,1295,132,180,95,4610,571,1151,119,63,194,3654
7670,193,2772,2901,452,457,373,369,109,44,4153,3517,27,3107,3838,698,136,1674,5860,6732,19,51,73,89,130,40,536,201,490,647,14,6318,215,1169,6132,59,95,2280,237,5153,321,7349,146,192,4559,518,1801,19,76,359,6284,1386,946,1365,197,239,4923
3116,438,439,436,365,464,373,369,165,67,1518,1598,0,1743,1286,87,61,466,2589,1894,20,115,120,141,201,76,549,37,554,408,24,2093,127,1434,1408,22,125,2203,144,769,245,2871,127,157,1363,114,1135,73,127,20,2801,315,604,96,106,268,2042
3016,288,478,217,262,444,501,445,248,133,1547,1469,21,1602,1342,51,85,120,2811,1782,6,59,50,200,105,99,715,42,512,192,0,2270,139,1635,1064,45,133,2136,102,778,224,2792,252,134,1408,201,838,58,103,22,2874,142,612,108,40,86,2170
5676,771,850,457,650,712,779,721,457,279,2810,2866,25,2786,2759,106,60,626,4990,3828,52,66,74,225,189,82,1160,150,764,338,32,4392,222,2979,2314,9,152,3989,328,1359,358,5318,458,221,2864,337,1371,199,151,75,5178,498,908,154,46,131,4437
6134,526,1018,385,631,843,930,968,404,429,3033,3101,56,3133,2758,187,96,385,5653,4027,45,26,50,162,279,46,1499,155,1022,468,73,4416,306,3228,2233,40,327,4575,237,1322,635,5499,476,290,2988,199,1808,43,297,33,5648,486,1092,213,75,28,4726
5169,552,370,980,1089,671,801,421,174,111,2723,2446,0,3471,1571,127,27,1246,3896,2635,52,208,102,367,362,228,1215,47,693,1492,28,2909,401,2107,2440,114,107,4135,206,828,278,4891,486,209,1675,257,2214,77,201,50,4190,979,1545,206,660,175,2583
4377,556,589,699,828,640,377,368,177,143,2163,2214,38,2430,1776,133,140,241,3996,2614,14,376,314,207,195,99,558,0,676,1017,28,2656,353,1335,2535,17,137,3088,139,1150,379,3998,186,119,1927,429,1377,127,190,22,3287,1090,424,638,608,123,2584
4776,798,370,803,747,729,574,538,140,77,2517,2259,13,2886,1757,120,32,498,4246,2782,44,129,185,311,216,153,956,119,941,619,13,3084,340,2090,2158,111,77,3648,277,851,281,4495,275,201,1883,372,1758,75,180,32,4101,675,690,340,793,211,2742
2783,339,405,171,385,468,449,353,154,59,1336,1447,0,1531,1166,86,7,271,2505,1625,25,35,29,91,140,41,797,137,464,178,44,1960,185,1399,1039,53,107,2102,171,510,202,2581,225,53,1229,138,880,117,127,14,2516,267,438,49,176,126,1994
3135,326,369,470,438,445,453,297,212,125,1673,1462,6,1849,1194,86,17,179,2939,1687,46,138,188,256,237,159,424,101,721,627,0,1686,129,1345,1479,0,182,2418,127,590,204,2931,110,76,1287,167,1306,57,132,0,2734,401,621,23,401,101,1989
4235,493,393,379,670,699,703,486,308,104,2191,2044,16,2425,1728,66,17,244,3974,2459,0,79,214,366,148,98,871,60,791,630,12,2742,371,2033,1685,11,135,3274,297,664,363,3872,324,130,1789,417,1280,70,189,36,3799,436,1115,67,263,119,2671
4686,606,456,799,885,779,529,350,206,76,2402,2284,15,2810,1647,214,123,594,3969,2415,86,342,333,456,141,221,692,57,813,1398,24,2394,364,1655,2410,142,115,3624,136,926,272,4414,288,106,1870,382,1755,45,228,12,3944,742,955,351,830,161,2389
2937,390,246,398,449,313,495,382,185,79,1528,1409,9,1688,1207,33,38,227,2672,1725,15,86,134,171,94,73,639,73,826,275,11,1752,207,1265,1340,70,55,2250,204,483,139,2798,211,123,1226,137,989,69,148,34,2706,231,817,158,136,138,1688
