"population","0_9","10_19","20_29","30_39","40_49","50_59","60_69","70_79","80_89","m","f","armed.forces","civilian.employed","not.in.labor.force","unemployed","abroad.house","diff.us.house","same.house","i.0.9999","i.10000.14999","i.15000.24999","i.25000.34999","i.35000.49999","i.50000.64999","i.65000.74999","i.75000.99999","abroad.born","naturalization","not.citizen","puerto.rico.born","us.born","divorced","married","never","separated","widowed","no.schooling","private","public","with.disability","without.disability","federal","local","not.working","private.no.profit","private.profit","self.employed.corp","self.employed.no.corp","state","with.insurance","without.insurance","asian","black","other","two.","white"
5986,852,801,614,859,773,828,691,388,180,3077,2909,57,3098,2750,81,105,677,5204,1958,103,232,255,299,308,148,2683,155,804,501,12,4514,343,2723,2653,83,184,4337,308,1341,483,5503,480,266,2388,317,2065,172,222,76,5585,401,1057,470,179,304,3976
3623,404,417,263,399,500,643,525,331,141,1849,1774,25,1803,1741,54,54,338,3231,1435,48,124,101,152,143,91,1529,118,425,235,20,2825,180,2003,1261,53,126,2815,194,614,310,3313,322,164,1463,247,1096,115,161,55,3457,166,473,194,86,145,2725
5353,1204,1058,671,877,660,210,321,245,107,2884,2469,148,1486,3593,126,122,1632,3599,2359,38,100,138,282,250,118,2068,258,209,308,34,4544,140,2252,2916,12,33,2644,528,2181,234,5119,464,179,3315,105,1044,30,147,69,4740,613,715,811,102,484,3241
1969,199,323,104,172,220,322,389,167,73,1035,934,9,871,1043,46,12,147,1810,992,23,23,42,42,106,52,689,27,87,33,5,1817,92,906,793,62,116,1488,89,392,141,1828,173,126,940,60,412,96,129,33,1883,86,65,91,6,43,1764
4254,504,583,561,482,599,654,429,285,157,2296,1958,20,2124,2004,106,57,431,3766,1661,74,185,203,292,199,116,1524,116,762,454,15,2907,224,1833,2000,60,137,3130,271,853,441,3813,250,173,1720,240,1514,106,188,63,3858,396,774,421,164,158,2737
4165,499,523,430,587,554,666,530,275,101,1999,2166,32,2227,1833,73,73,461,3631,1401,87,169,179,254,208,86,1781,107,736,366,14,2942,248,1964,1753,64,136,3156,212,797,245,3920,378,179,1545,234,1473,130,161,65,3866,299,781,322,104,202,2756
1990,119,117,481,515,244,330,109,55,20,1000,990,44,1461,421,64,34,539,1417,638,20,84,121,124,253,130,620,51,168,175,16,1580,198,690,1020,22,60,1625,103,262,85,1905,302,92,387,182,859,34,90,44,1918,72,309,419,50,72,1140
2844,417,284,222,445,447,485,287,167,90,1432,1412,22,1528,1234,60,28,294,2522,1033,51,97,108,137,129,67,1222,58,470,193,9,2114,198,1308,1206,34,98,2168,227,449,214,2630,253,117,1100,179,888,110,155,42,2666,178,438,324,58,107,1917
6186,851,861,610,709,1070,919,626,393,147,2983,3203,53,3274,2748,111,111,550,5525,2215,92,221,238,271,380,230,2539,233,1004,556,25,4368,350,2890,2693,61,192,4432,387,1367,316,5870,596,273,2392,446,1968,138,270,103,5667,519,972,566,252,223,4173
3137,272,316,411,543,465,482,370,200,78,1558,1579,36,1877,1171,53,56,520,2561,1042,56,122,173,199,186,115,1244,110,499,335,12,2181,223,1540,1258,43,73,2449,154,534,227,2910,312,162,951,201,1252,79,123,57,2879,258,644,267,100,116,2010
1795,75,95,174,142,162,174,383,387,203,997,798,8,778,974,35,35,252,1508,1096,10,75,40,58,117,32,367,20,251,122,13,1389,239,831,549,24,152,1639,29,127,345,1450,170,76,887,57,465,24,93,23,1738,57,84,161,42,46,1462
1832,123,143,356,374,397,254,116,39,30,949,883,26,1276,499,31,19,346,1467,629,27,72,135,148,183,106,532,37,164,278,6,1347,193,751,839,32,17,1425,73,334,97,1735,270,88,446,133,752,22,89,32,1600,232,235,279,125,55,1138
3442,537,254,670,735,375,362,283,160,66,1731,1711,43,1958,1390,51,76,809,2557,1179,72,161,150,212,256,125,1287,69,341,463,18,2551,225,1266,1836,42,73,2720,159,563,242,3200,367,137,1247,236,1118,88,162,87,3041,401,626,456,158,145,2057
4807,628,614,548,759,690,650,580,233,105,2343,2464,31,2664,2037,75,95,726,3986,1454,96,238,226,273,224,140,2156,135,631,428,17,3596,275,2215,2121,89,107,3451,255,1101,326,4481,412,246,1708,275,1803,119,170,74,4493,314,834,420,129,220,3204
4662,607,621,488,553,677,678,501,341,196,2194,2468,50,2176,2342,94,50,568,4044,1959,65,154,127,205,215,140,1797,154,828,274,10,3396,234,2175,1933,81,239,3423,271,968,496,4166,410,181,2105,277,1304,104,207,74,4427,235,797,451,96,311,3007
4084,522,438,713,510,446,677,458,222,98,1712,2372,17,2297,1682,88,51,351,3682,1571,51,292,337,163,264,112,1294,90,548,685,19,2742,252,1710,1981,66,75,3086,118,880,258,3826,302,213,1496,133,1552,157,166,65,3523,561,704,403,248,248,2481
2710,262,375,333,368,466,447,255,137,67,1427,1283,27,1581,1053,49,38,301,2371,898,45,130,145,146,178,85,1083,83,491,282,11,1843,176,1251,1186,38,59,1987,111,612,211,2499,259,133,909,103,1063,79,116,48,2484,226,520,253,82,148,1707
4870,666,659,523,728,623,665,555,321,130,2401,2469,35,2532,2218,85,104,718,4048,1607,76,225,185,295,253,96,2133,121,760,491,17,3481,267,2236,2182,61,124,3550,219,1101,355,4515,418,232,1893,248,1677,142,172,88,4493,377,1005,442,121,217,3085
6296,963,857,546,989,837,1119,537,302,146,3168,3128,68,3308,2803,117,126,629,5541,2141,75,224,288,380,416,161,2611,283,1116,564,25,4308,312,2644,2957,156,227,4380,376,1540,425,5871,708,237,2516,395,1920,152,258,110,5911,385,1129,760,166,242,3999
3643,536,286,275,641,394,593,420,294,204,1738,1905,56,1732,1765,90,19,384,3240,1561,42,90,137,143,132,107,1431,127,653,169,8,2686,328,1707,1377,34,197,2796,255,592,347,3296,505,111,1604,134,927,86,195,81,3433,210,578,511,92,169,2293
5496,723,773,503,692,823,896,621,328,137,2633,2863,50,2869,2486,91,103,701,4692,1758,104,193,181,255,249,138,2618,155,713,381,19,4228,300,2687,2291,84,134,4012,305,1179,337,5159,521,285,2149,259,1840,155,197,90,5255,241,872,426,138,293,3767
2057,304,260,181,225,278,281,277,164,87,1010,1047,17,987,1033,20,28,174,1855,774,22,67,47,80,111,61,895,47,212,109,5,1684,87,1024,853,25,68,1545,105,407,131,1926,202,103,885,129,568,52,85,33,1997,60,264,108,35,69,1581
3982,503,368,437,708,519,530,507,307,103,1965,2017,37,2103,1748,94,37,344,3601,1538,53,149,105,275,228,82,1552,76,532,322,7,3045,135,2118,1626,23,80,3004,252,726,369,3613,455,185,1556,208,1254,94,176,54,3698,284,454,393,122,146,2867
9151,1270,1087,1409,1987,957,834,799,591,217,4629,4522,44,4678,4291,138,293,1443,7415,3672,139,764,624,415,481,224,2832,258,1093,1893,62,5845,566,3602,4567,179,237,7040,274,1837,494,8657,377,348,3859,390,3570,110,364,133,7834,1317,1609,1225,583,453,5281
7340,1085,1240,788,1378,1133,589,532,411,184,4085,3255,28,3526,3541,245,78,869,6393,2983,100,300,382,568,479,100,2428,222,1184,1208,23,4703,357,2737,3930,171,145,5082,301,1957,689,6651,327,271,3283,270,2629,119,306,135,6241,1099,1309,1034,454,245,4298
6538,933,934,679,907,862,905,716,421,181,3246,3292,47,3249,3127,115,115,871,5552,2174,100,284,289,363,290,163,2875,200,1009,583,23,4723,358,2945,2964,94,177,4678,325,1535,494,6044,403,311,2659,309,2373,174,211,98,6102,436,1199,496,223,314,4306
5227,834,676,834,1017,560,594,341,267,104,2461,2766,41,2412,2556,218,210,475,4542,2211,93,407,338,327,318,116,1417,130,966,1123,16,2992,400,1708,2917,98,104,3819,115,1293,310,4917,198,147,2375,204,1934,70,198,101,4294,933,1020,765,371,477,2594
5018,998,652,780,473,779,463,436,336,101,2532,2486,7,2389,2478,144,46,496,4476,2022,80,202,282,346,357,108,1621,234,771,769,15,3229,228,1569,2992,53,176,3468,203,1347,220,4798,167,216,2297,225,1650,62,296,105,4208,810,848,766,385,317,2702
6623,721,983,1153,1098,897,899,516,224,132,3468,3155,59,3663,2703,198,60,1083,5480,2598,121,299,515,354,548,203,1985,127,1340,680,16,4460,411,2259,3711,131,111,4715,156,1752,679,5944,504,251,2480,323,2338,228,358,141,5632,991,1253,1025,268,440,3637
3066,675,466,455,472,279,264,245,147,63,1645,1421,44,1228,1710,84,86,696,2284,1060,38,131,107,181,164,69,1316,116,222,197,13,2518,72,1184,1758,13,39,1871,184,1011,152,2914,303,123,1534,91,836,38,92,49,2777,289,463,329,113,189,1972
3661,377,402,432,489,516,490,381,282,292,1804,1857,41,1823,1715,82,80,340,3241,1684,42,154,145,241,138,114,1143,68,640,305,11,2637,176,1608,1526,91,260,2888,160,613,447,3214,415,106,1553,110,1178,58,188,53,3257,404,586,527,205,159,2184
7612,1040,664,1224,1445,895,1120,688,346,190,3698,3914,70,4279,3154,109,99,1438,6075,3003,101,325,481,664,408,168,2462,169,1337,966,58,5082,359,3500,3538,107,108,5727,175,1710,704,6908,704,317,2786,307,2605,149,613,131,6637,975,1366,1113,409,360,4364
7332,1097,1136,805,959,1066,940,742,407,180,3340,3992,54,3717,3460,101,145,1060,6127,2339,131,305,316,387,356,192,3306,228,1085,608,22,5389,407,3246,3422,74,183,5000,436,1896,409,6923,607,378,2983,334,2478,184,239,129,6875,457,1378,612,162,335,4845
3352,363,587,298,320,489,530,389,264,112,1555,1797,24,1520,1758,50,40,358,2954,1325,48,102,112,160,149,84,1372,97,629,242,14,2370,149,1697,1353,48,105,2345,152,855,278,3074,238,150,1484,168,1026,116,123,47,3203,149,762,271,67,102,2150
6608,753,1244,861,934,1098,919,446,246,107,3208,3400,74,3384,2954,196,83,1382,5143,2661,114,207,244,339,427,129,2487,310,1684,520,22,4072,462,2673,3302,48,123,4198,655,1755,367,6241,703,160,2681,398,2060,131,363,112,5873,735,1719,917,131,336,3505
3246,442,270,439,556,412,540,267,208,112,1512,1734,30,1757,1403,56,50,626,2570,1278,49,103,97,185,288,121,1125,81,707,274,20,2164,286,1374,1348,82,156,2422,139,685,253,2993,340,135,1271,122,1033,65,198,82,2919,327,595,453,102,264,1832
5906,639,741,728,1022,830,919,559,302,166,2766,3140,47,3276,2482,101,61,967,4878,2218,90,197,221,331,296,244,2309,187,1078,429,19,4193,487,2354,2812,74,179,4456,252,1198,383,5523,729,220,2174,313,1934,127,284,125,5347,559,1602,659,126,346,3173
2715,278,202,595,586,295,393,200,102,64,1416,1299,38,1691,913,73,58,808,1849,973,34,112,136,281,171,124,884,76,327,238,20,2054,234,1076,1351,19,35,2157,108,450,209,2506,325,152,843,132,1053,47,126,37,2565,150,280,356,67,57,1955
5460,833,522,716,992,883,657,425,282,150,2683,2777,70,3008,2227,155,64,489,4907,1965,69,182,188,395,232,219,2210,75,783,432,10,4160,288,2463,2516,54,139,4027,291,1142,451,5009,703,327,2064,221,1703,107,257,78,5099,361,863,691,225,366,3315
3072,393,309,243,500,435,575,332,175,110,1518,1554,34,1625,1350,63,49,329,2694,1152,43,103,122,128,146,73,1305,81,483,209,15,2284,197,1592,1150,47,86,2351,161,560,205,2867,372,140,1198,147,920,91,152,52,2787,285,456,305,86,169,2056
4706,570,714,412,496,676,702,615,373,148,2273,2433,39,2249,2345,73,78,509,4119,1740,59,149,141,218,171,92,2136,140,621,302,15,3628,220,2360,1904,84,138,3406,274,1026,325,4381,353,214,1965,252,1525,123,201,73,4485,221,677,293,94,207,3435
3270,426,532,336,385,477,444,368,200,102,1620,1650,20,1688,1507,55,47,333,2890,1094,44,144,123,176,175,82,1432,82,622,234,13,2319,190,1483,1474,35,88,2236,163,871,259,3011,249,137,1296,178,1103,119,122,66,3108,162,727,263,80,160,2040
4784,608,769,626,637,721,644,460,221,98,2591,2193,44,2435,2186,119,52,807,3925,1925,72,159,161,259,303,112,1793,123,891,471,31,3268,227,2140,2269,36,112,3129,253,1402,279,4505,297,167,1932,376,1565,95,215,137,4510,274,910,271,92,258,3253
5162,513,778,644,671,706,756,587,336,171,2744,2418,37,2675,2354,96,68,696,4398,2065,66,170,132,255,211,211,2052,157,711,289,31,3974,262,2422,2259,58,161,3619,243,1300,513,4649,402,211,2058,385,1649,124,236,97,4996,166,924,305,63,194,3676
2688,330,388,380,323,357,416,239,193,62,1275,1413,12,1423,1207,46,18,251,2419,1113,36,77,85,140,101,108,1028,54,482,138,7,2007,181,1222,1199,30,56,1815,100,773,189,2499,177,98,1074,155,868,65,153,98,2615,73,528,193,40,153,1774
7309,1011,1084,620,949,1072,1024,842,503,204,3711,3598,63,3641,3498,107,127,869,6313,2441,145,264,274,334,362,169,3320,196,1157,626,34,5296,380,3506,3090,117,216,5185,358,1766,548,6761,572,381,3002,378,2390,184,297,105,6826,483,1497,489,201,311,4811
1792,175,188,247,288,232,250,152,159,101,875,917,7,1009,753,23,9,106,1677,752,28,58,75,115,80,84,600,27,369,73,2,1321,116,801,766,16,93,1383,150,259,204,1588,160,108,673,60,640,36,80,35,1709,83,441,103,19,66,1163
7468,721,1127,1262,1253,892,819,815,351,228,3919,3549,14,4092,3192,170,189,641,6638,3098,175,440,579,645,320,111,2100,160,1693,1420,28,4167,290,2834,3905,174,265,5407,215,1846,403,7065,385,225,2858,404,2994,127,342,133,6379,1089,1982,583,489,215,4199
2785,304,354,313,432,340,468,321,175,78,1407,1378,16,1561,1140,68,65,289,2431,945,68,138,166,139,152,70,1107,88,540,297,4,1856,124,1311,1205,42,103,2095,119,571,202,2583,180,121,973,150,1112,95,97,57,2565,220,612,180,84,122,1787
4671,638,584,391,541,678,766,524,382,167,2313,2358,36,2362,2192,81,73,452,4146,1602,80,191,163,214,211,126,2084,136,629,378,7,3521,267,2365,1840,62,137,3429,236,1006,322,4349,398,243,1870,281,1506,114,175,84,4344,327,702,262,112,191,3404
4158,536,373,480,672,573,641,484,278,121,1899,2259,48,2339,1715,56,23,479,3656,1545,63,117,268,257,282,124,1502,106,555,258,18,3221,351,1642,1908,102,155,3328,175,655,271,3887,453,267,1515,242,1290,92,228,71,3689,469,340,324,120,61,3313
4280,457,692,443,637,658,612,461,216,104,2240,2040,33,2296,1894,57,90,484,3706,1642,59,178,208,262,261,113,1557,122,1097,594,21,2446,358,1884,1838,77,123,2930,162,1188,285,3995,444,229,1667,158,1412,105,183,82,3916,364,1337,497,204,185,2057
3587,382,453,500,403,571,506,408,279,85,1844,1743,28,1967,1525,67,62,415,3110,1395,45,266,236,173,150,116,1206,107,799,418,13,2250,283,1696,1440,82,86,2686,125,776,241,3346,215,160,1374,177,1339,94,165,63,3195,392,748,276,187,120,2256
4909,591,732,521,522,768,657,661,327,130,2515,2394,50,2554,2227,78,77,558,4274,1645,82,192,230,256,272,112,2120,148,828,457,26,3450,292,2314,2081,71,151,3474,209,1226,324,4585,442,247,1875,247,1703,155,180,60,4646,263,1003,389,154,221,3142
2432,321,345,249,462,363,283,220,133,56,1123,1309,6,1262,1115,49,30,236,2166,989,42,98,75,168,204,82,774,51,620,343,6,1412,135,1049,1161,12,75,1640,150,642,188,2244,169,129,1034,92,805,51,110,42,2228,204,568,395,135,90,1244
4365,594,637,313,584,543,780,386,371,157,2260,2105,46,1924,2271,124,47,657,3661,1867,54,83,120,147,310,107,1677,128,733,213,10,3281,165,2288,1752,23,137,3042,342,981,432,3933,380,209,2040,251,1119,92,197,77,3995,370,643,318,76,285,3043
4612,574,628,455,560,696,632,674,239,154,2285,2327,33,2319,2186,74,33,565,4014,1828,65,192,145,200,244,151,1787,178,833,280,8,3313,305,2213,1907,33,154,3410,213,989,301,4311,422,189,1927,208,1432,121,247,66,4203,409,980,497,128,302,2705
5481,791,835,369,671,786,768,778,337,146,2709,2772,54,2507,2828,92,88,446,4947,2071,73,156,169,180,179,110,2543,191,713,315,15,4247,227,2758,2294,47,155,3822,237,1422,299,5182,587,232,2401,287,1552,122,229,71,5215,266,681,366,86,189,4159
8483,718,1118,910,840,1027,1107,1034,894,835,3714,4769,38,3271,4932,242,67,593,7823,4802,131,297,244,536,253,102,2118,150,1989,868,32,5444,460,3909,3303,138,673,6539,315,1629,1388,7095,379,275,4404,298,2320,267,439,101,7455,1028,1811,1069,219,288,5096
4400,442,768,341,678,711,773,395,195,97,2123,2277,19,2380,1927,74,87,839,3474,1634,82,182,268,203,174,163,1694,133,713,590,14,2950,299,2111,1859,49,82,3103,148,1149,321,4079,316,242,1737,192,1531,109,185,88,4052,348,808,197,74,202,3119
3319,374,528,281,392,524,481,352,296,91,1634,1685,23,1581,1662,53,55,337,2927,1278,51,109,111,138,148,77,1407,115,523,242,11,2428,170,1648,1350,37,114,2367,156,796,279,3040,264,156,1453,151,1051,71,107,66,3168,151,701,236,85,146,2151
3174,341,498,287,314,365,557,467,234,111,1589,1585,28,1514,1576,56,41,458,2675,1215,52,98,111,141,143,75,1339,69,447,167,4,2487,129,1709,1198,45,93,2270,220,684,216,2958,287,133,1317,169,989,118,120,41,3046,128,463,185,57,104,2365
3619,570,544,329,505,483,535,362,213,78,1634,1985,22,1747,1805,45,29,251,3339,1461,55,127,120,155,185,86,1430,106,574,317,18,2604,204,1590,1736,27,62,2454,216,949,316,3303,233,148,1631,195,1106,58,188,60,3432,187,716,470,75,122,2236
3960,464,486,518,461,516,623,459,306,127,1873,2087,33,2059,1788,80,49,474,3437,1655,52,131,181,195,262,101,1383,112,678,182,10,2978,267,1907,1648,41,97,2757,216,987,344,3616,296,233,1579,211,1230,77,220,114,3713,247,538,202,105,174,2941
2264,269,229,307,379,370,249,269,141,51,1021,1243,24,1282,921,37,59,398,1807,775,33,98,112,175,131,66,874,91,335,263,10,1565,138,1050,1000,23,53,1741,121,402,110,2154,168,142,803,149,818,50,100,34,2061,203,430,175,57,77,1525
4859,697,756,399,629,687,610,581,318,182,2225,2634,48,2181,2556,74,76,645,4138,1793,68,161,148,196,246,98,2149,162,733,377,16,3571,255,2263,2095,75,171,3378,280,1201,343,4516,395,217,2171,227,1465,135,172,77,4545,314,815,315,115,220,3394
5385,644,753,591,680,614,772,827,361,143,2786,2599,30,2611,2662,82,96,681,4608,2300,93,185,164,289,209,101,2044,125,824,404,26,4006,163,2796,2259,39,128,3787,178,1420,384,5001,421,225,2317,305,1611,161,261,84,4985,400,1038,402,84,145,3716
3654,277,628,376,386,357,686,608,208,128,1839,1815,36,1781,1744,93,78,306,3270,1722,33,103,117,140,135,66,1338,96,493,183,7,2875,167,1862,1480,20,125,2511,206,937,379,3275,482,144,1549,132,989,95,204,59,3482,172,568,169,34,66,2817
4903,532,815,429,677,597,660,698,367,128,2443,2460,43,2341,2431,88,44,351,4508,2084,62,106,134,238,226,110,1943,165,467,227,22,4022,264,2522,1949,34,134,3463,214,1226,222,4681,429,269,2098,226,1420,115,264,82,4591,312,557,240,52,156,3898
5696,680,854,394,649,861,962,750,359,187,2853,2843,62,2689,2842,103,100,421,5175,2325,58,119,165,235,196,129,2469,229,645,285,14,4523,188,3169,2128,43,168,4043,269,1384,517,5179,642,267,2434,354,1493,157,280,69,5499,197,630,383,58,221,4404
4844,602,767,337,430,859,697,679,334,139,2439,2405,60,2414,2299,71,45,274,4525,1915,78,143,134,193,201,120,2060,111,780,223,28,3702,163,2635,1906,43,97,3435,167,1242,359,4485,602,278,2070,218,1250,117,248,61,4692,152,783,558,97,241,3165
3061,349,364,310,356,392,512,474,232,72,1416,1645,32,1617,1367,45,58,314,2689,1118,43,134,119,138,164,81,1264,82,375,225,13,2366,160,1631,1156,43,71,2244,188,629,229,2832,298,148,1142,148,1043,94,136,52,2879,182,444,261,75,158,2123
4461,651,575,510,645,588,671,487,250,84,2127,2334,30,2382,1978,71,67,539,3855,1359,88,218,204,248,235,105,2004,141,722,410,13,3175,237,2018,2019,71,116,3199,278,984,259,4202,400,228,1714,217,1560,107,155,80,4188,273,805,361,130,248,2917
2358,352,353,253,328,311,342,223,123,73,1113,1245,19,1163,1136,40,24,318,2016,814,54,98,74,116,107,64,1031,66,393,190,8,1701,120,1068,1094,22,54,1580,126,652,169,2189,178,104,1000,146,736,69,91,34,2184,174,424,208,48,125,1553
7520,1064,1257,635,829,1063,1083,833,529,227,3591,3929,56,3476,3860,128,140,816,6564,2531,120,245,303,337,307,127,3550,254,1086,601,27,5552,428,3488,3262,111,231,5154,433,1933,549,6971,531,357,3260,388,2437,205,239,103,7107,413,1307,503,172,327,5211
3208,304,301,442,568,507,514,359,169,44,1503,1705,25,2021,1091,71,57,521,2630,929,80,188,160,249,218,96,1288,91,606,359,13,2139,188,1585,1297,59,79,2500,172,536,136,3072,236,151,885,200,1469,95,119,53,3007,201,663,274,107,148,2016
5833,847,657,644,819,794,813,735,347,177,2842,2991,22,3058,2646,107,126,854,4853,1913,110,236,238,375,271,163,2527,140,950,537,26,4180,349,2726,2508,73,177,4354,319,1160,409,5424,417,262,2262,327,2057,191,211,106,5457,376,1187,452,185,275,3734
2629,262,390,159,276,355,469,344,255,119,1304,1325,18,1195,1381,35,18,248,2363,1108,35,72,70,95,108,51,1090,56,356,155,13,2049,124,1482,905,34,84,1970,128,531,242,2387,233,131,1163,126,751,81,109,35,2536,93,376,153,33,73,1994
5181,604,792,419,626,663,776,710,409,182,2378,2803,30,2503,2564,84,67,537,4577,1902,90,203,195,225,205,110,2251,146,841,432,24,3738,328,2536,2055,71,191,3748,253,1180,391,4790,357,264,2187,300,1654,162,177,80,4865,316,923,310,97,202,3649
7670,1205,1352,773,867,990,930,894,475,184,3862,3808,57,3546,3953,114,116,1057,6497,2542,117,284,265,398,292,182,3590,227,895,583,24,5941,355,3321,3721,93,180,5078,503,2089,454,7216,565,316,3415,409,2381,208,261,115,7229,441,1283,576,205,339,5267
3116,420,461,378,367,465,377,358,194,96,1564,1552,16,1584,1459,57,59,462,2595,1115,44,117,142,155,184,67,1292,90,550,320,8,2148,137,1409,1437,43,90,2205,142,769,244,2872,193,146,1260,118,1143,76,130,50,2901,215,600,193,103,153,2067
3016,301,461,225,309,430,500,416,267,107,1565,1451,21,1560,1397,38,48,248,2720,1139,48,90,89,156,127,86,1281,64,471,180,8,2293,132,1625,1117,47,95,2201,130,685,230,2786,244,142,1190,196,964,105,130,45,2883,133,537,150,47,86,2196
5676,828,864,462,653,704,816,719,444,186,2799,2877,26,2680,2906,64,60,624,4992,1991,87,171,215,232,222,130,2628,139,756,383,15,4383,271,2811,2371,64,159,3946,359,1371,417,5259,429,246,2494,294,1740,199,197,77,5364,312,908,341,125,215,4087
6134,697,880,509,714,879,911,878,460,206,3042,3092,54,3077,2912,91,101,646,5387,2240,102,240,221,281,282,122,2646,157,968,496,30,4483,303,3222,2356,88,165,4542,267,1325,472,5662,504,331,2442,312,2011,176,268,90,5764,370,1106,419,136,233,4240
5169,567,367,1017,1104,648,781,403,189,93,2751,2418,21,3213,1821,114,108,1211,3850,1921,95,291,242,385,379,205,1651,145,760,1196,21,3047,402,2045,2520,110,92,4120,216,833,263,4906,477,210,1627,266,2201,78,200,110,4369,800,1605,355,357,183,2669
4377,535,660,519,634,645,528,462,265,129,2163,2214,27,2308,1963,79,118,445,3814,1582,70,259,227,197,203,88,1751,122,654,483,15,3103,251,1893,2059,42,132,3093,170,1114,382,3995,317,181,1740,253,1496,126,202,62,4032,345,761,414,161,187,2854
4776,683,528,537,706,751,641,559,265,106,2512,2264,38,2630,2033,75,79,577,4120,1512,89,220,181,310,242,121,2101,120,790,473,21,3372,267,2240,2073,83,113,3625,274,877,275,4501,359,235,1752,271,1768,125,199,67,4454,322,892,350,139,212,3183
2783,326,381,174,387,449,452,376,155,83,1303,1480,6,1425,1283,69,16,277,2490,1130,45,87,113,94,121,70,1123,131,461,213,9,1969,163,1407,1051,52,110,2086,174,523,205,2578,202,110,1133,144,858,126,165,45,2524,259,428,127,99,111,2018
3135,283,385,487,427,442,477,300,218,116,1705,1430,10,1775,1266,84,41,228,2866,1339,43,151,191,251,238,116,806,103,763,510,4,1755,136,1334,1481,26,158,2417,118,600,200,2935,128,95,1144,157,1340,62,158,51,2706,429,674,203,224,81,1953
4235,498,491,377,605,676,692,476,304,116,2212,2023,29,2402,1734,70,62,466,3707,1374,73,185,196,251,174,101,1881,115,784,392,8,2936,258,2127,1662,60,128,3239,242,754,334,3901,328,187,1517,267,1550,128,197,61,3963,272,874,309,133,146,2773
4686,596,465,803,858,801,533,348,195,87,2396,2290,13,2745,1784,144,130,600,3956,1704,77,345,336,428,185,176,1435,151,820,884,18,2813,327,1722,2447,89,101,3612,144,930,265,4421,262,162,1604,390,1871,78,245,74,3987,699,1008,375,325,190,2788
2937,383,256,405,430,324,504,368,195,72,1538,1399,9,1644,1244,40,42,210,2685,1226,53,148,126,166,124,71,1023,71,839,292,8,1727,210,1291,1318,61,57,2282,196,459,137,2800,203,116,1097,123,1092,82,182,42,2697,240,848,155,129,133,1672
