"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59","COL60","COL61","COL62","COL63","COL64","COL65","COL66","COL67","COL68","COL69","COL70","COL71","COL72","COL73","COL74","COL75","COL76","COL77","COL78","COL79","COL80","COL81","COL82","COL83","COL84","COL85","COL86","COL87","COL88","COL89","COL90","COL91","COL92","COL93","COL94","COL95","COL96","COL97","COL98","COL99","COL100","COL101","COL102","COL103","COL104","COL105","COL106","COL107","COL108","COL109","COL110","COL111","COL112","COL113","COL114","COL115","COL116","COL117","COL118","COL119","COL120","COL121","COL122","COL123","COL124","COL125","COL126","COL127","COL128","COL129","COL130","COL131","COL132","COL133","COL134","COL135","COL136","COL137","COL138","COL139","COL140","COL141","COL142","COL143","COL144","COL145","COL146","COL147","COL148","COL149","COL150","COL151","COL152","COL153","COL154","COL155","COL156","COL157","COL158","COL159","COL160","COL161","COL162","COL163","COL164","COL165","COL166","COL167","COL168","COL169","COL170","COL171","COL172","COL173","COL174","COL175","COL176","COL177","COL178","COL179","COL180","COL181","COL182","COL183","COL184","COL185","COL186","COL187","COL188","COL189","COL190","COL191","COL192","COL193","COL194","COL195","COL196","COL197","COL198"
"9330007.02",1180.00,1000.00,180.00,0.00,1180.00,125.00,1060.00,1180.00,0.00,70.00,85.00,205.00,815.00,1185.00,125.00,60.00,125.00,140.00,730.00,8.30,1180.00,1160.00,20.00,1180.00,1155.00,25.00,1185.00,395.00,105.00,125.00,210.00,45.00,85.00,210.00,1180.00,1150.00,30.00,1180.00,645.00,500.00,40.00,1180.00,30.00,100.00,120.00,315.00,235.00,220.00,110.00,50.00,1175.00,695.00,480.00,295.00,1000.00,42.30,39.40,1782.00,2720.00,3493813.00,3361575.00,180.00,0.00,47.20,1656.00,1994.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330008.01",580.00,415.00,140.00,25.00,580.00,0.00,575.00,580.00,0.00,30.00,50.00,225.00,270.00,580.00,50.00,95.00,95.00,60.00,285.00,7.60,580.00,565.00,10.00,580.00,540.00,40.00,580.00,20.00,350.00,75.00,40.00,30.00,50.00,10.00,575.00,470.00,110.00,575.00,335.00,210.00,30.00,580.00,15.00,35.00,85.00,140.00,110.00,115.00,65.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330008.02",1490.00,1320.00,170.00,0.00,1490.00,155.00,1335.00,1495.00,0.00,75.00,190.00,285.00,940.00,1490.00,215.00,75.00,155.00,160.00,880.00,8.20,1495.00,1485.00,0.00,1495.00,1450.00,35.00,1490.00,580.00,240.00,170.00,205.00,135.00,65.00,95.00,1490.00,1400.00,90.00,1495.00,870.00,585.00,40.00,1490.00,45.00,45.00,145.00,430.00,325.00,275.00,155.00,80.00,1470.00,1055.00,415.00,280.00,1315.00,38.80,24.10,1255.00,2308.00,3002444.00,2968823.00,165.00,0.00,60.60,1950.00,2069.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330009.00",3195.00,1625.00,1575.00,0.00,3200.00,735.00,2465.00,3200.00,35.00,1110.00,835.00,340.00,875.00,3200.00,1655.00,380.00,225.00,185.00,750.00,5.40,3195.00,3100.00,105.00,3200.00,2945.00,255.00,3200.00,1055.00,935.00,365.00,430.00,130.00,160.00,120.00,3195.00,3065.00,135.00,3200.00,2175.00,945.00,80.00,3195.00,155.00,325.00,400.00,775.00,580.00,510.00,320.00,135.00,3175.00,1795.00,1375.00,950.00,1625.00,37.80,37.50,1372.00,2031.00,2206738.00,2450291.00,1575.00,2.20,49.50,1255.00,1422.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330010.01",2280.00,1460.00,820.00,0.00,2285.00,830.00,1455.00,2285.00,25.00,605.00,510.00,430.00,710.00,2280.00,1060.00,300.00,185.00,170.00,560.00,5.60,2280.00,2195.00,85.00,2280.00,2105.00,180.00,2280.00,390.00,635.00,225.00,370.00,230.00,140.00,295.00,2285.00,2050.00,230.00,2285.00,1530.00,675.00,75.00,2280.00,65.00,280.00,305.00,475.00,325.00,400.00,285.00,145.00,2270.00,1255.00,1015.00,695.00,1465.00,36.60,39.00,1198.00,1928.00,1505397.00,2242269.00,820.00,16.00,55.60,1337.00,1490.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330010.02",1575.00,815.00,765.00,0.00,1575.00,220.00,1355.00,1575.00,0.00,310.00,415.00,200.00,650.00,1575.00,640.00,105.00,170.00,135.00,525.00,6.20,1580.00,1525.00,50.00,1575.00,1440.00,135.00,1580.00,390.00,525.00,215.00,230.00,25.00,60.00,125.00,1575.00,1525.00,60.00,1580.00,975.00,505.00,90.00,1580.00,40.00,140.00,185.00,405.00,295.00,230.00,155.00,125.00,1570.00,840.00,725.00,485.00,810.00,41.10,39.50,1502.00,2407.00,3006463.00,2931338.00,765.00,6.50,53.30,1648.00,1637.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330011.00",2310.00,1285.00,1025.00,0.00,2310.00,240.00,2070.00,2310.00,60.00,440.00,510.00,410.00,885.00,2310.00,925.00,330.00,220.00,225.00,610.00,5.50,2310.00,2160.00,145.00,2310.00,2030.00,275.00,2310.00,440.00,685.00,330.00,365.00,180.00,130.00,175.00,2310.00,2175.00,135.00,2310.00,1295.00,810.00,205.00,2310.00,105.00,275.00,395.00,410.00,520.00,285.00,220.00,100.00,2300.00,1520.00,785.00,630.00,1285.00,42.60,28.10,822.00,1550.00,1499413.00,1420312.00,1025.00,14.60,41.20,950.00,1086.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330012.00",2905.00,1735.00,1170.00,0.00,2905.00,175.00,2730.00,2905.00,35.00,495.00,600.00,630.00,1140.00,2905.00,1075.00,340.00,295.00,330.00,865.00,5.90,2900.00,2785.00,120.00,2900.00,2685.00,220.00,2905.00,830.00,535.00,380.00,440.00,205.00,225.00,290.00,2900.00,2745.00,160.00,2905.00,1555.00,1140.00,210.00,2905.00,135.00,400.00,450.00,665.00,605.00,325.00,245.00,90.00,2895.00,1930.00,960.00,735.00,1735.00,47.00,28.20,1105.00,1811.00,1799537.00,1890078.00,1170.00,5.20,40.50,1092.00,1194.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330013.01",2155.00,1170.00,985.00,0.00,2155.00,190.00,1965.00,2155.00,25.00,320.00,535.00,350.00,930.00,2155.00,775.00,310.00,200.00,170.00,700.00,5.90,2155.00,2005.00,150.00,2155.00,1830.00,325.00,2155.00,395.00,665.00,305.00,345.00,130.00,130.00,180.00,2155.00,2065.00,90.00,2155.00,1225.00,755.00,170.00,2155.00,45.00,245.00,370.00,560.00,385.00,235.00,220.00,100.00,2155.00,1480.00,670.00,545.00,1170.00,41.00,24.80,743.00,1379.00,1451334.00,1386237.00,985.00,15.20,38.80,1001.00,1084.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330013.03",1545.00,845.00,695.00,0.00,1545.00,55.00,1490.00,1545.00,15.00,260.00,325.00,260.00,690.00,1545.00,580.00,175.00,150.00,150.00,490.00,5.80,1540.00,1405.00,140.00,1545.00,1330.00,215.00,1540.00,270.00,400.00,230.00,275.00,145.00,85.00,145.00,1540.00,1460.00,85.00,1545.00,820.00,570.00,155.00,1545.00,75.00,170.00,255.00,355.00,270.00,205.00,170.00,50.00,1540.00,1035.00,510.00,430.00,845.00,52.70,29.00,1159.00,1669.00,1502316.00,1480765.00,700.00,16.50,37.40,904.00,1022.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330013.04",1120.00,670.00,455.00,0.00,1120.00,30.00,1090.00,1120.00,0.00,130.00,260.00,210.00,520.00,1120.00,370.00,165.00,130.00,105.00,350.00,6.00,1120.00,1040.00,80.00,1120.00,975.00,145.00,1120.00,225.00,250.00,150.00,160.00,115.00,110.00,115.00,1120.00,1055.00,60.00,1120.00,560.00,425.00,140.00,1120.00,25.00,130.00,195.00,240.00,225.00,150.00,115.00,35.00,1120.00,810.00,310.00,270.00,665.00,40.60,25.60,777.00,1543.00,1347364.00,1384811.00,455.00,4.40,31.10,1002.00,1081.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330014.01",1025.00,680.00,345.00,0.00,1025.00,105.00,915.00,1025.00,10.00,140.00,195.00,200.00,480.00,1025.00,355.00,110.00,165.00,90.00,300.00,5.90,1025.00,945.00,75.00,1020.00,915.00,105.00,1025.00,135.00,200.00,195.00,235.00,115.00,85.00,60.00,1025.00,980.00,45.00,1025.00,530.00,405.00,85.00,1020.00,30.00,100.00,165.00,180.00,215.00,175.00,95.00,60.00,1020.00,725.00,300.00,240.00,675.00,43.40,29.40,727.00,1240.00,1299808.00,1274475.00,345.00,7.20,30.40,972.00,1019.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330014.02",2055.00,1135.00,925.00,0.00,2060.00,145.00,1915.00,2055.00,25.00,380.00,420.00,430.00,800.00,2060.00,835.00,280.00,250.00,170.00,520.00,5.50,2055.00,1940.00,115.00,2055.00,1795.00,260.00,2055.00,340.00,540.00,335.00,425.00,175.00,125.00,115.00,2055.00,1955.00,100.00,2055.00,1150.00,750.00,160.00,2060.00,40.00,180.00,290.00,505.00,400.00,320.00,225.00,90.00,2055.00,1445.00,610.00,485.00,1135.00,40.50,24.30,710.00,1269.00,1349035.00,1387053.00,925.00,29.70,36.40,773.00,872.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9330015.01",1735.00,1240.00,490.00,0.00,1735.00,25.00,1710.00,1730.00,0.00,130.00,275.00,360.00,970.00,1735.00,440.00,220.00,180.00,250.00,645.00,6.50,1730.00,1645.00,85.00,1735.00,1610.00,120.00,1730.00,330.00,420.00,235.00,305.00,130.00,130.00,180.00,1735.00,1635.00,95.00,1735.00,905.00,690.00,140.00,1735.00,50.00,165.00,300.00,345.00,380.00,275.00,150.00,75.00,1730.00,1275.00,450.00,360.00,1240.00,44.40,25.90,920.00,1616.00,1600369.00,1681855.00,495.00,0.00,27.30,1003.00,1194.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
