"population","a0_4","a5_9","a10_14","a15_19","a20_24","a25_29","a30_34","a35_39","a40_44","a45_49","a50_54","a55_59","a60_64","a65_69","a70_74","a75_79","a80_84","a85_","f","m","naao","onao_Canadian","onao","eo_bio_English","eo_bio_Irish","eo_bio_Scottish","eo_obio","eo_fo","eo_weo_Dutch","eo_weo_German","eo_oweo","eo_neo","eo_eeo_Hungarian","eo_eeo_Polish","eo_eeo_Russian","eo_eeo_Ukrainian","eo_oeeo","eo_seo_Greek","eo_seo_Italian","eo_seo_Portuguese","eo_seo_Spanish","eo_oseo","eo_oeo","co_Jamaican","oco","lcsao","ao","ao_wcameo","ao_sao_ei","ao_osao","ao_esao_Chinese","ao_esao_Filipino","ao_oesao","oo","official_lang","no.official_lang","work.official_lang","work.no.official_lang","no.married","married","living.common.law","separated","divorced","widowed","single.detached.house","apartment","other.attached","non.movers","nonmigrants.movers","interprovincial.movers","external.movers","other.movers"
495,20,23,43,37,30,19,14,27,40,40,45,40,25,26,30,15,11,10,235,260,2,62,0,48,9,19,6,11,5,19,0,7,5,11,5,11,3,2,13,4,3,4,8,0,0,6,3,24,45,14,96,21,27,2,485,10,255,240,200,252,11,1,16,15,160,182,153,460,28,1,2,4
410,20,29,34,29,10,11,16,20,37,52,25,41,26,22,13,7,11,7,190,220,3,55,0,34,9,11,7,0,3,16,2,5,1,8,2,8,7,2,11,2,2,3,2,0,0,15,2,19,34,8,89,18,32,0,385,25,190,220,160,206,15,5,11,13,131,149,130,359,25,2,11,13
300,10,20,19,23,9,13,8,10,20,20,30,34,25,19,15,15,7,3,144,156,2,38,3,30,8,17,10,7,1,11,0,4,5,4,0,5,3,0,1,1,3,3,0,0,1,12,8,11,22,2,56,13,19,0,290,10,130,170,105,150,20,6,10,9,99,93,108,229,31,1,18,21
540,11,25,27,40,34,11,21,22,17,44,63,49,34,43,39,29,15,16,255,285,11,77,1,56,9,20,7,9,12,29,1,10,4,5,0,5,12,3,18,2,1,9,2,0,0,6,9,29,42,6,86,23,30,6,526,14,250,290,175,300,10,10,30,15,189,202,149,493,25,2,3,17
595,20,45,51,36,29,10,20,19,51,58,46,31,47,36,46,25,15,10,285,310,7,61,3,67,7,17,13,5,16,21,5,13,4,6,11,13,8,2,12,4,1,8,3,0,0,9,18,17,48,14,118,26,34,4,570,25,235,360,215,305,32,11,17,15,186,218,191,494,41,3,13,44
390,21,26,24,30,21,15,3,21,26,45,42,31,26,10,16,21,7,5,190,200,6,59,0,29,6,17,6,6,9,15,1,9,0,5,0,5,2,0,0,0,1,1,0,1,1,5,15,17,23,3,123,12,11,2,360,30,145,245,150,204,10,2,10,14,120,126,144,298,25,1,26,40
290,10,17,16,24,29,12,7,14,15,20,25,29,20,18,15,10,5,4,145,145,9,36,0,28,4,13,5,3,3,14,0,5,1,4,5,2,5,0,15,4,0,3,2,0,0,4,2,9,23,7,49,22,10,3,280,10,185,105,125,125,15,5,10,10,93,104,93,215,46,0,5,24
295,20,25,27,35,14,7,5,10,24,30,20,15,14,19,11,12,5,2,150,145,2,26,1,34,7,10,4,4,0,7,0,4,0,6,3,1,6,4,9,0,3,1,0,0,0,15,11,17,28,7,54,12,14,5,275,20,115,180,135,145,5,0,5,5,81,78,136,258,25,0,10,2
550,14,40,39,53,40,20,12,17,50,45,50,45,40,30,25,16,6,8,282,268,9,77,2,50,13,20,8,9,4,27,1,11,1,8,8,13,6,1,6,3,0,7,1,0,0,6,7,18,45,6,114,34,34,1,535,15,235,315,225,282,15,5,13,10,181,191,178,471,15,7,24,33
340,9,10,19,23,24,13,13,14,17,19,28,27,33,23,27,23,9,9,168,172,6,44,0,46,8,20,11,3,5,18,2,3,1,9,2,3,8,1,10,0,0,1,0,0,0,2,7,8,26,5,57,13,21,0,334,6,195,145,100,201,10,5,9,15,100,119,121,285,38,5,7,5
610,20,28,29,48,37,29,24,24,34,43,33,61,55,52,34,29,14,16,300,310,12,77,2,68,15,26,4,8,13,27,0,8,1,12,7,17,6,4,19,2,0,8,6,1,1,4,19,32,39,14,95,29,32,2,600,10,365,245,206,313,35,7,21,28,211,227,172,549,30,2,14,15
570,8,15,19,13,13,20,26,21,25,25,40,40,46,66,65,58,35,35,235,335,6,66,2,71,18,44,15,7,12,40,6,14,4,6,7,9,6,4,14,4,4,2,0,0,1,5,7,16,36,8,83,21,29,3,558,12,225,345,97,285,43,17,56,72,119,300,151,476,69,11,5,9
440,15,15,15,25,31,10,15,21,29,31,29,30,35,30,33,20,26,30,180,260,1,46,5,49,16,22,6,8,6,20,1,11,7,10,2,13,5,1,10,0,2,6,2,0,1,8,2,30,37,5,67,18,21,2,428,12,230,210,130,200,20,10,30,50,135,178,127,400,34,2,0,4
425,15,31,28,31,26,21,17,20,27,31,31,31,29,36,15,12,14,10,211,214,3,24,0,40,9,16,9,3,2,16,0,13,1,3,1,11,7,0,6,3,0,7,2,0,0,7,12,42,29,8,110,18,21,2,400,25,200,225,164,215,10,11,20,5,132,168,125,316,56,8,15,30
510,15,20,35,46,31,15,15,22,25,46,42,46,36,31,36,20,10,19,242,268,1,38,0,70,21,36,13,10,3,19,1,13,0,2,2,3,9,4,23,1,0,5,1,0,1,2,5,67,27,5,77,14,31,6,495,15,285,225,180,285,5,5,20,15,136,143,231,430,57,6,10,7
680,15,34,54,59,44,30,25,20,39,54,54,54,49,39,39,30,20,21,333,347,14,66,5,34,26,29,5,8,16,36,5,4,5,7,10,8,8,0,15,12,8,2,1,1,1,17,21,81,39,7,131,27,30,1,655,25,260,420,258,340,30,2,30,20,220,208,252,582,33,13,12,40
400,15,25,31,38,23,10,15,10,25,40,35,30,30,20,21,10,7,15,202,198,3,33,0,40,15,14,9,7,4,24,3,11,0,1,13,13,12,5,19,0,0,5,0,0,0,5,4,31,28,4,58,16,22,1,385,15,180,220,161,195,10,5,15,14,105,104,191,300,68,2,10,20
475,27,45,43,26,28,10,5,34,39,44,34,29,29,24,20,15,10,13,227,248,8,45,0,53,15,22,13,16,5,23,3,10,2,17,6,7,17,1,25,1,1,7,0,2,1,2,21,16,29,3,72,17,14,1,450,25,220,255,200,235,20,5,10,5,135,113,227,423,24,1,2,25
435,19,24,48,42,14,5,10,10,33,53,38,33,19,24,19,19,11,14,203,232,2,42,0,47,20,26,8,7,4,19,0,9,1,7,2,14,11,0,24,3,8,10,0,0,1,4,17,8,20,14,63,27,17,0,415,20,210,225,175,199,15,11,20,15,115,110,210,409,10,2,11,3
885,25,39,49,74,38,39,30,44,77,74,93,73,64,48,54,30,20,14,435,450,9,85,1,46,27,28,4,24,7,18,0,10,6,6,4,20,5,0,8,4,8,2,1,0,1,10,7,116,70,18,262,44,29,5,810,75,340,545,315,440,25,20,60,25,199,349,337,690,125,11,39,20
575,17,20,35,55,30,23,16,11,25,40,50,40,35,40,35,15,25,63,250,325,8,68,1,55,16,29,14,13,7,10,5,12,1,14,7,18,8,0,5,1,1,0,0,0,0,10,10,45,32,9,130,22,21,3,470,105,229,346,190,260,15,10,20,80,150,185,240,459,35,4,15,62
450,17,30,40,35,28,16,10,21,30,33,45,33,24,30,20,19,9,10,207,243,1,80,1,52,7,14,0,4,0,6,1,6,0,6,4,6,5,2,8,7,0,2,0,0,1,4,5,42,29,6,97,18,35,1,420,30,116,334,170,235,10,6,15,14,143,140,167,360,25,4,10,51
415,16,23,26,40,30,16,14,20,31,37,26,25,30,30,20,15,10,6,200,215,1,56,1,42,13,19,7,6,4,24,0,3,0,8,3,10,1,7,15,0,0,5,4,0,0,6,0,21,38,3,62,28,24,4,405,10,245,170,164,200,11,5,15,20,115,134,166,335,63,2,5,10
380,15,27,32,28,15,9,15,17,15,45,35,31,25,21,20,11,10,9,190,190,2,51,2,42,11,15,5,5,9,15,0,4,0,9,1,0,5,1,10,7,0,1,2,0,1,2,4,24,26,2,76,17,27,4,370,10,175,205,131,214,5,5,10,15,126,114,140,350,22,0,3,5
405,12,9,10,10,5,2,4,3,10,10,12,12,11,30,76,65,64,60,121,284,3,39,0,66,17,37,8,10,15,30,5,7,7,16,3,19,0,2,16,4,2,1,1,1,0,13,5,17,3,3,34,8,12,1,404,1,51,354,65,120,10,14,81,115,87,145,173,340,21,2,2,40
455,15,31,41,44,18,15,20,26,20,46,51,36,36,19,15,12,5,5,217,238,2,43,0,45,11,17,6,8,3,14,1,3,2,9,9,4,14,0,6,4,0,3,0,0,0,4,9,31,54,5,89,25,30,4,430,25,195,260,195,220,11,5,14,10,125,178,152,355,53,3,14,30
385,10,25,31,36,26,9,14,16,26,26,35,31,26,31,13,10,10,10,172,213,8,47,0,37,13,16,5,5,5,16,0,7,0,8,2,16,11,0,3,3,1,14,1,1,0,3,1,29,26,1,64,22,16,4,375,10,195,190,160,185,10,5,15,10,100,129,156,315,35,1,10,24
535,17,16,10,20,23,17,14,18,16,25,46,36,50,54,59,41,41,32,215,320,2,76,0,80,17,24,16,7,7,30,3,15,3,8,10,12,6,1,9,1,1,6,0,0,2,13,9,31,27,4,69,22,20,4,526,9,221,314,130,194,30,21,81,79,78,315,142,425,30,10,15,55
490,10,10,30,35,15,22,20,25,35,51,36,40,35,35,40,25,8,18,240,250,10,35,0,46,16,29,9,10,5,15,4,3,1,11,6,3,6,4,7,1,4,2,0,0,0,19,0,53,33,6,91,23,37,1,469,21,235,255,160,180,25,15,72,38,84,285,121,340,96,9,38,7
605,12,14,18,25,25,32,24,20,32,26,40,35,44,50,59,70,45,34,246,359,3,81,1,67,30,46,5,19,6,29,6,14,8,6,4,13,7,1,12,6,7,7,0,2,0,8,8,50,27,3,78,27,20,4,594,11,250,355,164,244,32,20,75,70,97,340,168,520,55,3,22,5
460,14,15,21,20,20,16,17,25,25,35,30,19,21,35,38,36,35,38,205,255,2,38,0,55,16,32,10,14,4,11,3,12,5,10,9,7,6,4,6,1,6,1,3,0,0,4,4,41,25,3,77,22,26,3,452,8,160,300,125,181,26,15,58,55,115,187,158,352,28,5,40,35
425,11,16,13,20,20,10,12,10,18,20,30,40,36,46,35,37,26,25,167,258,1,24,2,43,16,28,9,9,6,35,1,9,3,4,11,5,2,5,7,2,4,5,2,0,0,9,2,44,26,5,69,16,20,1,400,25,145,280,125,162,20,15,65,38,95,207,123,380,39,2,2,2
425,19,29,34,24,38,13,14,25,24,35,34,43,24,19,14,14,11,11,208,217,1,40,2,49,9,21,15,4,2,22,0,4,4,7,4,9,7,1,5,0,2,7,0,0,0,5,17,12,33,5,91,27,19,1,406,19,210,215,174,200,18,9,11,13,132,152,141,395,10,0,10,10
505,20,20,48,47,20,25,21,15,33,49,54,34,33,34,29,10,10,3,232,273,3,31,0,50,21,23,14,9,7,17,2,8,1,11,4,4,13,1,6,1,1,4,5,1,0,9,18,51,24,7,114,20,24,1,480,25,270,235,200,255,15,5,20,10,130,159,216,435,20,10,10,30
495,20,26,40,47,24,22,18,26,31,57,42,31,26,31,15,15,14,10,237,258,6,52,0,19,4,16,8,6,3,4,1,8,0,6,4,9,9,0,6,1,0,1,2,0,0,1,6,25,41,11,193,20,32,1,464,31,215,280,201,239,12,8,17,18,173,185,137,425,43,1,16,10
465,19,23,27,40,33,16,15,23,31,35,35,34,44,35,19,15,10,11,213,252,5,39,1,34,11,15,7,7,2,17,0,9,1,4,5,8,9,0,18,2,0,11,2,0,0,13,1,25,36,9,110,30,34,0,445,20,240,225,180,225,20,9,11,20,149,194,122,431,11,7,9,7
590,25,22,25,35,25,33,23,26,29,40,41,47,38,34,26,29,47,45,243,347,5,68,1,41,16,22,9,9,14,27,2,10,3,6,7,14,7,3,10,2,1,4,1,0,0,4,4,32,57,10,146,28,21,6,474,116,215,375,189,224,21,11,65,80,152,276,162,485,35,3,8,59
575,21,30,40,32,40,30,29,15,30,50,58,39,60,25,30,20,19,7,270,305,2,69,3,51,11,16,3,8,8,6,0,13,2,4,8,3,7,2,12,4,2,6,0,0,0,5,9,31,55,9,154,30,41,1,545,30,220,355,209,306,21,5,20,14,170,250,155,462,40,2,28,43
555,18,26,41,31,26,31,21,13,36,40,45,57,40,31,41,29,20,9,257,298,6,38,1,58,15,19,8,4,3,18,0,10,5,7,1,4,5,2,12,3,2,6,1,0,1,14,3,27,50,4,164,19,42,3,529,26,200,355,189,288,30,9,20,19,167,238,150,444,29,7,35,40
550,12,20,36,40,35,25,21,16,30,32,57,59,45,34,36,20,18,14,262,288,4,45,3,59,8,15,11,5,12,19,3,8,5,4,6,5,10,1,9,1,5,7,1,0,0,10,7,39,50,19,108,30,36,5,540,10,270,280,183,260,30,11,41,25,163,245,142,475,56,3,5,11
535,15,23,20,25,28,14,22,35,30,45,46,46,35,39,30,35,25,22,243,292,8,37,0,65,18,32,5,6,5,22,2,7,3,8,7,7,6,4,10,0,2,9,3,0,1,5,3,35,45,7,98,27,45,3,520,15,265,270,169,208,27,20,60,51,136,259,140,455,49,5,6,20
1180,57,54,69,62,57,61,47,62,59,68,71,72,75,86,67,91,57,65,473,707,10,92,2,117,25,38,15,14,10,36,3,13,9,21,9,27,27,6,16,8,7,15,11,1,3,25,19,96,93,15,254,63,78,2,1109,71,396,784,406,471,47,29,106,121,348,531,301,933,95,10,40,102
1045,30,41,35,40,50,54,69,69,74,84,74,84,89,69,49,56,35,43,485,560,8,72,0,71,26,43,8,12,6,24,12,28,11,8,8,9,19,13,24,3,2,11,4,0,0,11,12,133,98,20,225,58,63,3,1000,45,520,525,335,430,35,45,115,85,203,560,282,845,90,15,35,60
435,18,20,31,12,25,40,30,19,15,35,35,46,35,29,15,12,10,8,210,225,5,27,0,23,10,14,7,13,8,17,5,9,3,9,2,1,7,1,8,8,5,4,0,0,1,14,5,38,35,11,82,37,24,2,427,8,225,210,165,190,25,15,25,15,106,177,152,319,42,0,20,54
390,18,25,20,23,20,10,22,25,33,30,34,48,21,27,9,15,7,3,180,210,10,59,0,34,13,9,13,10,7,23,2,2,1,2,3,6,5,2,4,0,0,5,2,0,0,5,8,29,25,8,63,12,28,0,385,5,229,161,150,136,30,20,34,20,118,162,110,326,40,3,3,18
425,26,19,24,19,19,39,23,29,33,39,38,29,30,24,10,10,7,7,220,205,6,55,0,27,5,15,9,5,7,14,0,6,0,5,6,7,4,2,6,1,0,4,1,0,0,5,5,33,22,5,82,58,28,2,410,15,195,230,170,196,31,10,10,8,103,178,144,306,41,9,21,48
575,18,30,14,29,33,34,53,35,45,53,35,35,43,38,23,24,17,16,265,310,2,45,1,48,22,33,9,11,17,23,7,8,1,8,5,9,5,1,14,0,3,6,3,0,0,8,6,49,42,15,105,35,33,1,565,10,375,200,215,225,34,17,51,33,159,251,165,522,39,0,5,9
435,16,25,17,30,25,25,15,24,35,37,48,30,37,20,20,15,11,5,225,210,5,53,0,50,7,14,7,10,10,17,4,12,2,16,2,5,11,4,16,2,0,5,3,0,1,7,7,10,33,10,70,23,18,1,430,5,280,155,164,205,26,8,20,12,145,164,126,407,3,5,10,10
470,17,25,21,25,20,15,20,25,30,20,40,51,46,46,31,15,11,12,230,240,5,55,0,54,14,22,4,7,9,24,2,8,6,9,4,5,5,2,16,4,4,3,3,1,0,13,4,18,27,6,90,21,25,0,465,5,240,230,152,248,30,6,19,15,181,155,134,415,30,0,2,23
1025,32,46,56,60,49,90,101,90,76,79,66,75,56,55,35,20,19,20,495,530,20,111,1,81,28,23,18,18,18,29,6,19,3,13,14,15,12,4,14,4,7,10,4,2,0,25,16,61,96,18,189,56,88,2,1000,25,690,335,381,435,85,25,59,40,314,445,266,865,101,10,23,26
1005,59,40,58,49,50,57,80,67,106,88,80,85,66,45,22,20,18,15,500,505,19,118,0,82,19,29,12,11,11,32,5,11,5,8,7,15,11,6,17,5,9,5,7,0,1,20,11,61,109,18,207,63,69,2,975,30,580,425,373,480,70,16,45,21,306,469,230,743,136,12,30,84
745,47,47,45,68,62,29,37,55,49,58,73,74,29,25,18,14,9,6,335,410,13,114,3,50,11,15,8,4,9,25,3,17,4,11,6,8,21,6,21,2,3,6,0,0,0,23,25,25,77,11,136,48,37,3,738,7,485,260,346,300,31,18,40,10,211,335,199,610,45,7,12,71
405,13,22,11,29,14,25,21,26,39,34,29,25,35,39,13,11,11,8,202,203,6,75,0,43,8,22,13,7,4,18,0,8,3,4,2,6,1,2,6,0,4,4,1,0,3,3,10,13,29,5,62,22,17,4,400,5,284,121,145,181,35,4,20,20,127,132,146,370,25,3,0,7
525,30,34,25,30,25,32,24,35,45,40,45,40,39,30,16,16,9,10,255,270,9,69,0,53,13,15,4,5,8,34,0,8,4,6,4,7,4,1,19,6,4,5,3,1,0,22,3,53,32,4,86,17,22,4,515,10,305,220,225,221,24,10,30,15,144,199,182,449,40,7,4,25
410,25,19,25,25,20,20,20,30,35,23,41,40,17,20,15,10,10,15,197,213,8,54,2,45,15,23,6,7,12,6,0,6,0,4,3,3,4,1,10,0,5,6,1,0,0,13,1,43,21,5,59,28,11,8,395,15,250,160,175,170,15,10,15,25,95,120,195,375,28,0,2,5
645,45,50,45,30,50,24,40,30,74,73,43,45,35,20,15,11,9,6,312,333,14,61,0,56,24,30,4,12,9,21,4,5,0,20,4,3,0,2,15,6,8,19,1,0,0,6,19,77,32,5,86,76,25,1,635,10,360,285,290,265,25,15,35,15,139,226,280,510,55,2,6,72
575,20,29,35,30,40,35,34,29,45,55,60,55,35,35,20,10,6,2,293,282,11,55,2,53,13,25,9,4,10,25,5,7,2,11,4,7,5,4,20,2,5,8,1,0,0,12,4,29,49,10,100,47,31,5,565,10,360,215,220,260,40,15,30,10,168,217,190,495,30,2,13,35
320,10,25,20,24,20,13,20,25,30,25,28,29,20,10,10,5,5,1,140,180,7,50,2,32,11,16,0,5,9,12,0,8,4,12,5,4,0,5,13,2,5,1,0,0,0,8,4,29,9,1,32,16,12,6,320,0,200,120,145,110,25,10,20,10,61,79,180,291,24,1,1,3
635,41,31,36,41,20,46,51,51,59,56,56,46,32,20,20,10,6,13,295,340,13,69,0,67,13,26,8,16,7,37,0,10,1,13,10,18,11,1,21,4,8,4,0,0,2,30,25,51,28,5,80,28,28,1,624,11,390,245,255,250,35,25,45,25,129,210,296,515,55,7,8,50
755,55,35,30,26,20,35,50,80,50,59,60,65,55,39,38,27,20,11,340,415,15,56,1,87,27,30,8,12,10,43,0,9,10,9,6,5,26,6,35,0,11,7,2,2,2,5,9,63,38,14,103,66,31,7,745,10,375,380,260,345,40,15,55,40,169,278,308,615,64,7,4,65
535,36,21,19,35,20,30,35,45,35,49,35,35,25,35,30,20,15,15,245,290,12,83,0,41,11,28,9,10,9,26,3,5,4,13,5,11,4,2,5,1,4,6,1,1,1,11,5,30,27,8,67,58,32,2,525,10,295,240,190,220,40,10,55,20,136,194,205,406,65,9,10,45
945,42,29,24,36,25,76,103,56,62,62,61,47,60,46,58,38,61,59,418,527,17,136,0,98,25,30,7,18,21,43,1,21,4,11,8,20,18,6,17,12,9,18,1,0,1,22,11,77,57,6,136,39,48,7,922,23,420,525,274,346,99,36,80,110,235,401,309,699,76,18,45,107
885,30,15,20,25,41,85,85,70,65,51,65,60,66,65,60,39,20,23,415,470,18,63,1,69,34,29,14,24,17,28,5,24,1,14,14,14,15,3,25,5,7,16,6,0,1,19,9,67,76,17,147,39,58,6,855,30,595,290,253,360,96,20,100,56,221,435,229,725,105,7,22,26
720,25,21,16,25,45,73,60,54,40,56,60,70,35,50,25,30,15,20,328,392,6,127,1,72,31,33,14,18,8,30,2,11,5,8,8,5,5,5,14,8,7,2,6,0,1,21,8,48,29,6,115,36,26,4,705,15,435,285,278,222,62,28,90,40,198,288,234,648,54,0,10,8
520,23,20,15,25,39,53,53,58,34,44,39,44,25,25,10,6,5,2,262,258,3,88,2,31,15,21,4,15,5,21,0,12,0,10,3,6,6,0,8,0,1,9,0,2,4,12,2,50,16,6,39,113,15,1,515,5,400,120,235,160,45,20,45,15,103,179,238,450,35,11,10,14
510,22,31,20,31,35,44,36,46,46,39,49,46,20,15,10,7,8,5,220,290,10,26,1,31,18,21,9,7,7,25,0,16,0,6,6,6,13,5,9,6,0,0,2,0,0,15,29,59,15,5,53,91,15,4,500,10,285,225,215,170,46,10,50,19,86,177,247,340,65,10,10,85
600,26,44,31,41,33,34,41,47,67,52,49,42,27,21,21,16,4,4,308,292,14,69,0,69,12,27,19,7,7,17,1,11,0,5,9,15,12,4,14,1,7,2,4,0,1,7,22,68,18,7,91,43,12,5,580,20,413,187,265,210,45,15,50,15,125,187,288,528,56,1,9,6
580,30,45,40,25,40,35,30,40,46,44,50,35,35,30,20,15,10,10,288,292,9,71,1,58,16,36,9,6,5,21,0,11,2,1,8,8,10,3,30,2,0,18,2,0,0,10,11,26,31,6,106,38,24,1,565,15,300,280,255,230,40,15,30,10,157,190,233,485,35,3,18,39
665,20,20,26,25,35,55,55,59,60,40,55,54,50,36,35,15,15,10,290,375,12,109,0,35,19,31,15,10,9,32,6,15,0,16,9,9,15,1,8,2,7,6,2,0,0,14,8,68,44,4,90,45,22,2,650,15,459,206,275,199,60,30,66,35,157,274,234,595,50,8,1,11
470,20,18,19,17,32,46,42,33,24,29,35,42,39,24,19,10,14,7,225,245,5,30,1,36,15,23,9,10,6,14,4,6,1,7,1,7,3,0,13,3,8,9,2,0,0,9,5,46,65,5,79,22,22,4,459,11,270,200,185,147,50,15,56,17,120,178,172,375,67,4,10,14
635,35,30,30,30,40,39,53,43,35,53,40,45,44,50,19,20,19,10,287,348,8,66,1,52,19,30,17,9,12,25,1,10,2,7,1,6,11,0,7,2,4,8,1,0,1,28,9,61,51,27,93,26,35,5,620,15,295,340,252,260,23,15,55,30,170,257,208,475,70,5,12,73
690,40,20,31,40,50,40,50,45,45,50,55,60,50,50,30,10,10,14,335,355,19,89,0,62,17,40,9,12,21,33,0,9,3,10,4,14,9,5,15,3,1,6,6,0,0,12,18,74,36,8,70,50,28,7,680,10,415,275,300,250,50,24,46,20,161,244,285,585,35,10,10,50
480,30,25,36,30,20,20,25,30,45,50,45,43,20,20,10,20,5,6,245,235,9,50,2,53,23,21,11,11,16,22,0,11,1,7,11,5,7,5,8,0,6,10,1,0,0,0,4,27,24,4,88,18,23,2,465,15,250,230,205,185,40,10,25,15,110,145,225,415,25,1,3,36
590,25,38,35,35,25,35,35,55,45,51,45,40,40,35,15,16,10,10,305,285,9,48,1,35,15,17,7,12,10,14,1,11,0,13,7,6,12,0,18,6,3,10,3,1,0,12,17,41,50,9,96,83,22,1,570,20,330,260,230,255,40,15,30,20,138,242,210,509,58,1,4,18
710,44,57,38,30,30,53,40,46,55,55,60,60,50,18,25,23,11,15,355,355,14,134,0,51,26,32,8,9,5,34,3,10,2,16,6,2,26,1,24,5,5,1,5,0,0,18,14,43,30,9,103,26,45,3,695,15,395,315,285,310,41,14,30,30,198,223,289,652,20,2,2,34
460,20,35,30,25,25,15,20,35,30,45,35,45,35,15,15,10,5,20,200,260,11,78,2,45,14,25,8,3,8,24,4,5,5,1,1,17,10,1,6,0,2,4,0,1,0,4,8,39,19,4,60,18,32,1,445,15,211,249,200,150,35,20,45,10,84,154,222,380,39,2,10,29
585,24,34,34,48,54,44,34,39,44,54,44,49,30,19,11,10,5,8,298,287,9,49,4,31,21,13,8,12,2,10,2,5,5,15,12,12,8,1,6,5,1,4,6,0,2,8,22,67,43,13,94,42,51,2,570,15,395,190,270,200,45,20,30,20,112,215,258,554,25,2,3,1
620,28,28,34,50,39,35,38,30,40,55,50,60,32,35,16,20,15,15,288,332,8,77,3,61,21,46,12,8,5,38,1,15,5,6,6,11,15,0,19,4,4,4,4,1,1,12,16,43,27,8,64,26,49,0,620,0,410,210,245,255,45,15,40,20,148,214,258,480,90,2,8,40
445,12,18,31,45,35,12,9,20,30,41,60,30,26,26,20,15,10,5,220,225,8,63,1,51,17,20,14,7,11,31,3,12,1,12,5,4,2,0,4,0,1,15,0,0,0,6,3,45,26,1,49,17,16,0,435,10,315,130,170,225,10,5,15,20,130,108,207,410,21,6,0,8
