"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8"
"59150037",160.00,125.00,40.00,90.00,5.00,30.00,25.00,5.00
"59150038",135.00,120.00,35.00,85.00,0.00,15.00,15.00,5.00
"59150039",125.00,110.00,35.00,75.00,5.00,10.00,10.00,5.00
"59150040",300.00,50.00,30.00,15.00,0.00,250.00,245.00,0.00
"59150041",150.00,125.00,35.00,90.00,5.00,20.00,15.00,5.00
"59150042",130.00,105.00,40.00,65.00,0.00,25.00,20.00,0.00
"59150043",355.00,125.00,70.00,50.00,0.00,235.00,230.00,10.00
"59150044",285.00,120.00,50.00,70.00,5.00,165.00,155.00,10.00
"59150045",380.00,150.00,95.00,55.00,0.00,230.00,220.00,10.00
"59150046",270.00,125.00,50.00,70.00,0.00,140.00,140.00,5.00
"59150047",275.00,75.00,45.00,35.00,5.00,190.00,185.00,5.00
"59150048",150.00,115.00,35.00,85.00,0.00,25.00,20.00,5.00
"59150049",175.00,145.00,35.00,110.00,5.00,25.00,25.00,5.00
"59150050",170.00,140.00,35.00,100.00,5.00,25.00,25.00,0.00
"59150051",160.00,130.00,45.00,85.00,5.00,25.00,20.00,5.00
"59150052",135.00,100.00,30.00,70.00,0.00,35.00,30.00,0.00
"59150053",200.00,170.00,65.00,110.00,5.00,25.00,15.00,5.00
"59150054",230.00,180.00,80.00,100.00,0.00,45.00,40.00,5.00
"59150055",225.00,165.00,70.00,90.00,0.00,60.00,55.00,10.00
"59150056",305.00,135.00,65.00,70.00,5.00,165.00,160.00,5.00
"59150059",485.00,275.00,120.00,150.00,5.00,210.00,205.00,0.00
"59150062",555.00,290.00,100.00,185.00,5.00,265.00,250.00,15.00
"59150064",175.00,115.00,45.00,65.00,5.00,60.00,55.00,5.00
"59150067",170.00,115.00,40.00,75.00,0.00,50.00,50.00,5.00
"59150068",150.00,115.00,35.00,80.00,0.00,30.00,20.00,10.00
"59150069",275.00,145.00,50.00,95.00,0.00,130.00,120.00,5.00
"59150070",160.00,130.00,50.00,90.00,0.00,30.00,25.00,5.00
"59150071",190.00,145.00,65.00,80.00,5.00,45.00,40.00,0.00
"59150072",440.00,290.00,115.00,175.00,5.00,145.00,135.00,15.00
"59150073",390.00,300.00,110.00,190.00,5.00,85.00,75.00,5.00
"59150074",240.00,210.00,30.00,180.00,5.00,25.00,25.00,0.00
"59150075",155.00,110.00,40.00,70.00,5.00,45.00,40.00,5.00
"59150076",200.00,130.00,45.00,80.00,10.00,60.00,45.00,10.00
"59150077",140.00,110.00,30.00,80.00,0.00,30.00,25.00,5.00
"59150078",225.00,175.00,40.00,140.00,5.00,40.00,40.00,5.00
"59150079",215.00,165.00,50.00,110.00,5.00,50.00,40.00,10.00
"59150080",125.00,80.00,20.00,65.00,0.00,45.00,35.00,10.00
"59150081",270.00,160.00,50.00,110.00,10.00,100.00,90.00,15.00
"59150082",345.00,215.00,90.00,130.00,0.00,125.00,115.00,10.00
"59150083",255.00,155.00,60.00,90.00,0.00,100.00,90.00,10.00
"59150084",495.00,220.00,135.00,85.00,5.00,270.00,255.00,15.00
"59150085",515.00,245.00,155.00,90.00,0.00,270.00,250.00,25.00
"59150086",430.00,170.00,75.00,95.00,0.00,255.00,230.00,25.00
"59150087",275.00,120.00,50.00,65.00,5.00,145.00,125.00,25.00
"59150088",240.00,140.00,55.00,90.00,0.00,100.00,80.00,15.00
"59150089",270.00,160.00,45.00,115.00,0.00,105.00,90.00,10.00
"59150090",205.00,145.00,40.00,100.00,5.00,50.00,35.00,15.00
"59150091",380.00,160.00,75.00,85.00,0.00,220.00,190.00,25.00
"59150092",270.00,115.00,55.00,60.00,0.00,155.00,135.00,15.00
"59150093",285.00,160.00,60.00,105.00,5.00,125.00,100.00,25.00
"59150094",315.00,190.00,65.00,120.00,0.00,125.00,95.00,25.00
"59150095",180.00,130.00,40.00,90.00,0.00,45.00,45.00,5.00
"59150096",215.00,150.00,55.00,100.00,10.00,50.00,45.00,5.00
"59150097",250.00,185.00,60.00,125.00,10.00,60.00,45.00,10.00
"59150098",195.00,120.00,25.00,100.00,0.00,70.00,60.00,10.00
"59150099",200.00,150.00,20.00,135.00,5.00,40.00,30.00,15.00
"59150100",240.00,175.00,55.00,125.00,5.00,60.00,55.00,5.00
"59150101",150.00,120.00,35.00,80.00,5.00,25.00,25.00,0.00
"59150102",125.00,100.00,40.00,65.00,5.00,15.00,15.00,5.00
"59150103",215.00,185.00,60.00,125.00,10.00,20.00,20.00,5.00
"59150104",170.00,140.00,40.00,100.00,5.00,25.00,25.00,0.00
"59150105",110.00,90.00,20.00,75.00,0.00,10.00,10.00,5.00
"59150106",295.00,250.00,80.00,170.00,5.00,45.00,40.00,5.00
"59150107",155.00,130.00,45.00,85.00,0.00,20.00,25.00,5.00
"59150108",120.00,100.00,40.00,60.00,0.00,20.00,20.00,5.00
"59150109",215.00,170.00,55.00,110.00,5.00,40.00,35.00,5.00
"59150110",190.00,145.00,50.00,95.00,5.00,40.00,35.00,5.00
"59150111",215.00,150.00,70.00,90.00,5.00,55.00,45.00,10.00
"59150112",260.00,190.00,55.00,130.00,5.00,65.00,60.00,5.00
"59150113",290.00,220.00,65.00,150.00,5.00,65.00,45.00,25.00
"59150114",190.00,145.00,45.00,100.00,5.00,45.00,40.00,10.00
"59150115",125.00,105.00,30.00,75.00,0.00,20.00,15.00,0.00
"59150116",160.00,120.00,45.00,75.00,10.00,35.00,30.00,5.00
"59150117",165.00,115.00,30.00,85.00,5.00,40.00,35.00,5.00
"59150118",215.00,175.00,60.00,115.00,5.00,35.00,30.00,5.00
"59150119",285.00,205.00,90.00,115.00,5.00,80.00,80.00,0.00
"59150120",225.00,185.00,65.00,125.00,5.00,35.00,25.00,5.00
"59150121",185.00,150.00,40.00,105.00,5.00,30.00,30.00,5.00
"59150122",175.00,145.00,35.00,105.00,5.00,25.00,20.00,5.00
"59150123",270.00,230.00,60.00,170.00,5.00,30.00,25.00,0.00
"59150124",260.00,215.00,55.00,165.00,10.00,30.00,25.00,5.00
"59150125",165.00,130.00,45.00,85.00,10.00,25.00,20.00,5.00
"59150126",230.00,210.00,60.00,145.00,5.00,20.00,15.00,5.00
"59150127",280.00,230.00,75.00,155.00,10.00,40.00,35.00,5.00
"59150129",165.00,145.00,40.00,100.00,0.00,20.00,10.00,0.00
"59150130",255.00,205.00,70.00,140.00,5.00,40.00,40.00,5.00
"59150131",190.00,145.00,60.00,90.00,5.00,35.00,25.00,10.00
"59150132",275.00,225.00,105.00,120.00,10.00,40.00,35.00,5.00
"59150133",155.00,125.00,55.00,75.00,0.00,25.00,25.00,5.00
"59150134",165.00,135.00,55.00,85.00,5.00,25.00,25.00,5.00
"59150135",215.00,165.00,55.00,110.00,0.00,45.00,45.00,5.00
"59150136",155.00,115.00,25.00,95.00,10.00,30.00,25.00,0.00
"59150137",210.00,125.00,65.00,60.00,0.00,80.00,75.00,10.00
"59150140",235.00,130.00,30.00,95.00,0.00,110.00,95.00,15.00
"59150141",685.00,365.00,160.00,200.00,5.00,315.00,285.00,25.00
"59150142",200.00,150.00,55.00,100.00,10.00,45.00,30.00,10.00
"59150143",185.00,130.00,50.00,85.00,5.00,55.00,40.00,15.00
"59150145",275.00,215.00,60.00,155.00,10.00,55.00,40.00,10.00
"59150146",165.00,145.00,45.00,100.00,5.00,20.00,15.00,5.00
"59150147",140.00,110.00,40.00,75.00,5.00,20.00,20.00,5.00
"59150148",175.00,105.00,35.00,75.00,5.00,60.00,55.00,5.00
"59150152",195.00,115.00,30.00,80.00,5.00,75.00,70.00,10.00
"59150153",295.00,175.00,50.00,120.00,10.00,105.00,105.00,5.00
"59150157",140.00,110.00,35.00,80.00,5.00,25.00,15.00,5.00
"59150158",185.00,150.00,45.00,100.00,10.00,30.00,20.00,5.00
"59150159",230.00,190.00,60.00,130.00,5.00,40.00,30.00,10.00
"59150160",225.00,185.00,45.00,140.00,10.00,30.00,20.00,10.00
"59150161",220.00,185.00,60.00,120.00,0.00,35.00,30.00,10.00
"59150162",150.00,115.00,45.00,75.00,5.00,25.00,20.00,5.00
"59150163",200.00,160.00,40.00,120.00,10.00,35.00,30.00,5.00
"59150164",195.00,145.00,35.00,110.00,5.00,45.00,40.00,5.00
"59150165",170.00,135.00,35.00,100.00,5.00,30.00,25.00,5.00
"59150166",95.00,80.00,35.00,50.00,0.00,10.00,10.00,0.00
"59150167",150.00,125.00,30.00,95.00,5.00,20.00,20.00,5.00
"59150174",140.00,110.00,40.00,75.00,5.00,20.00,20.00,0.00
"59150175",145.00,120.00,50.00,70.00,5.00,20.00,20.00,5.00
"59150176",195.00,170.00,25.00,145.00,0.00,20.00,20.00,0.00
"59150177",125.00,85.00,35.00,55.00,0.00,40.00,40.00,5.00
"59150178",255.00,195.00,60.00,135.00,10.00,55.00,50.00,5.00
"59150179",145.00,120.00,45.00,80.00,5.00,15.00,15.00,0.00
"59150180",180.00,140.00,35.00,105.00,5.00,40.00,30.00,10.00
"59150181",185.00,130.00,50.00,85.00,0.00,50.00,40.00,10.00
"59150182",270.00,210.00,65.00,145.00,10.00,55.00,40.00,10.00
"59150183",290.00,195.00,45.00,150.00,5.00,90.00,85.00,15.00
"59150184",250.00,120.00,35.00,80.00,0.00,135.00,115.00,25.00
"59150185",350.00,210.00,90.00,120.00,0.00,140.00,125.00,15.00
"59150186",380.00,150.00,65.00,85.00,0.00,230.00,205.00,30.00
"59150187",620.00,245.00,145.00,100.00,5.00,370.00,340.00,30.00
"59150188",285.00,120.00,70.00,50.00,5.00,170.00,165.00,10.00
"59150189",335.00,140.00,70.00,75.00,0.00,190.00,180.00,10.00
"59150190",355.00,165.00,100.00,65.00,0.00,190.00,170.00,20.00
"59150191",370.00,155.00,85.00,70.00,5.00,210.00,190.00,25.00
"59150192",580.00,265.00,165.00,100.00,5.00,310.00,285.00,25.00
"59150193",350.00,105.00,75.00,35.00,0.00,245.00,205.00,40.00
"59150194",350.00,115.00,70.00,45.00,5.00,230.00,210.00,20.00
"59150195",305.00,200.00,95.00,110.00,0.00,100.00,85.00,10.00
"59150196",230.00,160.00,60.00,100.00,0.00,65.00,55.00,10.00
"59150197",385.00,160.00,100.00,60.00,0.00,230.00,205.00,20.00
"59150198",360.00,160.00,85.00,80.00,0.00,195.00,175.00,25.00
"59150199",330.00,120.00,70.00,50.00,0.00,205.00,190.00,10.00
"59150200",265.00,140.00,65.00,75.00,5.00,115.00,95.00,20.00
"59150201",255.00,155.00,50.00,105.00,10.00,100.00,75.00,25.00
"59150202",260.00,180.00,55.00,120.00,20.00,65.00,50.00,15.00
"59150203",240.00,165.00,55.00,110.00,5.00,75.00,55.00,15.00
"59150204",310.00,225.00,95.00,125.00,5.00,80.00,70.00,10.00
"59150205",200.00,155.00,45.00,110.00,5.00,35.00,20.00,10.00
"59150206",205.00,140.00,45.00,90.00,10.00,55.00,50.00,5.00
"59150207",180.00,140.00,40.00,95.00,5.00,35.00,35.00,5.00
"59150208",205.00,155.00,50.00,105.00,5.00,45.00,30.00,10.00
"59150209",270.00,185.00,75.00,115.00,10.00,75.00,65.00,10.00
"59150210",255.00,185.00,65.00,120.00,10.00,60.00,55.00,10.00
"59150211",220.00,160.00,55.00,105.00,10.00,45.00,40.00,10.00
"59150212",130.00,90.00,35.00,60.00,5.00,35.00,20.00,10.00
"59150213",205.00,150.00,60.00,95.00,5.00,50.00,35.00,15.00
"59150214",225.00,85.00,65.00,20.00,0.00,135.00,135.00,5.00
"59150219",250.00,180.00,70.00,105.00,5.00,65.00,60.00,5.00
"59150220",235.00,160.00,55.00,105.00,10.00,65.00,40.00,20.00
"59150221",345.00,265.00,85.00,180.00,5.00,80.00,60.00,20.00
"59150222",200.00,150.00,50.00,100.00,5.00,45.00,35.00,10.00
"59150223",155.00,115.00,30.00,90.00,5.00,30.00,30.00,0.00
"59150224",515.00,440.00,135.00,305.00,20.00,55.00,50.00,5.00
"59150225",145.00,115.00,40.00,80.00,15.00,20.00,15.00,0.00
"59150226",120.00,105.00,30.00,70.00,0.00,15.00,15.00,5.00
"59150227",175.00,150.00,45.00,105.00,5.00,20.00,20.00,0.00
"59150228",435.00,355.00,145.00,210.00,10.00,65.00,55.00,15.00
"59150229",130.00,110.00,35.00,75.00,5.00,15.00,15.00,0.00
"59150230",480.00,380.00,170.00,210.00,5.00,95.00,95.00,0.00
"59150231",85.00,70.00,20.00,50.00,0.00,15.00,15.00,0.00
"59150232",235.00,195.00,55.00,135.00,10.00,35.00,25.00,5.00
"59150233",920.00,525.00,260.00,265.00,15.00,380.00,365.00,15.00
"59150234",230.00,185.00,55.00,135.00,0.00,40.00,40.00,5.00
"59150235",340.00,245.00,90.00,155.00,0.00,90.00,90.00,0.00
"59150236",390.00,225.00,125.00,100.00,0.00,170.00,165.00,5.00
"59150237",235.00,190.00,30.00,160.00,0.00,40.00,40.00,0.00
"59150238",170.00,140.00,35.00,110.00,5.00,20.00,15.00,5.00
"59150239",330.00,260.00,95.00,165.00,5.00,65.00,65.00,5.00
"59150240",555.00,475.00,150.00,325.00,10.00,75.00,75.00,0.00
"59150241",300.00,250.00,75.00,175.00,10.00,45.00,35.00,10.00
"59150242",330.00,195.00,70.00,120.00,0.00,140.00,130.00,5.00
"59150243",320.00,275.00,115.00,160.00,5.00,45.00,40.00,0.00
"59150244",350.00,295.00,140.00,155.00,10.00,45.00,40.00,10.00
"59150245",210.00,165.00,70.00,90.00,5.00,45.00,45.00,0.00
"59150246",180.00,135.00,60.00,80.00,5.00,40.00,35.00,5.00
"59150249",185.00,145.00,65.00,75.00,5.00,35.00,30.00,5.00
"59150250",155.00,125.00,45.00,80.00,10.00,25.00,20.00,5.00
"59150251",145.00,120.00,45.00,80.00,5.00,20.00,15.00,0.00
"59150252",265.00,210.00,70.00,135.00,20.00,35.00,30.00,5.00
"59150253",305.00,190.00,75.00,110.00,5.00,105.00,85.00,20.00
"59150254",180.00,120.00,40.00,75.00,5.00,55.00,45.00,10.00
"59150255",170.00,125.00,45.00,80.00,10.00,40.00,30.00,10.00
"59150260",205.00,170.00,65.00,110.00,5.00,25.00,15.00,10.00
"59150261",145.00,105.00,35.00,70.00,10.00,25.00,15.00,10.00
"59150262",120.00,75.00,20.00,55.00,5.00,30.00,25.00,10.00
"59150263",175.00,125.00,45.00,85.00,5.00,40.00,30.00,15.00
"59150264",105.00,75.00,20.00,45.00,10.00,30.00,20.00,10.00
"59150265",210.00,130.00,60.00,65.00,0.00,75.00,70.00,5.00
"59150266",585.00,365.00,95.00,270.00,5.00,220.00,185.00,35.00
"59150267",575.00,225.00,85.00,140.00,0.00,350.00,340.00,10.00
"59150268",220.00,165.00,55.00,110.00,5.00,45.00,45.00,5.00
"59150269",110.00,85.00,35.00,55.00,0.00,20.00,10.00,5.00
"59150270",95.00,70.00,25.00,50.00,5.00,25.00,15.00,5.00
"59150271",170.00,130.00,45.00,85.00,10.00,35.00,25.00,5.00
"59150272",195.00,130.00,40.00,85.00,15.00,55.00,35.00,15.00
"59150273",150.00,115.00,45.00,75.00,15.00,25.00,20.00,5.00
"59150274",170.00,125.00,35.00,85.00,10.00,40.00,25.00,10.00
"59150275",140.00,100.00,20.00,90.00,10.00,25.00,20.00,5.00
"59150276",145.00,110.00,30.00,80.00,10.00,30.00,20.00,10.00
"59150277",165.00,120.00,45.00,75.00,5.00,40.00,30.00,10.00
"59150278",280.00,190.00,50.00,140.00,5.00,90.00,65.00,20.00
"59150279",280.00,195.00,70.00,120.00,5.00,75.00,45.00,25.00
"59150280",190.00,55.00,20.00,30.00,0.00,135.00,75.00,65.00
"59150281",200.00,130.00,40.00,90.00,5.00,65.00,50.00,10.00
"59150282",190.00,140.00,35.00,105.00,10.00,40.00,30.00,10.00
"59150283",135.00,90.00,35.00,60.00,5.00,35.00,25.00,10.00
"59150284",185.00,135.00,55.00,85.00,15.00,35.00,30.00,5.00
"59150285",170.00,115.00,30.00,85.00,15.00,40.00,25.00,10.00
"59150286",250.00,180.00,60.00,120.00,10.00,65.00,45.00,20.00
"59150287",185.00,155.00,50.00,105.00,10.00,25.00,20.00,5.00
"59150288",185.00,130.00,30.00,100.00,20.00,35.00,30.00,5.00
"59150289",165.00,110.00,30.00,75.00,10.00,45.00,35.00,10.00
"59150290",165.00,120.00,35.00,85.00,10.00,35.00,35.00,0.00
"59150291",210.00,110.00,55.00,55.00,10.00,90.00,65.00,25.00
"59150292",155.00,110.00,35.00,80.00,5.00,40.00,25.00,5.00
"59150293",165.00,115.00,45.00,75.00,15.00,35.00,25.00,10.00
"59150294",170.00,115.00,50.00,65.00,10.00,50.00,40.00,10.00
"59150295",190.00,130.00,60.00,75.00,15.00,45.00,35.00,15.00
"59150296",210.00,145.00,45.00,100.00,5.00,60.00,60.00,5.00
"59150297",300.00,150.00,75.00,75.00,5.00,145.00,125.00,25.00
"59150298",175.00,125.00,25.00,100.00,10.00,40.00,35.00,5.00
"59150299",250.00,180.00,55.00,125.00,10.00,60.00,55.00,5.00
"59150300",170.00,120.00,35.00,80.00,10.00,45.00,30.00,10.00
"59150301",180.00,145.00,40.00,105.00,0.00,40.00,35.00,5.00
"59150302",185.00,140.00,55.00,85.00,5.00,45.00,35.00,5.00
"59150303",205.00,155.00,55.00,95.00,5.00,45.00,35.00,15.00
"59150304",175.00,140.00,55.00,85.00,5.00,35.00,35.00,5.00
"59150305",160.00,115.00,55.00,60.00,5.00,35.00,30.00,5.00
"59150306",75.00,60.00,25.00,35.00,0.00,10.00,10.00,5.00
"59150307",250.00,175.00,75.00,100.00,5.00,75.00,65.00,10.00
"59150308",205.00,135.00,50.00,85.00,0.00,70.00,60.00,15.00
"59150309",270.00,170.00,70.00,100.00,10.00,90.00,70.00,15.00
"59150310",285.00,120.00,55.00,65.00,5.00,160.00,130.00,25.00
"59150311",180.00,110.00,40.00,75.00,20.00,50.00,35.00,15.00
"59150312",200.00,125.00,55.00,70.00,15.00,65.00,40.00,20.00
"59150313",400.00,245.00,75.00,175.00,15.00,145.00,130.00,15.00
"59150314",190.00,105.00,40.00,70.00,10.00,75.00,60.00,15.00
"59150315",170.00,120.00,45.00,75.00,10.00,40.00,30.00,10.00
"59150316",250.00,115.00,45.00,70.00,5.00,130.00,110.00,20.00
"59150317",155.00,95.00,20.00,80.00,10.00,50.00,30.00,20.00
"59150318",195.00,145.00,50.00,100.00,10.00,45.00,25.00,15.00
"59150319",170.00,120.00,40.00,80.00,10.00,40.00,30.00,10.00
"59150320",280.00,185.00,60.00,120.00,10.00,85.00,70.00,15.00
"59150321",175.00,120.00,40.00,85.00,10.00,45.00,35.00,10.00
"59150322",165.00,100.00,30.00,75.00,0.00,60.00,50.00,10.00
"59150323",195.00,145.00,45.00,100.00,5.00,45.00,25.00,15.00
"59150324",185.00,120.00,35.00,85.00,15.00,45.00,35.00,15.00
"59150325",195.00,135.00,50.00,85.00,10.00,60.00,40.00,15.00
"59150326",245.00,155.00,60.00,100.00,10.00,75.00,65.00,5.00
"59150327",190.00,125.00,45.00,80.00,10.00,50.00,40.00,20.00
"59150328",170.00,135.00,30.00,100.00,15.00,25.00,20.00,10.00
"59150329",335.00,215.00,75.00,140.00,25.00,95.00,70.00,25.00
"59150330",175.00,105.00,30.00,70.00,10.00,60.00,35.00,20.00
"59150331",275.00,190.00,60.00,130.00,20.00,70.00,60.00,10.00
"59150332",250.00,170.00,50.00,125.00,10.00,65.00,50.00,15.00
"59150333",185.00,125.00,45.00,75.00,15.00,50.00,30.00,15.00
"59150334",195.00,125.00,50.00,75.00,15.00,55.00,45.00,15.00
"59150335",210.00,140.00,45.00,95.00,20.00,55.00,45.00,15.00
"59150336",210.00,145.00,50.00,90.00,10.00,60.00,50.00,10.00
"59150337",165.00,120.00,45.00,75.00,5.00,40.00,30.00,10.00
"59150338",170.00,130.00,40.00,85.00,10.00,30.00,25.00,5.00
"59150339",225.00,155.00,55.00,100.00,15.00,50.00,35.00,20.00
"59150340",195.00,130.00,35.00,100.00,10.00,55.00,40.00,15.00
"59150341",175.00,115.00,40.00,75.00,10.00,50.00,35.00,15.00
"59150342",180.00,105.00,50.00,60.00,5.00,65.00,50.00,20.00
"59150343",210.00,105.00,50.00,50.00,0.00,105.00,80.00,25.00
"59150344",210.00,130.00,60.00,70.00,5.00,75.00,55.00,20.00
"59150345",310.00,145.00,70.00,70.00,0.00,165.00,115.00,50.00
"59150346",180.00,85.00,40.00,45.00,5.00,85.00,60.00,30.00
"59150347",290.00,125.00,65.00,60.00,5.00,165.00,130.00,30.00
"59150348",310.00,150.00,90.00,65.00,0.00,160.00,135.00,25.00
"59150349",210.00,100.00,40.00,55.00,5.00,115.00,100.00,15.00
"59150350",295.00,110.00,35.00,75.00,5.00,180.00,160.00,20.00
"59150351",235.00,115.00,75.00,35.00,0.00,120.00,105.00,20.00
"59150352",540.00,135.00,80.00,50.00,0.00,405.00,365.00,40.00
"59150353",270.00,120.00,65.00,55.00,0.00,150.00,120.00,30.00
"59150354",330.00,125.00,85.00,45.00,0.00,205.00,170.00,30.00
"59150355",285.00,125.00,60.00,65.00,0.00,155.00,140.00,15.00
"59150356",220.00,120.00,50.00,75.00,0.00,95.00,85.00,10.00
"59150357",565.00,200.00,110.00,90.00,0.00,370.00,300.00,65.00
"59150358",240.00,135.00,60.00,70.00,5.00,110.00,75.00,30.00
"59150359",285.00,90.00,60.00,30.00,5.00,195.00,155.00,40.00
"59150360",340.00,135.00,60.00,70.00,0.00,200.00,165.00,40.00
"59150361",205.00,90.00,35.00,55.00,10.00,110.00,55.00,50.00
"59150362",165.00,85.00,40.00,50.00,5.00,65.00,45.00,20.00
"59150363",190.00,110.00,40.00,70.00,5.00,80.00,60.00,20.00
"59150364",190.00,115.00,45.00,75.00,5.00,70.00,35.00,30.00
"59150365",145.00,95.00,35.00,60.00,5.00,40.00,35.00,10.00
"59150366",245.00,160.00,60.00,100.00,5.00,80.00,55.00,25.00
"59150367",570.00,315.00,160.00,155.00,5.00,240.00,190.00,50.00
"59150368",155.00,110.00,15.00,90.00,5.00,35.00,25.00,15.00
"59150369",205.00,130.00,40.00,85.00,5.00,70.00,50.00,20.00
"59150370",630.00,335.00,150.00,185.00,15.00,275.00,220.00,55.00
"59150371",185.00,120.00,35.00,90.00,10.00,55.00,30.00,20.00
"59150372",285.00,170.00,55.00,115.00,10.00,110.00,85.00,25.00
"59150373",235.00,175.00,45.00,125.00,20.00,50.00,40.00,15.00
"59150375",155.00,105.00,40.00,65.00,10.00,35.00,25.00,10.00
"59150376",165.00,110.00,35.00,80.00,15.00,40.00,30.00,15.00
"59150377",180.00,120.00,35.00,90.00,5.00,50.00,30.00,15.00
"59150378",375.00,235.00,105.00,135.00,5.00,135.00,105.00,30.00
"59150379",205.00,140.00,40.00,100.00,10.00,60.00,45.00,15.00
"59150380",215.00,135.00,40.00,95.00,10.00,70.00,50.00,25.00
"59150381",230.00,150.00,40.00,110.00,10.00,70.00,50.00,15.00
"59150382",190.00,130.00,25.00,100.00,15.00,50.00,40.00,10.00
"59150383",190.00,135.00,35.00,95.00,10.00,55.00,35.00,20.00
"59150384",190.00,110.00,35.00,75.00,5.00,75.00,65.00,10.00
"59150385",180.00,110.00,35.00,75.00,10.00,55.00,40.00,20.00
"59150386",180.00,125.00,35.00,85.00,10.00,45.00,30.00,20.00
"59150387",160.00,115.00,30.00,85.00,10.00,40.00,25.00,10.00
"59150388",270.00,175.00,55.00,120.00,15.00,80.00,60.00,20.00
"59150389",235.00,170.00,50.00,120.00,10.00,55.00,40.00,15.00
"59150390",185.00,130.00,30.00,100.00,20.00,40.00,25.00,10.00
"59150391",185.00,120.00,10.00,110.00,5.00,55.00,55.00,0.00
"59150392",145.00,90.00,15.00,70.00,25.00,30.00,25.00,10.00
"59150393",190.00,115.00,30.00,90.00,20.00,45.00,35.00,10.00
"59150394",205.00,155.00,35.00,120.00,10.00,40.00,35.00,10.00
"59150395",230.00,160.00,35.00,125.00,25.00,45.00,35.00,15.00
"59150396",305.00,125.00,45.00,80.00,15.00,170.00,160.00,10.00
"59150397",155.00,100.00,15.00,85.00,10.00,40.00,25.00,15.00
"59150398",135.00,95.00,25.00,70.00,20.00,25.00,20.00,5.00
"59150399",155.00,100.00,35.00,70.00,10.00,45.00,35.00,15.00
"59150400",230.00,140.00,30.00,110.00,15.00,65.00,35.00,30.00
"59150401",190.00,130.00,35.00,100.00,20.00,45.00,30.00,10.00
"59150402",235.00,155.00,50.00,110.00,20.00,65.00,50.00,15.00
"59150403",225.00,160.00,55.00,105.00,15.00,50.00,40.00,15.00
"59150404",165.00,100.00,25.00,75.00,25.00,45.00,25.00,15.00
"59150405",165.00,105.00,20.00,85.00,5.00,55.00,40.00,15.00
"59150406",260.00,175.00,55.00,120.00,10.00,75.00,45.00,30.00
"59150407",245.00,160.00,50.00,115.00,25.00,50.00,35.00,20.00
"59150408",255.00,145.00,50.00,105.00,25.00,80.00,60.00,20.00
"59150409",150.00,80.00,20.00,60.00,20.00,45.00,35.00,10.00
"59150410",200.00,125.00,35.00,95.00,15.00,55.00,45.00,15.00
"59150412",155.00,105.00,35.00,70.00,5.00,45.00,30.00,15.00
"59150414",205.00,155.00,40.00,115.00,10.00,40.00,30.00,10.00
"59150415",270.00,175.00,30.00,140.00,20.00,70.00,45.00,25.00
"59150416",230.00,155.00,40.00,115.00,15.00,60.00,40.00,20.00
